ubade,abu1edh
utandırmak,ewbo2ebo1dyrmfo2
utandırmak,ewtebo1drmfo2
utan,ewbo2ebo1
utan,ewtebo1
utangaç,ewbo2ebo1ao1exu1
utangaç,ewtebo1ao1exu1
utangaç,ewtebo1ao1xu1
utangan,ewbo2ebo1ao1ebo1
utanır,ewbo2ebo1yr
utanır,ewtebo1wr
utanıyor,ewbo2ebo1yywr
utanıyorlar,ewbo2ebo1yywrlr
utanmak,ewbo2ebo1mfo2
utanmak,ewtebo1mfo2
utanmaz,ewbo2ebo1mero1
utanmıyorlar,ewbo2ebo1myywrlr
utarid,aterd
utârid,aterd
utarit,aterd
ut,awd
utbe,ao9bo2bu1h
utbe'nin,ao9bo2bu1h||bo1ko3
utbe'yi,ao9bo2bu1h||yy
utcu,awdxu1y
utruş,etrwso3
utrûş,etrwso3
utufet,atwfo1bo2
utûfet,atwfo1bo2
uvertür,ewrh||rbo2wr
uvertür,ewrh||rbo2wr
u,?%w
uyacaktır,ewyexu1fo2dr
uyamayacağını,ewyemyh||xu1ao1bo1y
uyanabildi,ewyebo1h||bu1yldy
uyanacağını,ewyebo1h||xu1ao1bo1y
uyanacaklardı,ewyebo1h||xu1fo2lrdy
uyanan,ewyebo1ebo1
uyanarak,ewyebo1h||rfo2
uyandı,ewyebo1dy
uyandığı,ewyebo1dyao1y
uyandığım,ewyebo1dyao1m
uyandık,ewyebo1dfo2
uyandıktan,ewyebo1dfo2dbo1
uyandım,ewyebo1dm
uyandıracak,ewyebo1dyrh||xu1fo2
uyandıran,ewyebo1dyrebo1
uyandırarak,ewyebo1dyrh||rfo2
uyandırdı,ewyebo1dyrdy
uyandırdıklarından,ewyebo1dyrdfo2lrbo1dbo1
uyandırdınız,ewyebo1dyrdyko3ro1
uyandır,ewyebo1dyr
uyandırıcı,ewyebo1dyryxu1y
uyandırılmamak,ewyebo1dyrylmemfo2
uyandırılmasın,ewyebo1dyrylmesybo1
uyandırılmasıyla,ewyebo1dyrylmesylh
uyandırılmıştır,ewyebo1dyrylmso3dr
uyandırıncaya,ewyebo1dyrbo1xu1h||yh
uyandırıp,ewyebo1dyrwbu1
uyandırır,ewyebo1dyrr
uyandırırsa,ewyebo1dyrrsh
uyandırıyor,ewyebo1dyryywr
uyandırıyorlar,ewyebo1dyryywrlr
uyandırıyorsun,ewyebo1dyryywrsko3
uyandırmadan,ewyebo1dyrmdbo1
uyandırmadı,ewyebo1dyrmdy
uyandırmağa,ewyebo1dyrmao1h
uyandırmak,ewbu2ebo1dbu2rmfo2
uyandırmak,ewbu2ebo1drmfo2
uyandırmak,ewyebo1drmfo2
uyandırmak,ewyebo1dyrmfo2
uyandırmakla,ewyebo1dyrmfo2lh
uyandırmasıdır,ewyebo1dyrmsydr
uyandırmaya,ewyebo1dyrmao1h
uyandırmış,ewyebo1dyrmso3
uyandırmıştı,ewyebo1dyrmso3dy
uyandırmıştır,ewyebo1dyrmso3dr
uyandırmıyor,ewyebo1dyrmyywr
uyandırsın,ewyebo1dyrsybo1
uyan,ewyebo1
uyanık,ewbu2ebo1bu2fo2
uyanık,ewbu2ebo1fo2
uyanık,ewyebo1fo2
uyanık,ewyebo1yfo2
uyanıklık,ewyebo1yfo2lfo2
uyanık olmak,ewbu2ebo1fo2 ew
uyanık olmak,ewyebo1fo2 ew
uyanın,ewyebo1ko3
uyanınız,ewyebo1ko3ro1
uyanıp,ewyebo1wbu1
uyanır,ewyebo1yr
uyanırsa,ewyebo1yrsh
uyanıyor,ewyebo1yywr
uyanlar,ewyebo1lr
uyanmak,ewbu2ebo1mfo2
uyanmak,ewyebo1mfo2
uyanmakla,ewyebo1mfo2lh
uyanmalı,ewyebo1mely
uyanmamak,ewyebo1memfo2
uyanmamış,ewyebo1memso3
uyanması,ewyebo1mesy
uyanmasına,ewyebo1mesbo1h
uyanmasının,ewyebo1mesbo1ko3
uyanmasıyla,ewyebo1mesylh
uyanmaz,ewyebo1mero1
uyanmış,ewyebo1mso3
uyanmışlara,ewyebo1mso3lrh
uyanmıştır,ewyebo1mso3dr
uyanmıyor,ewyebo1myywr
uyansalar,ewyebo1sh||lr
uyansam,ewyebo1sh||m
uyarak,ewyerfo2
uyar,ewbu2er
uyar,ewyer
uyduk,ewydfo2
uyduramamak,ewbu2drh mmfo2
uyduramamak,ewydrh mmfo2
uydurarak,ewydyrh||rh||fo2
uydurdukları,ewydwrdfo2lry
uydur,ewydwr
uydurmadık,ewydwrmdfo2
uydurma,ewbu2drmh
uydurma,ewydrmh||
uydurma,ewydwrme
uydurmak,ewbu2drmfo2
uydurmak,ewbu2dwrmfo2
uydurmak,ewydrmfo2
uydurmak,ewydwrmfo2
uydurmaklık,ewbu2drmfo2lfo2
uydurmaklık,ewydrmfo2lfo2
uydurmalar,ewydwrmelr
uydurmalarından,ewydwrmelrbo1dbo1
uydurmalarıyla,ewydyrmelrylh
uydurmalarla,ewydwrmelrlh
uyduruvermek,ewbu2drbu2wbu2rmk
uyduruvermek,ewydrywyrmk
uy,ewy
uyeyne,ao9yybo1h
uygundur,ewyao1wbo1dr
uygun,ewbu2ao1wbo1
uygun,ewyao1wbo1
uygun gelmek,ewbu2awbo1 klmk
uygun gelmek,ewyawbo1 klmk
uygunsuz,ewbu2ao1wbo1sro1
uygunsuz,ewyao1wbo1sro1
uygunsuzluk,ewbu2ao1bo1sro1lfo2
uygunsuzluk,ewyao1bo1sro1lfo2
uykuda başı göğsüne düşmek,ewbu2fo2wdh bu1eso3y kwksbo1h dwso3mk
uykuda başı göğsüne düşmek,ewyfo2wdh bu1eso3y kwksbo1h dwso3mk
uykuda,ewbu2fo2wdh
uykuda,ewyfo2wdh
uykuda,ewyfo2wdh||
uykudan,ewyfo2wdbo1
uykudur,ewyfo2wdr
uyku,ewbu2fo2w
uyku,ewyfo2w
uykularımızı,ewyfo2wlrymro1y
uykularını,ewyfo2wlrybo1y
uykum,ewyfo2wm
uykumu,ewyfo2wmy
uykun,ewyfo2wko3
uykunu,ewyfo2wko3y
uykunun,ewyfo2wbo1ko3
uykusu,ewyfo2wsy
uykusu gelip uyumak,ewbu2fo2wsy klwbu1 ewbu2wmfo2
uykusu gelip uyumak,ewyfo2wsy klwbu1 ewywmfo2
uykusu gelmeklik,ewbu2fo2wsy klmklk
uykusu gelmeklik,ewyfo2wsy klmklk
uykusu gelmiş,ewbu2fo2wsy klmso3
uykusu gelmiş,ewyfo2wsy klmso3
uykusuna,ewyfo2wsbo1h
uykusunda,ewyfo2wsbo1dh
uykusundaki,ewyfo2wsbo1dh||ky
uykusundan,ewyfo2wsbo1dbo1
uykusunu,ewyfo2wsbo1y
uykusunun,ewyfo2wsbo1ko3
uykusuyla,ewyfo2wsylh
uykusuz bırakmak,ewbu2fo2wsro1 bu1refo2mfo2
uykusuz bırakmak,ewyfo2wsro1 bu1refo2mfo2
uykusuz,ewbu2fo2wsro1
uykusuz,ewyfo2wsro1
uykusuzluğundan,ewyfo2wsro1lao1bo1dbo1
uykuya,ewyfo2wyh
uykuyu,ewyfo2wyy
uyluk,ewbu2lfo2
uyluk,ewbu2lwfo2
uyluk,ewylfo2
uyluk,ewylwfo2
uymadığı,ewymdyao1y
uymak,ewbu2mfo2
uymak,ewbu2mmfo2
uymak,ewymfo2
uymak,ewymmfo2
uymamak,ewbu2memfo2
uymamak,ewymemfo2
uymaması,ewymemsy
uymamış,ewbu2memso3
uymamış,ewymemso3
uymanın,ewymebo1ko3
uymayan,ewymyebo1
uymayın,ewymeyko3
uymaz,ewbu2mro1
uymaz,ewymero1
uymaz,ewymro1
uymuyor,ewymeywr
uysal,ewbu2zel
uysal,ewyzel
uyûb,abu2wbu1
uyub,aywbu1
uyûb,aywbu1
uyûb'dur,aywbu1dr
uyûbundan,aywbu1bo1dbo1
uyuduğunuz,ewywdyao1ko3ro1
uyu,ewyw
uyukla,ewywfo2le
uyuklamak,ewbu2wfo2lemfo2
uyuklamak,ewbu2wfo2lmfo2
uyuklamak,ewywfo2lemfo2
uyuklamak,ewywfo2lmfo2
uyulmağa,ewywlmao1h
uyulmasına,ewywlmesbo1h
uyulmasını,ewywlmsbo1y
uyulmayacağını,ewywlmyh||xu1ao1bo1y
uyulup,ewywlwbu1
uyumak,ewbu2wmfo2
uyumak,ewywmfo2
uyumamak,ewbu2wmemfo2
uyumamak,ewywmemfo2
uyumamızı,ewywmemro1y
uyumayıp,ewywmeywbu1
uyum,ewbu2wm
uyum,ewywm
uyumuş,ewbu2wmso3
uyumuş,ewywmso3
uyumuyor,ewywmyywr
uyûn,abu2wbo1
uyun,aywbo1
uyûn,aywbo1
uyûn-u,aywbo1u4
uyup,ewywbu1
uyur,ewbu2wr
uyur,ewywr
uyurlar,ewywrlr
uyuşamadım,ewywso3emdm
uyuşamayıp,ewywso3emeywbu1
uyuş,ewywso3
uyuşmak,ewbu2wso3mfo2
uyuşmak,ewbu3wso3mfo2
uyuşmak,ewywso3mfo2
uyuşmuş,ewbu2so3mso3
uyuşmuş,ewbu2wso3mso3
uyuşmuş,ewyso3mso3
uyuşmuş,ewywso3mso3
uyuşturucu,ewywso3dyryxu1y
uyuşuk,ewbu2so3fo2
uyuşuk,ewbu2wso3fo2
uyuşuk,ewbu2wso3wfo2
uyuşuk,ewyso3fo2
uyuşuk,ewywso3fo2
uyuşuk,ewywso3wfo2
uyuşuk,ewywso3yfo2
uyut,ewywbo2
uyutmak,ewbu2wbo2mfo2
uyutmak,ewywbo2mfo2
uyutturmak,ewywbo2dyrmfo2
uyutucu,ewywbo2wxu1y
uyutup,ewywbo2wbu1
uyutur,ewywbo2wr
uyuyamaz,ewywyemero1
uyuyanlar,ewywyebo1lr
uyuyor,ewbu2wbu2wr
uyuyor,ewywywr
uyuyorsunuz,ewywywrsko3ro1
uyuz,ewbu2wro1
uyuz,ewywro1
uzadıkça,ewro1edfo2xu1h
uzadıya,ewro1edy||yh
uza,ewro1e
uzağa,ewro1eao1h
uzağa,ewro1eao1h||
uzağı,ewro1eao1y
uzağım,ewro1eao1m
uzağına,ewro1eao1bo1h
uzağında,ewro1eao1bo1dh
uzağız,ewro1eao1ro1
uzak bir yer,ewro1efo2 bu1rbu2r
uzak bir yer,ewro1efo2 bu1ryr
uzak düşen,ewro1efo2 dwso3bo1
uzak,ewro1efo2
uzaklara,ewro1efo2lrh
uzaklarda,ewro1efo2lrdh
uzaklardan,ewro1efo2lrdbo1
uzaklaşamadıkça,ewro1efo2leso3h||mdfo2xu1h
uzaklaşan,ewro1efo2leso3ebo1
uzaklaşarak,ewro1efo2leso3h||rfo2
uzaklaşınca,ewro1efo2leso3bo1xu1h
uzaklaşıp,ewro1efo2leso3wbu1
uzaklaşır,ewro1efo2leso3yr
uzaklaşıyor,ewro1efo2leso3yywr
uzaklaşıyorlardı,ewro1efo2leso3yywrlrdy
uzaklaşıyorlar,ewro1efo2leso3yywrlr
uzaklaşmalarına,ewro1fo2leso3mh||lrybo1h
uzaklaşmamak,ewro1efo2leso3memfo2
uzaklaşmamaları,ewro1efo2leso3memlry
uzaklaşmamalı,ewro1efo2leso3memly
uzaklaşmasına,ewro1efo2leso3mh||sbo1h
uzaklaşmasını,ewro1efo2leso3mh||sbo1y
uzaklaşmaz,ewro1efo2leso3mero1
uzaklaşmış,ewro1efo2leso3mso3
uzaklaşsın,ewro1efo2leso3sybo1
uzaklaştı,ewro1efo2leso3dy
uzaklaştığınız,ewro1efo2leso3dyao1ko3ro1
uzaklaştıkça,ewro1efo2leso3dfo2xu1h
uzaklaştılar,ewro1efo2leso3dylr
uzaklaştıracak,ewro1efo2leso3dyrexu1fo2
uzaklaştırarak,ewro1efo2leso3dyrh||rfo2
uzaklaştırdı,ewro1efo2leso3dyrdy
uzaklaştırdılar,ewro1efo2leso3dyrdylr
uzaklaştırıldı,ewro1efo2leso3dyryldy
uzaklaştırıldığınız,ewro1efo2leso3dyryldyao1ko3ro1
uzaklaştırılması,ewro1efo2leso3dyrylmsy
uzaklaştırıp,ewro1efo2leso3dyrwbu1
uzaklaştırıyor,ewro1efo2leso3dyryywr
uzaklaştırıyorlar,ewro1efo2leso3dyryywrlr
uzaklaştırmak,ewro1efo2leso3dyrmfo2
uzaklaştırmaktır,ewro1efo2leso3dyrmfo2dr
uzaklaştırmıştır,ewro1efo2leso3dyrmso3dr
uzaklığı,ewro1efo2lao1y
uzaklığından,ewro1efo2lao1bo1dbo1
uzaklığını,ewro1efo2lao1bo1y
uzaklığıyla,ewro1efo2lao1ylh
uzaklıkça,ewro1efo2lfo2xu1h
uzaklık,ewro1efo2lfo2
uzaklıkla,ewro1efo2lfo2lh
uzaklıkları,ewro1efo2lfo2lry
uzaklıkta,ewro1efo2lfo2dh
uzaklıktaki,ewro1efo2lfo2dh||ky
uzaklıktan,ewro1efo2lfo2dbo1
uzaklıktır,ewro1efo2lfo2dr
uzaklık-yakınlık,ewro1efo2lfo2 yefo2ybo1lfo2
uzaksa,ewro1efo2sh
uzaksın,ewro1efo2sko3
uzakta dolaşan karakol,ewro1efo2dh twle so3ebo1 fo2rh fo2wl
uzakta,ewro1efo2dh
uzakta,ewro1efo2dh||
uzaktaki,ewro1efo2dh||ky
uzaktan,ewro1efo2dbo1
uzaktan îmâ etmek,ewro1efo2dbo1 ebu2me e
uzaktan ima etmek,ewro1efo2dbo1 eyme e
uzaktayız,ewro1efo2dh||yro1
uzaktır,ewro1efo2dr
uzaktırlar,ewro1efo2drlr
uzak-yakın,ewro1efo2 yefo2ybo1
uzak yerler,ewro1efo2 bu2rlr
uzak yerler,ewro1efo2 yrlr
uzaltır,ewro1elbo2yr
uzaltıyor,ewro1elbo2yywr
uzamak,ewro1emfo2
uzamamak,ewro1ememfo2
uzaması,ewro1emesy
uzamasını,ewro1emesbo1y
uzamasıyla,ewro1emesylh
uzamıştı,ewro1emso3dy
uzanabilir,ewro1ebo1h||bu1ylyr
uzanacak,ewro1ebo1h||xu1fo2
uzana,ewro1ebo1h
uzanamadığımızdan,ewro1ebo1h||mdyao1mro1dbo1
uzanan,ewro1ebo1ebo1
uzananlar,ewro1ebo1ebo1lr
uzanarak,ewro1ebo1erfo2
uzandı,ewro1ebo1dy
uzandığı,ewro1ebo1dyao1y
uzandım,ewro1ebo1dm
uzan,ewro1ebo1
uzanıp,ewro1ebo1wbu1
uzanır çekilir,ewro1ebo1wrxu3klwr
uzanır,ewro1ebo1yr
uzanmak,ewro1ebo1mfo2
uzanmasından,ewro1ebo1mh||sbo1dbo1
uzanmaz,ewro1ebo1mero1
uzanmış,ewro1ebo1mso3
uzanmışken,ewro1ebo1mso3kbo1
uzanmıştır,ewro1ebo1mso3dr
uzansın,ewro1ebo1sybo1
uzar,ewro1er
uzatabilir,ewro1ebo2h||bu1ylyr
uzatabilsin,ewro1ebo2h||bu1ylsybo1
uzatacağız,ewro1ebo2h||xu1ao1ro1
uzatacak,ewro1ebo2exu1fo2
uzatamayıp,ewro1ebo2h||meywbu1
uzatamaz,ewro1ebo2emero1
uzatamazlar,ewro1ebo2emero1lr
uzatan,ewro1ebo2ebo1
uzatarak,ewro1ebo2h||rfo2
uzat,ewro1ebo2
uzatılan,ewro1ebo2ylebo1
uzatılıp,ewro1ebo2ylwbu1
uzatılmaktadır,ewro1ebo2ylmfo2dh||dr
uzatılması,ewro1ebo2ylmsy
uzatıp,ewro1ebo2wbu1
uzatır,ewro1ebo2yr
uzatıyor,ewro1ebo2yywr
uzatıyorlar,ewro1ebo2yywrlr
uzatıyorsunuz,ewro1ebo2yywrsko3ro1
uzatmada,ewro1ebo2medh
uzatmadan,ewro1ebo2mh||dbo1
uzatma,ewro1ebo2mh
uzatmak,ewro1ebo2mfo2
uzatmakla,ewro1ebo2mfo2lh
uzatmaktan,ewro1ebo2mfo2dbo1
uzatmak,wro1ebo2mfo2
uzatmamak,ewro1ebo2mh||mfo2
uzatmasınlar,ewro1ebo2mesybo1lr
uzatmaya,ewro1ebo2mao1h
uzatmaz,ewro1ebo2mero1
uzatmazlar,ewro1ebo2mero1lr
uzatmış,ewro1ebo2mso3
uzatmışlardı,ewro1ebo2mso3lrdy
uzatmıştır,ewro1ebo2mso3dr
uzatsa,ewro1ebo2sh
uzatsan,ewro1ebo2sh||ko3
uzatsın,ewro1ebo2sybo1
uzattı,ewro1ebo2dy
uzattığı,ewro1ebo2dyao1y
uzattığımda,ewro1ebo2dyao1mdh
uzattım,ewro1ebo2dm
uzattıran,ewro1ebo2dyrebo1
uzattırmaya,ewro1ebo2dyrmao1h
uzayacak,ewro1eyh||xu1fo2
uz,ewro1
uzlaş,ewro1leso3
uzlaşma,ewro1leso3mh
uzlaşma,ewro1leso3mh||
uzlaşmak,ewro1leso3mfo2
uzlaştırmak,ewro1leso3drmfo2
uzlet,ao9ro1o0lo4bo2o0
uzlet,aro1lbo2
uzlet etmek,aro1lbo2 e
uzletgah,aro1lbo2ko7eh||
uzletgâh,aro1lbo2ko7eh
uzletgüzin,aro1lbo2 ko7ro1ybo1
uzlet-güzîn,aro1lbo2 kro1bu2bo1
uzlet-güzin,aro1lbo2 kro1ybo1
uzlethane,aro1lbo2xo1ebo1h||
uzlethâne,aro1lbo2xo1ebo1h
uzlet-i,aro1lbo2u4
uzma,ao9to1o0mo4e
uzmâ,ao9to1o0mo4e
uzma,ato1me
uzmâ,ato1me
uzma,ato1my
uzmâ,ato1my
uzmada,ato1medh
uzmâda,ato1medh
uzmadan,ato1medbo1
uzmâdan,ato1medbo1
uzmadır,ato1medr
uzma-i,ato1mecu4
uzmanın,ato1mebo1ko3
uzmânın,ato1mebo1ko3
uzması,ato1mesy
uzmâsı,ato1mesy
uzmasına,ato1mesbo1h
uzmâsına,ato1mesbo1h
uzmasında,ato1mesbo1dh
uzmasındaki,ato1mesbo1dh||ky
uzmâsındaki,ato1mesbo1dh||ky
uzmasından,ato1mesbo1dbo1
uzmasını,ato1mesbo1y
uzmasının,ato1mesbo1ko3
uzmaya,ato1meyh
uzmâya,ato1meyh
uzma-yı,ato1meyu4
uzmâ-yı,ato1meyu4
uzmayı,ato1meyy
uzubet,ado1wbu1bo2
uzûbet,ado1wbu1bo2
uzubet,aro1wbu1bo2
uzûbet,aro1wbu1bo2
uzun boylu,ewro1wbo1 bu1wbu2lw
uzun boylu,ewro1wbo1 bu1wylw
uzunca,ewro1wbo1xu1h
uzundur,ewro1wbo1dr
uzun elbise,ewro1wbo1 elbu1sh
uzun elbise,ewro1wbo1 elbu1sh||
uzun elbisesini giymek,ewro1wbo1 elbu1sh sbo1y kbu2mk
uzun elbisesini giymek,ewro1wbo1 elbu1sh sbo1y kymk
uzun ensiz parça,ewro1wbo1 ebo1sro1 bu3erxu3h
uzun ensiz parça,ewro1wbo1 ebo1sro1 bu3erxu3h||
uzun etek,ewro1wbo1 ebo2k
uzun,ewro1wbo1
uzunköprü,ewro1wbo1||kwbu3ry
uzun kütüklü ağaç,ewro1wbo1 kbo2wklweao1exu1
uzunları,ewro1wbo1lry
uzunlaşır,ewro1wbo1leso3yr
uzunlaşıyor,ewro1wbo1leso3ywr
uzunlaşmış,ewro1wbo1leso3mso3
uzunluğu,ewro1wbo1lao1y
uzunluğuna,ewro1wbo1lao1bo1h
uzunluğunda,ewro1wbo1lao1bo1dh
uzunluğundan,ewro1wbo1lao1bo1dbo1
uzunluğuyla,ewro1wbo1lao1ylh
uzunluk,ewro1wbo1lfo2
uzunlukta,ewro1wbo1lfo2dh
uzun şal,ewro1wbo1 so3el
uzunu,ewro1wbo1y
uzun yakı parçası,ewro1wbo1 bu2efo2y bu3erxu3h sy
uzun yakı parçası,ewro1wbo1 yefo2y bu3erxu3h sy
uzuv,azo1w
uzuvcuğuna,azo1wxu1ao1bo1h
uzuvlara,azo1wlrh
uzuvlar,azo1wlr
uzuvları,azo1wlry
uzuvlarına,azo1wlrybo1h
uzuvların,azo1wlrko3
uzuvlarında,azo1wlrbo1dh
uzuvlarından,azo1wlrbo1dbo1
uzuvlarını,azo1wlrybo1y
uzuvlarının,azo1wlrybo1ko3
uzva,azo1wh
uzv,azo1w
uzvi,azo1wy
uzvî,azo1wy
uzviyet,azo1wbu2bo2
uzviyet,azo1wybo2
uzviyeyi,ao9zo1o0wyh||yy
uzvî'yi,azo1wy||yy
uzviyye,azo1wyh
uzviyye,azo1wyh||
uzviyyet,azo1wybo2
uzv-u,azo1wu4
uzvu,azo1wy
uzvuna,azo1wybo1h
uzv-u nafi̇',ao9zo1o0wu4 bo1o4efo1u4ao0
uzv-u nafi',ao9zo1o0wu4 bo1o4efo1u4ao0
uzv-u nâfi',ao9zo1o0wu4 bo1o4efo1u4ao0
uzvun,azo1wko3
uzvundaki,azo1wbo1dh||ky
uzvunu,azo1wybo1y
uzvunun,azo1wybo1ko3
uzza,ao9ro1o8o4e
ûd ağacı,awdeao1exu1y
ûd,awd
ûdi,awdy
ûdî,awdy
ûd (öd),awd
ûlâda,ewlo99y||dh
ûladaki,ewlo99y||dh||ky
ûlâdaki,ewlo99y||dh||ky
ûlâdan,ewlo99y||dbo1
ûlâdır,ewlo99y||dr
ûlâ,ewlo99y
ûlâ,ewly
ûlânın,ewlo99y||bo1ko3
ûlâsındakiler,ewlo99y||sbo1dh||kylr
ûlâya,ewlyo99||yh
ûla-yı,ewlo99yu4
ûlâyı,ewly||o99yy
ûlülazm,ewlw elato1m
ûlülebsâr,ewlw elebu1zer
ûlülemr,ewlw elemr
