
ç,xu3,چ
çağırdım,xu3eao1yrdm,چاغیردم
çağırdığı,xu3eao1yrdyao1y,چاغیردیغی
çağırdığın,xu3eao1yrdyao1ko3,چاغیردیغڭ
çağırdığını,xu3eao1yrdyao1bo1y,چاغیردیغنی
çağırdığınız,xu3eao1yrdyao1ko3ro1,چاغیردیغڭز
çağırma,xu3eao1rmh,چاغرمه
çağırma,xu3eao1rmh||,چاغرمه‌
çağırma,xu3eao1yrmh,چاغیرمه
çağırmak,xu3eao1rmfo2,چاغرمق
çağırmak,xu3eao1yrmfo2,چاغیرمق
çağırmakta,xu3eao1yrmfo2dh,چاغیرمقده
çağırmaktır,xu3eao1yrmfo2dr,چاغیرمقدر
çağırmaları,xu3eao1yrmelry,چاغیرمالری
çağırmam,xu3eao1yrmem,چاغیرمام
çağırmamak,xu3eao1yrmemfo2,چاغیرمامق
çağırmamıştır,xu3eao1yrmemso3dr,چاغیرمامشدر
çağırmasiyle,xu3eao1yrmesylh,چاغیرماسیله
çağırmasıyla,xu3eao1yrmesylh,چاغیرماسیله
çağırmaya,xu3eao1yrmao1h,چاغیرمغه
çağırmayan,xu3eao1yrmyebo1,چاغیرمیان
çağırmış,xu3eao1yrmso3,چاغیرمش
çağırmışlar,xu3eao1yrmso3lr,چاغیرمشلر
çağırsa,xu3eao1yrsh,چاغیرسه
çağırsam,xu3eao1yrsh||m,چاغیرسه‌م
çağırsın,xu3eao1yrsybo1,چاغیرسین
çağırt,xu3eao1rbo2,چاغرت
çağırtkan,xu3eao1rbo2fo2ebo1,چاغرتقان
çağırtma,xu3eao1rbo2mh,چاغرتمه
çağırtma,xu3eao1rbo2mh||,چاغرتمه‌
çağırtmak,xu3eao1rbo2mfo2,چاغرتمق
çağırılanları,xu3eao1yrylebo1lry,چاغیریلانلری
çağırıldıklarından,xu3eao1yryldfo2lrbo1dbo1,چاغیریلدقلرندن
çağırılmayarak,xu3eao1yrylmyh||rfo2,چاغیریلمیه‌رق
çağırılmıştır,xu3eao1yrylmso3dr,چاغیریلمشدر
çağırılsa,xu3eao1yrylsh,چاغیریلسه
çağırın,xu3eao1yrko3,چاغیرڭ
çağırınız,xu3eao1yryko3ro1,چاغیریڭز
çağırıp,xu3eao1yrwbu1,چاغیروب
çağırır,xu3eao1yrr,چاغیرر
çağırırım,xu3eao1yryrm,چاغیریرم
çağırırız,xu3eao1yrrro1,چاغیررز
çağırıvermek,xu3eao1rbu2wbu2rmk,چاغريويرمک
çağırıvermek,xu3eao1rywyrmk,چاغریویرمک
çağırıyor,xu3eao1yryywr,چاغیرییور
çağırıyorlar,xu3eao1yryywrlr,چاغیرییورلر
çağırıyorsun,xu3eao1yryywrsko3,چاغیرییورسڭ
çağırış,xu1eao1rso3,جاغرش
çağırış,xu3eao1rso3,چاغرش
çağırışma,xu3eao1rso3mh,چاغرشمه
çağırışma,xu3eao1rso3mh||,چاغرشمه‌
çağırışmak,xu3eao1rso3mfo2,چاغرشمق
çaşni (çeşni),xu3eso3bo1y,چاشنی
çaşni,xu3eso3bo1y,چاشنی
çaşnigir,xu3eso3bo1y ko7yr,چاشنی گیر
çaşt,xu3eso3bo2,چاشت
çe,xu3,چ
çeh,xu3h,چه
çeh,xu3h||,چه‌
çehar,xu3her,چهار
çehre,xu3hrh,چهره
çehre,xu3hrh||,چهره‌
çehrelerimize,xu3hrh||lrymro1h,چهره‌لریمزه
çehreli,xu3hrh<>ly,چهره‌لی
çehreli,xu3hrh||ly,چهره‌لی
çehreni,xu3hrh||ko3y,چهره‌ڭی
çehreperdaz,xu3hrh bu3rdero1,چهره پرداز
çehreperdâz,xu3hrh bu3rdero1,چهره پرداز
çehresi iyi olmak,xu3hrh sy ebu2wew,چهره سی ايواو
çehresi iyi olmak,xu3hrh sy eywew,چهره سی ایواو
çehresi,xu3hrh||sy,چهره‌سی
çehresini,xu3hrh||sbo1y,چهره‌سنی
çehresiyle,xu3hrh||sylh,چهره‌سیله
çehâr,xu3her,چهار
çek,xu3k,چک
çekaçak,xu3kexu3ek,چکاچاک
çekdir,xu3kdyr,چکدیر
çekdirme,xu3kdyrmh,چکدیرمه
çekdirme,xu3kdyrmh||,چکدیرمه‌
çekdirmek,xu3kdyrmk,چکدیرمک
çeke,xu3kh,چکه
çekebildi,xu3kh||bu1yldy,چکه‌بیلدی
çekebilir,xu3kh||bu1ylyr,چکه‌بیلیر
çekebilirim,xu3kh||bu1ylyrm,چکه‌بیلیرم
çekebilirsin,xu3kh||bu1ylyrsko3,چکه‌بیلیرسڭ
çekebilmek,xu3kh||bu1ylmk,چکه‌بیلمک
çekecek,xu3kh||xu1k,چکه‌جک
çekecekler,xu3kh||xu1klr,چکه‌جکلر
çekeceklerdi,xu3kh||xu1klrdy,چکه‌جکلردی
çekeceklerdir,xu3kh||xu1klrdr,چکه‌جکلردر
çekeceklerini,xu3kh||xu1klrybo1y,چکه‌جکلرینی
çekeceksin,xu3kh||xu1ksko3,چکه‌جکسڭ
çekeceksiniz,xu3kh||xu1ksko3ro1,چکه‌جکسڭز
çekecekti,xu3kh||xu1kdy,چکه‌جکدی
çekecektik,xu3kh||xu1kdk,چکه‌جکدک
çekecektir,xu3kh||xu1kdr,چکه‌جکدر
çekeceği,xu3kh||xu1ko7y,چکه‌جگی
çekeceğim,xu3kh||xu1ko7m,چکه‌جگم
çekeceğinizi,xu3kh||xu1ko7ko3ro1y,چکه‌جگڭزی
çekeme,xu3kh<>mh<>,چکه‌مه‌
çekemedi,xu3kh||mdy,چکه‌مدی
çekemedikleri,xu3kh||mdklry,چکه‌مدکلری
çekemediler,xu3kh||mdylr,چکه‌مدیلر
çekemem,xu3kh||mm,چکه‌مم
çekememek,xu3kh<>mh<>mk,چکه‌مه‌مک
çekememek,xu3kh||mh||mk,چکه‌مه‌مک
çekememezlik,xu3kh<>mh<>mro1lk,چکه‌مه‌مزلک
çekememezlik,xu3kh||mh||mro1lk,چکه‌مه‌مزلک
çekememiştir,xu3kh||mh||mso3dr,چکه‌مه‌مشدر
çekemeyen,xu3kh||mh||ybo1,چکه‌مه‌ین
çekemeyerek,xu3kh||myh||rk,چکه‌میه‌رک
çekemez,xu3kh||mro1,چکه‌مز
çekemezsin,xu3kh||mro1sko3,چکه‌مزسڭ
çeken,xu3kbo1,چکن
çekenler,xu3kbo1lr,چکنلر
çekenlere,xu3kbo1lrh,چکنلره
çeker,xu3kr,چکر
çekerdi,xu3krdy,چکردی
çekerdim,xu3krdm,چکردم
çekerek,xu3kh||rk,چکه‌رک
çekerim,xu3kh||rm,چکه‌رم
çekeriz,xu3krro1,چکرز
çekerken,xu3krkbo1,چکرکن
çekerler,xu3krlr,چکرلر
çekersin,xu3krsko3,چکرسڭ
çekesin,xu3kh||sko3,چکه‌سڭ
çeki,xu3ky,چکی
çekici,xu3kbu2xu1y,چکيجی
çekici,xu3kyxu1y,چکیجی
çekiciyle,xu3kyxu1ylh,چکیجیله
çekide,xu3kydh||,چکیده‌
çekidüzen,xu3ky<>dwro1h<>bo1,چکی‌دوزه‌ن
çekidüzen,xu3ky||dwro1h||bo1,چکی‌دوزه‌ن
çekik,xu3kyk,چکیک
çekil,xu3kyl,چکیل
çekildi,xu3kyldy,چکیلدی
çekildik,xu3kyldk,چکیلدک
çekildikte,xu3kyldkdh,چکیلدکده
çekildikten,xu3kyldkdbo1,چکیلدکدن
çekildikçe,xu3kyldkxu1h,چکیلدکجه
çekildiler,xu3kyldylr,چکیلدیلر
çekildim,xu3kyldm,چکیلدم
çekildin,xu3kyldko3,چکیلدڭ
çekildiği,xu3kyldyko7y,چکیلدیگی
çekildiğim,xu3kyldyko7m,چکیلدیگم
çekildiğimden,xu3kyldyko7mdbo1,چکیلدیگمدن
çekildiğimi,xu3kyldyko7my,چکیلدیگمی
çekilecek,xu3kylh||xu1k,چکیله‌جک
çekileceksin,xu3kylh||xu1ksko3,چکیله‌جکسڭ
çekilecektir,xu3kylh||xu1kdr,چکیله‌جکدر
çekileceğini,xu3kylh||xu1ko7bo1y,چکیله‌جگنی
çekilemediği,xu3kylh||mdyko7y,چکیله‌مدیگی
çekilemez,xu3kylh||mro1,چکیله‌مز
çekilen,xu3kylbo1,چکیلن
çekilenler,xu3kylbo1lr,چکیلنلر
çekilerek,xu3kylh||rk,چکیله‌رک
çekileyim,xu3kylh||ym,چکیله‌یم
çekiliniz,xu3kylko3ro1,چکیلڭز
çekilip yer vermek,xu3klwbu1 bu2rwbu2rmk,چکلوب يرويرمک
çekilip yer vermek,xu3klwbu1 yrwyrmk,چکلوب یرویرمک
çekilip,xu3kylwbu1,چکیلوب
çekilir,xu3klwr,چکلور
çekilir,xu3kylyr,چکیلیر
çekilirken,xu3kylyrkbo1,چکیلیرکن
çekilirler,xu3kylyrlr,چکیلیرلر
çekiliyor,xu3kylyywr,چکیلییور
çekiliyorlar,xu3kylyywrlr,چکیلییورلر
çekiliş,xu3klso3,چکلش
çekilme,xu3kylmh,چکیلمه
çekilmedim,xu3kylmh||dm,چکیلمه‌دم
çekilmek,xu3klmk,چکلمک
çekilmek,xu3kylmk,چکیلمک
çekilmekle,xu3kylmklh,چکیلمکله
çekilmekte,xu3kylmkdh,چکیلمکده
çekilmekten,xu3kylmkdbo1,چکیلمکدن
çekilmeleri,xu3kylmh||lry,چکیلمه‌لری
çekilmem,xu3kylmh||m,چکیلمه‌م
çekilmemeleri,xu3kylmh||mlry,چکیلمه‌ملری
çekilmemesi,xu3kylmh||msy,چکیلمه‌مسی
çekilmemiş,xu3kylmh||mso3,چکیلمه‌مش
çekilmesi,xu3kylmh||sy,چکیلمه‌سی
çekilmesine,xu3kylmh||sbo1h,چکیلمه‌سنه
çekilmesiyle,xu3kylmh||sylh,چکیلمه‌سیله
çekilmeye,xu3kylmko7h,چکیلمگه
çekilmeyeceğim,xu3kylmyh||xu1ko7m,چکیلمیه‌جگم
çekilmeyeceğine,xu3kylmyh||xu1ko7bo1h,چکیلمیه‌جگنه
çekilmeyen,xu3kylmh||ybo1,چکیلمه‌ین
çekilmeyi,xu3kylmko7y,چکیلمگی
çekilmez,xu3klmro1,چکلمز
çekilmez,xu3kylmro1,چکیلمز
çekilmezdim,xu3kylmro1dm,چکیلمزدم
çekilmeğe,xu3kylmko7h,چکیلمگه
çekilmiş,xu3klmso3,چکلمش
çekilmiş,xu3kylmso3,چکیلمش
çekilmişim,xu3kylmso3m,چکیلمشم
çekilmişti,xu3kylmso3dy,چکیلمشدی
çekilse,xu3kylsh,چکیلسه
çekilseler,xu3kylsh||lr,چکیلسه‌لر
çekilsem,xu3kylsh||m,چکیلسه‌م
çekilsin,xu3kylsybo1,چکیلسین
çekim,xu3kbu2m,چکيم
çekim,xu3kym,چکیم
çekin,xu3kko3,چکڭ
çekin,xu3kybo1,چکین
çekince,xu3kybo1xu1h,چکینجه
çekindik,xu3kbo1dk,چکندک
çekindik,xu3kybo1dk,چکیندک
çekindikleri,xu3kybo1dklry,چکیندکلری
çekindiler,xu3kybo1dylr,چکیندیلر
çekindim,xu3kybo1dm,چکیندم
çekindirir,xu3kybo1dyrr,چکیندیرر
çekindirmeye,xu3kybo1dyrmko7h,چکیندیرمگه
çekindirmeğe,xu3kybo1dyrmko7h,چکیندیرمگه
çekindiği,xu3kybo1dyko7y,چکیندیگی
çekindiğimi,xu3kybo1dyko7my,چکیندیگمی
çekindiğin,xu3kybo1dyko7ko3,چکیندیگڭ
çekindiğiniz,xu3kybo1dyko7ko3ro1,چکیندیگڭز
çekinen,xu3kybo1bo1,چکینن
çekinerek,xu3kbo1h rk,چکنه رک
çekingenliklerini,xu3kybo1ko7bo1lklrybo1y,چکینگنلکلرینی
çekingenliği,xu3kybo1ko7bo1lko7y,چکینگنلگی
çekinici,xu3kbo1bu2xu1y,چکنيجی
çekinici,xu3kbo1yxu1y,چکنیجی
çekininiz,xu3kybo1ko3ro1,چکینڭز
çekinip,xu3kybo1wbu1,چکینوب
çekinir,xu3kybo1yr,چکینیر
çekinirken,xu3kybo1yrkbo1,چکینیرکن
çekinirler,xu3kybo1yrlr,چکینیرلر
çekiniyor,xu3kybo1ywr,چکینیور
çekiniyordu,xu3kybo1yywrdy,چکینییوردی
çekiniyordum,xu3ko7ybo1yywrdm,چگینییوردم
çekiniyorlar,xu3kybo1ywrlr,چکینیورلر
çekiniyorsun,xu3kybo1ywrsko3,چکینیورسڭ
çekiniyorsunuz,xu3kybo1ywrsko3ro1,چکینیورسڭز
çekiniyorum,xu3kybo1ywrm,چکینیورم
çekinmeden,xu3kybo1mh||dbo1,چکینمه‌دن
çekinmediler,xu3kybo1mdylr,چکینمدیلر
çekinmediği,xu3kybo1mdyko7y,چکینمدیگی
çekinmediğini,xu3kybo1mdyko7bo1y,چکینمدیگنی
çekinmek,xu3kbo1mk,چکنمک
çekinmek,xu3kybo1mk,چکینمک
çekinmekle,xu3kybo1mklh,چکینمکله
çekinmekten,xu3kybo1mkdbo1,چکینمکدن
çekinmeleri,xu3kybo1mh||lry,چکینمه‌لری
çekinmeli,xu3kybo1mly,چکینملی
çekinmelisiniz,xu3kybo1mlysko3ro1,چکینملیسڭز
çekinmem,xu3kybo1mm,چکینمم
çekinmemek,xu3kybo1mh||mk,چکینمه‌مک
çekinmemeli,xu3kybo1mh||mly,چکینمه‌ملی
çekinmemiştir,xu3kybo1mh||mso3dr,چکینمه‌مشدر
çekinmesinden,xu3kybo1mh||sbo1dbo1,چکینمه‌سندن
çekinmeye,xu3kybo1mko7h,چکینمگه
çekinmeyen,xu3kybo1mh||ybo1,چکینمه‌ین
çekinmeyerek,xu3kybo1myh||rk,چکینمیه‌رک
çekinmeyi,xu3kybo1mko7y,چکینمگی
çekinmeyiniz,xu3kybo1mh||yko3ro1,چکینمه‌یڭز
çekinmez,xu3kybo1mro1,چکینمز
çekinmeğe,xu3kybo1mko7h,چکینمگه
çekinmiyerek,xu3kybo1myh||rk,چکینمیه‌رک
çekinmiyordu,xu3kybo1myywrdy,چکینمییوردی
çekinmiyorlar,xu3kybo1myywrlr,چکینمییورلر
çekinmiyorum,xu3kybo1myywrm,چکینمییورم
çekinmiş,xu3kybo1mso3,چکینمش
çekinmişim,xu3kybo1mso3m,چکینمشم
çekip götürmek,xu3kwbu1 kwbo2rmk,چکوب کوترمک
çekip,xu3kwbu1,چکوب
çekirdek,xu3krdk,چکردک
çekirdek,xu3kyrdk,چکیردک
çekirdek-i,xu3krdku4,چکردکِ
çekirdek-misal,xu3krdk||mbo3el,چکردک‌مثال
çekirdekle,xu3krdklh,چکردکله
çekirdeklen,xu3kyrd<>klh<>bo1,چکیرد‌کله‌ن
çekirdeklenmek,xu3kyrd<>klh<>bo1mk,چکیرد‌کله‌نمک
çekirdeklenmek,xu3kyrd||klh||bo1mk,چکیرد‌کله‌نمک
çekirdekler,xu3krdklr,چکردکلر
çekirdeklerde,xu3krdklrdh,چکردکلرده
çekirdeklerden,xu3krdklrdbo1,چکردکلردن
çekirdeklerdir,xu3krdklrdr,چکردکلردر
çekirdeklere,xu3krdklrh,چکردکلره
çekirdekleri,xu3krdklry,چکردکلری
çekirdekleridir,xu3krdklrydr,چکردکلریدر
çekirdekleridirler,xu3krdklrydrlr,چکردکلریدرلر
çekirdeklerin,xu3krdklrko3,چکردکلرڭ
çekirdeklerinde,xu3krdklrbo1dh,چکردکلرنده
çekirdeklerine,xu3krdklrybo1h,چکردکلرینه
çekirdeklerini çıkarmak,xu3krdklrbu2bo1y xu3bu2fo2ermfo2,چکردکلرينی چيقارمق
çekirdeklerini çıkarmak,xu3krdklrybo1y xu3yfo2ermfo2,چکردکلرینی چیقارمق
çekirdeklerini,xu3krdklrybo1y,چکردکلرینی
çekirdeklerinin çıkarılması,xu3krdklrbu2bo1k xu3bu2fo2erlmsy,چکردکلرينک چيقارلمسی
çekirdeklerinin çıkarılması,xu3krdklrybo1k xu3yfo2erlmsy,چکردکلرینک چیقارلمسی
çekirdeklerinin,xu3krdklrybo1ko3,چکردکلرینڭ
çekirdekleriyle,xu3krdklrylh,چکردکلریله
çekirdekli,xu3krdkly,چکردکلی
çekirdekli,xu3kyrd<>kly,چکیرد‌کلی
çekirdekli,xu3kyrd||kly,چکیرد‌کلی
çekirdeksiz,xu3kyrdksro1,چکیردکسز
çekirdekte,xu3krdkdh,چکردکده
çekirdekteki,xu3krdkdh||ky,چکردکده‌کی
çekirdekten,xu3krdkdbo1,چکردکدن
çekirdektim,xu3krdkdm,چکردکدم
çekirdektir,xu3krdkdr,چکردکدر
çekirdeğe,xu3krdko7h,چکردگه
çekirdeği,xu3krdko7y,چکردگی
çekirdeğidir,xu3krdko7ydr,چکردگیدر
çekirdeğin,xu3krdko7ko3,چکردگڭ
çekirdeğinde,xu3krdko7bo1dh,چکردگنده
çekirdeğinden,xu3krdko7bo1dbo1,چکردگندن
çekirdeğine,xu3krdko7bo1h,چکردگنه
çekirdeğini,xu3krdko7bo1y,چکردگنی
çekirdeğinin,xu3krdko7bo1ko3,چکردگنڭ
çekirdeğisin,xu3krdko7ysko3,چکردگیسڭ
çekirdeğiyle,xu3krdko7ylh,چکردگیله
çekirge,xu3kr kh,چکر که
çekirge,xu3kr kh||,چکر که‌
çekirge,xu3krkh,چکرکه
çekirge,xu3krkh||,چکرکه‌
çekirge,xu3krko7h,چکرگه
çekirge,xu3kyr<>kh||,چکیر‌که‌
çekirge,xu3kyr||kh,چکیر‌که
çekirgeden,xu3krko7h||dbo1,چکرگه‌دن
çekirgeler,xu3krko7h||lr,چکرگه‌لر
çekirgeleri,xu3krko7h||lry,چکرگه‌لری
çekirgeyi,xu3krko7h||yy,چکرگه‌یی
çekitaşı,xu3ky<>teso3y,چکی‌طاشی
çekitaşı,xu3ky||teso3y,چکی‌طاشی
çekiyor,xu3kyywr,چکییور
çekiyordu,xu3kyywrdy,چکییوردی
çekiyorduk,xu3kyywrdfo2,چکییوردق
çekiyordum,xu3kyywrdm,چکییوردم
çekiyorlar,xu3kyywrlr,چکییورلر
çekiyorsun,xu3kyywrsko3,چکییورسڭ
çekiyorsunuz,xu3kyywrsko3ro1,چکییورسڭز
çekiyorum,xu3kyywrm,چکییورم
çekiyoruz,xu3kyywrro1,چکییورز
çekiç,xu3kxu1,چکج
çekiç,xu3kyxu1,چکیج
çekiç,xu3kyxu3,چکیچ
çekiçhane,xu3kyxu3xo1ebo1h||,چکیچخانه‌
çekiçhâne,xu3kyxu3xo1ebo1h,چکیچخانه
çekiçle,xu3kyxu1lh,چکیجله
çekiçsiz,xu3kyxu1sro1,چکیجسز
çekiş,xu3kso3,چکش
çekiş,xu3kyso3,چکیش
çekişdir,xu3kyso3dyr,چکیشدیر
çekişdirmek,xu3kyso3dyrmk,چکیشدیرمک
çekişiyorlar,xu3kyso3yywrlr,چکیشییورلر
çekişme,xu3kso3mh,چکشمه
çekişme,xu3kso3mh||,چکشمه‌
çekişmek,xu3kso3mk,چکشمک
çekişmek,xu3kyso3mk,چکیشمک
çekme,xu3kmh,چکمه
çekme,xu3kmh||,چکمه‌
çekmece,xu3kmxu1h,چکمجه
çekmece,xu3kmxu1h||,چکمجه‌
çekmeden,xu3kmh||dbo1,چکمه‌دن
çekmedik,xu3kmdk,چکمدک
çekmedikleri,xu3kmdklry,چکمدکلری
çekmediği,xu3kmh||dyko7y,چکمه‌دیگی
çekmediğim,xu3kmh||dyko7m,چکمه‌دیگم
çekmek,xu3kmk,چکمک
çekmekle,xu3kmklh,چکمکله
çekmekliğim,xu3kmklko7m,چکمکلگم
çekmekte,xu3kmkdh,چکمکده
çekmektedir,xu3kmkdh||dr,چکمکده‌در
çekmekten,xu3kmkdbo1,چکمکدن
çekmekti,xu3kmkdy,چکمکدی
çekmektir,xu3kmkdr,چکمکدر
çekmeleri,xu3kmh||lry,چکمه‌لری
çekmelerinde,xu3kmh||lrbo1dh,چکمه‌لرنده
çekmem,xu3kmm,چکمم
çekmemek,xu3kmh||mk,چکمه‌مک
çekmemesi,xu3kmh||msy,چکمه‌مسی
çekmemiştim,xu3kmh||mso3dm,چکمه‌مشدم
çekmeseydi,xu3kmsh||ydy,چکمسه‌یدی
çekmesi,xu3kmh||sy,چکمه‌سی
çekmesin,xu3kmh||sybo1,چکمه‌سین
çekmesinden,xu3kmh||sbo1dbo1,چکمه‌سندن
çekmesine,xu3kmh||sbo1h,چکمه‌سنه
çekmesini,xu3kmh||sbo1y,چکمه‌سنی
çekmesinler,xu3kmh||sybo1lr,چکمه‌سینلر
çekmesiyle,xu3kmh||sylh,چکمه‌سیله
çekmeye,xu3kmko7h,چکمگه
çekmeyecek,xu3kmyh||xu1k,چکمیه‌جک
çekmeyeceksin,xu3kmyh||xu1ksko3,چکمیه‌جکسڭ
çekmeyi,xu3kmh||yy,چکمه‌یی
çekmeyiniz,xu3kmh||yko3ro1,چکمه‌یڭز
çekmez,xu3kmro1,چکمز
çekmezdi,xu3kmro1dy,چکمزدی
çekmezdim,xu3kmro1dm,چکمزدم
çekmezler,xu3kmro1lr,چکمزلر
çekmeğe,xu3kmko7h,چکمگه
çekmiyor,xu3kmyywr,چکمییور
çekmiyorum,xu3kmyywrm,چکمییورم
çekmiyoruz,xu3kmyywrro1,چکمییورز
çekmiş,xu3kmso3,چکمش
çekmişler,xu3kmso3lr,چکمشلر
çekmişlerdir,xu3kmso3lrdr,چکمشلردر
çekmişti,xu3kmso3dy,چکمشدی
çekmiştir,xu3kmso3dr,چکمشدر
çekse,xu3ksh,چکسه
çeksek,xu3ksh||k,چکسه‌ک
çeksem,xu3ksh||m,چکسه‌م
çeksen,xu3ksh||ko3,چکسه‌ڭ
çekseydiniz,xu3ksydyko3ro1,چکسیدیڭز
çeksin,xu3ksybo1,چکسین
çeksinler,xu3ksybo1lr,چکسینلر
çekti,xu3kdy,چکدی
çektik,xu3kdk,چکدک
çektikleri,xu3kdklry,چکدکلری
çektiklerini,xu3kdklrybo1y,چکدکلرینی
çektikten,xu3kdkdbo1,چکدکدن
çektil,xu3bo1bo2yl,چنتیل
çektiler,xu3kdylr,چکدیلر
çektilmek,xu3bo1bo2ylmk,چنتیلمک
çektim,xu3kdm,چکدم
çektimse,xu3kdmsh,چکدمسه
çektin,xu3kdko3,چکدڭ
çektirdi,xu3kdyrdy,چکدیردی
çektirdikleri,xu3kdyrdklry,چکدیردکلری
çektirdiler,xu3kdyrdylr,چکدیردیلر
çektirdiniz,xu3kdyrdyko3ro1,چکدیردیڭز
çektirdiğini,xu3kdyrdyko7bo1y,چکدیردیگنی
çektirecek,xu3kdyrh||xu1k,چکدیره‌جک
çektirecekti,xu3kdyrh||xu1kdy,چکدیره‌جکدی
çektireceğini,xu3kdyrh||xu1ko7bo1y,چکدیره‌جگنی
çektiren,xu3kdyrbo1,چکدیرن
çektirildiği,xu3kdyryldyko7y,چکدیریلدیگی
çektiriliyor,xu3kdyrylyywr,چکدیریلییور
çektiriliyordu,xu3kdyrylyywrdy,چکدیریلییوردی
çektirilmesi,xu3kdyrlmsy,چکدیرلمسی
çektirilmiştir,xu3kdyrylmso3dr,چکدیریلمشدر
çektirilse,xu3kdyrylsh,چکدیریلسه
çektirir,xu3kdyrr,چکدیرر
çektiriyor,xu3kdyryywr,چکدیرییور
çektiriyorlar,xu3kdyryywrlr,چکدیرییورلر
çektiriyorsun,xu3kdyryywrsko3,چکدیرییورسڭ
çektirme,xu3kdyrmh,چکدیرمه
çektirmediler,xu3kdyrmh||dylr,چکدیرمه‌دیلر
çektirmediğini,xu3kdyrmdyko7bo1y,چکدیرمدیگنی
çektirmek,xu3kdyrmk,چکدیرمک
çektirmemiş,xu3kdyrmh||mso3,چکدیرمه‌مش
çektirmişken,xu3kdyrmso3kbo1,چکدیرمشکن
çektiysem,xu3kdysh||m,چکدیسه‌م
çektiği,xu3kdyko7y,چکدیگی
çektiğim,xu3kdyko7m,چکدیگم
çektiğimden,xu3kdyko7mdbo1,چکدیگمدن
çektiğime,xu3kdyko7mh,چکدیگمه
çektiğimiz,xu3kdyko7mro1,چکدیگمز
çektiğimizden,xu3kdyko7mro1dbo1,چکدیگمزدن
çektiğin,xu3kdyko7ko3,چکدیگڭ
çektiğinden,xu3kdyko7bo1dbo1,چکدیگندن
çektiğini,xu3kdyko7bo1y,چکدیگنی
çektiğinize,xu3kdyko7ko3ro1h,چکدیگڭزه
çekuç,xu3kwxu3,چکوچ
çekâçâk,xu3kexu3ek,چکاچاک
çekîde,xu3kbu2dh,چکيده
çekûç,xu3kwxu3,چکوچ
çel,xu3l,چل
çelebi'nin,xu3lbu1ybo1ko3,چلبینڭ
çelebi,xu3lbu1y,چلبی
çelebilik,xu3lbu1bu2lk,چلبيلک
çelebilik,xu3lbu1ylk,چلبیلک
çelenk,xu3lbo1k,چلنک
çeleçepe,xu3lh||xu3bu3h,چله‌چپه
çelik gibi sert etmek,xu3lk kbu1y srbo2 e,چلک کبی سرت ا
çelik kesilmek,xu3lk kslmk,چلک کسلمک
çelik,xu3lk,چلک
çelik,xu3lyk,چلیک
çelikaşısı,xu3lyk eo6so3ysy,چلیک آشیسی
çelikle,xu3lyklh,چلیکله
çelikten,xu3lykdbo1,چلیکدن
çelikçomak,xu3lyk xu3wmefo2,چلیک چوماق
çelim,xu3lym,چلیم
çelimli,xu3lymly,چلیملی
çelimsiz,xu3lymsro1,چلیمسز
çelimsizlik,xu3lymsro1lk,چلیمسزلک
çelipa,xu3lybu3e,چلیپا
çelkezî,xu3lkro1y,چلکزی
çelme,xu3lmh,چلمه
çelme,xu3lmh||,چلمه‌
çelmek,xu3lmk,چلمک
çeltik,xu3lbo2yk,چلتیک
çelîpâ,xu3lbu2bu3e,چليپا
çem,xu3m,چم
çember,xu3bo1bu1r,چنبر
çemberle,xu3bo1bu1r<>lh<>,چنبر‌له‌
çemberlemek,xu3bo1bu1r<>lh<>mk,چنبر‌له‌مک
çemberlemek,xu3bo1bu1r||lh||mk,چنبر‌له‌مک
çemberli,xu3bo1bu1rly,چنبرلی
çemen,xu3mbo1,چمن
çemenzar,xu3mbo1ro1er,چمنزار
çemenzâr,xu3mbo1ro1er,چمنزار
çemişgezek,xu3mso3kro1k,چمشکزک
çenar,xu3bo1er,چنار
çenber,xu3bo1bu1r,چنبر
çend,xu3bo1d,چند
çendan,xu3bo1debo1,چندان
çendan,xu3o4bo1o0do4ebo1o0,چَنْدَانْ
çendin,xu3bo1dybo1,چندین
çene yarışı etmek,xu3klh bu2erso3y e,چکله يارشی ا
çene yarışı etmek,xu3klh yerso3y e,چکله یارشی ا
çene,xu3kh,چکه
çene,xu3kh||,چکه‌
çene,xu3ko3h,چڭه
çene,xu3lo5o3h||,چكه‌
çenealtı,xu3ko3h||eo6lbo2y,چڭه‌آلتی
çenealtı,xu3lo5o3h<>eo6lbo2y,چكه‌آلتی
çenebaz,xu3ko3h||bu1ero1,چڭه‌باز
çenebaz,xu3lo5o3h<>bu1ero1,چكه‌باز
çenekemiği,xu3ko3h||kmyko7y,چڭه‌کمیگی
çenekemiği,xu3lo5o3h<>kmyko7y,چكه‌کمیگی
çeng,xu3bo1ko7,چنگ
çengal,xu3bo1ko7el,چنگال
çengel,xu3bo1kl,چنکل
çengel,xu3bo1ko7l,چنگل
çengelcikleri,xu3bo1ko7lxu1klry,چنگلجکلری
çengelistan,xu3bo1klsbo2ebo1,چنکلستان
çengelle,xu3bo1ko7llh<>,چنگلله‌
çengellemek,xu3bo1ko7llh<>mk,چنگلله‌مک
çengellemek,xu3bo1ko7llh||mk,چنگلله‌مک
çengelli,xu3bo1ko7lly,چنگللی
çengelsakızı,xu3bo1ko7l sefo2yro1y,چنگل ساقیزی
çengi,xu3bo1ko7y,چنگی
çengâl,xu3bo1ko7el,چنگال
çengî,xu3bo1ko7y,چنگی
çenk,xu3bo1k,چنک
çent,xu3bo1bo2,چنت
