
o aralık,ewl erelfo2,اول ارالق
oluvermek,ewlywyrmk,اولیویرمک
oluyor,ewlwywr,اولویور
oluyordu,ewlwywrdy,اولویوردی
oluyorduk,ewlwywrdfo2,اولویوردق
oluyordular,ewlwywrdylr,اولویوردیلر
oluyordum,ewlwywrdm,اولویوردم
oluyordun,ewlwywrdko3,اولویوردڭ
oluyorlar,ewlwywrlr,اولویورلر
oluyorlardı,ewlwywrlrdy,اولویورلردی
oluyorsa,ewlwywrsh,اولویورسه
oluyorsan,ewlwywrsh||ko3,اولویورسه‌ڭ
oluyorsun,ewlwywrsko3,اولویورسڭ
oluyorsunuz,ewlwywrsko3ro1,اولویورسڭز
oluyorum,ewlwywrm,اولویورم
oluyoruz,ewlwywrro1,اولویورز
oluşu,ewlwso3y,اولوشی
oluşudur,ewlwso3ydr,اولوشیدر
oluşun,ewlwso3ko3,اولوشڭ
oluşundan,ewlwso3bo1dbo1,اولوشندن
oluşunun,ewlwso3bo1ko3,اولوشنڭ
oluşunuza,ewlwso3ko3ro1h,اولوشڭزه
oluşunuzu,ewlwso3ko3ro1y,اولوشڭزی
oluşunuzun,ewlwso3ko3ro1ko3,اولوشڭزڭ
omlet,ewmlh<>bo2,اومله‌ت
omlet,ewmlh||bo2,اومله‌ت
omnibüs,ewmbo1bu2bu1ws,اومنيبوس
omnibüs,ewmbo1ybu1ws,اومنیبوس
omurga,ewkrao1h,اوکرغه
omurga,ewkrao1h||,اوکرغه‌
omurga,ewmwrao1h,اومورغه
omurga,ewmwrao1h||,اومورغه‌
omuz,ewmwro1,اوموز
omuz-omuza,ewmwro1 ewmwro1h,اوموز اوموزه
omuza,ewmwro1h,اوموزه
omuzadır,ewmwro1h||dr,اوموزه‌در
omuzadırlar,ewmwro1h||drlr,اوموزه‌درلر
omuzla,ewmwro1le,اوموزلا
omuzlamak,ewmwro1lemfo2,اوموزلامق
omuzlamak,ewmwro1lmfo2,اوموزلمق
omuzlar,ewmwro1lr,اوموزلر
omuzlara,ewmwro1lrh,اوموزلره
omuzları,ewmwro1lry,اوموزلری
omuzlarına,ewmwro1lrybo1h,اوموزلرینه
omuzlarında,ewmwro1lrbo1dh,اوموزلرنده
omuzlarındaki,ewmwro1lrbo1dh||ky,اوموزلرنده‌کی
omuzlarınız,ewmwro1lryko3ro1,اوموزلریڭز
omuzlarınıza,ewmwro1lryko3ro1h,اوموزلریڭزه
omuzluk,ewmwro1lfo2,اوموزلق
omuzu,ewmwro1y,اوموزی
omuzum,ewmwro1m,اوموزم
omuzuma,ewmwro1ymh,اوموزیمه
omuzumuza,ewmwro1ymro1h,اوموزیمزه
omuzumuzdaki,ewmwro1ymro1dh||ky,اوموزیمزده‌کی
omuzuna,ewmwro1ybo1h,اوموزینه
omuzunda,ewmwro1bo1dh,اوموزنده
omuzundadır,ewmwro1bo1dh||dr,اوموزنده‌در
omuzundaki,ewmwro1bo1dh||ky,اوموزنده‌کی
omuzunuza,ewmwro1yko3ro1h,اوموزیڭزه
omzuna almak,ewmwro1bu2bo1h elmfo2,اوموزينه المق
omzuna almak,ewmwro1ybo1h elmfo2,اوموزینه المق
omzuna vurmak,ewmwro1bu2bo1h ewrmfo2,اوموزينه اورمق
omzuna vurmak,ewmwro1ybo1h ewrmfo2,اوموزینه اورمق
on altı,ewbo1 elbo2y,اون التی
on beş,ewbo1 bu1so3,اون بش
on bir,ewbo1 bu1r,اون بر
on demet takımı,ewbo1 dmbo2 tefo2my,اون دمت طاقمی
on dirhemlik tartı,ewbo1 drhmlk terbo2y,اون درهملک طارتی
on dokuz,ewbo1 tfo2wro1,اون طقوز
on dört,ewbo1 drbo2,اون درت
on iki düzine,ewbo1 ebu2ky dwro1bu2bo1h,اون ايکی دوزينه
on iki düzine,ewbo1 eyky dwro1ybo1h||,اون ایکی دوزینه‌
on iki,ewbo1 ebu2ky,اون ايکی
on iki,ewbo1 eyky,اون ایکی
on sekiz,ewbo1skro1,اونسکز
on yedi,ewbo1 bu2dy,اون يدی
on yedi,ewbo1 ydy,اون یدی
on üç,ewbo1 ewxu3,اون اوچ
on'dan,ewbo1dbo1,اوندن
on,ewbo1,اون
on-onbeş,ewbo1 ewbo1bu1so3,اون اونبش
on-onbeş-yirmi,ewbo1 ewbo1bu1so3 yko7rmy,اون اونبش یگرمی
on-yirmi,ewbo1 yko7rmy,اون یگرمی
ona doğru,eketwao1ry,اکاطوغری
ona göre,ekekwrh,اکاکوره
ona göre,ekekwrh||,اکاکوره‌
ona rağmen,ekerao1meo44,اکارغماً
ona,eke,اکا
ona,ewko3e,اوڭا
ona,ewlo5o3e,اوكا
onadır,ewko3edr,اوڭادر
onaltı'yı,ewbo1 eo6lbo2y||yy,اون آلتی‌یی
onaltı,ewbo1 eo6lbo2y,اون آلتی
onaltı-onyedi,ewbo1 eo6lbo2yewbo1 ydy,اون آلتیاون یدی
onaltıdır,ewbo1 eo6lbo2ydr,اون آلتیدر
onaltıncı,ewbo1 eo6lbo2bo1xu1y,اون آلتنجی
onaltıncıda,ewbo1 eo6lbo2bo1xu1ydh,اون آلتنجیده
onaltıncısı,ewbo1 eo6lbo2bo1xu1ysy,اون آلتنجیسی
onaltısının,ewbo1 eo6lbo2ysbo1ko3,اون آلتیسنڭ
onar,ewbo1r,اونر
onar,ewlo5o3er,اوكار
onarmak,ewko3ermfo2,اوڭارمق
onarmak,ewlo5o3ermfo2,اوكارمق
onbaşı,ewbo1bu1eso3y,اونباشی
onbaşıları,ewbo1bu1eso3ylry,اونباشیلری
onbaşılıkta,ewbo1bu1eso3ylfo2dh,اونباشیلقده
onbaşılıktan,ewbo1bu1eso3ylfo2dbo1,اونباشیلقدن
onbaşından,ewbo1bu1eso3ko3dbo1,اونباشڭدن
onbaşısiyle,ewbo1bu1eso3ysylh,اونباشیسیله
onbaşısına,ewbo1bu1eso3ysbo1h,اونباشیسنه
onbaşısını,ewbo1bu1eso3ysbo1y,اونباشیسنی
onbaşısının,ewbo1bu1eso3ysbo1ko3,اونباشیسنڭ
onbaşısıyla,ewbo1bu1eso3ysylh,اونباشیسیله
onbaşıya,ewbo1bu1eso3y||yh,اونباشی‌یه
onbeş,ewbo1 bu1so3,اون بش
onbeş-onaltı,ewbo1 bu1so3 ewbo1 eo6lbo2y,اون بش اون آلتی
onbeş-yirmi,ewbo1 bu1so3 yko7rmy,اون بش یگرمی
onbeş-yirmişer,ewbo1 bu1so3  yko7rmyso3r,اون بش  یگرمیشر
onbeşden,ewbo1 bu1so3dbo1,اون بشدن
onbeşe,ewbo1 bu1so3h,اون بشه
onbeşi,ewbo1 bu1so3y,اون بشی
onbeşinci,ewbo1 bu1so3bo1xu1y,اون بشنجی
onbeşincide,ewbo1 bu1so3bo1xu1ydh,اون بشنجیده
onbeşincisi,ewbo1 bu1so3bo1xu1ysy,اون بشنجیسی
onbeşinden,ewbo1 bu1so3bo1dbo1,اون بشندن
onbeşine,ewbo1 bu1so3bo1h,اون بشنه
onbeşini,ewbo1 bu1so3bo1y,اون بشنی
onbeşten,ewbo1 bu1so3dbo1,اون بشدن
onbin,ewbo1 bu1yko3,اون بیڭ
onbinler,ewbo1 bu1yko3lr,اون بیڭلر
onbir,ewbo1 bu1r,اون بر
onbirdir,ewbo1 bu1rdr,اون بردر
onbirer,ewbo1 bu1rr,اون برر
onbirinci,ewbo1 bu1rbo1xu1y,اون برنجی
onbirincide,ewbo1 bu1rbo1xu1ydh,اون برنجیده
onbirincisi,ewbo1 bu1rbo1xu1ysy,اون برنجیسی
onbirine,ewbo1 bu1rybo1h,اون برینه
onda,ebo1dh,انده
onda,ebo1dh||,انده‌
onda,ewbo1dh,اونده
ondadır,ewbo1dh||dr,اونده‌در
ondaki,ewbo1dh||ky,اونده‌کی
ondalık,ewbo1dh lfo2,اونده لق
ondalık,ewbo1dh<>lfo2,اونده‌لق
ondalık,ewbo1dh||lfo2,اونده‌لق
ondan başka,ebo1dbo1 bu1so3fo2h,اندن بشقه
ondan başka,ebo1dbo1 bu1so3fo2h||,اندن بشقه‌
ondan sonra,ebo1dbo1zkrh,اندنصکره
ondan sonra,ebo1dbo1zkrh||,اندنصکره‌
ondan,ebo1dbo1,اندن
ondan,ewbo1dbo1,اوندن
ondandır,ewbo1dbo1dr,اوندندر
ondokuz,ewbo1 twfo2wro1,اون طوقوز
ondokuza,ewbo1 twfo2wro1h,اون طوقوزه
ondokuzbin,ewbo1 twfo2wro1 bu1yko3,اون طوقوز بیڭ
ondokuzdur,ewbo1 ||twfo2wro1dr,اون ‌طوقوزدر
ondokuzu,ewbo1 twfo2wro1y,اون طوقوزی
ondokuzuncu,ewbo1 twfo2wro1bo1xu1y,اون طوقوزنجی
ondokuzuncuda,ewbo1 twfo2wro1bo1xu1ydh,اون طوقوزنجیده
ondokuzuncusu,ewbo1 twfo2wro1bo1xu1ysy,اون طوقوزنجیسی
ondur,ewbo1dr,اوندر
ondörde,ewbo1 drdh,اون درده
ondördü,ewbo1 drdy,اون دردی
ondördüncü,ewbo1 drdbo1xu1y,اون دردنجی
ondördüncüsü,ewbo1 drdbo1xu1ysy,اون دردنجیسی
ondört,ewbo1 drbo2,اون درت
ondört-onbeş,ewbo1 drbo2 ewbo1 bu1so3,اون درت اون بش
ongurga,ewkrao1h,اوکرغه
ongurga,ewkrao1h||,اوکرغه‌
oniki,ewbo1 eyky,اون ایکی
oniki-onüç,ewbo1 eyky  ewbo1 ewxu3,اون ایکی  اون اوچ
onikilik,ewbo1 eykylk,اون ایکیلک
onikinci,ewbo1 eykbo1xu1y,اون ایکنجی
onikincisi,ewbo1 eykbo1xu1ysy,اون ایکنجیسی
onlar,ebo1lr,انلر
onlar,ewbo1lr,اونلر
onlara,ewbo1lrh,اونلره
onlaradır,ewbo1lrh||dr,اونلره‌در
onlarca,ewbo1lrxu1h,اونلرجه
onlarda,ewbo1lrdh,اونلرده
onlardadır,ewbo1lrdh||dr,اونلرده‌در
onlardaki,ewbo1lrdh||ky,اونلرده‌کی
onlardan,ewbo1lrdbo1,اونلردن
onlardandır,ewbo1lrdbo1dr,اونلردندر
onlardı,ewbo1lrdy,اونلردی
onlardır,ewbo1lrdr,اونلردر
onlarla,ewbo1lrlh,اونلرله
onları,ewbo1lry,اونلری
onların,ebo1lrk,انلرک
onların,ewbo1lrko3,اونلرڭ
onlarındır,ewbo1lrko3dr,اونلرڭدر
onlarınki,ebo1lrkky,انلرککی
onlarınki,ewbo1lrko3ky,اونلرڭکی
onmadık,ewko3medfo2,اوڭمادق
onmadık,ewlo5o3medfo2,اوكمادق
ons,ewbo1s,اونس
onsekiz,ewbo1 skro1,اون سکز
onsekiz-yirmi,ewbo1||skro1 yko7rmy,اون‌سکز یگرمی
onsekizi,ewbo1 skro1y,اون سکزی
onsekizinci,ewbo1 skro1bo1xu1y,اون سکزنجی
onsekizincide,ewbo1 skro1bo1xu1ydh,اون سکزنجیده
onsekizincisi,ewbo1 skro1bo1xu1ysy,اون سکزنجیسی
onsekizinin,ewbo1 skro1ybo1ko3,اون سکزینڭ
onsuz,ewbo1sro1,اونسز
ontoloji,ewbo1bo2wlwro3y,اونتولوژی
onu,ebo1y,انی
onu,ewbo1y,اونی
onul,ewlo5o3l,اوكل
onulmak,ewko3lmfo2,اوڭلمق
onulmak,ewlo5o3lmfo2,اوكلمق
onulmaz,ewko3lmero1,اوڭلماز
onulmaz,ewlo5o3lmero1,اوكلماز
onun altına,ebo1k elbo2bo1h,انک التنه
onun altına,ebo1k elbo2bo1h||,انک التنه‌
onun altında,ebo1k elbo2bo1dh,انک التنده
onun altında,ebo1k elbo2bo1dh||,انک التنده‌
onun ile beraber,ebo1k ebu2lh bu1rebu1r,انک ايله برابر
onun ile beraber,ebo1k eylh bu1rebu1r,انک ایله برابر
onun ile,ebo1k ebu2lh,انک ايله
onun ile,ebo1k eylh||,انک ایله‌
onun üzerinde,ebo1k ewro1rbo1dh,انک اوزرنده
onun üzerinde,ebo1k ewro1rbo1dh||,انک اوزرنده‌
onun üzerine,ebo1k ewro1rbu2bo1h,انک اوزرينه
onun üzerine,ebo1k ewro1rybo1h||,انک اوزرینه‌
onun,ebo1k,انک
onun,ewbo1ko3,اونڭ
onuna,ewbo1bo1h,اوننه
onuncu,ewbo1bo1xu1y,اوننجی
onuncuda,ewbo1bo1xu1ydh,اوننجیده
onuncusu,ewbo1bo1xu1ysy,اوننجیسی
onundan,ewbo1bo1dbo1,اونندن
onundur,ewbo1ko3dr,اونڭدر
onunki,ebo1kky,انککی
onunki,ewbo1ko3ky,اونڭکی
onunkinden,ewbo1ko3kbo1dbo1,اونڭکندن
onunkini,ewbo1ko3kybo1y,اونڭکینی
onunla,ewbo1ko3lh,اونڭله
onunladır,ewbo1ko3lh||dr,اونڭله‌در
onunu,ewbo1bo1y,اوننی
onunçün,ewbo1ko3xu3wbo1,اونڭچون
onurga,ewkrao1h,اوکرغه
onurga,ewkrao1h||,اوکرغه‌
onyedi,ewbo1 ydy,اون یدی
onyedinci,ewbo1 ydbo1xu1y,اون یدنجی
onyedincide,ewbo1 ydybo1xu1ydh,اون یدینجیده
onyedincisi,ewbo1 ydybo1xu1ysy,اون یدینجیسی
onüç,ewbo1 ewxu3,اون اوچ
onüç-ondört,ewbo1 yo5wxu3  ewbo1 drbo2,اون ئوچ  اون درت
onüçer,ewbo1 ewxu3r,اون اوچر
onüçü,ewbo1 ewxu3y,اون اوچی
onüçüncü,ewbo1 ewxu3bo1xu1y,اون اوچنجی
onüçüncüde,ewbo1 ewxu3bo1xu1ydh,اون اوچنجیده
onüçüncüsü,ewbo1 ewxu3bo1xu1ysy,اون اوچنجیسی
onüçüne,ewbo1 ewxu3bo1h,اون اوچنه
oof,ewfo1,اوف
opera,ewbu3h<>re,اوپه‌را
opera,ewbu3h||re,اوپه‌را
operasyon,ewbu3h<>resywbo1,اوپه‌راسیون
operasyon,ewbu3h||resbu2wbo1,اوپه‌راسيون
operatör,ewbu3h<>rebo2wr,اوپه‌راتور
operatör,ewbu3h||rebo2wr,اوپه‌راتور
operatörle,ewbu3rebo2wrlh,اوپراتورله
oportünism,ewbu3wrbo2wbo1bu2ro1m,اوپورتونيزم
oportünism,ewbu3wrbo2wbo1yro1m,اوپورتونیزم
optimism,ewbu3bo2bu2mbu2sm,اوپتيميسم
optimism,ewbu3bo2ymysm,اوپتیمیسم
optimist,ewbu3bo2bu2mbu2sbo2,اوپتيميست
optimist,ewbu3bo2ymysbo2,اوپتیمیست
or,ewr,اور
ora,ewre,اورا
oraca,ewrexu1h,اوراجه
orada,ewredh,اوراده
orada,ewredh||,اوراده‌
oradadırlar,ewredh||drlr,اوراده‌درلر
oradaki,ewredh||ky,اوراده‌کی
oradakiler,ewredh||kylr,اوراده‌کیلر
oradakinden,ewredh||kbo1dbo1,اوراده‌کندن
oradan geçmek,ewredbo1 kxu3mk,اورادن کچمک
oradan,ewredbo1,اورادن
orak vakti,ewrefo2 wfo2bo2y,اوراق وقتی
orak,ewrefo2,اوراق
oralar,ewrelr,اورالر
oralara,ewrelrh,اورالره
oralara,ewrelrh||,اورالره‌
oralarda,ewrelrdh,اورالرده
oralarda,ewrelrdh||,اورالرده‌
oralardadır,ewrelrdh||dr,اورالرده‌در
oralardaki,ewrelrdh||ky,اورالرده‌کی
oraları,ewrelry,اورالری
oraların,ewrelrko3,اورالرڭ
oran,ewrebo1,اوران
orangutan,ewrebo1ao1wbo2ebo1,اورانغوتان
oranla,ewrebo1le,اورانلا
oranlamak,ewrebo1lemfo2,اورانلامق
oranın,ewrebo1ko3,اورانڭ
orası vazifemde değil,ewresy wto1yfo1h mdh dkl,اوراسی وظیفه مده دکل
orası vazîfemde değil,ewresy wto1bu2fo1h mdh dkl,اوراسی وظيفه مده دکل
orası,ewresy,اوراسی
orasını,ewresbo1y,اوراسنی
oratoryo,ewrebo2wrbu2bu2w,اوراتورييو
oratoryo,ewrebo2wryyw,اوراتورییو
oraya,ewrebu2h,اورايه
oraya,ewreyh,اورایه
oraya,ewreyh||,اورایه‌
orayı,ewreyy,اورایی
orağın,ewreao1ko3,اوراغڭ
ordu kurmak,erdwfo2wrmfo2,اردوقورمق
ordu,erdw,اردو
ordu,ewrdw,اوردو
ordu-misal,ewrdwmbo3el,اوردومثال
ordu-yu,ewrdwyu4,اوردویِ
orduca'da,ewrdwxu1h||dh,اوردوجه‌ده
orduca'ya,ewrdwxu1h||yh,اوردوجه‌یه
orduca,ewrdwxu1h,اوردوجه
orduca,ewrdwxu1h||,اوردوجه‌
orducadır,ewrdwxu1h||dr,اوردوجه‌در
orduda,ewrdwdh,اوردوده
ordudaki,ewrdwdh||ky,اوردوده‌کی
ordudan,ewrdwdbo1,اوردودن
ordudur,ewrdwdr,اوردودر
ordugah,eo9wro0do9wko7o4eho0,اُورْدُوگَاهْ
ordugah,erdwko7eh||,اردوگاه‌
ordugâh,eo9wro0do9wko7o4eho0,اُورْدُوگَاهْ
ordugâh,erdwko7eh,اردوگاه
ordugâh,ewrdwko7eh,اوردوگاه
ordugâh-ı,ewrdwko7ehu4,اوردوگاهِ
ordugâha,ewrdwko7ehh,اوردوگاهه
ordugâhtır,ewrdwko7ehdr,اوردوگاهدر
ordugâhı,ewrdwko7ehy,اوردوگاهی
ordugâhında,ewrdwko7ehbo1dh,اوردوگاهنده
ordugâhından,ewrdwko7ehbo1dbo1,اوردوگاهندن
ordular,ewrdwlr,اوردولر
orduları,ewrdwlry,اوردولری
orduların,ewrdwlrko3,اوردولرڭ
ordularına,ewrdwlrybo1h,اوردولرینه
ordularından,ewrdwlrbo1dbo1,اوردولرندن
ordularını,ewrdwlrybo1y,اوردولرینی
ordularının,ewrdwlrybo1ko3,اوردولرینڭ
ordularıyla,ewrdwlrylh,اوردولریله
ordumu,ewrdwmy,اوردومی
ordumuza,ewrdwmro1h,اوردومزه
ordunun,ewrdwbo1ko3,اوردونڭ
ordusu'ndan,ewrdwsbo1dbo1,اوردوسندن
ordusu'nun,ewrdwsbo1ko3,اوردوسنڭ
ordusu,ewrdwsy,اوردوسی
ordusudur,ewrdwsydr,اوردوسیدر
ordusuna,ewrdwsbo1h,اوردوسنه
ordusunda,ewrdwsbo1dh,اوردوسنده
ordusundaki,ewrdwsbo1dh||ky,اوردوسنده‌کی
ordusundan,ewrdwsbo1dbo1,اوردوسندن
ordusunu,ewrdwsbo1y,اوردوسنی
ordusunun,ewrdwsbo1ko3,اوردوسنڭ
orduya,ewrdwyh,اوردویه
orduyu,ewrdwyy,اوردویی
organize,ewrao1ebo1yro1h,اورغانیزه
organıdır,ewrao1ebo1ydr,اورغانیدر
orhan,ewrxo1ebo1,اورخان
orhaneli,ewrxo1ebo1<>eyly,اورخان‌ایلی
orhangazi,ewrxo1ebo1<>ao1ero1y,اورخان‌غازی
orijinal,ewrbu2ro3bo1el,اوريژنال
orijinal,ewryro3bo1el,اوریژنال
orijinal,ewryro3ybo1el,اوریژینال
orijinaldir,ewryro3ybo1eldr,اوریژینالدر
orijinallik,ewryro3ybo1ellk,اوریژیناللک
ork,ewrao1,اورغ
orkestra,ewrksbo2re,اورکسترا
orman kebabı,ewrmebo1 kbu1ebu1y,اورمان کبابی
orman,ewrmebo1,اورمان
ormana,ewrmebo1h,اورمانه
ormandan,ewrmebo1dbo1,اورماندن
ormanlar,ewrmebo1lr,اورمانلر
ormanlarda,ewrmebo1lrdh,اورمانلرده
ormanları,ewrmebo1lry,اورمانلری
ormanlarına,ewrmebo1lrybo1h,اورمانلرینه
ormanlık bohça,ewrmebo1lfo2 bu1eao1xu3h,اورمانلق باغچه
ormanlık bohça,ewrmebo1lfo2 bu1eao1xu3h||,اورمانلق باغچه‌
ormanlık yer,ewrmebo1lfo2 bu2r,اورمانلق ير
ormanlık yer,ewrmebo1lfo2 yr,اورمانلق یر
ormanlık,ewrmebo1lfo2,اورمانلق
ormanın,ewrmebo1ko3,اورمانڭ
orospu,ewrwsbu3y,اوروسپی
orospu,rwsbu3y,روسپی
orospuluk,rwsbu3bu2lk,روسپيلک
orospuluk,rwsbu3ylk,روسپیلک
orostopollü,ewrsbo2bu2wllw,اورستيوللو
orostopollü,ewrsbo2ywllw,اورستیوللو
orsa alabanda etmek,ewrsh ele bu1ebo1dh e,اورسه الا بانده ا
orsa alabanda etmek,ewrzh elebu1ebo1dh e,اورصه الابانده ا
orsa!,ewrzh,اورصه
orsa!,ewrzh||,اورصه‌
orta direk,ewrth dbu2rk,اورطه ديرک
orta direk,ewrth dyrk,اورطه دیرک
orta elçi,ewrth ebu2lxu3y,اورطه ايلچی
orta elçi,ewrth eylxu3y,اورطه ایلچی
orta yeri,ewrbo2h bu2ry,اورته يری
orta yeri,ewrbo2h yry,اورته یری
orta yerlerine doğru,ewrbo2h bu2rlrbu2bo1h twao1ry,اورته يرلرينه طوغری
orta yerlerine doğru,ewrbo2h yrlrybo1h twao1ry,اورته یرلرینه طوغری
orta,ewrbo2h,اورته
orta,ewrbo2h||,اورته‌
orta,ewrth,اورطه
orta,ewrth||,اورطه‌
orta-şarkta,ewrbo2h||so3rfo2dh,اورته‌شرقده
ortada,ewrbo2h||dh,اورته‌ده
ortadaki,ewrbo2h||dh||ky,اورته‌ده‌کی
ortadan,ewrbo2h||dbo1,اورته‌دن
ortaelçi,ewrbo2h<>eylxu3y,اورته‌ایلچی
ortaelçi,ewrbo2h||ebu2lxu3y,اورته‌ايلچی
ortahalli,ewrbo2h<>xely,اورته‌حالی
ortahalli,ewrbo2h||xely,اورته‌حالی
ortak,ewrbo2efo2,اورتاق
ortak,ewrbo2lfo2,اورتلق
ortaklar,ewrbo2efo2lr,اورتاقلر
ortakları,ewrbo2efo2lry,اورتاقلری
ortaklarıdır,ewrbo2efo2lrydr,اورتاقلریدر
ortaklaşa,ewrbo2efo2leso3h,اورتاقلاشه
ortaklaşa,ewrbo2efo2leso3h||,اورتاقلاشه‌
ortala,ewrbo2h<>le,اورته‌لا
ortalamak,ewrbo2h<>lemfo2,اورته‌لامق
ortalamak,ewrbo2h||lemfo2,اورته‌لامق
ortalarında,ewrbo2h||lrbo1dh,اورته‌لرنده
ortalarındaki,ewrbo2h||lrbo1dh||ky,اورته‌لرنده‌کی
ortalarından,ewrbo2h||lrbo1dbo1,اورته‌لرندن
ortalık ağarması,ewrth lfo2 eao1ermsy,اورطه لق اغارمسی
ortalık ağarması,ewrth lfo2 eao1rmsy,اورطه لق اغرمسی
ortalık kararması,ewrth lfo2 fo2rermsy,اورطه لق قرارمسی
ortalık,ewrbo2h lfo2,اورته لق
ortalık,ewrbo2h<>lfo2,اورته‌لق
ortalık,ewrbo2h||lfo2,اورته‌لق
ortalık,ewrth lfo2,اورطه لق
ortalıkta,ewrbo2h||lfo2dh,اورته‌لقده
ortalığa,ewrbo2h||lao1h,اورته‌لغه
ortalığı,ewrbo2h||lao1y,اورته‌لغی
ortanca,ewrbo2ebo1xu1e,اورتانجا
ortanca,ewrbo2ebo1xu1h,اورتانجه
ortanca,ewrbo2ebo1xu1h||,اورتانجه‌
ortaokul,ewrbo2h ewfo2wl,اورته اوقول
ortası havlı dört yanı bina,ewrbo2h sy xwly drbo2 bu2ebo1y bu1bo1e,اورته سی حولی درت يانی بنا
ortası havlı dört yanı bina,ewrbo2h sy xwly drbo2 yebo1y bu1bo1e,اورته سی حولی درت یانی بنا
ortası,ewrbo2h||sy,اورته‌سی
ortasına,ewrbo2h||sbo1h,اورته‌سنه
ortasında,ewrbo2h sbo1dh,اورته سنده
ortasında,ewrbo2h sbo1dh||,اورته سنده‌
ortasında,ewrbo2h||sbo1dh,اورته‌سنده
ortasındadır,ewrbo2h||sbo1dh||dr,اورته‌سنده‌در
ortasındaki,ewrbo2h||sbo1dh||ky,اورته‌سنده‌کی
ortasından,ewrbo2h||sbo1dbo1,اورته‌سندن
ortasını,ewrbo2h||sbo1y,اورته‌سنی
ortaya,ewrbo2h||yh,اورته‌یه
ortağı,ewrbo2eao1y,اورتاغی
ortodoks,ewrbo2wdwfo2s,اورتودوقس
ortopedi,ewrbo2wbu3h<>dy,اورتوپه‌دی
ortopedi,ewrbo2wbu3h||dy,اورتوپه‌دی
oruca,ewrwxu1h,اوروجه
orucu,ewrwxu1y,اوروجی
orucun,ewrwxu1ko3,اوروجڭ
orucunu,ewrwxu1bo1y,اوروجنی
orucuyla,ewrwxu1ylh,اوروجیله
oruç tutmak,ewrwxu1 twbo2mfo2,اوروج طوتمق
oruç'la,ewrwxu1lh,اوروجله
oruç,ewrwxu1,اوروج
oruç,ewrwxu3,اوروچ
oruçla,ewrwxu1lh,اوروجله
oruçlu,ewrwxu1lw,اوروجلو
oruçlu,ewrwxu1ly,اوروجلی
oruçtaki,ewrwxu1dh||ky,اوروجده‌کی
oruçtur,ewrwxu1dr,اوروجدر
osman'a,abo3mebo1h,عثمانه
osman'la,abo3mebo1lh,عثمانله
osman'lar,abo3mebo1lr,عثمانلر
osman'ı,abo3mebo1y,عثمانی
osman'ın,abo3mebo1ko3,عثمانڭ
osman,abo3mebo1,عثمان
osman-el,abo3mebo1 el,عثمان ال
osman-ı,abo3mebo1u4,عثمانِ
osmancık,abo3mebo1xu1fo2,عثمانجق
osmaneli,abo3mebo1 eyly,عثمان ایلی
osmaniye'dir,abo3mebo1yh||dr,عثمانیه‌در
osmaniye,abo3mebo1yh,عثمانیه
osmaniye,abo3mebo1yh||,عثمانیه‌
osmaniyede,abo3mebo1yh||dh,عثمانیه‌ده
osmaniyeden,abo3mebo1yh||dbo1,عثمانیه‌دن
osmaniyenin,abo3mebo1yh||bo1ko3,عثمانیه‌نڭ
osmanlar,abo3mebo1lr,عثمانلر
osmanlı memleketi,abo3mebo1lw mmlkbo2y,عثمانلو مملکتی
osmanlı vilayeti,abo3mebo1lwwleybo2y,عثمانلوولایتی
osmanlı'daki,abo3mebo1lydh||ky,عثمانلیده‌کی
osmanlı,abo3mebo1lw tbu3reao1y,عثمانلو طپراغی
osmanlı,abo3mebo1lw,عثمانلو
osmanlı,abo3mebo1ly,عثمانلی
osmanlıca,abo3mebo1lwxu1h||,عثمانلوجه‌
osmanlılar,abo3mebo1lylr,عثمانلیلر
osmanlılara,abo3mebo1lylrh,عثمانلیلره
osmanlıların,abo3mebo1lylrko3,عثمانلیلرڭ
osmanlılık,abo3mebo1lbu2lfo2,عثمانليلق
osmanlılık,abo3mebo1lylfo2,عثمانلیلق
osmanlılıktan,abo3mebo1lylfo2dbo1,عثمانلیلقدن
osmanlılığa,abo3mebo1lylao1h,عثمانلیلغه
osmanlılığın,abo3mebo1lylao1ko3,عثمانلیلغڭ
osmanî,abo3mebo1y,عثمانی
osmanîlerin,abo3mebo1ylrko3,عثمانیلرڭ
ost,ewsbo2,اوست
osun,ewsko3,اوسڭ
osuruk,fo2wzwrfo2,قوصورق
ot arpa saman,ewbo2 erbu3h zmebo1,اوت ارپه صمان
ot,ewbo2,اوت
ot,ewd,اود
ot,ewt,اوط
otarmak,ewbo2ermfo2,اوتارمق
otağ,eo9wbo2o4eao1o0,اُوتَاغْ
otağ,ewbo2eao1,اوتاغ
otağ,ewbo2efo2,اوتاق
otağcı,ewbo2efo2xu1y,اوتاقجی
otağı,ewbo2eao1y,اوتاغی
otel,ewbo2l,اوتل
otelde,ewbo2ldh,اوتلده
otelden,ewbo2ldbo1,اوتلدن
oteli'nde,ewbo2lbo1dh,اوتلنده
oteli'nin,ewbo2lbo1ko3,اوتلنڭ
otlak,ewbo2lefo2,اوتلاق
otlakıye,ewbo2lefo2yh||,اوتلاقیه‌
otlamak,ewbo2lemfo2,اوتلامق
otlan,ewbo2lebo1,اوتلان
otlanmak,ewbo2lebo1mfo2,اوتلانمق
otlar,ewbo2lr,اوتلر
otlara,ewbo2lrh,اوتلره
otlarda,ewbo2lrdh,اوتلرده
