hababe,xbu1ebu1h||
hayatımızdan,xyebo2mro1dbo1
hayatımızda,xyebo2mro1dh
hayatımızdır,xyebo2mro1dr
hayatımızın,xyebo2mro1ko3
hayatımızı,xyebo2mro1y
hayatımızla,xyebo2mro1lh
hayatımız,xyebo2mro1
hayatımla,xyebo2mlh
hayatım,xyebo2m
hayatına,xyebo2bo1h
hayatındaki,xyebo2bo1dh||ky
hayatından,xyebo2bo1dbo1
hayatında,xyebo2bo1dh
hayatındır,xyebo2ko3dr
hayatı'nın,xyebo2bo1ko3
hayatının,xyebo2bo1ko3
hayâtının,xyebo2bo1ko3
hayatını,xyebo2bo1y
hayatınıza,xyebo2ko3ro1h
hayatınızca,xyebo2ko3ro1xu1h
hayatınızda,xyebo2ko3ro1dh
hayatınızın,xyebo2ko3ro1ko3
hayâtınızın,xyebo2ko3ro1ko3
hayatınızı,xyebo2ko3ro1y
hayâtınızı,xyebo2ko3ro1y
hayatınız,xyebo2ko3ro1
hayatınla,xyebo2ko3lh
hayâtınla,xyebo2ko3lh
hayatın,xyebo2ko3
hayâtın,xyebo2ko3
hayât-i rûz-i merre,xbu2ebo2 rwro1 mrh
hayât-ı rûz-i merre,xbu2ebo2 rwro1 mrh
hayat-i ruz-i̇ merre,xyebo2 rwro1 mrh||
hayat-ı ruz-i merre,xyebo2 rwro1 mrh||
hayatî,xbu2ebo2y
hayâtî,xbu2ebo2y
hayat-ı,xyebo2u4
hayât-ı,xyebo2u4
hayati,xyebo2y
hayatî,xyebo2y
hayatı,xyebo2y
hayâtı,xyebo2y
hayatiyeden,xyebo2yh||dbo1
hayatiye-i,xyebo2yh'u4
hayatiyelerden,xyebo2yh||lrdbo1
hayatiyelerinin,xyebo2yh||lrybo1ko3
hayatiyelerini,xyebo2yh||lrybo1y
hayatiyeleri,xyebo2yh||lry
hayatiyeleriyle,xyebo2yh||lrylh
hayatiyemi,xyebo2yh||my
hayatiyenin,xyebo2yh||bo1ko3
hayatiyesidir,xyebo2yh||sydr
hayatiyesinden,xyebo2yh||sbo1dbo1
hayatiyesinde,xyebo2yh||sbo1dh
hayatiyesine,xyebo2yh||sbo1h
hayatiyesinin,xyebo2yh||sbo1ko3
hayatiyesini,xyebo2yh||sbo1y
hayatiyesi,xyebo2yh||sy
hayâtiyet,xbu2ebo2bu2bo2
hayatiyet,xyebo2ybo2
hayatiye,xyebo2yh
hayatiyeye,xyebo2yh||yh
hayatiyeyi,xyebo2yh||yy
hayatıyla,xyebo2ylh
hayatiyle,xyebo2ylh
hayâtiyyât,xbu2ebo2bu2ebo2
hayatiyyat,xyebo2yebo2
hayatiyyelerini,xyebo2yh||lrybo1y
hayatiyyesinden,xyebo2yh||sbo1dbo1
hayatiyyesinin,xyebo2yh||sbo1ko3
hayatiyyesini,xyebo2yh||sbo1y
hayâtiyyesini,xyebo2yh||sbo1y
hayatiyye,xyebo2yh
hayatiyyeye,xyebo2yh||yh
hayatiyyeyi,xyebo2yh||yy
hayatkârane,xyebo2kerebo1h
hayatlanacaktır,xyebo2lebo1h||xu1fo2dr
hayatlandıracak,xyebo2lebo1dyrexu1fo2
hayatlandıran,xyebo2lebo1dyrebo1
hayatlandırarak,xyebo2lebo1dyrh||rfo2
hayatlandırınız,xyebo2lebo1dyryko3ro1
hayatlandırır,xyebo2lebo1dyrr
hayatlandırıyor,xyebo2lebo1dyryywr
hayatlandırmak,xyebo2lebo1dyrmfo2
hayatlandı,xyebo2lebo1dy
hayatlanır,xyebo2lebo1yr
hayatlanması,xyebo2lebo1msy
hayatlansalar,xyebo2lebo1sh||lr
hayatlansın,xyebo2lebo1sybo1
hayatlara,xyebo2lrh
hayatlarda,xyebo2lrdh
hayatlarıdır,xyebo2lrydr
hayatlarıma,xyebo2lrymh
hayatlarına,xyebo2lrybo1h
hayatlarından,xyebo2lrbo1dbo1
hayatlarında,xyebo2lrbo1dh
hayatlarının,xyebo2lrybo1ko3
hayatlarını,xyebo2lrybo1y
hayatların,xyebo2lrko3
hayatları,xyebo2lry
hayatlarıyla,xyebo2lrylh
hayatlariyle,xyebo2lrylh
hayatlarla,xyebo2lrlh
hayatlar,xyebo2lr
hayatla,xyebo2lh
hayatlı,xyebo2ly
hayat-memat,xyebo2 mmebo2
hayatperest,xo4bu2o4ebo2o0bu3o4ro4so0bo2o0
hayatperest,xo4yo4ebo2o0bu3o4ro4so0bo2o0
hayatperest,xyebo2||bu3rsbo2
hayatperverane,xyebo2||bu3rwrebo1h
hayatsızdır,xyebo2sro1dr
hayatsız,xyebo2sro1
hayattadırlar,xyebo2dh||drlr
hayattadır,xyebo2dh||dr
hayattaki,xyebo2dh||ky
hayattan,xyebo2dbo1
hayattardır,xyebo2derdr
hayattar,xyebo2der
hayatta,xbu2ebo2dh
hayâtta,xbu2ebo2dh
hayatta,xyebo2dh
hayatta,xyebo2dh||
hayattır,xyebo2dr
hayat-ül,xyebo2 el
hayat,xbu2ebo2
hayât,xbu2ebo2
hayat,xbu2et
hayat,xyebo2
hayat,xyet
hayâ,xbu2e
hâyâ,xbu2ec
hâya,xo1ebu2h
haya,xo1eyh||
haya,xye
hayâ,xye
haya,xyec
hayber'deki,xo1ybu1rdh||ky
hayber'de,xo1ybu1rdh
hayber'i,xo1ybu1ry
hayber,xo1ybu1r
haybetinden,xo1ybu1bo2bo1dbo1
haybeti,xo1ybu1bo2y
haybetler,xo1ybu1bo2lr
haybettir,xo1ybu1bo2dr
haybet,xo1o4bu2o0bu1o4bo2o0
haybet,xo1o4yo0bu1o4bo2o0
haybet,xo1ybu1bo2
haydala,heydele
haydalamak,hebu2delemfo2
haydalamak,heydelemfo2
haydarabad,xydr eo6bu1ed
haydaraneleriyle,xydrebo1h||lrylh
haydaranesiyle,xydrebo1h||sylh
haydar'a,xydrh
haydar'dır,xydrdr
haydar-ı,xydru4
haydarî,xydry
haydariye,xbu2drbu2h
haydariye,xydryh||
haydarî'yi,xydry||yy
haydarpaşa'dan,xydr bu3eso3edbo1
haydar,xydr
hayderan,xo4yo0do4rebo1
haydi git,hebu2dy kbu2bo2
haydi git,heydy kybo2
haydi,hebu2dy
haydi,heydy
haydin,hebu2dko3
haydin,heydlo5o3
haydır,xy||dr
haydo,xydw
haydud,xbu2dwd
haydud,xydwd
haydut,hebu2dwbo2
haydut,heydwbo2
haydutluk,hebu2dwbo2lfo2
haydutluk,heydwbo2lfo2
haydutturlar,heydwbo2drlr
hayevandır,xywebo1dr
hayevan,xywebo1
hayeviyetine,xo4yo4wu4ybo2bo1h
haye,xo1ebu2h
haye,xo1eyh||
hâye,xo1eyh
hayfâki,xbu2fo1ekh
hayfaki,xyfo1ekh||
hayfâ,xo4bu2o0fo1o4e
hayfa,xo4yo0fo1o4e
hayfa,xyfo1e
hayfâ,xyfo1e
hayf,xbu2fo1
hayf,xyfo1
hayhay,hey<>hey
hayhay,hey||hey
hayhay,hey hey
hay,hey
hay huy,hey hwy
hayhuy,hey<>hwy
hayhuy,hey||hwy
hayıflanmak,xbu2fo1lebo1mfo2
hayıflanmak,xyfo1lebo1mfo2
hayıflan,xyfo1lebo1
hayıf,xbu2fo1
hayıf,xyfo1
hayim,xeym
hayırdan,xo1yrdbo1
hayırda,xo1yrdh
hayırdır,xo1yrdr
hayırhahımız,xo1yrxo1weo99hmro1
hayırhahlığını,xo1yrxo1wehlao1bo1y
hayırhahlık,xo1bu2rxo1wehlfo2
hayırhahlık,xo1yrxo1wehlfo2
hayırhah,xo1bu2rxo1weh
hayırhah,xo1yrxo1o4weh
hayırhah,xo1yrxo1weh||
hayırlara,xo1yrlrh
hayırlardan,xo1yrlrdbo1
hayırlarda,xo1yrlrdh
hayırların,xo1yrlrko3
hayırları,xo1yrlry
hayırlar,xo1yrlr
hayırlaşmak,xo1bu2rleso3mfo2
hayırlaşmak,xo1yrleso3mfo2
hayırlaş,xo1yrleso3
hayırla,xo1yrlh
hayırlıdır,xo1yrlydr
hayırlılar,xo1yrlylr
hayırlısını,xo1yrlysbo1y
hayırlısı,xo1yrlysy
hayırlısıyla,xo1yrlysylh
hayırlı,xo1ybu2rly
hayırlı,xo1yrly
hayırlı,xo1yyrly
hayırperver,xo1yrbu3rwr
hayır-şer,xo1yr so3r
hayırsızlık,xo1bu2rsro1lfo2
hayırsızlık,xo1yrsro1lfo2
hayırsız otlarını yolmak,xo1bu2rsro1ewbo2lrbu2bo1y bu2wlmfo2
hayırsız otlarını yolmak,xo1yrsro1ewbo2lrybo1y ywlmfo2
hayırsız ot,xo1bu2rsro1webo2
hayırsız ot,xo1yrsro1webo2
hayırsız,xo1bu2rsro1
hayırsız,xo1yrsro1
hayır,xo1bu2r
hâyir,xo1bu2r
hayır,xo1bu2zo1
hayır,xo1ebu2r
hayır,xo1eyr
hâyır,xo1eyr
hayır,xo1o4bu2u4ro0
hayir,xo1o4yu4ro0
hayır,xo1o4yu4ro0
hayir,xo1yr
hayır,xo1yr
hayır,xo1yzo1
hayız,xo1bu2zo1
hayız,xo1yzo1
hayız,xyzo1
haykıracaktır,heyfo2yrexu1fo2dr
haykıran,heyfo2yrebo1
haykırdığı,heyfo2yrdyao1y
haykır,heyfo2yr
haykırış,xbu2fo2rso3
haykırış,xyfo2rso3
haykırıyor,heyfo2yryywr
haykırıyorlar,heyfo2yryywrlr
haykırmada,heyfo2yrmh||dh
haykırmak,hebu2fo2bu2rmfo2
haykırmak,heyfo2yrmfo2
haykırmak,xbu2fo2rmfo2
haykırmak,xyfo2rmfo2
haykırt,heyfo2yrbo1
haykırtmak,hebu2fo2bu2rbo1mfo2
haykırtmak,heyfo2yrbo1mfo2
haylaz,hebu2lero1
haylaz,heylero1
haylazların,heylero1lrko3
haylazlığa,heylero1lao1h
haylazlığı,heylero1lao1y
haylazlığından,heylero1lao1bo1dbo1
haylazlık edip gezmek,xbu2lero1lfo2 ebu2dwbu1 kro1mk
haylazlık edip gezmek,xylero1lfo2 eydwbu1 kro1mk
haylazlık etmek,xbu2lero1lfo2 e
haylazlık etmek,xylero1lfo2 e
haylazlık,hebu2lero1lfo2
haylazlık,heylero1lfo2
haylazlık,xo1ebu2lero1lfo2
haylazlık,xo1eylero1lfo2
haylaz,xo1ebu2lero1
haylaz,xo1eylero1
hayli,xo1bu2ly
hayli,xo1yly
haylulet-i,xylwlbo2u4
hayluletiyle,xylwlbo2ylh
hayl,xo1bu2l
hayl,xo1yl
haymana,hebu2mebo1h
haymana,heymebo1h||
haymana,xeymebo1e
haymegâh,xo1bu2mh ko7eh
haymegah,xo1ymh ko7eh||
haymeleri,xo1ymh||lry
haymeler,xo1ymh||lr
hayme-nişinler,xo1ymh||bo1so3ybo1lr
haymenişin,xo1bu2mh bo1so3bu2bo1
hayme-nişin,xo1ymh||bo1so3ybo1
haymenişin,xo1ymh bo1so3ybo1
hayme,xo1bu2mh
hayme,xo1ymh||
hayrabolu,xo1yrh<>bu1wlyy
hayrân kalmak,xbu2rebo1 fo2elmfo2
hayran kalmak,xyrebo1 fo2elmfo2
hayran kılmak,xbu2rebo1 fo2bu2lmfo2
hayran kılmak,xyrebo1 fo2ylmfo2
hayranları,xyrebo1lry
hayranlığına,xyrebo1lao1bo1h
hayranlıkla,xyrebo1lfo2lh
hayranlık,xbu2rebo1lfo2
hayranlık,xyrebo1lfo2
hayrân olmak,xbu2rebo1 ew
hayran olmak,xyrebo1 ew
hayran,xbu2rebo1
hayrân,xbu2rebo1
hayran,xyrebo1
hayrata,xo1yrebo2h
hayratın,xo1yrebo2ko3
hayrat'ı,xo1yrebo2y
hayratıyla,xo1yrebo2ylh
hayratlarına,xo1yrebo2lrybo1h
hayrattır,xo1yrebo2dr
hayrat,xo1bu2rebo2
hayrât,xo1bu2rebo2
hayrât,xo1o4bu2o0ro4ebo2o0
hayrat,xo1o4yo0ro4ebo2o0
hayrat,xo1yrebo2
hayra,xo1yrh
hayr duâ etmek,xo1bu2rdae e
hayr dua etmek,xo1yrdae e
hayr duâ,xo1bu2rdae
hayr dua,xo1yrdae
hayreddin,xyreldybo1
hayrendiş,xo1bu2rebo1dyso3
hayrendiş,xo1yrebo1dyso3
hayret-âlûd,xyrbo2||eo6lwd
hayretbahşa,xo4yo0ro4bo2||bu1o4xo1o0so3o4e
hayretbahştır,xyrbo2||bu1xo1so3dr
hayretbahş,xbu2rbo2 bu1xo1so3
hayret-bahş,xyrbo2||bu1xo1so3
hayretbahş,xyrbo2||bu1xo1so3
hayretbahş,xyrbo2 bu1xo1so3
hayret-efzası,xyrbo2||eo5fo1ro1esy
hayret-efza,xyrbo2||eo5fo1ro1e
hayretefza,xyrbo2||eo5fo1ro1e
hayret-engiz,xyrbo2||eo5bo1ko7yro1
hayretengiz,xyrbo2||eo5bo1ko7yro1
hayrete salmak,xbu2rbo2h zelmfo2
hayrete salmak,xyrbo2h zelmfo2
hayret etmek,xbu2rebo1 e
hayret etmek,xyrebo1 e
hayrete,xyrbo2h
hayretfezadır,xyrbo2||fo1ro1edr
hayretfezanın,xyrbo2||fo1ro1ebo1ko3
hayretfezasını,xyrbo2||fo1ro1esbo1y
hayretfezası,xyrbo2||fo1ro1esy
hayret-feza,xyrbo2||fo1ro1e
hayretfeza,xyrbo2||fo1ro1e
hayretimden,xyrbo2mdbo1
hayretimi,xyrbo2my
hayretim,xyrbo2m
hayretinden,xyrbo2bo1dbo1
hayretini,xyrbo2bo1y
hayretin,xyrbo2ko3
hayreti,xyrbo2y
hayretkârane,xyrbo2kerebo1h
hayretkârı,xyrbo2kery
hayretkâr,xbu2rbo2 ker
hayretkar,xyrbo2 ker
hayretlerde,xyrbo2lrdh
hayretlere,xyrbo2lrh
hayretlerinden,xyrbo2lrbo1dbo1
hayretlerine,xyrbo2lrybo1h
hayretlerini,xyrbo2lrybo1y
hayretleri,xyrbo2lry
hayretler,xyrbo2lr
hayretle,xyrbo2lh
hayretlidir,xyrbo2lydr
hayretli,xyrbo2ly
hayret-nümadır,xyrbo2||bo1medr
hayret-nümanın,xyrbo2||bo1mebo1ko3
hayret-nüma,xyrbo2||bo1me
hayretnüma,xyrbo2||bo1me
hayret-nümun,xyrbo2||bo1mwbo1
hayretsin,xo1yr eybo2sybo1
hayrettedirler,xyrbo2dh||drlr
hayrettedir,xyrbo2dh||dr
hayrette kalmak,xbu2rbo2dh fo2elmfo2
hayrette kalmak,xyrbo2dh fo2elmfo2
hayretten,xyrbo2dbo1
hayrette,xyrbo2dh
hayretteyim,xyrbo2dh||ym
hayretteyiz,xyrbo2dh||yro1
hayrettir,xyrbo2dr
hayret,xbu2rbo2
hayret,xyrbo2
hayretzede,xbu2rbo2 ro1dh
hayretzede,xyrbo2 ro1dh||
hayr-hâh,xo1bu2rxo1weh
hayr-hah,xo1yrxo1weh||
hayrihî,xo1yrh
hayr-i mahz,xo1o4bu2o0ru4 mo4xo0zo1o0
hayr-ı mahz,xo1o4bu2o0ru4 mo4xo0zo1o0
hayr-i mahz,xo1o4yo0ru4 mo4xo0zo1o0
hayr-ı mahz,xo1o4yo0ru4 mo4xo0zo1o0
hayrına,xo1yrybo1h
hayrından,xo1yrbo1dbo1
hayri'nin,xo1yrybo1ko3
hayrını,xo1yrybo1y
hayrın,xo1yrko3
hayr-ı,xo1yru4
hayri,xo1yry
hayrı,xo1yry
hayriyedeki,xo1yryh||dh||ky
hayriye'den,xo1yryh||dbo1
hayriyede,xo1yryh||dh
hayriye'dir,xo1yryh||dr
hayriye-i,xo1yryh'u4
hayriyelerine,xo1yryh||lrybo1h
hayriyelerini,xo1yryh||lrybo1y
hayriyeleri,xo1yryh||lry
hayriyenin,xo1yryh||bo1ko3
hayriyenizi,xo1yryh||ko3ro1y
hayriyesinde,xo1yryh||sbo1dh
hayriyesine,xo1yryh||sbo1h
hayriyettir,xo1yrybo2dr
hayriye,xo1yryh
hayriyeye,xo1yryh||yh
hayri'yi,xo1yry||yy
hayr nasîb eylemek,xo1bu2rbo1zbu2bu1 ebu2lmk
hayr nasib eylemek,xo1yrbo1zybu1 eylmk
hayrsız,xo1bu2rsro1
hayrsız,xo1yrsro1
hayrulhalef,xo1o4bu2o0ro9 elo0xo1o4lo4fo1o0
hayrulhalef,xo1o4yo0ro9 elo0xo1o4lo4fo1o0
hayr-ul,xo1yr el
hayr-ül,xo1yr el
hayrünnisa,xo1yr elbo1sec
hayr,xo1bu2r
hayr,xo1yr
hayse,xyz
haysiyete,xybo3ybo2h
haysiyetime,xybo3ybo2mh
haysiyetimi,xybo3ybo2my
haysiyetimizi,xybo3ybo2mro1y
haysiyetim,xybo3ybo2m
haysiyetinden,xybo3ybo2bo1dbo1
haysiyetine,xybo3ybo2bo1h
haysiyetini,xybo3ybo2bo1y
haysiyet-i,xybo3ybo2u4
haysiyeti,xybo3ybo2y
haysiyetiyle,xybo3ybo2ylh
haysiyetlerini,xybo3ybo2lrybo1y
haysiyetler,xybo3ybo2lr
haysiyetle,xybo3ybo2lh
haysiyetli,xbu2bo3bu2bo2ly
haysiyetli,xybo3ybo2ly
haysiyetsiz,xbu2bo3bu2bo2sro1
haysiyetsiz,xybo3ybo2sro1
haysiyetten,xybo3ybo2dbo1
haysiyet,xbu2bo3bu2bo2
haysiyet,xo4bu2o0bo3u4bu2o4bo2o0
haysi̇yet,xo4yo0bo3u4yo4bo2o0
haysiyet,xo4yo0bo3u4yo4bo2o0
haysiyet,xybo3ybo2
haysiyyetine,xybo3ybo2bo1h
haysiyyetiyle,xybo3ybo2ylh
haysiyyet,xbu2bo3bu2bo2
haysiyyet,xybo3ybo2
haysü,xybo3
hayta,hebu2th
hayta,heyth||
hayta,xo1yth
haytıdır,xo1ytydr
haytın,xo1ytko3
hayt-i semâvî,xo1o4bu2o0tu4 so4mo4ewu4bu2
hayt-ı semâvî,xo1o4bu2o0tu4 so4mo4ewu4bu2
hayt-i semavi̇,xo1o4yo0tu4 so4mo4ewu4y
hayt-ı semavi,xo1o4yo0tu4 so4mo4ewu4y
hayt-i vuslat,xo1o4bu2o0tu4 wo9zo0lo4bo2o0
hayt-ı vuslat,xo1o4bu2o0tu4 wo9zo0lo4bo2o0
hayt-i vuslat,xo1o4yo0tu4 wo9zo0lo4bo2o0
hayt-ı vuslat,xo1o4yo0tu4 wo9zo0lo4bo2o0
hayt-ı,xo1ytu4
hayt-ul,xo1yt el
hayt-ül,xo1yt el
hayvânâta müteallik,xbu2webo1ebo2h mbo2alfo2
hayvanata müteallik,xywebo1ebo2h mbo2alfo2
hayvanata,xywebo1ebo2h
hayvanatımdan,xywebo1ebo2mdbo1
hayvanatına,xywebo1ebo2bo1h
hayvanatındaki,xywebo1ebo2bo1dh||ky
hayvanatından,xywebo1ebo2bo1dbo1
hayvanatını,xywebo1ebo2bo1y
hayvanatınıza,xywebo1ebo2ko3ro1h
hayvanatınızın,xywebo1ebo2ko3ro1ko3
hayvanatın,xywebo1ebo2ko3
hayvanâtın,xywebo1ebo2ko3
hayvânatın,xywebo1ebo2ko3
hayvânâtın,xywebo1ebo2ko3
hayvânât-i vahşiye,xo4bu2o0wo4ebo1o4ebo2u4 wo4xo0so3u4bu2o4h
hayvânât-ı vahşiye,xo4bu2o0wo4ebo1o4ebo2u4 wo4xo0so3u4bu2o4h
hayvanat-i vahşi̇ye,xo4yo0wo4ebo1o4ebo2u4 wo4xo0so3u4yo4h||
hayvanat-ı vahşiye,xo4yo0wo4ebo1o4ebo2u4 wo4xo0so3u4yo4h||
hayvanat-ı,xywebo1ebo2u4
hayvanât-ı,xywebo1ebo2u4
hayvanatı,xywebo1ebo2y
hayvanâtı,xywebo1ebo2y
hayvânatı,xywebo1ebo2y
hayvanatıyla,xywebo1ebo2ylh
hayvanattaki,xywebo1ebo2dh||ky
hayvanattan,xywebo1ebo2dbo1
hayvanatta,xywebo1ebo2dh
hayvânatta,xywebo1ebo2dh
hayvanattır,xywebo1ebo2dr
hayvânât,xbu2webo1ebo2
hayvanât,xo4bu2o0wo4ebo1o4ebo2o0
hayvanat,xo4yo0wo4ebo1o4ebo2o0
hayvanat,xywebo1ebo2
hayvânat,xywebo1ebo2
hayvana,xywebo1h
hayvancasına,xywebo1xu1h||sbo1h
hayvanca,xywebo1xu1h
hayvancığın,xywebo1xu1ao1ko3
hayvancığı,xywebo1xu1ao1y
hayvancıklara,xywebo1xu1fo2lrh
hayvancıkların,xywebo1xu1fo2lrko3
hayvancıkları,xywebo1xu1fo2lry
hayvancıklar,xywebo1xu1fo2lr
hayvancık,xywebo1xu1fo2
hayvandaki,xywebo1dh||ky
hayvandan,xywebo1dbo1
hayvanda,xywebo1dh
hayvandır,xywebo1dr
hayvanîden,xywebo1ydbo1
hayvanîdir,xywebo1ydr
hayvanın art dizi,xbu2webo1k erddbu2ro1y
hayvanın art dizi,xywebo1k erddyro1y
hayvanında,xywebo1bo1dh
hayvanın diri eti,xbu2webo1k dbu2ry ebo2y
hayvanın diri eti,xywebo1k dyry ebo2y
hayvanın et sayılmayan tarafları,xbu2webo1k ebo2 zebu2lmbu2ebo1 trfo1lry
hayvanın et sayılmayan tarafları,xywebo1k ebo2 zeylmyebo1 trfo1lry
hayvanînin,xywebo1ybo1ko3
hayvanını,xywebo1ko3y
hayvanın,xywebo1ko3
hayvanî,xbu2webo1y
hayvânî,xbu2webo1y
hayvan-ı,xywebo1u4
hayvani,xywebo1y
hayvanî,xywebo1y
hayvanı,xywebo1y
hayvânî,xywebo1y
hayvaniyeden,xywebo1yh||dbo1
hayvaniyede,xywebo1yh||dh
hayvaniyedir,xywebo1yh||dr
hayvaniye-i,xywebo1yh'u4
hayvaniyete,xywebo1ybo2h
hayvaniyetin,xywebo1ybo2ko3
hayvaniyeti,xywebo1ybo2y
hayvaniyetten,xywebo1ybo2dbo1
hayvaniyettir,xywebo1ybo2dr
hayvâniyet,xbu2webo1bu2bo2
hayvâniyet,xo4bu2o0wo4ebo1u4bu2o4bo2o0
hayvani̇yet,xo4yo0wo4ebo1u4yo4bo2o0
hayvaniyet,xo4yo0wo4ebo1u4yo4bo2o0
hayvaniyet,xywebo1ybo2
hayvaniye,xbu2webo1bu2h
hayvaniye,xywebo1yh
hayvaniye,xywebo1yh||
hayvaniyeye,xywebo1yh||yh
hayvaniyeyi,xywebo1yh||yy
hayvanîyi,xywebo1y||yy
hayvaniyyete,xywebo1ybo2h
hayvaniyye,xywebo1yh
hayvâniyye,xywebo1yh
hayvâniyyeyi,xywebo1yh||yy
hayvanlara,xywebo1lrh
hayvanlardan,xywebo1lrdbo1
hayvanlarda,xywebo1lrdh
hayvanlardır,xywebo1lrdr
hayvanlarına,xywebo1lrybo1h
hayvanlarında,xywebo1lrbo1dh
hayvanların,xywebo1lrko3
hayvanları,xywebo1lry
hayvanlarla,xywebo1lrlh
hayvanlar,xywebo1lr
hayvanla,xywebo1lh
hayvanlığa,xywebo1lao1h
hayvanlıktan,xywebo1lfo2dbo1
hayvanlıktır,xywebo1lfo2dr
hayvanlık,xbu2webo1lfo2
hayvanlık,xywebo1lfo2
hayvan-misal,xywebo1||mbo3el
hayvansın,xywebo1sko3
hayvan,xbu2webo1
hayvan,xywebo1
hay,xo4bu2o0
hay,xo4yo0
hay,xy
hayyal,xyo8el
hayyam,xo1yo8em
hayyata,xyo8eth
hayyât,xo1bu2et
hayyat,xo1yet
hayy'a,xyo8h
hayydır,xyo8||dr
hayye,xbu2h
hayye,xyh||
hayy-i bâki,xo4bu2u4o8 bu1o4efo2bu2
hayy-ı bâki,xo4bu2u4o8 bu1o4efo2bu2
hayy-i baki̇,xo4yu4o8 bu1o4efo2۪y
hayy-ı baki,xo4yu4o8 bu1o4efo2۪y
hayy-i kayyûm,xo4bu2u4o8 fo2o4bu2o9o8wmo0
hayy-ı kayyûm,xo4bu2u4o8 fo2o4bu2o9o8wmo0
hayy-i kayyum,xo4yu4o8 fo2o4yo9o8wmo0
hayy-ı kayyum,xo4yu4o8 fo2o4yo9o8wmo0
hayy-i lâyemut,xo4bu2u4o8 leo4bu2o4mo9wbo2o0
hayy-ı lâyemut,xo4bu2u4o8 leo4bu2o4mo9wbo2o0
hayy-i layemut,xo4yu4o8 leo4yo4mo9wbo2o0
hayy-ı layemut,xo4yu4o8 leo4yo4mo9wbo2o0
hayy-i meyyit,xo4bu2u4o8 mo4bu2u4o8bo2o0
hayy-ı meyyit,xo4bu2u4o8 mo4bu2u4o8bo2o0
hayy-i meyyi̇t,xo4yu4o8 mo4yu4o8bo2o0
hayy-ı meyyit,xo4yu4o8 mo4yu4o8bo2o0
hayy-i mürtebit,xo4bu2u4o8 mo9ro0bo2o4bu1u4bo2o0
hayy-ı mürtebit,xo4bu2u4o8 mo9ro0bo2o4bu1u4bo2o0
hayy-i mürtebi̇t,xo4yu4o8 mo9ro0bo2o4bu1u4bo2o0
hayy-ı mürtebit,xo4yu4o8 mo9ro0bo2o4bu1u4bo2o0
hayy'ın,xyo8||ko3
hayyir,xo1bu2r
hayyir,xo1yr
hayy-i,xyo8u4
hayy-ı,xyo8u4
hayy-u,xyo8
hayy,xo4bu2o0
hayy,xo4yo0
hayy,xy
hayy,xyo8
hayz,xbu2zo1
hayz,xo1bu2zo1
hayz,xo1yzo1
hayz,xyzo1
haza,hdo1e
hâzâ,hdo1e
hazain-i,xo1ro1eyo5bo1u4
hazâin-i,xo1ro1eyo5bo1u4
hazaini,xo1ro1eyo5bo1y
hazain,xo1ro1ebo5bo1
hazâin,xo1ro1ebo5bo1
hazakate,xdo1efo2bo2h
hazakatli,xdo1efo2bo2ly
hazâkatli,xdo1efo2bo2ly
hazakattir,xdo1efo2bo2dr
hazakat,xdo1efo1bo2
hazâkat,xdo1efo1bo2
hazakat,xdo1efo2bo2
hazâkat,xdo1efo2bo2
hazan,xo1ro1ebo1
hazân,xo1ro1ebo1
hazan,xro1ebo1
hazari,xzo1ry
hazarî,xzo1ry
hazar,xzo1r
hazdan,xto1dbo1
hazefat-ı,xo1ro1fo1ebo2u4
hazele,xo1o4do1o4lh
hazeleyi,xo1o4do1o4lh||yy
hazeratına,xzo1rebo2bo1h
hazeratının,xzo1rebo2bo1ko3
hazeratını,xzo1rebo2bo1y
hazerat,xzo1rebo2
hazer etmek,xdo1re
hazer,xdo1r
hazer,xdo1ro1
hazer,xo4do1o4ro0
hazfeder,xdo1fo1 eydr
hazfedilen,xdo1fo1 eydylbo1
hazfedilmemiştir,xdo1fo1 eydylmh||mso3dr
hazfetmek,xdo1fo1 ebu2bo2mk
hazfetmek,xdo1fo1 eybo2mk
hazfet,xdo1fo1 eybo2
hazfından,xdo1fo1bo1dbo1
hazfı,xdo1fo1y
hazfolmayıp,xdo1fo1 ewlmeywbu1
hazf,xdo1fo1
hazf,xo4do1o0fo1o0
hâzıkım,xedo1fo2m
hâzıkın,xedo1fo2ko3
hazık,xedo1fo2
hâzık,xedo1fo2
hazik,xo4edo1u4fo2o0
hazık,xo4edo1u4fo2o0
hâzık,xo4edo1u4fo2o0
hazımdadır,hzo1mdh||dr
hazımdan,hzo1mdbo1
hazım,hezo1m
hâzım,hezo1m
hazım,hzo1m
hazımsızlığa,hzo1msro1lao1h
hazinânesini,xro1ybo1ebo1h||sbo1y
hazînanesini,xro1ybo1ebo1h||sbo1y
hazinânesi,xro1ybo1ebo1h||sy
hazînanesi,xro1ybo1ebo1h||sy
hazinane,xro1ybo1ebo1h
hazinâne,xro1ybo1ebo1h
hazînane,xro1ybo1ebo1h
hazîndir,xro1ybo1dr
hazînedar (haznedar),xo1ro1bu2bo1h der
hazinedar (haznedar),xo1ro1ybo1h der
hazinedar-ı,xo1ro1ybo1h||deru4
hazinedarları,xo1ro1ybo1h||derlry
hazinedarlığına,xo1ro1ybo1h||derlao1bo1h
hazinedarlık,xo1ro1ybo1h||derlfo2
hazînedâr,xo1o4ro1bu2bo1o4h do4ero0
