
ş,so3,ش
şebâbet,so3bu1ebu1bo2,شبابت
şebâhet,so3bu1ehbo2,شباهت
şebân,so3bu1ebo1,شبان
şebâviz,so3bu1ewyro1,شباویز
şebîh,so3bu1bu2h,شبيه
şebîhi,so3bu1yhy,شبیهی
şebîhûn,so3bu1bu2xo1wbo1,شبيخون
şebîke,so3bu1bu2kh,شبيکه
şecaat,so3o4xu1o4eao4bo2o0,شَجَاعَتْ
şecaat,so3xu1eabo2,شجاعت
şecaat-i,so3xu1eabo2u4,شجاعتِ
şecaat-ı,so3xu1eabo2u4,شجاعتِ
şecaate,so3xu1eabo2h,شجاعته
şecaati,so3xu1eabo2y,شجاعتی
şecaatine,so3xu1eabo2bo1h,شجاعتنه
şecaatini,so3xu1eabo2bo1y,شجاعتنی
şecaatinizdedir,so3xu1eabo2ko3ro1dh||dr,شجاعتڭزده‌در
şecaatkârane,so3xu1eabo2kerebo1h,شجاعتکارانه
şecaatkâranelerinden,so3xu1eabo2kerebo1h||lrbo1dbo1,شجاعتکارانه‌لرندن
şecaatla,so3xu1eabo2lh,شجاعتله
şecaatlarını,so3xu1eabo2lrybo1y,شجاعتلرینی
şecaatlarıyla,so3xu1eabo2lrylh,شجاعتلریله
şecaatle,so3xu1eabo2lh,شجاعتله
şecaatli,so3xu1eabo2ly,شجاعتلی
şecaatnihad,so3xu1eabo2 bo1hed,شجاعت نهاد
şecaatta,so3xu1eabo2dh,شجاعتده
şecaattır,so3xu1eabo2dr,شجاعتدر
şecaatça,so3xu1eabo2xu1h,شجاعتجه
şecaatı,so3xu1eabo2y,شجاعتی
şecaatını,so3xu1eabo2bo1y,شجاعتنی
şecaatınızdadır,so3xu1eabo2ko3ro1dh||dr,شجاعتڭزده‌در
şecaatıyla,so3xu1eabo2ylh,شجاعتیله
şecer,so3xu1r,شجر
şecer-i,so3xu1ru4,شجرِ
şecere,so3o4xu1o4ro4h,شَجَرَه
şecere,so3o4xu1o4ro4h||,شَجَرَه‌
şecere,so3xu1rh,شجره
şecere,so3xu1rh||,شجره‌
şecere-i bakiye,so3o4xu1o4ro4u4 bu1o4efo2u4yo4h||,شَجَرَِ بَاقِیَه‌
şecere-i bâkiye,so3o4xu1o4ro4u4 bu1o4efo2u4bu2o4h,شَجَرَِ بَاقِيَه
şecere-i hayat,so3o4xu1o4ro4u4 xo4bu2o4ebo2o0,شَجَرَِ حَيَاتْ
şecere-i hayat,so3o4xu1o4ro4u4 xo4yo4ebo2o0,شَجَرَِ حَیَاتْ
şecere-i hilkat,so3o4xu1o4ro4u4 xo1u4lo0fo2o4bo2o0,شَجَرَِ خِلْقَتْ
şecere-i tuba,so3o4xu1o4ro4u4 to9wbu1o4e,شَجَرَِ طُوبَا
şecere-i tûbâ,so3o4xu1o4ro4u4 to9wbu1o4e,شَجَرَِ طُوبَا
şecere-i zihayat,so3o4xu1o4ro4u4 do1u4y xo4yo4ebo2o0,شَجَرَِ ذِی حَیَاتْ
şecere-i zîhayât,so3o4xu1o4ro4u4 do1u4bu2 xo4bu2o4ebo2o0,شَجَرَِ ذِي حَيَاتْ
şecere-i ömür,so3o4xu1o4ro4u4 ao9mo9ro0,شَجَرَِ عُمُرْ
şecere-i,so3xu1rhu4,شجرهِ
şecere-i̇ baki̇ye,so3o4xu1o4ro4u4 bu1o4efo2u4yo4h||,شَجَرَِ بَاقِیَه‌
şecere-i̇ hayat,so3o4xu1o4ro4u4 xo4yo4ebo2o0,شَجَرَِ حَیَاتْ
şecere-i̇ hi̇lkat,so3o4xu1o4ro4u4 xo1u4lo0fo2o4bo2o0,شَجَرَِ خِلْقَتْ
şecere-i̇ tuba,so3o4xu1o4ro4u4 to9wbu1o4e,شَجَرَِ طُوبَا
şecere-i̇ zi̇hayat,so3o4xu1o4ro4u4 do1u4y xo4yo4ebo2o0,شَجَرَِ ذِی حَیَاتْ
şecere-i̇ ömür,so3o4xu1o4ro4u4 ao9mo9ro0,شَجَرَِ عُمُرْ
şecerede,so3xu1rh||dh,شجره‌ده
şeceredir,so3xu1rh||dr,شجره‌در
şecereleri,so3xu1rh||lry,شجره‌لری
şeceremiz,so3xu1rh||mro1,شجره‌مز
şecerenin,so3xu1rh||bo1ko3,شجره‌نڭ
şeceresi,so3xu1rh||sy,شجره‌سی
şeceresini,so3xu1rh||sbo1y,شجره‌سنی
şeceresinin,so3xu1rh||sbo1ko3,شجره‌سنڭ
şecereye,so3xu1rh||yh,شجره‌یه
şecereyi,so3xu1rh||yy,شجره‌یی
şecerin,so3xu1rko3,شجرڭ
şeceriye,so3xu1ryh,شجریه
şeceriyenin,so3xu1ryh||bo1ko3,شجریه‌نڭ
şeceriyeyi,so3xu1ryh||yy,شجریه‌یی
şeci',so3xu1ya,شجیع
şeci,so3xu1ya,شجیع
şecâat,so3o4xu1o4eao4bo2o0,شَجَاعَتْ
şecâat,so3xu1eabo2,شجاعت
şecâatli,so3xu1eabo2ly,شجاعتلی
şecî,so3xu1bu2a,شجيع
şedaidi,so3deyo5dy,شدائدی
şedaidine,so3deyo5dybo1h,شدائدینه
şedaidiyle,so3deyo5dylh,شدائدیله
şedd-i,so3do8u4,شدِّ
şeddadlar,so3do8edlr,شدّادلر
şeddadları,so3do8edlry,شدّادلری
şeddadların,so3do8edlrko3,شدّادلرڭ
şedde,so3dh,شده
şedde,so3dh||,شده‌
şedde,so3do8h,شدّه
şeddedeki,so3do8h||dh||ky,شدّه‌ده‌کی
şeddeler,so3do8h||lr,شدّه‌لر
şeddeli,so3dh<>ly,شده‌لی
şeddeli,so3dh||ly,شده‌لی
şeddeli,so3do8h||ly,شدّه‌لی
şeddeliler,so3do8h||lylr,شدّه‌لیلر
şeddesiz,so3do8h||sro1,شدّه‌سز
şedid,so3dbu2d,شديد
şedid,so3dyd,شدید
şedid,so3hyd,شهید
şedid-ül,so3dydo9 elo0,شدیدُ الْ
şedid-üş,so3dyd el,شدید ال
şedidane,so3dydebo1h,شدیدانه
şedidden,so3dyddbo1,شدیددن
şediddir,so3dyddr,شدیددر
şediddirler,so3dyddrlr,شدیددرلر
şedide,so3dydh,شدیده
şedide-i,so3dydhu4,شدیدهِ
şedideden,so3dydh||dbo1,شدیده‌دن
şediden,so3dydo44e,شدیدًا
şedidenin,so3dydh||bo1ko3,شدیده‌نڭ
şedidesi,so3dydh||sy,شدیده‌سی
şedidesinde,so3dydh||sbo1dh,شدیده‌سنده
şedideyi,so3dydh||yy,شدیده‌یی
şedidi,so3dydy,شدیدی
şedidin,so3dydko3,شدیدڭ
şedidini,so3dydybo1y,شدیدینی
şedidle,so3dydlh,شدیدله
şedit,so3dyd,شدید
şedittir,so3dyddr,شدیددر
şedi̇d,so3dyd,شدید
şedîd,so3dbu2d,شديد
şedîd,so3dyd,شدید
şedîd,so3hbu2d,شهيد
şedîd-üş,so3dyd el,شدید ال
şef,so3fo1,شف
şefaat etmek,so3fo1eabo2 e,شفاعت ا
şefaat,so3fo1eabo2,شفاعت
şefaat,so3o4fo1o4eao4bo2o0,شَفَاعَتْ
şefaat-ı,so3fo1eabo2u4,شفاعتِ
şefaatbahş,so3fo1eabo2||bu1xo1so3,شفاعت‌بخش
şefaatci,so3fo1eabo2xu1y,شفاعتجی
şefaati,so3fo1eabo2y,شفاعتی
şefaatine,so3fo1eabo2bo1h,شفاعتنه
şefaatini,so3fo1eabo2bo1y,شفاعتنی
şefaatiyle,so3fo1eabo2ylh,شفاعتیله
şefaatkârane,so3fo1eabo2kerebo1h,شفاعتکارانه
şefaatları,so3fo1eabo2lry,شفاعتلری
şefaatlarından,so3fo1eabo2lrbo1dbo1,شفاعتلرندن
şefaatle,so3fo1eabo2lh,شفاعتله
şefaatlerine,so3fo1eabo2lrybo1h,شفاعتلرینه
şefaatlerini,so3fo1eabo2lrybo1y,شفاعتلرینی
şefaatlerinin,so3fo1eabo2lrybo1ko3,شفاعتلرینڭ
şefaatleriyle,so3fo1eabo2lrylh,شفاعتلریله
şefaatçi,so3fo1eabo2xu1y,شفاعتجی
şefaatçilerim,so3fo1eabo2xu1ylrm,شفاعتجیلرم
şefaatçim,so3fo1eabo2xu1m,شفاعتجم
şefaatçimizdir,so3fo1eabo2xu1ymro1dr,شفاعتجیمزدر
şefaatçiyi,so3fo1eabo2xu1y||yy,شفاعتجی‌یی
şefaatçı,so3fo1eabo2xu1y,شفاعتجی
şefaatçım,so3fo1eabo2xu1ym,شفاعتجیم
şefaatçıyı,so3fo1eabo2xu1y||yy,شفاعتجی‌یی
şefaatı,so3fo1eabo2y,شفاعتی
şefaatına,so3fo1eabo2bo1h,شفاعتنه
şefaatıyla,so3fo1eabo2ylh,شفاعتیله
şefafet,so3fo1efo1bo2,شفافت
şefakat,so3fo1fo2bo2,شفقت
şefe,so3fo1h,شفه
şefe,so3fo1h||,شفه‌
şeffaf,so3fo1efo1,شفاف
şeffaf,so3fo1o8efo1,شفّاف
şeffafat,so3fo1o8efo1ebo2,شفّافات
şeffafata,so3fo1o8efo1ebo2h,شفّافاته
şeffafatı,so3fo1o8efo1ebo2y,شفّافاتی
şeffafatın,so3fo1o8efo1ebo2ko3,شفّافاتڭ
şeffafe,so3fo1o8efo1h,شفّافه
şeffafede,so3fo1o8efo1h||dh,شفّافه‌ده
şeffafeden,so3fo1o8efo1h||dbo1,شفّافه‌دن
şeffafedir,so3fo1o8efo1h||dr,شفّافه‌در
şeffafenin,so3fo1o8efo1h||bo1ko3,شفّافه‌نڭ
şeffafiyet,so3fo1o8efo1ybo2,شفّافیت
şeffafiyeti,so3fo1o8efo1ybo2y,شفّافیتی
şeffafiyetidir,so3fo1o8efo1ybo2ydr,شفّافیتیدر
şeffafiyetini,so3fo1o8efo1ybo2bo1y,شفّافیتنی
şeffafiyetiyle,so3fo1o8efo1ybo2ylh,شفّافیتیله
şeffaflanır,so3fo1o8efo1lebo1yr,شفّافلانیر
şeffaflar,so3fo1o8efo1lr,شفّافلر
şeffaflarına,so3fo1o8efo1lrybo1h,شفّافلرینه
şeffaflaşır,so3fo1o8efo1leso3yr,شفّافلاشیر
şeffaflık,so3fo1o8efo1lfo2,شفّافلق
şeffaflığına,so3fo1o8efo1lao1bo1h,شفّافلغنه
şeffaftır,so3fo1o8efo1dr,شفّافدر
şeffâf,so3fo1efo1,شفاف
şeffâfat,so3fo1o8efo1ebo2,شفّافات
şeffâfatı,so3fo1o8efo1ebo2y,شفّافاتی
şeffâfatın,so3fo1o8efo1ebo2ko3,شفّافاتڭ
şeffâfenin,so3fo1o8efo1h||bo1ko3,شفّافه‌نڭ
şeffâfiyet,so3fo1o8efo1ybo2,شفّافیت
şeffâfiyyet,so3fo1o8efo1ybo2,شفّافیت
şeffâfiyyeti,so3fo1o8efo1ybo2y,شفّافیتی
şeffâftır,so3fo1o8efo1dr,شفّافدر
şeffâfâta,so3fo1o8efo1ebo2h,شفّافاته
şefi',so3fo1ya,شفیع
şefi',so3o4fo1yao0,شَفیعْ
şefiim,so3fo1yam,شفیعم
şefiimiz,so3fo1yamro1,شفیعمز
şefiin,so3fo1yako3,شفیعڭ
şefik'e,so3fo1yfo2h,شفیقه
şefik'in,so3fo1yfo2ko3,شفیقڭ
şefik'indir,so3fo1yfo2ko3dr,شفیقڭدر
şefik'ten,so3fo1yfo2dbo1,شفیقدن
şefik,so3fo1bu2fo2,شفيق
şefik,so3fo1yfo2,شفیق
şefik-i,so3fo1yfo2u4,شفیقِ
şefikane,so3fo1yfo2ebo1h,شفیقانه
şefiki,so3fo1yfo2y,شفیقی
şefiktir,so3fo1yfo2dr,شفیقدر
şefin,so3fo1ko3,شفڭ
şefi̇',so3o4fo1yao0,شَفیعْ
şefi’,so3fo1ya,شفیع
şefkat,so3fo1fo2bo2,شفقت
şefkat-i,so3fo1fo2bo2u4,شفقتِ
şefkat-ı,so3fo1fo2bo2u4,شفقتِ
şefkate,so3fo1fo2bo2h,شفقته
şefkaten,so3fo1fo2ho2o44,شفقةً
şefkati,so3fo1fo2bo2y,شفقتی
şefkatidir,so3fo1fo2bo2ydr,شفقتیدر
şefkatime,so3fo1fo2bo2mh,شفقتمه
şefkatimize,so3fo1fo2bo2mro1h,شفقتمزه
şefkatimizi,so3fo1fo2bo2mro1y,شفقتمزی
şefkatin,so3fo1fo2bo2ko3,شفقتڭ
şefkatinde,so3fo1fo2bo2bo1dh,شفقتنده
şefkatinden,so3fo1fo2bo2bo1dbo1,شفقتندن
şefkatine,so3fo1fo2bo2bo1h,شفقتنه
şefkatini tahsil etmek,so3fo1fo2bo2bo1y bo2xzyl e,شفقتنی تحصیل ا
şefkatini tahsîl etmek,so3fo1fo2bo2bo1y bo2xzbu2l e,شفقتنی تحصيل ا
şefkatini,so3fo1fo2bo2bo1y,شفقتنی
şefkatinin,so3fo1fo2bo2bo1ko3,شفقتنڭ
şefkatiniz,so3fo1fo2bo2ko3ro1,شفقتڭز
şefkatinizden,so3fo1fo2bo2ko3ro1dbo1,شفقتڭزدن
şefkatinizi,so3fo1fo2bo2ko3ro1y,شفقتڭزی
şefkatinizin,so3fo1fo2bo2ko3ro1ko3,شفقتڭزڭ
şefkatinle,so3fo1fo2bo2ko3lh,شفقتڭله
şefkatiyle,so3fo1fo2bo2ylh,شفقتیله
şefkatkâr,so3fo1fo2bo2ker,شفقتکار
şefkatkârane,so3fo1fo2bo2kerebo1h,شفقتکارانه
şefkatkârların,so3fo1fo2bo2kerlrko3,شفقتکارلرڭ
şefkatle,so3fo1fo2bo2lh,شفقتله
şefkatler,so3fo1fo2bo2lr,شفقتلر
şefkatlerden,so3fo1fo2bo2lrdbo1,شفقتلردن
şefkatleri,so3fo1fo2bo2lry,شفقتلری
şefkatleridir,so3fo1fo2bo2lrydr,شفقتلریدر
şefkatlerinden,so3fo1fo2bo2lrbo1dbo1,شفقتلرندن
şefkatlerine,so3fo1fo2bo2lrybo1h,شفقتلرینه
şefkatlerini,so3fo1fo2bo2lrybo1y,شفقتلرینی
şefkatleriyle,so3fo1fo2bo2lrylh,شفقتلریله
şefkatli,so3fo1fo2bo2lw,شفقتلو
şefkatli,so3fo1fo2bo2ly,شفقتلی
şefkatlidir,so3fo1fo2bo2lydr,شفقتلیدر
şefkatlı,so3fo1fo2bo2ly,شفقتلی
şefkatnamede,so3fo1fo2bo2||bo1emh||dh,شفقت‌نامه‌ده
şefkatperver,so3fo1fo2bo2||bu3rwr,شفقت‌پرور
şefkatperver,so3o4fo1o0fo2o4bo2o0bu3o4ro0wo4ro0,شَفْقَتْپَرْوَرْ
şefkatperverane,so3fo1fo2bo2||bu3rwrebo1h,شفقت‌پرورانه
şefkatsiz,so3fo1fo2bo2sro1,شفقتسز
şefkatsizlik,so3fo1fo2bo2sro1lk,شفقتسزلک
şefkatte,so3fo1fo2bo2dh,شفقتده
şefkatteki,so3fo1fo2bo2dh||ky,شفقتده‌کی
şefkatten,so3fo1fo2bo2dbo1,شفقتدن
şefkattir,so3fo1fo2bo2dr,شفقتدر
şefkatı,so3fo1fo2bo2y,شفقتی
şefkatın,so3fo1fo2bo2ko3,شفقتڭ
şefkatına,so3fo1fo2bo2bo1h,شفقتنه
şefkatının,so3fo1fo2bo2bo1ko3,شفقتنڭ
şefkatıyla,so3fo1fo2bo2ylh,شفقتیله
şefler,so3fo1lr,شفلر
şeflerin,so3fo1lrko3,شفلرڭ
şeflerine,so3fo1lrybo1h,شفلرینه
şeftali,so3fo1bo2aely,شفتعالی
şeftali,so3fo1bo2elw,شفتالو
şeftalu,so3fo1bo2elw,شفتالو
şeftir,so3fo1dr,شفدر
şeftâli,so3fo1bo2aely,شفتعالی
şeftâli,so3fo1bo2elw,شفتالو
şeftâlû,so3fo1bo2elw,شفتالو
şefâat etmek,so3fo1eabo2 e,شفاعت ا
şefâat,so3fo1eabo2,شفاعت
şefâat,so3o4fo1o4eao4bo2o0,شَفَاعَتْ
şefâatci,so3fo1eabo2xu1y,شفاعتجی
şefâatçı,so3fo1eabo2xu1y,شفاعتجی
şefî',so3fo1bu2a,شفيع
şefî',so3o4fo1bu2ao0,شَفيعْ
şefî-i,so3fo1yau4,شفیعِ
şefî-ul,so3fo1ya el,شفیع ال
şefî-ül,so3fo1ya el,شفیع ال
şefîini,so3fo1yabo1y,شفیعنی
şefîk,so3fo1yfo2,شفیق
şefîu'-l,so3fo1ya el,شفیع ال
şegal,so3ao1el,شغال
şeh,so3h,شه
şeh,so3h||,شه‌
şeh-per,so3hbu3r,شهپر
şeha,so3he,شها
şehab,so3hebu1,شهاب
şehadat,so3hedebo2,شهادات
şehadat-ı,so3hedebo2u4,شهاداتِ
şehadatı,so3hedebo2y,شهاداتی
şehadatıdır,so3hedebo2ydr,شهاداتیدر
şehadatına,so3hedebo2bo1h,شهاداتنه
şehadatıyla,so3hedbo2ylh,شهادتیله
şehadet etmek,so3hedbo2 e,شهادت ا
şehadet parmağı,so3hedbo2 bu3rmh ao1y,شهادت پرمه غی
şehadet,so3hedbo2,شهادت
şehadet,so3o4ho4edo4bo2o0,شَهَادَتْ
şehadet-i sadıka,so3o4ho4edo4bo2u4 zo4edu4fo2o4h||,شَهَادَتِ صَادِقَه‌
şehadet-i,so3hedbo2u4,شهادتِ
şehadet-i̇ sadika,so3o4ho4edo4bo2u4 zo4edu4fo2o4h||,شَهَادَتِ صَادِقَه‌
şehadet-meab,so3hedbo2||meo6bu1,شهادت‌مآب
şehadet-zor,so3hedbo2 ro1wr,شهادت زور
şehadete,so3hedbo2h,شهادته
şehadeti,so3hedbo2y,شهادتی
şehadetidir,so3hedbo2ydr,شهادتیدر
şehadetin,so3hedbo2ko3,شهادتڭ
şehadetinden,so3hedbo2bo1dbo1,شهادتندن
şehadetine,so3hedbo2bo1h,شهادتنه
şehadetini,so3hedbo2bo1y,شهادتنی
şehadetinin,so3hedbo2bo1ko3,شهادتنڭ
şehadetiniz,so3hedbo2ko3ro1,شهادتڭز
şehadetiyle,so3hedbo2ylh,شهادتیله
şehadetle,so3hedbo2lh,شهادتله
şehadetler,so3hedbo2lr,شهادتلر
şehadetlerde,so3hedbo2lrdh,شهادتلرده
şehadetlerden,so3hedbo2lrdbo1,شهادتلردن
şehadetlerdir,so3hedbo2lrdr,شهادتلردر
şehadetlere,so3hedbo2lrh,شهادتلره
şehadetleri,so3hedbo2lry,شهادتلری
şehadetleridir,so3hedbo2lrydr,شهادتلریدر
şehadetlerin,so3hedbo2lrko3,شهادتلرڭ
şehadetlerinde,so3hedbo2lrbo1dh,شهادتلرنده
şehadetlerinden,so3hedbo2lrbo1dbo1,شهادتلرندن
şehadetlerine,so3hedbo2lrybo1h,شهادتلرینه
şehadetlerini,so3hedbo2lrybo1y,شهادتلرینی
şehadetlerinin,so3hedbo2lrybo1ko3,شهادتلرینڭ
şehadetleriyle,so3hedbo2lrylh,شهادتلریله
şehadetli,so3hedbo2ly,شهادتلی
şehadetlik,so3hedbo2lk,شهادتلک
şehadetlu,so3hembo2lw,شهامتلو
şehadetmeab,so3hedbo2||meo6bu1,شهادت‌مآب
şehadetname,so3hedbo2 bo1emh||,شهادت نامه‌
şehadetname,so3hedbo2bo1emh,شهادتنامه
şehadetname,so3hedbo2bo1emh||,شهادتنامه‌
şehadetname,so3o4ho4edo4bo2o0bo1o4emo4h||,شَهَادَتْنَامَه‌
şehadetname-i,so3hedbo2bo1emhu4,شهادتنامهِ
şehadetnamelerini,so3hedbo2bo1emh||lrybo1y,شهادتنامه‌لرینی
şehadetnamemi,so3hedbo2bo1emh||my,شهادتنامه‌می
şehadetnamesi,so3hedbo2bo1emh||sy,شهادتنامه‌سی
şehadette,so3hedbo2dh,شهادتده
şehadetteki,so3hedbo2dh||ky,شهادتده‌کی
şehadetten,so3hedbo2dbo1,شهادتدن
şehadettir,so3hedbo2dr,شهادتدر
şehamet,so3hembo2,شهامت
şehamet,so3o4ho4emo4bo2o0,شَهَامَتْ
şehamet-i,so3hembo2u4,شهامتِ
şehameti,so3hembo2y,شهامتی
şehametinin,so3hembo2bo1ko3,شهامتنڭ
şehametle,so3hembo2lh,شهامتله
şehametli,so3hembo2ly,شهامتلی
şehbal,so3hbu1el,شهبال
şehbaz,so3hbu1ero1,شهباز
şehbaz-ı,so3hbu1ero1u4,شهبازِ
şehbazi,so3hbu1ero1y,شهبازی
şehbazî,so3hbu1ero1y,شهبازی
şehbender,so3hbu1bo1dr,شهبندر
şehbenderhane,so3hbu1bo1dr xo1ebo1h||,شهبندر خانه‌
şehbenderhane,so3hbu1bo1drxo1ebo1h||,شهبندرخانه‌
şehbenderhâne,so3hbu1bo1dr xo1ebo1h,شهبندر خانه
şehbenderhâne,so3hbu1bo1drxo1ebo1h,شهبندرخانه
şehbenderlik,so3hbu1bo1drlk,شهبندرلک
şehbâl,so3hbu1el,شهبال
şehd,so3hd,شهد
şehd-i şehadet,so3o4ho0du4 so3o4ho4edo4bo2o0,شَهْدِ شَهَادَتْ
şehd-i,so3hdu4,شهدِ
şehd-i̇ şehadet,so3o4ho0du4 so3o4ho4edo4bo2o0,شَهْدِ شَهَادَتْ
şehdinden,so3hdbo1dbo1,شهدندن
şehenşah,so3hbo1so3eh||,شهنشاه‌
şehenşâh,so3hbo1so3eh,شهنشاه
şehevanî,so3hwebo1y,شهوانی
şehevat,so3hwebo2,شهوات
şehevatı,so3hwebo2y,شهواتی
şeheviye,so3hwyh,شهویه
şeheviye-i,so3hwyhu4,شهویهِ
şeheviyeden,so3hwyh||dbo1,شهویه‌دن
şeheviyenin,so3hwyh||bo1ko3,شهویه‌نڭ
şeheviyesi,so3hwyh||sy,شهویه‌سی
şeheviyye,so3hwyh,شهویه
şehevât,so3hwebo2,شهوات
şehid,so3hbu2d,شهيد
şehid,so3hyd,شهید
şehid-i,so3hydu4,شهیدِ
şehiden,so3hydo44e,شهیدًا
şehidi,so3hydy,شهیدی
şehidim,so3hydm,شهیدم
şehidin,so3hydko3,شهیدڭ
şehidinden,so3hydbo1dbo1,شهیدندن
şehidiz,so3hydro1,شهیدز
şehidler,so3hydlr,شهیدلر
şehidlerden,so3hydlrdbo1,شهیدلردن
şehidlerin,so3hydlrko3,شهیدلرڭ
şehidlerine,so3hydlrybo1h,شهیدلرینه
şehidlerinin,so3hydlrybo1ko3,شهیدلرینڭ
şehidlik,so3hbu2dlk,شهيدلک
şehidlik,so3hydlk,شهیدلک
şehidsin,so3hydsko3,شهیدسڭ
şehik,so3hyfo2,شهیق
şehir,so3hr,شهر
şehir,so3hyr,شهیر
şehirde,so3hrdh,شهرده
şehirdeki,so3hrdh||ky,شهرده‌کی
şehirden,so3hrdbo1,شهردن
şehirdir,so3hrdr,شهردر
şehire,so3hrh,شهره
şehiri,so3hry,شهری
şehirler,so3hrlr,شهرلر
şehirlerde,so3hrlrdh,شهرلرده
şehirlerden,so3hrlrdbo1,شهرلردن
şehirleri,so3hrlry,شهرلری
şehirlerin,so3hrlrko3,شهرلرڭ
şehirlerini,so3hrlrybo1y,شهرلرینی
şehirli,so3hrly,شهرلی
şehirliler,so3hrlylr,شهرلیلر
şehirlilere,so3hrlylrh,شهرلیلره
şehirlilikten,so3hrlylkdbo1,شهرلیلکدن
şehirliliğe,so3hrlylko7h,شهرلیلگه
şehi̇d,so3hyd,شهید
şehla,so3hle,شهلا
şehlâ,so3hle,شهلا
şehname-i,so3hbo1emhu4,شهنامهِ
şehnamelerine,so3hbo1emh||lrybo1h,شهنامه‌لرینه
şehnamesi,so3hbo1emh||sy,شهنامه‌سی
şehnaz,so3hbo1ero1,شهناز
şehnaz-ı,so3hbo1ero1u4,شهنازِ
şehnişin,so3hbo1so3bu2bo1,شهنشين
şehnişin,so3hbo1so3ybo1,شهنشین
şehper,so3hbu3r,شهپر
şehr,so3hr,شهر
şehr-i,so3hru4,شهرِ
şehr-âyin,so3hreo6yybo1,شهرآیین
şehr-âyîne-i,so3hreo6yybo1hu4,شهرآیینهِ
şehrah,so3hreh||,شهراه‌
şehrahına,so3hrehbo1h,شهراهنه
şehrayin,so3hr eo6yybo1,شهر آیین
şehraşub,so3hr eo6so3wbu1,شهر آشوب
şehre,so3hrh,شهره
şehremaneti,so3hremebo1bo2y,شهرامانتی
şehremini,so3hrembu2bo1y,شهرامينی
şehremini,so3hremybo1y,شهرامینی
şehremâneti,so3hremebo1bo2y,شهرامانتی
şehri,so3hry,شهری
şehrin,so3hrko3,شهرڭ
şehrinde,so3hrbo1dh,شهرنده
şehrini,so3hrybo1y,شهرینی
şehrinin,so3hrybo1ko3,شهرینڭ
şehristan,so3hrsbo2ebo1,شهرستان
şehristan-ı,so3hrsbo2ebo1u4,شهرستانِ
şehriyarı,so3hryery,شهریاری
şehriye,so3arbu2h,شعريه
şehriye,so3aryh||,شعریه‌
şehriye,so3hrbu2h||,شهريه‌
şehriye,so3hryh,شهریه
şehriye,so3hryh<>,شهریه‌
şehriyeden,so3hryh||dbo1,شهریه‌دن
şehriyye,so3hrbu2h,شهريه
şehriyye,so3hryh||,شهریه‌
şehriyâr,so3hryer,شهریار
şehriyâr-ı,so3hryeru4,شهریارِ
şehriyârı,so3hryery,شهریاری
şehryar,so3hryer,شهریار
şehryari,so3hryery,شهریاری
şehryâr,so3hryer,شهریار
şehryârî,so3hryery,شهریاری
şehrâh,so3hreh,شهراه
şehrâşûb,so3hr eo6so3wbu1,شهر آشوب
şehrî,so3hry,شهری
şehsüvar,so3hswer,شهسوار
şehvani,so3hwebo1y,شهوانی
şehvanî,so3hwebo1y,شهوانی
şehvat,so3hwebo2,شهوات
şehvet,so3hwbo2,شهوت
şehvet-engiz,so3hwbo2||eo5bo1ko7yro1,شهوت‌أنگیز
şehvet-i,so3hwbo2u4,شهوتِ
şehvet-âlûd,so3hwbo2||eo6lwd,شهوت‌آلود
şehvetengiz,so3hwbo2 ebo1ko7yro1,شهوت انگیز
şehvetengiz,so3hwbo2||eo5bo1ko7yro1,شهوت‌أنگیز
şehvetengîz,so3hwbo2 ebo1ko7bu2ro1,شهوت انگيز
şehveti,so3hwbo2y,شهوتی
şehvetin,so3hwbo2ko3,شهوتڭ
şehvetini,so3hwbo2bo1y,شهوتنی
şehvetle,so3hwbo2lh,شهوتله
şehvetlenmek,so3hwbo2lbo1mk,شهوتلنمک
şehvetperest,so3hwbo2 bu3rsbo2,شهوت پرست
şehvânî,so3hwebo1y,شهوانی
şehvât,so3hwebo2,شهوات
şehzade,so3hro1edh||,شهزاده‌
şehzadebaşı'nda,so3hro1edh bu1eso3bo1dh,شهزاده باشنده
şehzadegan,so3hro1edko7ebo1,شهزادگان
şehzâde,so3hro1edh,شهزاده
şehzâdegân,so3hro1edko7ebo1,شهزادگان
şehâ,so3he,شها
şehâb,so3hebu1,شهاب
şehâdet etmek,so3hedbo2 e,شهادت ا
şehâdet parmağı,so3hedbo2 bu3rmh ao1y,شهادت پرمه غی
şehâdet,so3hedbo2,شهادت
şehâdet,so3o4ho4edo4bo2o0,شَهَادَتْ
şehâdet-i sâdika,so3o4ho4edo4bo2u4 zo4edu4fo2o4h,شَهَادَتِ صَادِقَه
şehâdet-i sâdıka,so3o4ho4edo4bo2u4 zo4edu4fo2o4h,شَهَادَتِ صَادِقَه
şehâdet-zor,so3hedbo2 ro1wr,شهادت زور
şehâdetle,so3hedbo2lh,شهادتله
şehâdetlerini,so3hedbo2lrybo1y,شهادتلرینی
şehâdetlû,so3hembo2lw,شهامتلو
şehâdetnâme,so3hedbo2 bo1emh,شهادت نامه
şehâdetnâme,so3hedbo2bo1emh,شهادتنامه
şehâdetnâme,so3o4ho4edo4bo2o0bo1o4emo4h,شَهَادَتْنَامَه
şehâdetten,so3hedbo2dbo1,شهادتدن
şehâmet,so3hembo2,شهامت
şehâmet,so3o4ho4emo4bo2o0,شَهَامَتْ
şehâmetli,so3hembo2ly,شهامتلی
şehîd,so3hbu2d,شهيد
