
v,w,و
vaz'edilmesine,wzo1a eydylmh||sbo1h,وضع ایدیلمه‌سنه
vaz'edilmiş,wzo1a eydylmso3,وضع ایدیلمش
vaz'edilmişler,wzo1a eydylmso3lr,وضع ایدیلمشلر
vaz'edilmiştir,wzo1a eydylmso3dr,وضع ایدیلمشدر
vaz'edilsin,wzo1a eydylsybo1,وضع ایدیلسین
vaz'ediyor,wzo1a eydyywr,وضع ایدییور
vaz'ediyorsunuz,wzo1a eydyywrsko3ro1,وضع ایدییورسڭز
vaz'etmekle,wzo1a eybo2mklh,وضع ایتمکله
vaz'etmeyerek,wzo1a eybo2myh||rk,وضع ایتمیه‌رک
vaz'etmiş,wzo1a eybo2mso3,وضع ایتمش
vaz'etmiştir,wzo1a eybo2mso3dr,وضع ایتمشدر
vaz'etti,wzo1a eybo2dy,وضع ایتدی
vaz'ettim,wzo1a eybo2dm,وضع ایتدم
vaz'ettirilmesine,wzo1a eybo2dyrylmh||sbo1h,وضع ایتدیریلمه‌سنه
vaz'ettiği,wzo1a eybo2dyko7y,وضع ایتدیگی
vaz'eylediği,wzo1a eo5yldyko7y,وضع أیلدیگی
vaz'eylemiş,wzo1a eo5ylh||mso3,وضع أیله‌مش
vaz'eylemişlerdir,wzo1a eo5ylh||mso3lrdr,وضع أیله‌مشلردر
vaz'iye,wzo1ayh,وضعیه
vaz'iyesine,wzo1ayh||sbo1h,وضعیه‌سنه
vaz'iyet,wo4zo1o0au4bu2o4bo2o0,وَضْعِيَتْ
vaz'iyet,wo4zo1o0au4yo4bo2o0,وَضْعِیَتْ
vaz'iyet-i marziye,wo4zo1o0au4bu2o4bo2u4 mo4ro0zo1u4bu2o4h,وَضْعِيَتِ مَرْضِيَه
vaz'iyet-i marziye,wo4zo1o0au4yo4bo2u4 mo4ro0zo1u4yo4h||,وَضْعِیَتِ مَرْضِیَه‌
vaz'i̇yet,wo4zo1o0au4yo4bo2o0,وَضْعِیَتْ
vaz'i̇yet-i̇ marzi̇ye,wo4zo1o0au4yo4bo2u4 mo4ro0zo1u4yo4h||,وَضْعِیَتِ مَرْضِیَه‌
vaz'larına,wzo1alrybo1h,وضعلرینه
vaz'olunan,wzo1a ewlwbo1ebo1,وضع اولونان
vaz'ındaki,wzo1abo1dh||ky,وضعنده‌کی
vaz'ını,wzo1abo1y,وضعنی
vaz'ıyla,wzo1aylh,وضعیله
vaz,wero1,واز
vaz,wzo1a,وضع
vazaif,wto1ebo5fo1,وظائف
vazaif-i,wto1eyo5fo1u4,وظائفِ
vazaife,wto1eyo5fo1h,وظائفه
vazai̇f,wto1ebo5fo1,وظائف
vazeder,wzo1a eydr,وضع ایدر
vazelin,wero1h<>lybo1,وازه‌لین
vazelin,wero1h||lbu2bo1,وازه‌لين
vazgeç,wero1 ko7xu3,واز گچ
vazgeç,wero1kxu3,وازکچ
vazgeçdi,wero1kxu3dy,وازکچدی
vazgeçebilirlerdi,wero1 ko7xu3h||bu1ylyrlrdy,واز گچه‌بیلیرلردی
vazgeçecek,wero1 ko7xu3h||xu1k,واز گچه‌جک
vazgeçelim,wero1 ko7xu3h||lm,واز گچه‌لم
vazgeçemez,wero1ko7xu3h||mro1,وازگچه‌مز
vazgeçemiyorsun,wero1 ko7xu3h||myywrsko3,واز گچه‌مییورسڭ
vazgeçemiyorum,wero1 ko7xu3h||myywrm,واز گچه‌مییورم
vazgeçen,wero1 ko7xu3bo1,واز گچن
vazgeçer,wero1 ko7xu3r,واز گچر
vazgeçerdi,wero1 ko7xu3rdy,واز گچردی
vazgeçerek,wero1 ko7xu3h||rk,واز گچه‌رک
vazgeçerim,wero1ko7xu3h||rm,وازگچه‌رم
vazgeçilmese,wero1 ko7xu3ylmsh,واز گچیلمسه
vazgeçilmez,wero1 ko7xu3ylmro1,واز گچیلمز
vazgeçilmiş,wero1 ko7xu3ylmso3,واز گچیلمش
vazgeçiniz,wero1 ko7xu3ko3ro1,واز گچڭز
vazgeçip,wero1 ko7xu3wbu1,واز گچوب
vazgeçirdi,wero1 ko7xu3yrdy,واز گچیردی
vazgeçirdiler,wero1 ko7xu3yrdylr,واز گچیردیلر
vazgeçirdiğinden,wero1ko7xu3yrdyko7bo1dbo1,وازگچیردیگندن
vazgeçirecek,wero1 ko7xu3yrh||xu1k,واز گچیره‌جک
vazgeçirememiş,wero1 ko7xu3yrh||mh||mso3,واز گچیره‌مه‌مش
vazgeçiremez,wero1 ko7xu3yrh||mro1,واز گچیره‌مز
vazgeçiremezler,wero1ko7xu3yrh||mro1lr,وازگچیره‌مزلر
vazgeçiremiyorlar,wero1 ko7xu3yrh||myywrlr,واز گچیره‌مییورلر
vazgeçirilmez,wero1 ko7xu3yrylmro1,واز گچیریلمز
vazgeçirilmezler,wero1 ko7xu3yrylmro1lr,واز گچیریلمزلر
vazgeçirip,wero1ko7xu3yrwbu1,وازگچیروب
vazgeçirir,wero1 ko7xu3yrr,واز گچیرر
vazgeçiriyor,wero1 ko7xu3yryywr,واز گچیرییور
vazgeçiriyorlar,wero1 ko7xu3yryywrlr,واز گچیرییورلر
vazgeçirmek,wero1 ko7xu3yrmk,واز گچیرمک
vazgeçirmek,wero1kxu3wrmk,وازکچورمک
vazgeçirmektir,wero1ko7xu3yrmkdr,وازگچیرمکدر
vazgeçirmelerine,wero1 ko7xu3yrmh||lrybo1h,واز گچیرمه‌لرینه
vazgeçirmemiş,wero1 ko7xu3yrmh||mso3,واز گچیرمه‌مش
vazgeçirmesin,wero1 ko7xu3yrmsybo1,واز گچیرمسین
vazgeçirmeye,wero1 ko7xu3yrmko7h,واز گچیرمگه
vazgeçirmiş,wero1 ko7xu3yrmso3,واز گچیرمش
vazgeçiyor,wero1 ko7xu3yywr,واز گچییور
vazgeçiyorum,wero1 ko7xu3yywrm,واز گچییورم
vazgeçme,wero1 ko7xu3mh,واز گچمه
vazgeçmediniz,wero1 ko7xu3mh||dyko3ro1,واز گچمه‌دیڭز
vazgeçmediği,wero1 ko7xu3mdyko7y,واز گچمدیگی
vazgeçmediğin,wero1 ko7xu3mdyko7ko3,واز گچمدیگڭ
vazgeçmek,wero1 ko7xu3mk,واز گچمک
vazgeçmek,wero1kxu3mk,وازکچمک
vazgeçmekle,wero1 ko7xu3mklh,واز گچمکله
vazgeçmeleri,wero1 ko7xu3mh||lry,واز گچمه‌لری
vazgeçmelidirler,wero1 ko7xu3mh||lydrlr,واز گچمه‌لیدرلر
vazgeçmeliyiz,wero1 ko7xu3mly||yro1,واز گچملی‌یز
vazgeçmem,wero1 ko7xu3mm,واز گچمم
vazgeçmemek,wero1 ko7xu3mh||mk,واز گچمه‌مک
vazgeçmemek,wero1kxu3memk,وازکچمامک
vazgeçmemiş,wero1 ko7xu3mh||mso3,واز گچمه‌مش
vazgeçmesi,wero1 ko7xu3mh||sy,واز گچمه‌سی
vazgeçmeye,wero1 ko7xu3mko7h,واز گچمگه
vazgeçmeyecekler,wero1 ko7xu3myh||xu1klr,واز گچمیه‌جکلر
vazgeçmeyen,wero1 ko7xu3mh||ybo1,واز گچمه‌ین
vazgeçmezse,wero1 ko7xu3mro1sh,واز گچمزسه
vazgeçmiyerek,wero1 ko7xu3myh||rk,واز گچمیه‌رک
vazgeçmiş,wero1 ko7xu3mso3,واز گچمش
vazgeçmişler,wero1ko7xu3mso3lr,وازگچمشلر
vazgeçse,wero1 ko7xu3sh,واز گچسه
vazgeçseler,wero1 ko7xu3sh||lr,واز گچسه‌لر
vazgeçti,wero1 ko7xu3dy,واز گچدی
vazgeçtik,wero1ko7xu3dk,وازگچدک
vazgeçtikleri,wero1 ko7xu3dklry,واز گچدکلری
vazgeçtim,wero1 ko7xu3dm,واز گچدم
vazgeçtiği,wero1 ko7xu3dyko7y,واز گچدیگی
vazi',wzo1ya,وضیع
vazi'ül-esas,wezo1a eleses,واضع الاساس
vazi,wezo1a,واضع
vazife edinmek,wto1yfo1h eydbo1mk,وظیفه ایدنمک
vazife etmek,wto1yfo1h e,وظیفه ا
vazife,wto1bu2fo1h,وظيفه
vazife,wto1yfo1h,وظیفه
vazife,wto1yfo1h||,وظیفه‌
vazife-i,wto1yfo1hu4,وظیفهِ
vazifece,wto1yfo1h||xu1h,وظیفه‌جه
vazifedar,wto1yfo1h der,وظیفه دار
vazifedar,wto1yfo1h||der,وظیفه‌دار
vazifedarane,wto1yfo1h||derebo1h,وظیفه‌دارانه
vazifedardın,wto1yfo1h||derdko3,وظیفه‌داردڭ
vazifedardır,wto1yfo1h||derdr,وظیفه‌داردر
vazifedardırlar,wto1yfo1h||derdrlr,وظیفه‌داردرلر
vazifedarlar,wto1yfo1h||derlr,وظیفه‌دارلر
vazifedarlara,wto1yfo1h||derlrh,وظیفه‌دارلره
vazifedarları,wto1yfo1h||derlry,وظیفه‌دارلری
vazifedarlarımıza,wto1yfo1h||derlrymro1h,وظیفه‌دارلریمزه
vazifedarların,wto1yfo1h||derlrko3,وظیفه‌دارلرڭ
vazifedarlarını,wto1yfo1h||derlrybo1y,وظیفه‌دارلرینی
vazifedarlık,wto1yfo1h||derlfo2,وظیفه‌دارلق
vazifedarlıklarından,wto1yfo1h||derlfo2lrbo1dbo1,وظیفه‌دارلقلرندن
vazifedarı,wto1yfo1h||dery,وظیفه‌داری
vazifedarım,wto1yfo1h||derm,وظیفه‌دارم
vazifede,wto1yfo1h||dh,وظیفه‌ده
vazifededirler,wto1yfo1h||dh||drlr,وظیفه‌ده‌درلر
vazifedeki,wto1yfo1h||dh||ky,وظیفه‌ده‌کی
vazifeden,wto1yfo1h||dbo1,وظیفه‌دن
vazifedir,wto1yfo1h||dr,وظیفه‌در
vazifelendirilen,wto1yfo1h||lbo1dyrylbo1,وظیفه‌لندیریلن
vazifelendirilmiş,wto1yfo1h||lbo1dyrylmso3,وظیفه‌لندیریلمش
vazifeler,wto1yfo1h||lr,وظیفه‌لر
vazifelerde,wto1yfo1h||lrdh,وظیفه‌لرده
vazifelerden,wto1yfo1h||lrdbo1,وظیفه‌لردن
vazifelere,wto1yfo1h||lrh,وظیفه‌لره
vazifeleri,wto1yfo1h||lry,وظیفه‌لری
vazifeleridir,wto1yfo1h||lrydr,وظیفه‌لریدر
vazifelerim,wto1yfo1h||lrm,وظیفه‌لرم
vazifelerime,wto1yfo1h||lrymh,وظیفه‌لریمه
vazifelerimi,wto1yfo1h||lrymy,وظیفه‌لریمی
vazifelerimizi,wto1yfo1h||lrymro1y,وظیفه‌لریمزی
vazifelerin,wto1yfo1h||lrko3,وظیفه‌لرڭ
vazifelerinde,wto1yfo1h||lrbo1dh,وظیفه‌لرنده
vazifelerindeki,wto1yfo1h||lrbo1dh||ky,وظیفه‌لرنده‌کی
vazifelerinden,wto1yfo1h||lrbo1dbo1,وظیفه‌لرندن
vazifelerine,wto1yfo1h||lrybo1h,وظیفه‌لرینه
vazifelerini,wto1yfo1h||lrybo1y,وظیفه‌لرینی
vazifelerinin,wto1yfo1h||lrybo1ko3,وظیفه‌لرینڭ
vazifeleriyle,wto1yfo1h||lrylh,وظیفه‌لریله
vazifelerle,wto1yfo1h||lrlh,وظیفه‌لرله
vazifem,wto1yfo1h||m,وظیفه‌م
vazifemde,wto1yfo1h||mdh,وظیفه‌مده
vazifemdir,wto1yfo1h||mdr,وظیفه‌مدر
vazifeme,wto1yfo1h||mh,وظیفه‌مه
vazifemi,wto1yfo1h||my,وظیفه‌می
vazifemin,wto1yfo1h||mko3,وظیفه‌مڭ
vazifemiz,wto1yfo1h||mro1,وظیفه‌مز
vazifemizde,wto1yfo1h||mro1dh,وظیفه‌مزده
vazifemizden,wto1yfo1h||mro1dbo1,وظیفه‌مزدن
vazifemizdir,wto1yfo1h||mro1dr,وظیفه‌مزدر
vazifemizi,wto1yfo1h||mro1y,وظیفه‌مزی
vazifemizin,wto1yfo1h||mro1ko3,وظیفه‌مزڭ
vazifen,wto1yfo1h||ko3,وظیفه‌ڭ
vazifende,wto1yfo1h||ko3dh,وظیفه‌ڭده
vazifene,wto1yfo1h||ko3h,وظیفه‌ڭه
vazifeni,wto1yfo1h||ko3y,وظیفه‌ڭی
vazifenin,wto1yfo1h||bo1ko3,وظیفه‌نڭ
vazifeniz,wto1yfo1h||ko3ro1,وظیفه‌ڭز
vazifenizce,wto1yfo1h||ko3ro1xu1h,وظیفه‌ڭزجه
vazifenizde,wto1yfo1h||ko3ro1dh,وظیفه‌ڭزده
vazifenizden,wto1yfo1h||ko3ro1dbo1,وظیفه‌ڭزدن
vazifenizdir,wto1yfo1h||ko3ro1dr,وظیفه‌ڭزدر
vazifenize,wto1yfo1h||ko3ro1h,وظیفه‌ڭزه
vazifenizi,wto1yfo1h||ko3ro1y,وظیفه‌ڭزی
vazifenizin,wto1yfo1h||ko3ro1ko3,وظیفه‌ڭزڭ
vazifeperver,wto1yfo1h||bu3rwr,وظیفه‌پرور
vazifeperverlik,wto1yfo1h||bu3rwrlk,وظیفه‌پرورلک
vazifeperverliğimi,wto1yfo1h||bu3rwrlko7my,وظیفه‌پرورلگمی
vazifeperverliğinizden,wto1yfo1h||bu3rwrlko7ko3ro1dbo1,وظیفه‌پرورلگڭزدن
vazifesi olmak,wto1yfo1h sy ew,وظیفه سی او
vazifesi,wto1yfo1h||sy,وظیفه‌سی
vazifesidir,wto1yfo1h||sydr,وظیفه‌سیدر
vazifesinde değil,wto1yfo1h sbo1dh dkl,وظیفه سنده دکل
vazifesinde,wto1yfo1h||sbo1dh,وظیفه‌سنده
vazifesindeki,wto1yfo1h||sbo1dh||ky,وظیفه‌سنده‌کی
vazifesinden,wto1yfo1h||sbo1dbo1,وظیفه‌سندن
vazifesine,wto1yfo1h||sbo1h,وظیفه‌سنه
vazifesini,wto1yfo1h||sbo1y,وظیفه‌سنی
vazifesinin,wto1yfo1h||sbo1ko3,وظیفه‌سنڭ
vazifesiyle,wto1yfo1h||sylh,وظیفه‌سیله
vazifesiz,wto1yfo1h<>sro1,وظیفه‌سز
vazifesiz,wto1yfo1h||sro1,وظیفه‌سز
vazifesizlik,wto1yfo1h||sro1lk,وظیفه‌سزلک
vazifesizliğinden,wto1yfo1h||sro1lko7bo1dbo1,وظیفه‌سزلگندن
vazifesizsin,wto1yfo1h||sro1sko3,وظیفه‌سزسڭ
vazifeten,wto1yfo1ho2o44,وظیفةً
vazifeye,wto1yfo1h||yh,وظیفه‌یه
vazifeyi,wto1yfo1h||yy,وظیفه‌یی
vazifeşinas,wto1yfo1h so3bo1es,وظیفه شناس
vazifeşinas,wto1yfo1h<>so3bo1es,وظیفه‌شناس
vazifeşinas,wto1yfo1h||so3bo1es,وظیفه‌شناس
vazifeşinaslık,wto1yfo1h||so3bo1eslfo2,وظیفه‌شناسلق
vazih,wo4ezo1u4xo0,وَاضِحْ
vaziye,wezo1yh,واضیه
vaziyet,wzo1abu2bo2,وضعيت
vaziyet,wzo1aybo2,وضعیت
vaziyet-i,wzo1aybo2u4,وضعیتِ
vaziyete,wzo1aybo2h,وضعیته
vaziyeti,wzo1aybo2y,وضعیتی
vaziyetim,wzo1aybo2m,وضعیتم
vaziyetimde,wzo1aybo2mdh,وضعیتمده
vaziyetimden,wzo1aybo2mdbo1,وضعیتمدن
vaziyetime,wzo1aybo2mh,وضعیتمه
vaziyetimi,wzo1aybo2my,وضعیتمی
vaziyetimin,wzo1aybo2mko3,وضعیتمڭ
vaziyetimiz,wzo1aybo2mro1,وضعیتمز
vaziyetimizde,wzo1aybo2mro1dh,وضعیتمزده
vaziyetimizden,wzo1aybo2mro1dbo1,وضعیتمزدن
vaziyetimize,wzo1aybo2mro1h,وضعیتمزه
vaziyetimizin,wzo1aybo2mro1ko3,وضعیتمزڭ
vaziyetimle,wzo1aybo2mlh,وضعیتمله
vaziyetin,wzo1aybo2ko3,وضعیتڭ
vaziyetince,wzo1aybo2bo1xu1h,وضعیتنجه
vaziyetinde,wzo1aybo2bo1dh,وضعیتنده
vaziyetindedir,wzo1aybo2bo1dh||dr,وضعیتنده‌در
vaziyetindeki,wzo1aybo2bo1dh||ky,وضعیتنده‌کی
vaziyetinden,wzo1aybo2bo1dbo1,وضعیتندن
vaziyetine,wzo1aybo2bo1h,وضعیتنه
vaziyetini,wzo1aybo2bo1y,وضعیتنی
vaziyetinin,wzo1aybo2bo1ko3,وضعیتنڭ
vaziyetiniz,wzo1aybo2ko3ro1,وضعیتڭز
vaziyetinizi,wzo1aybo2ko3ro1y,وضعیتڭزی
vaziyetiyle,wzo1aybo2ylh,وضعیتیله
vaziyetle,wzo1aybo2lh,وضعیتله
vaziyetler,wzo1aybo2lr,وضعیتلر
vaziyetlerde,wzo1aybo2lrdh,وضعیتلرده
vaziyetlerden,wzo1aybo2lrdbo1,وضعیتلردن
vaziyetlere,wzo1aybo2lrh,وضعیتلره
vaziyetleri,wzo1aybo2lry,وضعیتلری
vaziyetleridir,wzo1aybo2lrydr,وضعیتلریدر
vaziyetlerin,wzo1aybo2lrko3,وضعیتلرڭ
vaziyetlerinde,wzo1aybo2lrbo1dh,وضعیتلرنده
vaziyetlerindeki,wzo1aybo2lrbo1dh||ky,وضعیتلرنده‌کی
vaziyetlerinden,wzo1aybo2lrbo1dbo1,وضعیتلرندن
vaziyetlerine,wzo1aybo2lrybo1h,وضعیتلرینه
vaziyetlerini,wzo1aybo2lrybo1y,وضعیتلرینی
vaziyetleriyle,wzo1aybo2lrylh,وضعیتلریله
vaziyetlerle,wzo1aybo2lrlh,وضعیتلرله
vaziyette,wzo1aybo2dh,وضعیتده
vaziyettedir,wzo1aybo2dh||dr,وضعیتده‌در
vaziyettedirler,wzo1aybo2dh||drlr,وضعیتده‌درلر
vaziyetteki,wzo1aybo2dh||ky,وضعیتده‌کی
vaziyetten,wzo1aybo2dbo1,وضعیتدن
vaziyetteyim,wzo1aybo2dh||ym,وضعیتده‌یم
vaziyetteyiz,wzo1aybo2dh||yro1,وضعیتده‌یز
vaziyettir,wzo1aybo2dr,وضعیتدر
vaziyyet-i,wzo1aybo2u4,وضعیتِ
vazi̇fe,wto1yfo1h||,وظیفه‌
vazo,wero1w,وازو
vazâif,wto1ebo5fo1,وظائف
vazâifi,wto1eyo5fo1y,وظائفی
vazî',wzo1bu2a,وضيع
vazîfe edinmek,wto1bu2fo1h ebu2dbo1mk,وظيفه ايدنمک
vazîfe etmek,wto1bu2fo1h e,وظيفه ا
vazîfe,wto1bu2fo1h,وظيفه
vazîfedâr,wto1bu2fo1h der,وظيفه دار
vazîfesi olmak,wto1bu2fo1h sy ew,وظيفه سی او
vazîfesinde değil,wto1bu2fo1h sbo1dh dkl,وظيفه سنده دکل
vazîfesiz,wto1bu2fo1h||sro1,وظيفه‌سز
vazîfeşinas,wto1bu2fo1h so3bo1es,وظيفه شناس
vazîfeşinâs,wto1bu2fo1h||so3bo1es,وظيفه‌شناس
vazı',wezo1a,واضع
vazıh,wezo1x,واضح
vazıh,wo4ezo1u4xo0,وَاضِحْ
vazıhan,wezo1xe,واضحا
vazıhan,wezo1xo44e,واضحًا
vazıhı,wezo1xy,واضحی
vazı’,wezo1a,واضع
vaz’ -ı haml,wzo1a xml,وضع حمل
vaz’ -ı kadim,wzo1a fo2dym,وضع قدیم
vaz’ -ı yed,wzo1a yd,وضع ید
vaz’,wzo1a,وضع
vaz’an,wzo1ae,وضعا
vaz’an,wzo1aeo44,وضعاً
vaz’ı,wezo1a,واضع
vaz’ıhamil,wzo1a xml,وضع حمل
vaîd'tir,wayddr,وعیددر
vaîd,wayd,وعید
vaîd-i,waydu4,وعیدِ
vaîddir,wayddr,وعیددر
vaîdinde,waydbo1dh,وعیدنده
vaîdlere,waydlrh,وعیدلره
vaîdleri,waydlry,وعیدلری
vaşak,wso3fo2,وشق
va’d,wad,وعد
va’z,wato1,وعظ
ve bir de,wbu1rdh,وبرده
ve bir de,wbu1rdh||,وبرده‌
ve birde,wbu1rdh,وبرده
ve birde,wbu1rdh||,وبرده‌
ve dahi,wdxo1y,ودخی
ve hem dahi,whmdxo1y,وهمدخی
ve hem de,whmdh,وهمده
ve hem de,whmdh||,وهمده‌
ve keza,wkdo1e,وکذا
ve kezalik,wkdo1lk,وکذلک
ve kezâ,wkdo1e,وکذا
ve kezâlik,wkdo1lk,وکذلک
ve ne de,wbo1h dh,ونه ده
ve ne de,wbo1h dh||,ونه ده‌
ve yine,wbu2bo1h,وينه
ve yine,wybo1h||,وینه‌
ve'd-i,wo4eo5o0du4,وَأْدِ
ve'l-asr,wo4elo0ao4zo0ru4,وَالْعَصْرِ
ve'l-asrı'yı,wo4elo0ao4zo0ru4||yy,وَالْعَصْرِ‌یی
ve'l-cemal,welxu1mel,والجمال
ve'l-ikram'ın,weleu5kremko3,والإکرامڭ
ve'l-ikram,weleu5krem,والإکرام
ve'l-ülema,w elalmec,و العلماء
ve't-tahavvül,welbo2xwo8l,والتحوّل
ve,w,و
ve-d,wo4 el,وَ ال
ve-keza,wkdo1e,وکذا
ve-kezâ,wkdo1e,وکذا
ve-l'asr'ın,wo4elo0ao4zo0ru4ko3,وَالْعَصْرِڭ
ve-l'asrı,wo4elo0ao4zo0ru4,وَالْعَصْرِ
ve-l,w el,و ال
ve-l-ikrâm'ın,weleu5kremko3,والإکرامڭ
ve-n,w el,و ال
ve-s,wo4el,وَال
ve-s-selam,welslem,والسلام
ve-t,w el,و ال
veba,wbu1e,وبا
veba-yı,wbu1eyu4,وبایِ
vebadan,wbu1edbo1,وبادن
vebai,wbu1ebo5y,وبائی
vebal,wbu1el,وبال
veballer,wbu1ellr,وباللر
veballi,wbu1elly,وباللی
vebalı,wbu1ely,وبالی
vebasından,wbu1esbo1dbo1,وباسندن
vebayı,wbu1eyy,وبایی
veber,wbu1r,وبر
vebâ,wbu1e,وبا
vebâl,wbu1el,وبال
vebâlli,wbu1elly,وباللی
vebâlı,wbu1ely,وبالی
vebâî,wbu1ebo5y,وبائی
veca',wxu1a,وجع
veca,wxu1a,وجع
veca-ül-mefasil,wxu1a elmfo1ezl,وجع المفاصل
veca-ül-mefâsil,wxu1a elmfo1ezl,وجع المفاصل
vecahet,wxu1ehbo2,وجاهت
vecalı,wxu1aly,وجعلی
vecd,wxu1d,وجد
vecdaver,wxu1deo6wr,وجدآور
vecde,wxu1dh,وجده
vecdle,wxu1dlh,وجدله
vecdâver,wxu1deo6wr,وجدآور
vecede,wo4xu1o4do4,وَجَدَ
vech,wxu1h,وجه
vech,wxu1h||,وجه‌
vech-i ihtisas,wo4xu1o0hu4 eu4xo1o0bo2u4zo4ezo0,وَجْهِ اِخْتِصَاصْ
vech-i muvafakat,wo4xu1o0hu4 mo9wo4efo1o4fo2o4bo2o0,وَجْهِ مُوَافَقَتْ
vech-i muvâfakat,wo4xu1o0hu4 mo9wo4efo1o4fo2o4bo2o0,وَجْهِ مُوَافَقَتْ
vech-i rahmet,wo4xu1o0hu4 ro4xo0mo4bo2o0,وَجْهِ رَحْمَتْ
vech-i tahsis,wo4xu1o0hu4 bo2o4xo1o0zyzo0,وَجْهِ تَخْصیصْ
vech-i tahsîs,wo4xu1o0hu4 bo2o4xo1o0zbu2zo0,وَجْهِ تَخْصيصْ
vech-i,wxu1hu4,وجهِ
vech-i̇ i̇hti̇sas,wo4xu1o0hu4 eu4xo1o0bo2u4zo4ezo0,وَجْهِ اِخْتِصَاصْ
vech-i̇ muvafakat,wo4xu1o0hu4 mo9wo4efo1o4fo2o4bo2o0,وَجْهِ مُوَافَقَتْ
vech-i̇ rahmet,wo4xu1o0hu4 ro4xo0mo4bo2o0,وَجْهِ رَحْمَتْ
vech-i̇ tahsi̇s,wo4xu1o0hu4 bo2o4xo1o0zyzo0,وَجْهِ تَخْصیصْ
veche,wxu1hh,وجهه
veche,wxu1hh||,وجهه‌
vechehu,wo4xu1o0ho4ho9,وَجْهَهُ
vechehü,wxu1hh,وجهه
vechen,wxu1heo44,وجهاً
vechesi,wxu1hh||sy,وجهه‌سی
vechesini,wxu1hh||sbo1y,وجهه‌سنی
vechesinin,wxu1hh||sbo1ko3,وجهه‌سنڭ
vechesiyle,wxu1hh||sylh,وجهه‌سیله
vechi,wxu1hy,وجهی
vechile,wxu1hlh,وجهله
vechin,wxu1hko3,وجهڭ
vechinde,wxu1hbo1dh,وجهنده
vechindeki,wxu1hbo1dh||ky,وجهنده‌کی
vechinden,wxu1hbo1dbo1,وجهندن
vechine,wxu1hbo1h,وجهنه
vechini,wxu1hbo1y,وجهنی
vechinin,wxu1hbo1ko3,وجهنڭ
vechiye,wxu1hyh,وجهیه
vechiye-i,wxu1hyhu4,وجهیهِ
vechiyede,wxu1hyh||dh,وجهیه‌ده
vechiyenin,wxu1hyh||bo1ko3,وجهیه‌نڭ
vechiyesinde,wxu1hyh||sbo1dh,وجهیه‌سنده
vechiyesini,wxu1hyh||sbo1y,وجهیه‌سنی
vechiyle,wxu1hylh,وجهیله
vechî,wxu1hy,وجهی
vechîsinden,wxu1hysbo1dbo1,وجهیسندن
vechün-mâ,wo4xu1o0h|| mo4e,وَجْه‌ مَا
veci',wxu1ya,وجیع
vecibe,wxu1ybu1h,وجیبه
vecibe,wxu1ybu1h||,وجیبه‌
vecibeden,wxu1ybu1h||dbo1,وجیبه‌دن
vecibelerini,wxu1ybu1h||lrybo1y,وجیبه‌لرینی
vecih'le,wxu1hlh,وجهله
vecih'teki,wxu1hdh||ky,وجهده‌کی
vecih,wo4xu1u4ho0,وَجِهْ
vecih,wxu1h,وجه
vecih,wxu1h||,وجه‌
vecihdir,wxu1hdr,وجهدر
vecihle,wxu1hlh,وجهله
vecihledir,wxu1hlh||dr,وجهله‌در
vecihler,wxu1hlr,وجهلر
vecihlerde,wxu1hlrdh,وجهلرده
vecihlerden,wxu1hlrdbo1,وجهلردن
vecihlere,wxu1hlrh,وجهلره
vecihleri,wxu1hlry,وجهلری
vecihlerin,wxu1hlrko3,وجهلرڭ
vecihlerinden,wxu1hlrbo1dbo1,وجهلرندن
vecihlerini,wxu1hlrybo1y,وجهلرینی
vecihlerinin,wxu1hlrybo1ko3,وجهلرینڭ
vecihlerle,wxu1hlrlh,وجهلرله
vecihte,wxu1hdh,وجهده
vecihteki,wxu1hdh||ky,وجهده‌کی
vecihten,wxu1hdbo1,وجهدن
veciz,wo4xu1yro1o0,وَجیزْ
veciz,wxu1bu2ro1,وجيز
veciz,wxu1yro1,وجیز
vecizdir,wxu1yro1dr,وجیزدر
vecize,wxu1yro1h||,وجیزه‌
vecizede,wxu1yro1h||dh,وجیزه‌ده
vecizeler,wxu1yro1h||lr,وجیزه‌لر
vecizelerden,wxu1yro1h||lrdbo1,وجیزه‌لردن
vecizelerdir,wxu1yro1h||lrdr,وجیزه‌لردر
vecizelere,wxu1yro1h||lrh,وجیزه‌لره
vecizeleri,wxu1yro1h||lry,وجیزه‌لری
vecizelerin,wxu1yro1h||lrko3,وجیزه‌لرڭ
vecizen,wxu1yro1h||ko3,وجیزه‌ڭ
vecizesi,wxu1yro1h||sy,وجیزه‌سی
vecizesini,wxu1yro1h||sbo1y,وجیزه‌سنی
vecizeyi,wxu1yro1h||yy,وجیزه‌یی
veci̇h,wo4xu1u4ho0,وَجِهْ
veci̇h,wxu1h||,وجه‌
veci̇z,wo4xu1yro1o0,وَجیزْ
vecâ,wxu1a,وجع
vecâhet,wxu1ehbo2,وجاهت
vecâlı,wxu1aly,وجعلی
vecî',wxu1bu2a,وجيع
vecîbe,wxu1bu2bu1h,وجيبه
vecîz,wo4xu1bu2ro1o0,وَجيزْ
vecîz,wxu1bu2ro1,وجيز
vecîze,wxu1bu2ro1h,وجيزه
veda'sız,wdeasro1,وداعسز
veda,wdea,وداع
veda-i,wdeau4,وداعِ
vedad,wded,وداد
vedalaş,wdealeso3,وداعلاش
vedalaşmak,wdealeso3mfo2,وداعلاشمق
vedaname,wdeabo1emh,وداعنامه
