a'cam,eo5axu1em,أعجام
anlayacak,eo6ko3leyh||xu1fo2,آڭلایه‌جق
anlayacaklar,eo6ko3leyh||xu1fo2lr,آڭلایه‌جقلر
anlayacakları,eo6ko3leyh||xu1fo2lry,آڭلایه‌جقلری
anlayacaklarına,eo6ko3leyh||xu1fo2lrybo1h,آڭلایه‌جقلرینه
anlayacaksın,eo6ko3leyh||xu1fo2sko3,آڭلایه‌جقسڭ
anlayacaksınız,eo6ko3leyh||xu1fo2sko3ro1,آڭلایه‌جقسڭز
anlayacaktır,eo6ko3leyh||xu1fo2dr,آڭلایه‌جقدر
anlayacağı,eo6ko3leyh||xu1ao1y,آڭلایه‌جغی
anlayacağınız,eo6ko3leyh||xu1ao1ko3ro1,آڭلایه‌جغڭز
anlayacağız,eo6ko3leyh||xu1ao1ro1,آڭلایه‌جغز
anlayamadık,eo6ko3leyh||mdfo2,آڭلایه‌مدق
anlayamadıkları,eo6ko3leyh||mdfo2lry,آڭلایه‌مدقلری
anlayamadıklarından,eo6ko3leyh||mdfo2lrbo1dbo1,آڭلایه‌مدقلرندن
anlayamadım,eo6ko3leyh||mdm,آڭلایه‌مدم
anlayamadığı,eo6ko3leyh||mdyao1y,آڭلایه‌مدیغی
anlayamadığım,eo6ko3leyh||mdyao1m,آڭلایه‌مدیغم
anlayamadığımız,eo6ko3leyh||mdyao1mro1,آڭلایه‌مدیغمز
anlayamadığından,eo6ko3leyh||mdyao1bo1dbo1,آڭلایه‌مدیغندن
anlayamadığınız,eo6ko3leyh||mdyao1ko3ro1,آڭلایه‌مدیغڭز
anlayamamış,eo6ko3leyh||memso3,آڭلایه‌مامش
anlayamamıştım,eo6ko3leyh||memso3dm,آڭلایه‌مامشدم
anlayamasak,eo6ko3leyh||mesh||fo2,آڭلایه‌ماسه‌ق
anlayamayan,eo6ko3leyh||myebo1,آڭلایه‌میان
anlayamayarak,eo6ko3leyh||myh||rfo2,آڭلایه‌میه‌رق
anlayamaz,eo6ko3leyh||mero1,آڭلایه‌ماز
anlayamazsanız,eo6ko3leyh||mero1sh||ko3ro1,آڭلایه‌مازسه‌ڭز
anlayamıyorum,eo6ko3leyh||myywrm,آڭلایه‌مییورم
anlayan,eo6ko3leyebo1,آڭلایان
anlayana,eo6ko3leyebo1h,آڭلایانه
anlayanlar,eo6ko3leyebo1lr,آڭلایانلر
anlayarak,eo6ko3leyh||rfo2,آڭلایه‌رق
anlayasın,eo6ko3leyh||sko3,آڭلایه‌سڭ
anlayasınız,eo6ko3leyh||sko3ro1,آڭلایه‌سڭز
anlayayım,eo6ko3leyh||ym,آڭلایه‌یم
anlayın,eo6ko3leyko3,آڭلایڭ
anlayınca,eo6ko3leybo1xu1h,آڭلاینجه
anlayınız,eo6ko3leyko3ro1,آڭلایڭز
anlayıp,eo6ko3leywbu1,آڭلایوب
anlayış,eklebu2so3,اکلايش
anlayış,ekleyso3,اکلایش
anlayış,eo6ko3leyso3,آڭلایش
anlayış,eo6ko3leyyso3,آڭلاییش
anlayış,eo6lo5o3leyso3,آكلایش
anlayışları,eo6ko3leyso3lry,آڭلایشلری
anlayışlı,eo6ko3leyso3ly,آڭلایشلی
anlayışlı,eo6lo5o3leyso3ly,آكلایشلی
anlayışta,eo6ko3leyyso3dh,آڭلاییشده
anlayışımız,eo6ko3leyso3mro1,آڭلایشمز
anlayışına,eo6ko3leyyso3bo1h,آڭلاییشنه
anlayışınız,eo6ko3leyso3ko3ro1,آڭلایشڭز
anlaş,eo6lo5o3leso3,آكلاش
anlaşarak,eo6ko3leso3h||rfo2,آڭلاشه‌رق
anlaşmak,eo6ko3leso3mfo2,آڭلاشمق
anlaşmak,eo6lo5o3leso3mfo2,آكلاشمق
anlaşmamazlık,eo6ko3leso3memero1lfo2,آڭلاشمامازلق
anlaşmamazlıklar,eo6ko3leso3memero1lfo2lr,آڭلاشمامازلقلر
anlaşmanın,eo6ko3leso3mh||bo1ko3,آڭلاشمه‌نڭ
anlaşıl,eo6lo5o3leso3l,آكلاشل
anlaşılabilir,eo6ko3leso3ylh||bu1ylyr,آڭلاشیله‌بیلیر
anlaşılabilsin,eo6ko3leso3ylh||bu1ylsybo1,آڭلاشیله‌بیلسین
anlaşılacak,eo6ko3leso3ylexu1fo2,آڭلاشیلاجق
anlaşılacağı,eo6ko3leso3ylh||xu1ao1y,آڭلاشیله‌جغی
anlaşılamamıştır,eo6ko3leso3ylememso3dr,آڭلاشیلامامشدر
anlaşılamaz,ekleso3lmro1,اکلاشلمز
anlaşılan,eo6ko3leso3ylebo1,آڭلاشیلان
anlaşıldı,eo6ko3leso3yldy,آڭلاشیلدی
anlaşıldıktan,eo6ko3leso3yldfo2dbo1,آڭلاشیلدقدن
anlaşıldığı,eo6ko3leso3yldyao1y,آڭلاشیلدیغی
anlaşıldığına,eo6ko3leso3yldyao1bo1h,آڭلاشیلدیغنه
anlaşıldığından,eo6ko3leso3yldyao1bo1dbo1,آڭلاشیلدیغندن
anlaşıldığını,eo6ko3leso3yldyao1bo1y,آڭلاشیلدیغنی
anlaşılmadığından,eo6ko3leso3ylmdyao1bo1dbo1,آڭلاشیلمدیغندن
anlaşılmak,eo6ko3leso3lmfo2,آڭلاشلمق
anlaşılmak,eo6ko3leso3ylmfo2,آڭلاشیلمق
anlaşılmak,eo6lo5o3leso3lmfo2,آكلاشلمق
anlaşılmakla,eo6ko3leso3ylmfo2lh,آڭلاشیلمقله
anlaşılmaktadır,eo6ko3leso3ylmfo2dh||dr,آڭلاشیلمقده‌در
anlaşılmamazlık,eo6ko3leso3ylmemro1lfo2,آڭلاشیلمامزلق
anlaşılmamış,eo6ko3leso3ylmemso3,آڭلاشیلمامش
anlaşılmasa,eo6ko3leso3ylmsh,آڭلاشیلمسه
anlaşılması,eo6ko3leso3ylmesy,آڭلاشیلماسی
anlaşılmasın,eo6ko3leso3ylmh||sybo1,آڭلاشیلمه‌سین
anlaşılmasına,eo6ko3leso3ylmesbo1h,آڭلاشیلماسنه
anlaşılmasında,eo6ko3leso3ylmesbo1dh,آڭلاشیلماسنده
anlaşılmasıyla,eo6ko3leso3ylmesylh,آڭلاشیلماسیله
anlaşılmayan,eo6ko3leso3ylmyebo1,آڭلاشیلمیان
anlaşılmaz bir madde,ekleso3lmro1bu1rmedh,اکلاشلمزبرماده
anlaşılmaz bir madde,ekleso3lmro1bu1rmedh||,اکلاشلمزبرماده‌
anlaşılmaz,ekleso3lmro1,اکلاشلمز
anlaşılmaz,eo6ko3leso3ylmero1,آڭلاشیلماز
anlaşılmıyor,eo6ko3leso3ylmyywr,آڭلاشیلمییور
anlaşılmış,eo6ko3leso3ylmso3,آڭلاشیلمش
anlaşılmıştır,eo6ko3leso3ylmso3dr,آڭلاشیلمشدر
anlaşılsa,eo6ko3leso3ylsh,آڭلاشیلسه
anlaşılsın,eo6ko3leso3ylsybo1,آڭلاشیلسین
anlaşılır,eo6ko3leso3ylyr,آڭلاشیلیر
anlaşılıveriyor,eo6ko3leso3ylywyryywr,آڭلاشیلیویرییور
anlaşılıyor,eo6ko3leso3ylyywr,آڭلاشیلییور
anlıyacağız,eo6ko3leyh||xu1ao1ro1,آڭلایه‌جغز
anlıyasın,eo6ko3leyh||sko3,آڭلایه‌سڭ
anlıyor,eo6ko3leywr,آڭلایور
anlıyorlar,eo6ko3leywrlr,آڭلایورلر
anlıyorsunuz,eo6ko3leywrsko3ro1,آڭلایورسڭز
anlıyorum,eo6ko3leywrm,آڭلایورم
anlıyoruz,eo6ko3leywrro1,آڭلایورز
anmak,ekmfo2,اکمق
anmak,eo6ko3mfo2,آڭمق
anmak,eo6lo5o3mfo2,آكمق
anmayacak,eo6ko3myh||xu1fo2,آڭمیه‌جق
anne,eo6bo1bo1h,آننه
anne,eo6bo1bo1h||,آننه‌
anneciğimi,eo6bo1bo1h||xu1ko7my,آننه‌جگمی
anneler,eo6bo1bo1h||lr,آننه‌لر
anneleri,eo6bo1bo1h||lry,آننه‌لری
annelerimiz,eo6bo1bo1h||lrymro1,آننه‌لریمز
annelerini,eo6bo1bo1h||lrybo1y,آننه‌لرینی
annelerinin,eo6bo1bo1h||lrybo1ko3,آننه‌لرینڭ
annelerinizin,eo6bo1bo1h||lryko3ro1ko3,آننه‌لریڭزڭ
annem,eo6bo1bo1h||m,آننه‌م
annemiz,eo6bo1bo1h||mro1,آننه‌مز
annesi,eo6bo1bo1h||sy,آننه‌سی
annesine,eo6bo1bo1h||sbo1h,آننه‌سنه
annesini,eo6bo1bo1h||sbo1y,آننه‌سنی
annesinin,eo6bo1bo1h||sbo1ko3,آننه‌سنڭ
annesiz,eo6bo1bo1h||sro1,آننه‌سز
anonim,eo6bo1wbo1ym,آنونیم
ansak,eo6ko3sefo2,آڭساق
ansamimilkalb,abo1 zmym elfo2lbu1,عن صمیم القلب
ansamîmilkalb,abo1 zmbu2m elfo2lbu1,عن صميم القلب
ansar,eo4bo1o0zer,اَنْصار
ansiklopedi,eo6bo1sbu2fo2lwbu2h||dy,آنسيقلويه‌دی
ansiklopedi,eo6bo1syfo2lwyh||dy,آنسیقلویه‌دی
ansiklopedisi,eo6bo1syfo2lwbu3h||dysy,آنسیقلوپه‌دیسی
ansız,ebo1sro1,انسز
ansız,eo6ko3sro1,آڭسز
ansız,eo6lo5o3sro1,آكسز
ansızın,ebo1sro1bu2bo1,انسزين
ansızın,ebo1sro1ybo1,انسزین
ansızın,eo6bo1sro1ybo1,آنسزین
ansızın,eo6ko3sro1ybo1,آڭسزین
ansızın,eo6lo5o3sro1ybo1,آكسزین
antalya'da,eo6bo1telyh||dh,آنطالیه‌ده
antalya'dan,eo6bo1telyh||dbo1,آنطالیه‌دن
antalya'lı,eo6bo1telyh||ly,آنطالیه‌لی
antalya'ya,eo6bo1telyh||yh,آنطالیه‌یه
antalya,eo6bo1telyh,آنطالیه
antalya,eo6bo1telyh||,آنطالیه‌
anten,eo6bo1bo2h||bo1,آنته‌ن
antere,abo1bo2rh,عنتره
antidemokratik,eo6bo1bo2y dmwfo2rebo2yk,آنتی دموقراتیک
antika,abo1bo2fo2h,عنتقه
antika,abo1bo2fo2h||,عنتقه‌
antika,abo1bo2yfo2h||,عنتیقه‌
antika,eo6bo1bo2yfo2h,آنتیقه
antika,eo6bo1bo2yfo2h||,آنتیقه‌
antika-i,eo6bo1bo2yfo2h||u4,آنتیقه‌ِ
antikacıların,eo6bo1bo2yfo2h||xu1ylrko3,آنتیقه‌جیلرڭ
antikaları,eo6bo1bo2yfo2h||lry,آنتیقه‌لری
antikalarını,eo6bo1bo2yfo2h||lrybo1y,آنتیقه‌لرینی
antikalık,eo6bo1bo2yfo2h||lfo2,آنتیقه‌لق
antikalığı,eo6bo1bo2yfo2h||lao1y,آنتیقه‌لغی
antikasıdır,eo6bo1bo2yfo2h||sydr,آنتیقه‌سیدر
antikasını,eo6bo1bo2yfo2h||sbo1y,آنتیقه‌سنی
antimon,eo6bo1bo2ymwbo1,آنتیمون
antipirin,eo6bo1bo2ybu3yrybo1,آنتیپیرین
antisepsi,eo6bo1bo2y||sh||bu3sy,آنتی‌سه‌پسی
antiseptik,eo6bo1bo2y||sh||bu3bo2yk,آنتی‌سه‌پتیک
antre,eo6bo1bo2rh,آنتره
antre,eo6bo1bo2rh||,آنتره‌
antrenör,eo6bo1bo2rh||bo1wr,آنتره‌نور
antrepo,eo6bo1bo2rbu3w,آنترپو
antrik,eo6bo1tryfo2,آنطریق
antîka,abo1bo2bu2fo2h,عنتيقه
anud,abo1wd,عنود
anudane,abo1wdebo1h,عنودانه
anvet,abo1wbo2,عنوت
anâdil,abo1edl,عنادل
anâsir-i arziye,ao4bo1o4ezu4ru4 eo4ro0zo1u4bu2o4o8h,عَنَاصِرِ اَرْضِيَّه
anâsir-i erba'a,abo1ezr erbu1ah,عناصر اربعه
anâsir-i islâmiye,ao4bo1o4ezu4ru4 eu4so0leo4mu4bu2o4h,عَنَاصِرِ اِسْلاَمِيَه
anâsir-i külliye,ao4bo1o4ezu4ru4 ko9lu4o8bu2o4h,عَنَاصِرِ کُلِّيَه
anâsır,abo1ezr,عناصر
anâsır,ao4bo1o4ezu4ro0,عَنَاصِرْ
anâsır-ı arziye,ao4bo1o4ezu4ru4 eo4ro0zo1u4bu2o4o8h,عَنَاصِرِ اَرْضِيَّه
anâsır-ı erba',abo1ezrerbu1a,عناصراربع
anâsır-ı erba'a,abo1ezr erbu1ah,عناصر اربعه
anâsır-ı islâmiye,ao4bo1o4ezu4ru4 eu4so0leo4mu4bu2o4h,عَنَاصِرِ اِسْلاَمِيَه
anâsır-ı külliye,ao4bo1o4ezu4ru4 ko9lu4o8bu2o4h,عَنَاصِرِ کُلِّيَه
anâsır-ı,abo1ezru4,عناصرِ
anâsırı,abo1ezry,عناصری
anûd,abo1wd,عنود
anı,ebo1y,انی
anı,eo6bo1y,آنی
anıda,ebo1bu2dh,انيده
anıda,ebo1ydh||,انیده‌
anıl,eo6lo5o3l,آكل
anılan,eo6ko3ylebo1,آڭیلان
anıldığı,eo6kyu44ldyao1y,آکیٍلدیغی
anılmak,eo6ko3lmfo2,آڭلمق
anılmak,eo6lo5o3lmfo2,آكلمق
anılmaktadır,eo6ko3ylmfo2dh||dr,آڭیلمقده‌در
anılmaya,eo6ko3ylmao1h,آڭیلمغه
anılmaz,eo6ko3ylmero1,آڭیلماز
anılsın,eo6ko3ylsybo1,آڭیلسین
anılırken,eo6ko3ylyrkbo1,آڭیلیرکن
anın,ebo1k,انک
anın,eo6bo1ko3,آنڭ
anında,eo6bo1bo1dh,آننده
anınki,ebo1kky,انککی
anınçün,eo6bo1ko3xu3wbo1,آنڭچون
anınçün,eo6bo1lo5o3xu3wbo1,آنكچون
anır,eo6lo5o3yr,آكیر
anırmak,ekrmfo2,اکرمق
anırmak,eo6ko3yrmfo2,آڭیرمق
anırmak,eo6lo5o3yrmfo2,آكیرمق
anırt,eo6lo5o3yrbo2,آكیرت
anırtmak,eo6ko3yrbo2mfo2,آڭیرتمق
anırtmak,eo6lo5o3yrbo2mfo2,آكیرتمق
anız,eo6ko3yro1,آڭیز
anız,eo6lo5o3yro1,آكیز
an’anat,abo1abo1ebo2,عنعنات
an’ane,abo1abo1h||,عنعنه‌
an’anevi,abo1abo1wy,عنعنوی
ap,ebu3,اپ
ap,eo6bu3,آپ
apalak,eo6bu3elefo2,آپالاق
apandisit,eo6bu3ebo1dysybo2,آپاندیسیت
apansız,ebu1 ebo1sro1,اب انسز
apansız,ebu3||ebo1sro1,اپ‌انسز
apansız,eo6bu3eko3sro1,آپاڭسز
apansız,eo6bu3eksro1,آپاکسز
apansız,eo6bu3elo5o3sro1,آپاكسز
apansızın,eo6bu3eko3sro1ybo1,آپاڭسزین
apansızın,eo6bu3elo5o3sro1ybo1,آپاكسزین
apar,eo6bu3er,آپار
aparmak,ebu3ermfo2,اپارمق
aparmak,eo6bu3ermfo2,آپارمق
apartman,eo6bu3erbo2mebo1,آپارتمان
apartman-ı,eo6bu3erbo2mebo1u4,آپارتمانِ
apartmandan,eo6bu3erbo2mebo1dbo1,آپارتماندن
apartmanlar,eo6bu3erbo2mebo1lr,آپارتمانلر
apartmanı,eo6bu3erbo2mebo1y,آپارتمانی
apartıman,eo6bu3erbo2mebo1,آپارتمان
apaz,eo6bu3ero1,آپاز
apazlama,eo6bu3ero1lemh,آپازلامه
apazlama,eo6bu3ero1lemh||,آپازلامه‌
apazlamak,eo6bu3ero1lemfo2,آپازلامق
apaçık,ebu3||exu3fo2,اپ‌اچق
apaçık,eo6bu3||eo6xu3yfo2,آپ‌آچیق
apaşikâr,eo6bu3 eo6so3ker,آپ آشکار
apiko,eo6bu3bu2wfo2w,آپيوقو
apiko,eo6bu3ywfo2w,آپیوقو
apiş,ebu3so3,اپش
apolet,eo6bu3wlbo2,آپولت
apoletleri,eo6bu3wlbo2lry,آپولتلری
apse,eo6bu3sh,آپسه
apse,eo6bu3sh||,آپسه‌
aptal,eo6bu1del,آبدال
aptal,eo6bu3del,آپدال
aptalların,eo6bu1dellrko3,آبداللرڭ
aptalsı,eo6bu3delsy,آپدالسی
apul,eo6bu3wl,آپول
apuş,eo6bu3wso3,آپوش
apış,eo6bu3bu2so3,آپيش
apış,eo6bu3so3,آپش
apış,eo6bu3yso3,آپیش
apışmak,ebu3so3mfo2,اپشمق
apışmak,eo6bu3so3mfo2,آپشمق
apıştırmak,eo6bu3so3dbu2rmfo2,آپشديرمق
apıştırmak,eo6bu3so3dyrmfo2,آپشدیرمق
apışık,eo6bu3so3bu2fo2,آپشيق
apışık,eo6bu3so3yfo2,آپشیق
apşak,eo6bu3so3efo2,آپشاق
ar'ar,arar,عرعر
ar,aer,عار
ara sıra vaki olan,erezrh wefo2a ewlebo1,اراصره واقع اولان
ara sıra vâki olan,erezrh wefo2a ewlebo1,اراصره واقع اولان
ara sıra,erezrh,اراصره
ara sıra,erezrh||,اراصره‌
ara vermeyerek,erewbu2rmbu2h rk,اراويرميه رک
ara vermeyerek,erewyrmyh rk,اراویرمیه رک
ara',eo6rec,آراء
ara'is,arebo5s,عرائس
ara,eo6re,آرا
ara,eo6rec,آراء
ara,eo6rh,آره
ara,eo6rh||,آره‌
ara,ere,ارا
arab'a,arbu1h,عربه
arab'da,arbu1dh,عربده
arab'daki,arbu1dh||ky,عربده‌کی
arab'dan,arbu1dbo1,عربدن
arab'dır,arbu1dr,عربدر
arab'ı,arbu1y,عربی
arab'ın,arbu1ko3,عربڭ
arab,arbu1,عرب
arab-türk,arbu1 bo2wrk,عرب تورک
araba bargiri,arbu1h bu1erkbu2ry,عربه بارکيری
araba bargiri,arbu1h bu1erkyry,عربه بارکیری
araba ile gezmek,arbu1h ebu2lh kro1mk,عربه ايله کزمک
araba ile gezmek,arbu1h eylh kro1mk,عربه ایله کزمک
araba,arbu1h,عربه
araba,arbu1h||,عربه‌
araba,eo6rebu1e,آرابا
araba,eo6rebu1h,آرابه
araba,eo6rebu1h||,آرابه‌
arabacı,arbu1h xu1y,عربه جی
arabacı,eo6rebu1exu1y,آراباجی
arabacı,eo6rebu1h||xu1y,آرابه‌جی
arabacılar,eo6rebu1h||xu1ylr,آرابه‌جیلر
arabacılık,eo6rebu1h||xu1ylfo2,آرابه‌جیلق
arabacılık,eo6rebu1h||xu1bu2lfo2,آرابه‌جيلق
arabamızın,eo6rebu1h||mro1ko3,آرابه‌مزڭ
arabanın,eo6rebu1h||bo1ko3,آرابه‌نڭ
arabası,eo6rebu1h||sy,آرابه‌سی
arabasına,eo6rebu1h||sbo1h,آرابه‌سنه
arabasından,eo6rebu1h||sbo1dbo1,آرابه‌سندن
arabaya,eo6rebu1h||yh,آرابه‌یه
arabağı,eo6rebu1eao1y,آراباغی
arabca,arbu1xu1h,عربجه
arabca-ingilizce,arbu1xu1h eu5bo1ko7lyro1xu1h,عربجه إنگلیزجه
arabcanın,arbu1xu1h||bo1ko3,عربجه‌نڭ
arabcası,arbu1xu1h||sy,عربجه‌سی
arabcaya,arbu1xu1h||yh,عربجه‌یه
arabcılık,arbu1xu1ylfo2,عربجیلق
arabda,arbu1dh,عربده
arabdaki,arbu1dh||ky,عربده‌کی
arabdan,arbu1dbo1,عربدن
arabdır,arbu1dr,عربدر
arabi,ao4ro4bu1y,عَرَبی
arabi,arbu1y,عربی
arabistan'a,arbu1sbo2ebo1h,عربستانه
arabistan'da,arbu1sbo2ebo1dh,عربستانده
arabistan'daki,arbu1sbo2ebo1dh||ky,عربستانده‌کی
arabistan'ı,arbu1sbo2ebo1y,عربستانی
arabistan'ın,arbu1sbo2ebo1ko3,عربستانڭ
arabistan,arbu1sbo2ebo1,عربستان
arabistanda,arbu1sbo2ebo1dh,عربستانده
arabiyat,arbu1yebo2,عربیات
arabiye'den,arbu1yh||dbo1,عربیه‌دن
arabiye'dir,arbu1yh||dr,عربیه‌در
arabiye'nin,arbu1yh||bo1ko3,عربیه‌نڭ
arabiye'ye,arbu1yh||yh,عربیه‌یه
arabiye,arbu1yh,عربیه
arabiyece,arbu1yh||xu1h,عربیه‌جه
arabiyede,arbu1yh||dh,عربیه‌ده
arabiyeden,arbu1yh||dbo1,عربیه‌دن
arabiyedir,arbu1yh||dr,عربیه‌در
arabiyem,arbu1yh||m,عربیه‌م
arabiyemde,arbu1yh||mdh,عربیه‌مده
arabiyenin,arbu1yh||bo1ko3,عربیه‌نڭ
arabiyeye,arbu1yh||yh,عربیه‌یه
arabiyeyi,arbu1yh||yy,عربیه‌یی
arabiyy-ül,arbu1yo8 el,عربیّ ال
arabiyye,arbu1yh,عربیه
arabiyât,arbu1yebo2,عربیات
arabi̇,ao4ro4bu1y,عَرَبی
arabla,arbu1lh,عربله
arablar'da,arbu1lrdh,عربلرده
arablar,arbu1lr,عربلر
arablara,arbu1lrh,عربلره
arablarda,arbu1lrdh,عربلرده
arabların,arbu1lrko3,عربلرڭ
arablık,arbu1lfo2,عربلق
arabça'ya,arbu1xu1h||yh,عربجه‌یه
arabça,arbu1xu1h,عربجه
arabçadaki,arbu1xu1h||dh||ky,عربجه‌ده‌کی
arabçanın,arbu1xu1h||bo1ko3,عربجه‌نڭ
arabçası,arbu1xu1h||sy,عربجه‌سی
arabçasıdır,arbu1xu1h||sydr,عربجه‌سیدر
arabçasının,arbu1xu1h||sbo1ko3,عربجه‌سنڭ
arabçaya,arbu1xu1h||yh,عربجه‌یه
arabî'den,arbu1ydbo1,عربیدن
arabî'dir,arbu1y||dr,عربی‌در
arabî'nin,arbu1ybo1ko3,عربینڭ
arabî'ye,arbu1y||yh,عربی‌یه
arabî'yi,arbu1y||yy,عربی‌یی
arabî,ao4ro4bu1bu2,عَرَبي
arabî,arbu1y,عربی
arabî-i,arbu1yo5u4,عربئِ
arabîce,arbu1yxu1h,عربیجه
arabîde,arbu1y||dh,عربی‌ده
arabîden,arbu1ydbo1,عربیدن
arabîdirler,arbu1ydrlr,عربیدرلر
arabînin,arbu1ybo1ko3,عربینڭ
arabîye,arbu1y||yh,عربی‌یه
arabı,arbu1y,عربی
arabın,arbu1ko3,عربڭ
arada bulunmak,eredh bu1wlbo1mfo2,اراده بولنمق
arada olmak,eredh ew,اراده او
arada sırada,eredh zrh dh,اراده صره ده
arada sırada,eredh zrh dh||,اراده صره ده‌
arada,eo6redh,آراده
arada,eredh,اراده
arada,eredh||,اراده‌
aradaki,eo6redh||ky,آراده‌کی
aradan,eo6redbo1,آرادن
aradîn,eo5rzo1ybo1,أرضین
aradı,eo6redy,آرادی
aradık,eo6redfo2,آرادق
aradıkları,eo6redfo2lry,آرادقلری
aradıklarını,eo6redfo2lrybo1y,آرادقلرینی
aradılar,eo6redylr,آرادیلر
aradım,eo6redm,آرادم
aradın,eo6redko3,آرادڭ
aradığı,eo6redyao1y,آرادیغی
aradığım,eo6redyao1m,آرادیغم
aradığımı,eo6redyao1my,آرادیغمی
aradığımız,eo6redyao1mro1,آرادیغمز
aradığımızdan,eo6redyao1mro1dbo1,آرادیغمزدن
aradığımızı,eo6redyao1mro1y,آرادیغمزی
aradığını,eo6redyao1ko3y,آرادیغڭی
aradığınız,eo6redyao1ko3ro1,آرادیغڭز
araf,earefo1,اعراف
arafa,arfo1h,عرفه
arafat'a,arfo1ebo2h,عرفاته
arafat'ta,arfo1ebo2dh,عرفاتده
arafat,arfo1ebo2,عرفات
arak nev'inden,arfo2 bo1wabo1dbo1,عرق نوعندن
arak,arfo2,عرق
arakapı,eo6refo2ebu3y,آراقاپی
arakdar,arfo2der,عرقدار
arakdâr,arfo2der,عرقدار
arakçin,arfo2xu3ybo1,عرقچین
arakçîn,arfo2xu3bu2bo1,عرقچين
arakıyye,arfo2bu2h,عرقيه
arakıyye,arfo2yh||,عرقیه‌
aral,eo6rel,آرال
arala,eo6rele,آرالا
aralamak,eo6relemfo2,آرالامق
aralan,eo6relebo1,آرالان
aralanmak,eo6relebo1mfo2,آرالانمق
araları,eo6relry,آرالری
aralarına,eo6relrybo1h,آرالرینه
aralarında,eo6relrbo1dh,آرالرنده
aralarındaki,eo6relrbo1dh||ky,آرالرنده‌کی
aralarından,eo6relrbo1dbo1,آرالرندن
aralarını,eo6relrybo1y,آرالرینی
aralat,eo6relebo2,آرالات
aralatmak,eo6relebo2mfo2,آرالاتمق
aralaş,eo6releso3,آرالاش
aralaşmak,eo6releso3mfo2,آرالاشمق
aralık,eo6relfo2,آرالق
aralık,eo6rh||lfo2,آره‌لق
aralık,erelfo2,ارالق
aralıktan bakmak,erelfo2dbo1 bu1efo2mfo2,ارالقدن باقمق
aram,eo6rem,آرام
arama,eo6reme,آراما
arama,eo6remh,آرامه
arama,eo6remh||,آرامه‌
arama,eremh,ارامه
arama,eremh||,ارامه‌
aramada,eo6remh||dh,آرامه‌ده
aramadan,eo6remh||dbo1,آرامه‌دن
aramadıklarından,eo6remdfo2lrbo1dbo1,آرامدقلرندن
aramadım,eo6remdm,آرامدم
aramadın,eo6remdko3,آرامدڭ
aramadığım,eo6remdyao1m,آرامدیغم
aramadığımı,eo6remdyao1my,آرامدیغمی
aramak,eo6remfo2,آرامق
aramak,eremfo2,ارامق
aramakla,eo6remfo2lh,آرامقله
aramaklık,eremfo2lfo2,ارامقلق
aramaklığınız,eo6remfo2lao1ko3ro1,آرامقلغڭز
aramakta,eo6remfo2dh,آرامقده
aramaktan,eo6remfo2dbo1,آرامقدن
aramaktır,eo6remfo2dr,آرامقدر
aramalarına,eo6remelrybo1h,آرامالرینه
aramalı,eo6remely,آرامالی
aramamak,eo6rememfo2,آرامامق
aramamaktır,eo6rememfo2dr,آرامامقدر
aramamalı,eo6rememly,آراماملی
araması,eo6remesy,آراماسی
aramasının,eo6remesbo1ko3,آراماسنڭ
aramaya,eo6remao1h,آرامغه
aramayarak,eo6remyh||rfo2,آرامیه‌رق
aramayı,eo6remeyy,آرامایی
aramayız,eo6remeyro1,آرامایز
aramaz,eo6remero1,آراماز
aramazlar,eo6remero1lr,آرامازلر
aramağa,eo6remao1h,آرامغه
arambahş,eo6rem bu1xo1so3,آرام بخش
aramdaki,eo6remdh||ky,آرامده‌کی
aramgah,eo6remkeh||,آرامکاه‌
aramgah,eo6remko7eh||,آرامگاه‌
aramiş,eo6remso3,آرامش
aramsaz,eo6remsero1,آرامساز
aramsız,eo6remsro1,آرامسز
aramsızlık,eo6remsro1lfo2,آرامسزلق
aramıyarak,eo6remyh||rfo2,آرامیه‌رق
aramıyor,eo6remyywr,آرامییور
aramıyorlar,eo6remyywrlr,آرامییورلر
aramıyorsun,eo6remyywrsko3,آرامییورسڭ
aramıyorum,eo6remyywrm,آرامییورم
aramıza,eo6remro1h,آرامزه
aramızda,eo6remro1dh,آرامزده
aramızdaki,eo6remro1dh||ky,آرامزده‌کی
aramızdan,eo6remro1dbo1,آرامزدن
aramış,eo6remso3,آرامش
aramışlar,eo6remso3lr,آرامشلر
aramışlarsa,eo6remso3lrsh,آرامشلرسه
aran,eo6rebo1,آران
arandı,eo6rebo1dy,آراندی
arandığı,eo6rebo1dyao1y,آراندیغی
aranmak,eo6rebo1mfo2,آرانمق
aranmasına,eo6rebo1mesbo1h,آرانماسنه
aranmaz,eo6rebo1mero1,آرانماز
aranmış,eo6rebo1mso3,آرانمش
aranıl,eo6rebo1yl,آرانیل
aranılacak,eo6rebo1ylexu1fo2,آرانیلاجق
aranılmak,eo6rebo1lmfo2,آرانلمق
aranılmak,eo6rebo1ylmfo2,آرانیلمق
aranılmaz,eo6rebo1ylmero1,آرانیلماز
aranılsa,eo6rebo1ylsh,آرانیلسه
aranılır,erebo1bu2lwr,ارانيلور
aranılır,erebo1ylwr,ارانیلور
aranılıyor,eo6rebo1ylyywr,آرانیلییور
aranıyor,eo6rebo1yywr,آرانییور
aranızda,eo6reko3ro1dh,آراڭزده
