
p,bu3,پ
pelid,bu3lyd,پلید
pelin,bu3lbu2bo1,پلين
pelin,bu3lybo1,پلین
pelinotu,bu3lbu2bo1 ewbo2y,پلين اوتی
pelinotu,bu3lybo1 ewbo2y,پلین اوتی
pelit,bu3lbu2bo2,پليت
pelit,bu3lybo2,پلیت
pelte,bu3lbo2h,پلته
pelte,bu3lbo2h||,پلته‌
peltek söylemek,bu3lbo2k swbu2lmk,پلتک سويلمک
peltek söylemek,bu3lbo2k swylmk,پلتک سویلمک
peltek,bu3lbo2k,پلتک
pelteklen,bu3lbo2sklh<>bo1,پلتسکله‌ن
pelteklenmek,bu3lbo2sklh<>bo1mk,پلتسکله‌نمک
pelteklenmek,bu3lbo2sklh||bo1mk,پلتسکله‌نمک
peltekleş,bu3lbo2sklh<>so3,پلتسکله‌ش
peltekleşmek,bu3lbo2sklh<>so3mk,پلتسکله‌شمک
peltekleşmek,bu3lbo2sklh||so3mk,پلتسکله‌شمک
pelteklik,bu3lbo2klk,پلتکلک
pelteklik,bu3lbo2sklk,پلتسکلک
pelîd,bu3lbu2d,پليد
pembe,bu3bo1bu1h,پنبه
pembe,bu3bo1bu1h||,پنبه‌
pembelik,bu3bo1bu1h<>lk,پنبه‌لک
pembelik,bu3bo1bu1h||lk,پنبه‌لک
pembemsi,bu3bo1bu1h<>msy,پنبه‌مسی
pembemsi,bu3bo1bu1h||msy,پنبه‌مسی
penah,bu3bo1eh,پناه
penah,bu3bo1eh||,پناه‌
penahgah,bu3bo1ehko7eh||,پناهگاه‌
penahgâh,bu3bo1ehko7eh,پناهگاه
penahi,bu3bo1ehy,پناهی
penahı,bu3bo1ehy,پناهی
penaltı,bu3h<>bo2elbo2y,په‌تالتی
penaltı,bu3h||bo2elbo2y,په‌تالتی
penbe,bu3bo1bu1h,پنبه
penbe,bu3bo1bu1h||,پنبه‌
penbe,bu3bo1ehy,پناهی
penc,bu3bo1xu1,پنج
pence,bu3bo1xu1h,پنجه
pence,bu3bo1xu1h||,پنجه‌
pencere'nin,bu3bo1xu1rh||bo1ko3,پنجره‌نڭ
pencere,bu3bo1xu1h<>rh||,پنجه‌ره‌
pencere,bu3bo1xu1h||rh,پنجه‌ره
pencere,bu3bo1xu1rh,پنجره
pencere,bu3bo1xu1rh<>,پنجره‌
pencere,bu3bo1xu1rh||,پنجره‌
pencere-i,bu3bo1xu1rhu4,پنجرهِ
pencerede,bu3bo1xu1rh||dh,پنجره‌ده
pencereden,bu3bo1xu1rh||dbo1,پنجره‌دن
penceredir,bu3bo1xu1rh||dr,پنجره‌در
pencereler'in,bu3bo1xu1rh||lrko3,پنجره‌لرڭ
pencereler,bu3bo1xu1rh||lr,پنجره‌لر
pencerelerden,bu3bo1xu1rh||lrdbo1,پنجره‌لردن
pencerelerdir,bu3bo1xu1rh||lrdr,پنجره‌لردر
pencerelere,bu3bo1xu1rh||lrh,پنجره‌لره
pencereleri,bu3bo1xu1rh||lry,پنجره‌لری
pencerelerimi,bu3bo1xu1rh||lrymy,پنجره‌لریمی
pencerelerin,bu3bo1xu1rh||lrko3,پنجره‌لرڭ
pencerelerinde,bu3bo1xu1rh||lrbo1dh,پنجره‌لرنده
pencerelerinden,bu3bo1xu1rh||lrbo1dbo1,پنجره‌لرندن
pencerelerine,bu3bo1xu1rh||lrybo1h,پنجره‌لرینه
pencerelerini,bu3bo1xu1rh||lrybo1y,پنجره‌لرینی
pencerelerinin,bu3bo1xu1rh||lrybo1ko3,پنجره‌لرینڭ
pencereleriyle,bu3bo1xu1rh||lrylh,پنجره‌لریله
pencereli,bu3bo1xu1rh||ly,پنجره‌لی
penceremiz,bu3bo1xu1rh||mro1,پنجره‌مز
pencerenin,bu3bo1xu1rh||bo1ko3,پنجره‌نڭ
penceresi'nde,bu3bo1xu1rh||sbo1dh,پنجره‌سنده
penceresi,bu3bo1xu1rh||sy,پنجره‌سی
penceresidir,bu3bo1xu1rh||sydr,پنجره‌سیدر
penceresinde,bu3bo1xu1rh||sbo1dh,پنجره‌سنده
penceresinden,bu3bo1xu1rh||sbo1dbo1,پنجره‌سندن
penceresine,bu3bo1xu1rh||sbo1h,پنجره‌سنه
penceresini,bu3bo1xu1rh||sbo1y,پنجره‌سنی
penceresinin,bu3bo1xu1rh||sbo1ko3,پنجره‌سنڭ
penceresiyle,bu3bo1xu1rh||sylh,پنجره‌سیله
pencereye,bu3bo1xu1rh||yh,پنجره‌یه
pencereyi,bu3bo1xu1rh||yy,پنجره‌یی
pencidü,bu3bo1xu1 w dw,پنج و دو
pencise,bu3bo1xu1 w sh,پنج و سه
pencise,bu3bo1xu1 w sh||,پنج و سه‌
penciyek:,bu3bo1xu1 w yk,پنج و یک
pencüdü,bu3bo1xu1 w dw,پنج و دو
pencüse,bu3bo1xu1 w sh,پنج و سه
pencüse,bu3bo1xu1 w sh||,پنج و سه‌
pencüyek,bu3bo1xu1 w yk,پنج و یک
pend,bu3bo1d,پند
pendname,bu3bo1dbo1emh,پندنامه
pendname,bu3bo1dbo1emh||,پندنامه‌
peni,bu3h<>bo1y,په‌نی
peni,bu3h||bo1y,په‌نی
penir,bu3bo1bu2r,پنير
penir,bu3bo1yr,پنیر
penâhî,bu3bo1ehy,پناهی
pençe,bu3bo1xu1h,پنجه
pençe,bu3bo1xu1h||,پنجه‌
pençe,bu3bo1xu3h,پنچه
pençe,bu3bo1xu3h||,پنچه‌
pençe-i,bu3bo1xu3hu4,پنچهِ
pençele,bu3bo1xu3h<>lh<>,پنچه‌له‌
pençelemek,bu3bo1xu3h<>lh<>mk,پنچه‌له‌مک
pençelemek,bu3bo1xu3h||lh||mk,پنچه‌له‌مک
pençeleri,bu3bo1xu3h||lry,پنچه‌لری
pençelerine,bu3bo1xu3h||lrybo1h,پنچه‌لرینه
pençelerini,bu3bo1xu3h||lrybo1y,پنچه‌لرینی
pençeleş,bu3bo1xu3h<>lh<>so3,پنچه‌له‌ش
pençeleşmek,bu3bo1xu3h<>lh<>so3mk,پنچه‌له‌شمک
pençeleşmek,bu3bo1xu3h||lh||so3mk,پنچه‌له‌شمک
pençeleşmek,bu3bo1xu3h||lso3mk,پنچه‌لشمک
pençeleşmesi,bu3bo1xu3h||lso3mh||sy,پنچه‌لشمه‌سی
pençeli,bu3bo1xu3h<>ly,پنچه‌لی
pençeli,bu3bo1xu3h||ly,پنچه‌لی
pençenin,bu3bo1xu3h||bo1ko3,پنچه‌نڭ
pençesinden,bu3bo1xu3h||sbo1dbo1,پنچه‌سندن
pençesini,bu3bo1xu3h||sbo1y,پنچه‌سنی
pençesinin,bu3bo1xu3h||sbo1ko3,پنچه‌سنڭ
pençesiyle,bu3bo1xu3h||sylh,پنچه‌سیله
pençinleşmiştir,bu3rxu3ybo1lso3mso3dr,پرچینلشمشدر
pençlerini,bu3bo1xu3lrybo1y,پنچلرینی
pençşenbe,bu3bo1xu1so3bo1bu1h,پنجشنبه
pençşenbe,bu3bo1xu1so3bo1bu1h||,پنجشنبه‌
penîr,bu3bo1bu2r,پنير
pepe,bu3h<>bu3h||,په‌په‌
pepe,bu3h||bu3h,په‌په
pepele,bu3h<>bu3h<>lh<>,په‌په‌له‌
pepeleme,bu3bu3ky swbu2lmk,پپکی سويلمک
pepelemek,bu3h<>bu3h<>lh<>mk,په‌په‌له‌مک
pepelemek,bu3h||bu3h||lh||mk,په‌په‌له‌مک
pepelik,bu3h<>bu3h<>lk,په‌په‌لک
pepelik,bu3h||bu3h||lk,په‌په‌لک
pepemelik,bu3h<>bu3h<>mh<>lk,په‌په‌مه‌لک
pepemelik,bu3h||bu3h||mh||lk,په‌په‌مه‌لک
pepeği söylemek,bu3bu3ky swbu2lmk,پپکی سويلمک
pepeği söylemek,bu3bu3ky swylmk,پپکی سویلمک
pepsin,bu3h<>bu3sybo1,په‌پسین
pepsin,bu3h||bu3sbu2bo1,په‌پسين
per,bu3r,پر
perakende,bu3rekbo1dh,پراکنده
perakende,bu3rekbo1dh||,پراکنده‌
perdah,bu3rdexo1,پرداخ
perdahcı,bu3rdexo1xu1y,پرداخجی
perdahla,bu3rdexle,پرداحلا
perdahlamak,bu3rdexlemfo2,پرداحلامق
perdahlı,bu3rdexo1ly,پرداخلی
perdahsız,bu3rdexo1sro1,پرداخسز
perdaz,bu3rdero1,پرداز
perde,bu3rdh,پرده
perde,bu3rdh||,پرده‌
perde-birunane,bu3rdh||bu1yrwbo1ebo1h,پرده‌بیرونانه
perde-i izzet ve azamet,bu3o4ro0do4u4 au4ro1o4o8bo2o0 w ao4to1o4mo4bo2o0,پَرْدَِ عِزَّتْ و عَظَمَتْ
perde-i izzet ve azamet,bu3o4ro0do4u4 au4ro1o4o8bo2o0 w ao4to1o4mo4bo2o0,پَرْدَِ عِزَّتْ و عَظَمَتْ
perde-i izzet,bu3o4ro0do4u4 au4ro1o4o8bo2o0,پَرْدَِ عِزَّتْ
perde-i izzet,bu3o4ro0do4u4 au4ro1o4o8bo2o0,پَرْدَِ عِزَّتْ
perde-i zahiri,bu3o4ro0do4u4 to1o4ehu4ry,پَرْدَِ ظَاهِری
perde-i zâhirî,bu3o4ro0do4u4 to1o4ehu4rbu2,پَرْدَِ ظَاهِري
perde-i zĀhiriye,bu3o4ro0do4u4 to1o4ehu4ru4bu2o4h,پَرْدَِ ظَاهِرِيَه
perde-i zāhiriye,bu3o4ro0do4u4 to1o4ehu4ru4bu2o4h,پَرْدَِ ظَاهِرِيَه
perde-i zāhiriye,bu3o4ro0do4u4 to1o4ehu4ru4yo4h||,پَرْدَِ ظَاهِرِیَه‌
perde-i,bu3rdhu4,پردهِ
perde-i̇ i̇zzet ve azamet,bu3o4ro0do4u4 au4ro1o4o8bo2o0 w ao4to1o4mo4bo2o0,پَرْدَِ عِزَّتْ و عَظَمَتْ
perde-i̇ i̇zzet,bu3o4ro0do4u4 au4ro1o4o8bo2o0,پَرْدَِ عِزَّتْ
perde-i̇ zahi̇ri̇,bu3o4ro0do4u4 to1o4ehu4ry,پَرْدَِ ظَاهِری
perde-i̇ zāhi̇ri̇ye,bu3o4ro0do4u4 to1o4ehu4ru4yo4h||,پَرْدَِ ظَاهِرِیَه‌
perdeci,bu3rdh<>xu1y,پرده‌جی
perdeci,bu3rdh||xu1y,پرده‌جی
perdedar,bu3rdh der,پرده دار
perdedar,bu3rdh<>der,پرده‌دار
perdedar,bu3rdh||der,پرده‌دار
perdedar-i dest-i̇ kudret,bu3o4ro0do4h do4eru4 do4so0bo2u4 fo2o9do0ro4bo2o0,پَرْدَه دَارِ دَسْتِ قُدْرَتْ
perdedar-ı dest-i kudret,bu3o4ro0do4h do4eru4 do4so0bo2u4 fo2o9do0ro4bo2o0,پَرْدَه دَارِ دَسْتِ قُدْرَتْ
perdedar-ı,bu3rdh||deru4,پرده‌دارِ
perdedarlıkta,bu3rdh||derlfo2dh,پرده‌دارلقده
perdede,bu3rdh||dh,پرده‌ده
perdeden,bu3rdh||dbo1,پرده‌دن
perdedir,bu3rdh||dr,پرده‌در
perdedirler,bu3rdh||drlr,پرده‌درلر
perdedâr,bu3rdh||der,پرده‌دار
perdedâr-i dest-i kudret,bu3o4ro0do4h do4eru4 do4so0bo2u4 fo2o9do0ro4bo2o0,پَرْدَه دَارِ دَسْتِ قُدْرَتْ
perdedâr-ı dest-i kudret,bu3o4ro0do4h do4eru4 do4so0bo2u4 fo2o9do0ro4bo2o0,پَرْدَه دَارِ دَسْتِ قُدْرَتْ
perdele,bu3rdh<>lh<>,پرده‌له‌
perdeledim,bu3rdh||lh||dm,پرده‌له‌دم
perdelemek,bu3rdh<>lh<>mk,پرده‌له‌مک
perdelemek,bu3rdh||lh||mk,پرده‌له‌مک
perdelen,bu3rdh<>lh<>bo1,پرده‌له‌ن
perdelendikleri,bu3rdh||lbo1dyklry,پرده‌لندیکلری
perdelenir,bu3rdh||lh||bo1yr,پرده‌له‌نیر
perdelenirse,bu3rdh||lbo1yrsh,پرده‌لنیرسه
perdelenmek,bu3rdh<>lh<>bo1mk,پرده‌له‌نمک
perdelenmek,bu3rdh||lh||bo1mk,پرده‌له‌نمک
perdelenmesini,bu3rdh||lbo1mh||sbo1y,پرده‌لنمه‌سنی
perdelenmiş,bu3rdh||lbo1mso3,پرده‌لنمش
perdelenmişse,bu3rdh||lbo1mso3sh,پرده‌لنمشسه
perdeler,bu3rdh||lr,پرده‌لر
perdelerde,bu3rdh||lrdh,پرده‌لرده
perdelerden,bu3rdh||lrdbo1,پرده‌لردن
perdelerdir,bu3rdh||lrdr,پرده‌لردر
perdelere,bu3rdh||lrh,پرده‌لره
perdeleri,bu3rdh||lry,پرده‌لری
perdeleridir,bu3rdh||lrydr,پرده‌لریدر
perdelerin,bu3rdh||lrko3,پرده‌لرڭ
perdelerinde,bu3rdh||lrbo1dh,پرده‌لرنده
perdelerinden,bu3rdh||lrbo1dbo1,پرده‌لرندن
perdelerine,bu3rdh||lrybo1h,پرده‌لرینه
perdelerini,bu3rdh||lrybo1y,پرده‌لرینی
perdelerinin,bu3rdh||lrybo1ko3,پرده‌لرینڭ
perdeleriyle,bu3rdh||lrylh,پرده‌لریله
perdelerle,bu3rdh||lrlh,پرده‌لرله
perdeli,bu3rdh<>ly,پرده‌لی
perdeli,bu3rdh||ly,پرده‌لی
perdenin,bu3rdh||bo1ko3,پرده‌نڭ
perdesi,bu3rdh||sy,پرده‌سی
perdesidir,bu3rdh||sydr,پرده‌سیدر
perdesinde,bu3rdh||sbo1dh,پرده‌سنده
perdesinden,bu3rdh||sbo1dbo1,پرده‌سندن
perdesine,bu3rdh||sbo1h,پرده‌سنه
perdesini,bu3rdh||sbo1y,پرده‌سنی
perdesinin,bu3rdh||sbo1ko3,پرده‌سنڭ
perdesiyle,bu3rdh||sylh,پرده‌سیله
perdesiz,bu3rdh<>sro1,پرده‌سز
perdesiz,bu3rdh||sro1,پرده‌سز
perdesizlik,bu3rdh<>sro1lk,پرده‌سزلک
perdesizlik,bu3rdh||sro1lk,پرده‌سزلک
perdeye,bu3rdh||yh,پرده‌یه
perdeyi,bu3rdh||yy,پرده‌یی
perend,bu3rbo1d,پرند
perende,bu3rbo1dh,پرنده
perende,bu3rbo1dh||,پرنده‌
perendebaz,bu3rbo1dh<>bu1ero1,پرنده‌باز
perendebâz,bu3rbo1dh||bu1ero1,پرنده‌باز
perese,bu3rsh,پرسه
perese,bu3rsh||,پرسه‌
perest,bu3rsbo2,پرست
perestar,bu3rsbo2er,پرستار
perestide,bu3rsbo2ydh||,پرستیده‌
perestiş etmek,bu3rsbo2so3 e,پرستش ا
perestiş,bu3o4ro4so0bo2u4so3o0,پَرَسْتِشْ
perestiş,bu3rsbo2so3,پرستش
perestiş-i esnam,bu3rsbo2so3 ezbo1em,پرستش اصنام
perestiş-i esnâm,bu3rsbo2so3 ezbo1em,پرستش اصنام
perestişe,bu3rsbo2so3h,پرستشه
perestişgah,bu3rsbo2so3,پرستش
perestişgah,bu3rsbo2so3ko7eh||,پرستشگاه‌
perestişgâh,bu3rsbo2so3,پرستش
perestişgâh,bu3rsbo2so3ko7eh,پرستشگاه
perestişi,bu3rsbo2so3y,پرستشی
perestişkar,bu3o4ro4so0bo2u4so3o0ko4ero0,پَرَسْتِشْکَارْ
perestişkar,bu3rsbo2so3ker,پرستشکار
perestişkarane,bu3rsbo2so3kerebo1h||,پرستشکارانه‌
perestişkâr,bu3o4ro4so0bo2u4so3o0ko4ero0,پَرَسْتِشْکَارْ
perestişkâr,bu3rsbo2so3ker,پرستشکار
perestişkârane,bu3rsbo2so3kerebo1h,پرستشکارانه
perestişkârları,bu3rsbo2so3kerlry,پرستشکارلری
perestişkârlarına,bu3rsbo2so3kerlrybo1h,پرستشکارلرینه
perestişkârlarının,bu3rsbo2so3kerlrybo1ko3,پرستشکارلرینڭ
perestişkârâne,bu3rsbo2so3kerebo1h,پرستشکارانه
perestişkârı,bu3rsbo2so3kery,پرستشکاری
perestişlik,bu3rsbo2so3lk,پرستشلک
perestişliklerin,bu3rsbo2so3lklrko3,پرستشلکلرڭ
perestişliğine,bu3rsbo2so3lko7bo1h,پرستشلگنه
peresti̇ş,bu3o4ro4so0bo2u4so3o0,پَرَسْتِشْ
peresti̇şkar,bu3o4ro4so0bo2u4so3o0ko4ero0,پَرَسْتِشْکَارْ
perestu,bu3rsbo2w,پرستو
perestâr,bu3rsbo2er,پرستار
perestîde,bu3rsbo2bu2dh,پرستيده
perestû,bu3rsbo2w,پرستو
pergal,bu3rko7el,پرگال
pergar (pergel),bu3rker,پرکار
pergar,bu3rko7er,پرگار
pergel,bu3rko7l,پرگل
pergeli,bu3rko7ery,پرگاری
pergelin,bu3rko7erko3,پرگارڭ
pergelini,bu3rko7erybo1y,پرگارینی
pergeliyle,bu3rko7erylh,پرگاریله
pergelle,bu3rko7lh<>,پرگله‌
pergellemek,bu3rko7lh<>mk,پرگله‌مک
pergellemek,bu3rko7lh||mk,پرگله‌مک
pergâl,bu3rko7el,پرگال
pergâr (pergel),bu3rker,پرکار
pergâr,bu3rko7er,پرگار
pergârla,bu3rko7erlh,پرگارله
pergârıyla,bu3rko7erylh,پرگاریله
perhiz etmek,bu3rhyro1e,پرهیزا
perhiz tutmak,bu3rhyro1twbo2mfo2,پرهیزطوتمق
perhiz yemeği,bu3rhyro1 ymky,پرهیز یمکی
perhiz,bu3rhyro1,پرهیز
perhizdir,bu3rhyro1dr,پرهیزدر
perhize,bu3rhyro1h,پرهیزه
perhiziyle,bu3rhyro1ylh,پرهیزیله
perhizkar,bu3rhyro1ker,پرهیزکار
perhizkarlık,bu3rhyro1kerlfo2,پرهیزکارلق
perhizkâr,bu3rhbu2ro1ker,پرهيزکار
perhizli,bu3rhyro1lw,پرهیزلو
perhizsizlikten,bu3rhyro1sro1lkdbo1,پرهیزسزلکدن
perhîz etmek,bu3rhbu2ro1e,پرهيزا
perhîz tutmak,bu3rhbu2ro1twbo2mfo2,پرهيزطوتمق
perhîz yemeği,bu3rhbu2ro1 bu2mky,پرهيز يمکی
perhîz,bu3rhbu2ro1,پرهيز
perhîzkâr,bu3rhbu2ro1ker,پرهيزکار
perhîzkârlık,bu3rhbu2ro1kerlfo2,پرهيزکارلق
perhîzli,bu3rhbu2ro1lw,پرهيزلو
peri,bu3ry,پری
pericik,bu3rbu2xu1k,پريجک
pericik,bu3ryxu1k,پریجک
perihan,bu3ry xo1ebo1,پری خان
periler,bu3rylr,پریلر
perilere,bu3rylrh,پریلره
peripeyker,bu3ry bu3ykr,پری پیکر
periveş,bu3ry wso3,پری وش
periçihre,bu3ry xu3hrh||,پری چهره‌
perişan etmek,bu3ryso3ebo1 e,پریشان ا
perişan olmak,bu3ryso3ebo1 ew,پریشان او
perişan,bu3ryso3ebo1,پریشان
perişan-ı hatır,bu3ryso3ebo1 xo1etr,پریشان خاطر
perişandır,bu3ryso3ebo1dr,پریشاندر
perişanhal,bu3ryso3ebo1 xel,پریشان حال
perişani,bu3ryso3ebo1y,پریشانی
perişaniyet,bu3ryso3ebo1ybo2,پریشانیت
perişaniyete,bu3ryso3ebo1ybo2h,پریشانیته
perişaniyeti,bu3ryso3ebo1ybo2y,پریشانیتی
perişaniyetim,bu3ryso3ebo1ybo2m,پریشانیتم
perişaniyetimde,bu3ryso3ebo1ybo2mdh,پریشانیتمده
perişaniyetimden,bu3ryso3ebo1ybo2mdbo1,پریشانیتمدن
perişaniyetime,bu3ryso3ebo1ybo2mh,پریشانیتمه
perişaniyetimizi,bu3ryso3ebo1ybo2mro1y,پریشانیتمزی
perişaniyetimle,bu3ryso3ebo1ybo2mlh,پریشانیتمله
perişaniyetinden,bu3ryso3ebo1ybo2bo1dbo1,پریشانیتندن
perişaniyetine,bu3ryso3ebo1ybo2bo1h,پریشانیتنه
perişaniyetini,bu3ryso3ebo1ybo2bo1y,پریشانیتنی
perişaniyetlerden,bu3ryso3ebo1ybo2lrdbo1,پریشانیتلردن
perişaniyetlere,bu3ryso3ebo1ybo2lrh,پریشانیتلره
perişaniyetlerinden,bu3ryso3ebo1ybo2lrbo1dbo1,پریشانیتلرندن
perişaniyetlerine,bu3ryso3ebo1ybo2lrybo1h,پریشانیتلرینه
perişaniyetten,bu3ryso3ebo1ybo2dbo1,پریشانیتدن
perişaniyyet,bu3ryso3ebo1ybo2,پریشانیت
perişaniyyetlerinden,bu3ryso3ebo1ybo2lrbo1dbo1,پریشانیتلرندن
perişanlık,bu3ryso3ebo1lfo2,پریشانلق
perişanlığından,bu3ryso3ebo1lao1bo1dbo1,پریشانلغندن
perişanîyi,bu3ryso3ebo1y||yy,پریشانی‌یی
perişanı,bu3ryso3ebo1y,پریشانی
perişanından,bu3ryso3ebo1bo1dbo1,پریشانندن
permanganat,bu3rmebo1ao1ebo1ebo2,پرمانغانات
permi,bu3rmy,پرمی
perniyan,bu3rbo1yebo1,پرنیان
perniyân,bu3rbo1bu2ebo1,پرنيان
perno,bu3rbo1w,پرنو
peron,bu3h<>rwbo1,په‌رون
peron,bu3h||rwbo1,په‌رون
pertavsız,bu3rbo2wswro1,پرتوسوز
pertek,bu3rbo2k,پرتک
pertev,bu3rbo2w,پرتو
pertev-efşan,bu3o4ro0bo2o4wo0eo5fo1so3ebo1,پَرْتَوْأفشان
pertev-endaz,bu3rbo2webo1dero1,پرتوانداز
pertev-endâz,bu3rbo2webo1dero1,پرتوانداز
pertevnisar-ı,bu3o4rbo2o4wo0 bo1bo3eru4,پَرتَوْ نثارِ
pertevsiz,bu3rbo2wswro1,پرتوسوز
pertevsuz (pertevsiz),bu3rbo2wswro1,پرتوسوز
pertevsuz,bu3rbo2wswro1,پرتوسوز
pertevsûz (pertevsiz),bu3rbo2wswro1,پرتوسوز
pertevsûz,bu3rbo2wswro1,پرتوسوز
peru,bu3rw,پرو
peruka,bu3rwfo2e,پروقا
perva,bu3o4ro0wo4e,پَرْوَا
perva,bu3rwe,پروا
pervam,bu3rwem,پروام
pervane,bu3o4ro0wo4ebo1o4h,پَرْوَانَه
pervane,bu3o4ro0wo4ebo1o4h||,پَرْوَانَه‌
pervane,bu3rwebo1h,پروانه
pervane,bu3rwebo1h||,پروانه‌
pervane-misal,bu3rwebo1h||mbo3el,پروانه‌مثال
pervaneler,bu3rwebo1h||lr,پروانه‌لر
pervanelerdir,bu3rwebo1h||lrdr,پروانه‌لردر
pervaneleri,bu3rwebo1h||lry,پروانه‌لری
pervanesi,bu3rwebo1h||sy,پروانه‌سی
pervaneveş,bu3rwebo1h wso3,پروانه وش
pervari,bu3rwery,پرواری
pervası,bu3rwesy,پرواسی
pervasız,bu3rwesro1,پرواسز
pervasızca,bu3rwesro1xu1h,پرواسزجه
pervasızlık,bu3rwesro1lfo2,پرواسزلق
pervaz çekmek,bu3rwero1xu3kmk,پروازچکمک
pervaz,bu3o4ro0wo4ero1o0,پَرْوَازْ
pervaz,bu3rwero1,پرواز
pervazlık,bu3rwero1lfo2,پروازلق
perver,bu3rwr,پرور
perverde,bu3o4o4ro0wo4ro0do4h,پََرْوَرْدَه
perverde,bu3o4o4ro0wo4ro0do4h||,پََرْوَرْدَه‌
perverde,bu3rwrdh,پرورده
perverde,bu3rwrdh||,پرورده‌
perverdeyiz,bu3rwrdh||yro1,پرورده‌یز
perverdigar,bu3rwrdker,پروردکار
perverdigar,bu3rwrdko7er,پروردگار
perverdigâr,bu3rwrdker,پروردکار
perverdigâr,bu3rwrdko7er,پروردگار
perveriş etmek,bu3rwrso3 e,پرورش ا
pervin,bu3rwybo1,پروین
perviz'in,bu3rwyro1ko3,پرویزڭ
perviz,bu3rwyro1,پرویز
pervâ,bu3o4ro0wo4e,پَرْوَا
pervâ,bu3rwe,پروا
pervâne,bu3rwebo1h,پروانه
pervâneveş,bu3rwebo1h wso3,پروانه وش
pervâsız,bu3rwesro1,پرواسز
pervâsızlık,bu3rwesro1lfo2,پرواسزلق
pervâz çekmek,bu3rwero1xu3kmk,پروازچکمک
pervâz,bu3o4ro0wo4ero1o0,پَرْوَازْ
pervâz,bu3rwero1,پرواز
perçem,bu3rxu3m,پرچم
perçin etmek,bu3rxu3bu2bo1 e,پرچين ا
perçin etmek,bu3rxu3ybo1 e,پرچین ا
perçin,bu3rxu3bu2bo1,پرچين
perçin,bu3rxu3ybo1,پرچین
perçindir,bu3rxu3ybo1dr,پرچیندر
perçinle,bu3rxu3ybo1lh<>,پرچینله‌
perçinlemek,bu3rxu3bu2bo1lh||mk,پرچينله‌مک
perçinlemek,bu3rxu3ybo1lh<>mk,پرچینله‌مک
perçinleşir,bu3rxu3ybo1lh||so3yr,پرچینله‌شیر
perçinleşmiştir,bu3rxu3ybo1lso3mso3dr,پرچینلشمشدر
perçinli,bu3rxu3bu2bo1ly,پرچينلی
perçinli,bu3rxu3ybo1ly,پرچینلی
perîpeyker,bu3ry bu3bu2kr,پری پيکر
perîveş,bu3ry wso3,پری وش
perîçihre,bu3ry xu3hrh,پری چهره
perîşan,bu3rbu2so3ebo1,پريشان
perîşan,bu3ryso3ebo1,پریشان
perîşanhal,bu3ryso3ebo1 xel,پریشان حال
perîşanlık,bu3rbu2so3ebo1lfo2,پريشانلق
perîşân etmek,bu3rbu2so3ebo1 e,پريشان ا
perîşân olmak,bu3rbu2so3ebo1 ew,پريشان او
perîşân,bu3rbu2so3ebo1,پريشان
perîşân-ı hâtır,bu3rbu2so3ebo1 xo1etr,پريشان خاطر
perîşâniyyet,bu3rbu2so3ebo1bu2bo2,پريشانيت
perîşânlık,bu3rbu2so3ebo1lfo2,پريشانلق
perîşânî,bu3rbu2so3ebo1y,پريشانی
perşembe,bu3bo1xu1so3bo1bu1h,پنجشنبه
perşembe,bu3bo1xu1so3bo1bu1h||,پنجشنبه‌
perşembe,bu3rso3bo1bu1h<>,پرشنبه‌
perşembe,bu3rso3bo1bu1h||,پرشنبه‌
pes,bu1s,بس
pes,bu3s,پس
pesend,bu3sbo1d,پسند
pesendide,bu3sbo1dydh||,پسندیده‌
pesendîde,bu3sbo1dydh,پسندیده
pesimist,bu3h<>symysbo2,په‌سیمیست
pesimist,bu3h||sbu2mbu2sbo2,په‌سيميست
pesimizm,bu3h<>symyro1m,په‌سیمیزم
pesimizm,bu3h||sbu2mbu2ro1m,په‌سيميزم
pesin,bu3sybo1,پسین
pesmande,bu3s mebo1dh||,پس مانده‌
pesmânde,bu3s mebo1dh,پس مانده
pespaye,bu3sbu3eyh||,پسپایه‌
pespaye,bu3s||bu3eyh,پس‌پایه
pespâye,bu3sbu3ebu2h,پسپايه
pespâyeleştirdin,bu3s||bu3eyh||lso3dyrdko3,پس‌پایه‌لشدیردڭ
pest,bu3o4so0bo2o0,پَسْتْ
pest,bu3sbo2,پست
pestil,bu3sfo2bu2l,پسقيل
pestil,bu3sfo2yl,پسقیل
peszinde,bu3s ro1bo1dh,پس زنده
peszinde,bu3s ro1bo1dh||,پس زنده‌
pesîn,bu3sbu2bo1,پسين
petek,bu3bo2k,پتک
petekte,bu3bo2kdh,پتکده
petersburg,bu3o4bo2o4ro0so0bu1o9ro0ao1,پَتَرْسْبُرْغ
petmez,bu3bo2mro1,پتمز
petrograd'dan,bu3bo2rwao1reddbo1,پتروغراددن
petrol,bu3bo2rwl,پترول
pey,bu3y,پی
peyam,bu3yem,پیام
peyamber,bu3bu2embu1r,پيامبر
peyamber,bu3yembu1r,پیامبر
peyamres,bu3yemrs,پیامرس
peyapey,bu3yebu3y,پیاپی
peyda etmek,bu3yde e,پیدا ا
peyda olmak,bu3yde ew,پیدا او
peyda,bu3o4yo0do4e,پَیْدَا
peyda,bu3yde,پیدا
peyderpey,bu3y dr bu3y,پی در پی
peydâ etmek,bu3bu2de e,پيدا ا
peydâ olmak,bu3bu2de ew,پيدا او
peydâ,bu3bu2de,پيدا
peydâ,bu3o4bu2o0do4e,پَيْدَا
