
c,xu1,ج
cem'iyetlerinin,xu1maybo2lrybo1ko3,جمعیتلرینڭ
cem'iyetlerle,xu1maybo2lrlh,جمعیتلرله
cem'iyetli,xu1maybo2ly,جمعیتلی
cem'iyette,xu1maybo2dh,جمعیتده
cem'iyetten,xu1maybo2dbo1,جمعیتدن
cem'iyettensin,xu1maybo2dbo1sko3,جمعیتدنسڭ
cem'iyettir,xu1maybo2dr,جمعیتدر
cem'iyetçi,xu1maybo2xu1y,جمعیتجی
cem'iyetçilik,xu1maybo2xu1ylk,جمعیتجیلک
cem'iyetçilikten,xu1maybo2xu1ylkdbo1,جمعیتجیلکدن
cem'iyle,xu1maylh,جمعیله
cem'iyyat,xu1mayebo2,جمعیات
cem'iyyet,xu1mabu2bo2,جمعيت
cem'iyyet,xu1maybo2,جمعیت
cem'iyyet-i akvam,xu1maybo2 efo2wem,جمعیت اقوام
cem'iyyet-i akvâm,xu1mabu2bo2 efo2wem,جمعيت اقوام
cem'iyyet-i,xu1maybo2u4,جمعیتِ
cem'iyyeti,xu1maybo2y,جمعیتی
cem'iyyetli,xu1maybo2ly,جمعیتلی
cem'iyyât,xu1mabu2ebo2,جمعيات
cem'i̇yet,xu1o4mo0au4yo4bo2o0,جَمْعِیَتْ
cem'i̇yyet-i̇ akvam,xu1maybo2 efo2wem,جمعیت اقوام
cem'lendirilmiştir,xu1malbo1dyrylmso3dr,جمعلندیریلمشدر
cem'olmuştur,xu1ma ewlmso3dr,جمع اولمشدر
cem,xu1m,جم
cem,xu1ma,جمع
cem-i,xu1mau4,جمعِ
cema'at,xu1meabo2,جماعت
cemaat,xu1meabo2,جماعت
cemaat-i azime,xu1o4mo4eao4bo2u4 ao4to1ymo4h||,جَمَاعَتِ عَظیمَه‌
cemaat-i müslimin,xu1o4mo4eao4bo2u4 mslmybo1,جَمَاعَتِ مسلمین
cemaat-i uzma,xu1o4mo4eao4bo2u4 ao9to1o0mo4e,جَمَاعَتِ عُظْمَا
cemaat-i,xu1meabo2u4,جماعتِ
cemaat-i̇ azi̇me,xu1o4mo4eao4bo2u4 ao4to1ymo4h||,جَمَاعَتِ عَظیمَه‌
cemaat-i̇ müsli̇mi̇n,xu1o4mo4eao4bo2u4 mslmybo1,جَمَاعَتِ مسلمین
cemaat-i̇ uzma,xu1o4mo4eao4bo2u4 ao9to1o0mo4e,جَمَاعَتِ عُظْمَا
cemaat-ı,xu1meabo2u4,جماعتِ
cemaata,xu1meabo2h,جماعته
cemaate,xu1meabo2h,جماعته
cemaati,xu1meabo2y,جماعتی
cemaatimize,xu1meabo2mro1h,جماعتمزه
cemaatimizin,xu1meabo2mro1ko3,جماعتمزڭ
cemaatin,xu1meabo2ko3,جماعتڭ
cemaatinde,xu1meabo2bo1dh,جماعتنده
cemaatindeki,xu1meabo2bo1dh||ky,جماعتنده‌کی
cemaatindeki,xu1meabo2ko3dh||ky,جماعتڭده‌کی
cemaatinden,xu1meabo2bo1dbo1,جماعتندن
cemaatine,xu1meabo2bo1h,جماعتنه
cemaatini,xu1meabo2bo1y,جماعتنی
cemaatinin,xu1meabo2bo1ko3,جماعتنڭ
cemaatinizin,xu1meabo2ko3ro1ko3,جماعتڭزڭ
cemaatiye,xu1meabo2yh,جماعتیه
cemaatiz,xu1meabo2ro1,جماعتز
cemaatla,xu1meabo2lh,جماعتله
cemaatlar,xu1meabo2lr,جماعتلر
cemaatlara,xu1meabo2lrh,جماعتلره
cemaatların,xu1meabo2lrko3,جماعتلرڭ
cemaatlarındaki,xu1meabo2lrbo1dh||ky,جماعتلرنده‌کی
cemaatlarının,xu1meabo2lrybo1ko3,جماعتلرینڭ
cemaatle,xu1meabo2lh,جماعتله
cemaatler,xu1meabo2lr,جماعتلر
cemaatlerde,xu1meabo2lrdh,جماعتلرده
cemaatlere,xu1meabo2lrh,جماعتلره
cemaatleri,xu1meabo2lry,جماعتلری
cemaatlerin,xu1meabo2lrko3,جماعتلرڭ
cemaatlerinden,xu1meabo2lrbo1dbo1,جماعتلرندن
cemaatlerine,xu1meabo2lrybo1h,جماعتلرینه
cemaatlerini,xu1meabo2lrybo1y,جماعتلرینی
cemaatlerinin,xu1meabo2lrybo1ko3,جماعتلرینڭ
cemaatlerle,xu1meabo2lrlh,جماعتلرله
cemaatli,xu1meabo2ly,جماعتلی
cemaatsiz,xu1meabo2sro1,جماعتسز
cemaatta,xu1meabo2dh,جماعتده
cemaattan,xu1meabo2dbo1,جماعتدن
cemaatte,xu1meabo2dh,جماعتده
cemaatten,xu1meabo2dbo1,جماعتدن
cemaattir,xu1meabo2dr,جماعتدر
cemaattır,xu1meabo2dr,جماعتدر
cemaatça,xu1meabo2xu1h,جماعتجه
cemaatçe,xu1meabo2xu1h,جماعتجه
cemaatî,xu1meabo2y,جماعتی
cemaatı,xu1meabo2y,جماعتی
cemaatım,xu1meabo2m,جماعتم
cemaatımıza,xu1meabo2mro1h,جماعتمزه
cemaatımızdan,xu1meabo2mro1dbo1,جماعتمزدن
cemaatımızın,xu1meabo2mro1ko3,جماعتمزڭ
cemaatın,xu1meabo2ko3,جماعتڭ
cemaatınız,xu1meabo2ko3ro1,جماعتڭز
cemaatız,xu1meabo2ro1,جماعتز
cemad,xu1med,جماد
cemada,xu1medh,جماده
cemadat,xu1medebo2,جمادات
cemadat,xu1o4mo4edo4ebo2o0,جَمَادَاتْ
cemadata,xu1medebo2h,جماداته
cemadatta,xu1medebo2dh,جماداتده
cemadattan,xu1medebo2dbo1,جماداتدن
cemadattır,xu1medebo2dr,جماداتدر
cemadatı,xu1medebo2y,جماداتی
cemadatın,xu1medebo2ko3,جماداتڭ
cemadi,xu1medy,جمادی
cemadiyetten,xu1medybo2dbo1,جمادیتدن
cemahir,xu1mehyr,جماهیر
cemahir-i,xu1mehyru4,جماهیرِ
cemal'in,xu1melko3,جمالڭ
cemal,xu1mel,جمال
cemal,xu1o4mo4elo0,جَمَالْ
cemal-i kemal,xu1o4mo4elu4 ko4mo4elo0,جَمَالِ کَمَالْ
cemal-i mutlak,xu1o4mo4elu4 mo9to0lo4fo2o0,جَمَالِ مُطْلَقْ
cemal-i rahmet,xu1o4mo4elu4 ro4xo0mo4bo2o0,جَمَالِ رَحْمَتْ
cemal-i suret,xu1o4mo4elu4 zo9wro4bo2o0,جَمَالِ صُورَتْ
cemal-i,xu1melu4,جمالِ
cemal-i̇ kemal,xu1o4mo4elu4 ko4mo4elo0,جَمَالِ کَمَالْ
cemal-i̇ mutlak,xu1o4mo4elu4 mo9to0lo4fo2o0,جَمَالِ مُطْلَقْ
cemal-i̇ rahmet,xu1o4mo4elu4 ro4xo0mo4bo2o0,جَمَالِ رَحْمَتْ
cemal-i̇ suret,xu1o4mo4elu4 zo9wro4bo2o0,جَمَالِ صُورَتْ
cemal-perest,xu1mel||bu3rsbo2,جمال‌پرست
cemalce,xu1melxu1h,جمالجه
cemalde,xu1meldh,جمالده
cemaldeki,xu1meldh||ky,جمالده‌کی
cemaldir,xu1meldr,جمالدر
cemale,xu1melh,جماله
cemaleddin-i,xu1mel eldybo1u4,جمال الدینِ
cemali,xu1mely,جمالی
cemali,xu1o4mo4ely,جَمَالی
cemalidir,xu1melydr,جمالیدر
cemalimi,xu1melmy,جمالمی
cemalin,xu1melko3,جمالڭ
cemalinden,xu1melbo1dbo1,جمالندن
cemaline,xu1melbo1h,جمالنه
cemalini,xu1melbo1y,جمالنی
cemalinin,xu1melbo1ko3,جمالنڭ
cemalinle,xu1melko3lh,جمالڭله
cemaliye,xu1melyh,جمالیه
cemaliyesi,xu1melyh||sy,جمالیه‌سی
cemaliyesini,xu1melyh||sbo1y,جمالیه‌سنی
cemaliyesiyle,xu1melyh||sylh,جمالیه‌سیله
cemaliyeye,xu1melyh||yh,جمالیه‌یه
cemaliyeyi,xu1melyh||yy,جمالیه‌یی
cemaliyle,xu1melylh,جمالیله
cemaliyyeyi,xu1melyh||yy,جمالیه‌یی
cemali̇,xu1o4mo4ely,جَمَالی
cemaller,xu1mellr,جماللر
cemallerden,xu1mellrdbo1,جماللردن
cemalleri,xu1mellry,جماللری
cemallerin,xu1mellrko3,جماللرڭ
cemallerine,xu1mellrybo1h,جماللرینه
cemallerini,xu1mellrybo1y,جماللرینی
cemalli,xu1melly,جماللی
cemalperest,xu1mel||bu3rsbo2,جمال‌پرست
cemalperestlik,xu1mel||bu3rsbo2lk,جمال‌پرستلک
cemalperverane,xu1mel||bu3rwrebo1h,جمال‌پرورانه
cemalullah,xu1mel e||ellh,جمال ا‌الله
cemalullaha,xu1mel ello8h||h,جمال اللّه‌ه
cemalullahsın,xu1mel ello8h||sko3,جمال اللّه‌سڭ
cemalî,xu1mely,جمالی
cemalîdir,xu1melydr,جمالیدر
cemalühü,xu1o4mo4elo9ho9,جَمَالُهُ
cemaziye-l,xu1medo1y el,جماذی ال
cemaziyelahir,xu1medo1y<>elexo1r,جماذی‌الاخر
cemaziyelevvel,xu1medo1y<>elewl,جماذی‌الاول
cembres,kh||mbu1rs,که‌مبرس
cemed,xu1md,جمد
cemel'de,xu1mldh,جملده
cemel,xu1ml,جمل
cemi',xu1mya,جمیع
cemi'-i,xu1myau4,جمیعِ
cemi'an,xu1myae,جمیعا
cemi'en,xu1myaeo44,جمیعاً
cemi,xu1mya,جمیع
cemil'in,xu1mylko3,جمیلڭ
cemil,xu1mbu2l,جميل
cemil,xu1myl,جمیل
cemil,xu1o4mylo0,جَمیلْ
cemil-i zülcelal,xu1o4mylu4 do1o9welo0xu1o4lo4elo0,جَمیلِ ذُوالْجَلَالْ
cemil-i,xu1mylu4,جمیلِ
cemilane,xu1mylebo1h,جمیلانه
cemilden,xu1myldbo1,جمیلدن
cemildir,xu1myldr,جمیلدر
cemile,xu1malh<>,جمعله‌
cemile,xu1mylh,جمیله
cemile,xu1mylh||,جمیله‌
cemileleri,xu1mylh||lry,جمیله‌لری
cemilelerinizden,xu1mylh||lryko3ro1dbo1,جمیله‌لریڭزدن
cemilemek,xu1malh<>mk,جمعله‌مک
cemilemek,xu1malh||mk,جمعله‌مک
cemilen,xu1malh<>bo1,جمعله‌ن
cemilenmek,xu1malh<>bo1mk,جمعله‌نمک
cemilenmek,xu1malh||bo1mk,جمعله‌نمک
cemileyi,xu1mylh||yy,جمیله‌یی
cemili,xu1myly,جمیلی
cemilinize,xu1mylko3ro1h,جمیلڭزه
cemilsin,xu1mylsko3,جمیلسڭ
cemiyet,xu1mabu2bo2,جمعيت
cemiyet,xu1maybo2,جمعیت
cemiyet-i,xu1maybo2u4,جمعیتِ
cemiyetli,xu1maybo2ly,جمعیتلی
cemiyyet,xu1mabu2bo2,جمعيت
cemiyyet,xu1maybo2,جمعیت
cemiyyet,xu1mbu2abo2,جميعت
cemiyyet,xu1myabo2,جمیعت
cemi̇l,xu1o4mylo0,جَمیلْ
cemi̇l-i̇ zülcelal,xu1o4mylu4 do1o9welo0xu1o4lo4elo0,جَمیلِ ذُوالْجَلَالْ
cemi’,xu1mya,جمیع
cemi’an,xu1myae,جمیعا
cemm,xu1m,جم
cemm,xu1mo8,جمّ
cemm-i gafir,xu1m ao1fo1yr,جم غفیر
cemm-i gafîr,xu1m ao1fo1bu2r,جم غفير
cemm-i,xu1mo8u4,جمِّ
cemre,xu1mrh,جمره
cemre,xu1mrh||,جمره‌
cemâ'at,xu1meabo2,جماعت
cemâat,xu1meabo2,جماعت
cemâat-i azîme,xu1o4mo4eao4bo2u4 ao4to1bu2mo4h,جَمَاعَتِ عَظيمَه
cemâat-i müslimîn,xu1o4mo4eao4bo2u4 mslmbu2bo1,جَمَاعَتِ مسلمين
cemâat-i uzmâ,xu1o4mo4eao4bo2u4 ao9to1o0mo4e,جَمَاعَتِ عُظْمَا
cemâatlerin,xu1meabo2lrko3,جماعتلرڭ
cemâatın,xu1meabo2ko3,جماعتڭ
cemâd,xu1med,جماد
cemâdât,xu1medebo2,جمادات
cemâdât,xu1o4mo4edo4ebo2o0,جَمَادَاتْ
cemâdî,xu1medy,جمادی
cemâhîr,xu1mehbu2r,جماهير
cemâl'dir,xu1meldr,جمالدر
cemâl,xu1mel,جمال
cemâl,xu1o4mo4elo0,جَمَالْ
cemâl-i kemâl,xu1o4mo4elu4 ko4mo4elo0,جَمَالِ کَمَالْ
cemâl-i mutlak,xu1o4mo4elu4 mo9to0lo4fo2o0,جَمَالِ مُطْلَقْ
cemâl-i rahmet,xu1o4mo4elu4 ro4xo0mo4bo2o0,جَمَالِ رَحْمَتْ
cemâl-i sûret,xu1o4mo4elu4 zo9wro4bo2o0,جَمَالِ صُورَتْ
cemâl-i,xu1melu4,جمالِ
cemâl-perest,xu1mel||bu3rsbo2,جمال‌پرست
cemâle,xu1melh,جماله
cemâlin,xu1melko3,جمالڭ
cemâline,xu1melbo1h,جمالنه
cemâlini,xu1melbo1y,جمالنی
cemâlinin,xu1melbo1ko3,جمالنڭ
cemâliyye,xu1melyh,جمالیه
cemâliyyesi,xu1melyh||sy,جمالیه‌سی
cemâliyyesini,xu1melyh||sbo1y,جمالیه‌سنی
cemâliyyeyi,xu1melyh||yy,جمالیه‌یی
cemâlleri,xu1mellry,جماللری
cemâllerini,xu1mellrybo1y,جماللرینی
cemâlî,xu1o4mo4elbu2,جَمَالي
cemâziyelevvel,xu1medo1y||elewl,جماذی‌الاول
cemâziyelâhir,xu1medo1y||elexo1r,جماذی‌الاخر
cemî',xu1mbu2a,جميع
cemî'an,xu1mbu2ae,جميعا
cemî'en,xu1mbu2aeo44,جميعاً
cemî,xu1mya,جمیع
cemîl'in,xu1mylko3,جمیلڭ
cemîl,xu1myl,جمیل
cemîl,xu1o4mbu2lo0,جَميلْ
cemîl-i zülcelâl,xu1o4mbu2lu4 do1o9welo0xu1o4lo4elo0,جَميلِ ذُوالْجَلَالْ
cemîl-i,xu1mylu4,جمیلِ
cemîle,xu1mbu2lh,جميله
cemîle,xu1mylh,جمیله
cemîleleri,xu1mylh||lry,جمیله‌لری
cem’,xu1ma,جمع
cem’an,xu1mae,جمعا
cem’iyyat,xu1mayebo2,جمعیات
cem’iyyet -i akvam,xu1maybo2 efo2wem,جمعیت اقوام
cem’iyyet,xu1maybo2,جمعیت
cenab,xu1bo1ebu1,جناب
cenab-i hak,xu1o4bo1eo4bu1u4 xo4fo2o0,جَناَبِ حَقْ
cenab-i haki̇m-i̇ rahi̇m,xu1o4bo1o4ebu1u4 xo4kymu4 ro4xymo0,جَنَابِ حَکیمِ رَحیمْ
cenab-ı hak,xu1o4bo1eo4bu1u4 xo4fo2o0,جَناَبِ حَقْ
cenab-ı hakim-i rahim,xu1o4bo1o4ebu1u4 xo4kymu4 ro4xymo0,جَنَابِ حَکیمِ رَحیمْ
cenab-ı,xu1bo1ebu1u4,جنابِ
cenabdan,xu1bo1ebu1dbo1,جنابدن
cenabet,xu1bo1ebu1bo2,جنابت
cenabla,xu1bo1ebu1lh,جنابله
cenablarına,xu1bo1ebu1lrybo1h,جنابلرینه
cenablarından,xu1bo1ebu1lrbo1dbo1,جنابلرندن
cenabınıza,xu1bo1ebu1ko3ro1h,جنابڭزه
cenah,xu1bo1ex,جناح
cenah,xu1o4bo1o4exo0,جَنَاحْ
cenah-ı,xu1bo1exu4,جناحِ
cenaha,xu1bo1exh,جناحه
cenahla,xu1bo1exlh,جناحله
cenahlariyle,xu1bo1exlrylh,جناحلریله
cenahlarıyla,xu1bo1exlrylh,جناحلریله
cenahta,xu1bo1exdh,جناحده
cenahtır,xu1bo1exdr,جناحدر
cenahı,xu1bo1exy,جناحی
cenahın,xu1bo1exko3,جناحڭ
cenahına,xu1bo1exbo1h,جناحنه
cenahındaki,xu1bo1exbo1dh||ky,جناحنده‌کی
cenan,xu1bo1ebo1,جنان
cenanda,xu1o4bo1ebo1dh,جَنانده
cenanî,xu1bo1ebo1y,جنانی
cenanı,xu1bo1ebo1y,جنانی
cenanını,xu1bo1ebo1ko3y,جنانڭی
cenaze alayı,xu1bo1ero1h elebu2y,جنازه الايی
cenaze alayı,xu1bo1ero1h eleyy,جنازه الایی
cenaze defni,xu1bo1ero1h dfo1bo1y,جنازه دفنی
cenaze,xu1bo1ero1h,جنازه
cenaze,xu1bo1ero1h||,جنازه‌
cenaze-i,xu1bo1ero1h||u4,جنازه‌ِ
cenazeler,xu1bo1ero1h||lr,جنازه‌لر
cenazelerden,xu1bo1ero1h||lrdbo1,جنازه‌لردن
cenazelerdir,xu1bo1ero1h||lrdr,جنازه‌لردر
cenazeleri,xu1bo1ero1h||lry,جنازه‌لری
cenazeleridir,xu1bo1ero1h||lrydr,جنازه‌لریدر
cenazelerin,xu1bo1ero1h||lrko3,جنازه‌لرڭ
cenazelerinden,xu1bo1ero1h||lrbo1dbo1,جنازه‌لرندن
cenazelerini,xu1bo1ero1h||lrybo1y,جنازه‌لرینی
cenazelerinin,xu1bo1ero1h||lrybo1ko3,جنازه‌لرینڭ
cenazeleriyle,xu1bo1ero1h||lrylh,جنازه‌لریله
cenazelerle,xu1bo1ero1h||lrlh,جنازه‌لرله
cenazemdir,xu1bo1ero1h||mdr,جنازه‌مدر
cenazemin,xu1bo1ero1h||mko3,جنازه‌مڭ
cenazenin,xu1bo1ero1h||bo1ko3,جنازه‌نڭ
cenazesi,xu1bo1ero1h||sy,جنازه‌سی
cenazesine,xu1bo1ero1h||sbo1h,جنازه‌سنه
cenazesini,xu1bo1ero1h||sbo1y,جنازه‌سنی
cenazesinin,xu1bo1ero1h||sbo1ko3,جنازه‌سنڭ
cenazeye,xu1bo1ero1h||yh,جنازه‌یه
cenazeyi,xu1bo1ero1h||yy,جنازه‌یی
cenazeyim,xu1bo1ero1h||ym,جنازه‌یم
cenb,xu1bo1bu1,جنب
cendel,xu1bo1dl,جندل
cendere,xu1bo1drh,جندره
cendere,xu1bo1drh||,جندره‌
cendereden geçirmek,xu1bo1drh dbo1 kxu3wrmk,جندره دن کچورمک
cendereye,xu1o4bo1o0do4ro4h||yh,جَنْدَرَه‌یه
ceneviz,xu1bo1wyro1,جنویز
cenevre'de,xu1o4bo1o4wo0rh||dh,جَنَوْره‌ده
ceng,xu1bo1ko7,جنگ
cengaver,xu1bo1kewr,جنکاور
cengaver,xu1bo1ko7ewr,جنگاور
cengaveri,xu1bo1ko7ewry,جنگاوری
cengaverlerinin,xu1bo1ko7ewrlrybo1ko3,جنگاورلرینڭ
cengaverlik,xu1bo1kewrlk,جنکاورلک
cengcu,xu1bo1ko7xu1w,جنگجو
cengcû,xu1bo1ko7xu1w,جنگجو
cenge başlamak,xu1bo1kh bu1eso3lemfo2,جنکه باشلامق
cenge mezun bazirgan gemisi,xu1bo1kh meo5do1wbo1 bu1ero1rkebo1 kmysy,جنکه مأذون بازرکان کمیسی
cenge mezûn bâzirgân gemisi,xu1bo1kh meo5do1wbo1 bu1ero1rkebo1 kmbu2sy,جنکه مأذون بازرکان کميسی
cenge,xu1bo1kh,جنکه
cenge,xu1bo1kh||,جنکه‌
cengel,xu1bo1ko7l,جنگل
cengiz'e,xu1bo1ko7ro1h,جنگزه
cengiz'in,xu1bo1ko7yro1ko3,جنگیزڭ
cengiz,xu1bo1ko7yro1,جنگیز
cengâver,xu1bo1kewr,جنکاور
cengâver,xu1bo1ko7ewr,جنگاور
cengâverlerinin,xu1bo1ko7ewrlrybo1ko3,جنگاورلرینڭ
cengâverlik,xu1bo1kewrlk,جنکاورلک
cengâverî,xu1bo1ko7ewry,جنگاوری
cenin,xu1bo1ybo1,جنین
cenin,xu1o4bo1ybo1,جَنین
ceninin,xu1bo1ybo1ko3,جنینڭ
cenk etmek,xu1bo1k e,جنک ا
cenk gemisi,xu1bo1k kmbu2sy,جنک کميسی
cenk gemisi,xu1bo1k kmysy,جنک کمیسی
cenk,xu1bo1k,جنک
cenkleş,xu1bo1keso3,جنکاش
cenkleşmek,xu1bo1keso3mk,جنکاشمک
cenkçi,xu1bo1kxu1y,جنکجی
cennat,xu1bo1ebo2,جنات
cennet -i a’la,xu1bo1bo2 ealy,جنت اعلی
cennet,xu1bo1bo2,جنت
cennet,xu1bo1o8bo2,جنّت
cennet-cehennem,xu1bo1o8bo2 xu1hbo1o8m,جنّت جهنّم
cennet-i a'la,xu1bo1bo2 ealy,جنت اعلی
cennet-i a'lâ,xu1bo1bo2 ealy,جنت اعلی
cennet-i,xu1bo1o8bo2u4,جنّتِ
cennet-i̇ a'la,xu1bo1bo2 ealy,جنت اعلی
cennet-misal,xu1bo1o8bo2||mbo3el,جنّت‌مثال
cennet-âbâd,xu1bo1o8bo2||eo6bu1ed,جنّت‌آباد
cennet-âsâ,xu1bo1o8bo2||eo6se,جنّت‌آسا
cennet-ül,xu1bo1o8bo2 el,جنّت ال
cennete,xu1bo1o8bo2h,جنّته
cenneti,xu1bo1o8bo2y,جنّتی
cennetidir,xu1bo1o8bo2ydr,جنّتیدر
cennetin,xu1bo1o8bo2ko3,جنّتڭ
cennetinde,xu1bo1o8bo2bo1dh,جنّتنده
cennetinden,xu1bo1o8bo2bo1dbo1,جنّتندن
cennetindendir,xu1bo1o8bo2bo1dbo1dr,جنّتندندر
cennetine,xu1bo1o8bo2bo1h,جنّتنه
cennetini,xu1bo1o8bo2bo1y,جنّتنی
cennetiniz,xu1bo1o8bo2ko3ro1,جنّتڭز
cennetinizden,xu1bo1o8bo2ko3ro1dbo1,جنّتڭزدن
cennetle,xu1bo1o8bo2lh,جنّتله
cennetler,xu1bo1o8bo2lr,جنّتلر
cennetlerde,xu1bo1o8bo2lrdh,جنّتلرده
cennetlerden,xu1bo1o8bo2lrdbo1,جنّتلردن
cennetleri,xu1bo1o8bo2lry,جنّتلری
cennetleridir,xu1bo1o8bo2lrydr,جنّتلریدر
cennetlerin,xu1bo1o8bo2lrko3,جنّتلرڭ
cennetlerinde,xu1bo1o8bo2lrbo1dh,جنّتلرنده
cennetlerinden,xu1bo1o8bo2lrbo1dbo1,جنّتلرندن
cennetlerini,xu1bo1o8bo2lrybo1y,جنّتلرینی
cennetli,xu1bo1bo2ly,جنتلی
cennetlik,xu1bo1bo2lk,جنتلک
cennetmekan,xu1bo1bo2 mkebo1,جنت مکان
cennetmekân,xu1bo1bo2 mkebo1,جنت مکان
cennetnümun,xu1bo1o8o8bo2||bo1mwbo1,جنّّت‌نمون
cennette,xu1bo1o8bo2dh,جنّتده
cennetteki,xu1bo1o8bo2dh||ky,جنّتده‌کی
cennetten,xu1bo1o8bo2dbo1,جنّتدن
cennettendir,xu1bo1o8bo2dbo1dr,جنّتدندر
cennettir,xu1bo1o8bo2dr,جنّتدر
cennettirler,xu1bo1o8bo2drlr,جنّتدرلر
cennetü,xu1o4bo1o8o4ho2o9,جَنَّةُ
cennet’in,xu1bo1o8bo2ko3,جنّتڭ
cennât,xu1bo1ebo2,جنات
centilmen,xu1bo1bo2ylmbo1,جنتیلمن
centilmenlik,xu1bo1bo2ylmbo1lk,جنتیلمنلک
cenub -i garb,xu1bo1wbu1 ao1rbu1,جنوب غرب
cenub -i garbi,xu1bo1wbu1 ao1rbu1y,جنوب غربی
cenub -i şark,xu1bo1wbu1 so3rfo2,جنوب شرق
cenub -i şarki,xu1bo1wbu1 so3rfo2y,جنوب شرقی
cenub,xu1bo1wbu1,جنوب
cenub-i garb,xu1bo1wbu1 ao1rbu1,جنوب غرب
cenub-i garbi,xu1bo1wbu1 ao1rbu1y,جنوب غربی
cenub-i şark,xu1bo1wbu1 so3rfo2,جنوب شرق
cenub-i şarki,xu1bo1wbu1 so3rfo2y,جنوب شرقی
cenub-i̇ garb,xu1bo1wbu1 ao1rbu1,جنوب غرب
cenub-i̇ garbi̇,xu1bo1wbu1 ao1rbu1y,جنوب غربی
cenub-i̇ şark,xu1bo1wbu1 so3rfo2,جنوب شرق
cenub-i̇ şarki̇,xu1bo1wbu1 so3rfo2y,جنوب شرقی
cenuba,xu1bo1wbu1h,جنوبه
cenubda,xu1bo1wbu1dh,جنوبده
cenubdaki,xu1bo1wbu1dh||ky,جنوبده‌کی
cenubdan,xu1bo1wbu1dbo1,جنوبدن
cenuben,xu1bo1wbu1eo44,جنوباً
cenubi,xu1bo1wbu1y,جنوبی
cenubu,xu1bo1wbu1y,جنوبی
cenubunda,xu1bo1wbu1bo1dh,جنوبنده
cenâb,xu1bo1ebu1,جناب
cenâb-i hak,xu1o4bo1eo4bu1u4 xo4fo2o0,جَناَبِ حَقْ
cenâb-i hakîm-i rahîm,xu1o4bo1o4ebu1u4 xo4kbu2mu4 ro4xbu2mo0,جَنَابِ حَکيمِ رَحيمْ
cenâb-ı hak,xu1o4bo1eo4bu1u4 xo4fo2o0,جَناَبِ حَقْ
cenâb-ı hakîm-i rahîm,xu1o4bo1o4ebu1u4 xo4kbu2mu4 ro4xbu2mo0,جَنَابِ حَکيمِ رَحيمْ
cenâb-ı,xu1bo1ebu1u4,جنابِ
cenâbet,xu1bo1ebu1bo2,جنابت
cenâh,xu1bo1ex,جناح
cenâh,xu1o4bo1o4exo0,جَنَاحْ
cenâha,xu1bo1exh,جناحه
cenân,xu1bo1ebo1,جنان
cenâze alayı,xu1bo1ero1h elebu2y,جنازه الايی
cenâze defni,xu1bo1ero1h dfo1bo1y,جنازه دفنی
cenâze,xu1bo1ero1h,جنازه
cenâzeleri,xu1bo1ero1h||lry,جنازه‌لری
cenîn,xu1bo1bu2bo1,جنين
cenûb,xu1bo1wbu1,جنوب
cenûb-i garb,xu1bo1wbu1 ao1rbu1,جنوب غرب
cenûb-i garbî,xu1bo1wbu1 ao1rbu1y,جنوب غربی
cenûb-i şark,xu1bo1wbu1 so3rfo2,جنوب شرق
cenûb-i şarkî,xu1bo1wbu1 so3rfo2y,جنوب شرقی
cenûben,xu1bo1wbu1eo44,جنوباً
cenûbî,xu1bo1wbu1y,جنوبی
cep harçlığı,xu1bu2bu1 xo1rxu1lao1y,جيب خرجلغی
cep harçlığı,xu1ybu1 xo1rxu1lao1y,جیب خرجلغی
cep,xu1bu2bu1,جيب
cep,xu1ybu1,جیب
cephane,xu1bu1xo1ebo1h,جبخانه
cephane,xu1bu1xo1ebo1h||,جبخانه‌
cephane-i,xu1bu1xo1ebo1h||u4,جبخانه‌ِ
cephaneler,xu1bu1xo1ebo1h||lr,جبخانه‌لر
cephanelerini,xu1bu1xo1ebo1h||lrybo1y,جبخانه‌لرینی
cephanesini,xu1bu1xo1ebo1h||sbo1y,جبخانه‌سنی
cephe,xu1bu1hh,جبهه
cephe,xu1bu1hh||,جبهه‌
cephe-i,xu1bu1hh||u4,جبهه‌ِ
cephede,xu1bu1hh||dh,جبهه‌ده
cepheden,xu1bu1hh||dbo1,جبهه‌دن
cephelerde,xu1bu1hh||lrdh,جبهه‌لرده
cephelerinden,xu1bu1hh||lrbo1dbo1,جبهه‌لرندن
cephemde,xu1bu1hh||mdh,جبهه‌مده
cephemiz,xu1bu1hh||mro1,جبهه‌مز
cephemize,xu1bu1hh||mro1h,جبهه‌مزه
cephenin,xu1bu1hh||bo1ko3,جبهه‌نڭ
cephesi,xu1bu1hh||sy,جبهه‌سی
cephesinde,xu1bu1hh||sbo1dh,جبهه‌سنده
cephesinden,xu1bu1hh||sbo1dbo1,جبهه‌سندن
cephesine,xu1bu1hh||sbo1h,جبهه‌سنه
cephesinin,xu1bu1hh||sbo1ko3,جبهه‌سنڭ
cepheyi,xu1bu1hh||yy,جبهه‌یی
cephâne,xu1bu1xo1ebo1h,جبخانه
ceplerine,xu1ybu1lrybo1h,جیبلرینه
ceplerini,xu1ybu1lrybo1y,جیبلرینی
cepte,xu1ybu1dh,جیبده
cer,xu1r,جر
cerad,xu1red,جراد
cerahat akmak,xu1rexbo2 efo2mfo2,جراحت اقمق
cerahat toplanmak,xu1rexbo2 twbu3lebo1mfo2,جراحت طوپلانمق
cerahat,xrexbo2,حراحت
