
â'da,eade,اعدا
ârâyiş,eo6reyso3,آرایش
ârâyı,eo6reyy,آرایی
ârâyış,eo6reyso3,آرایش
ârâz,earezo1,اعراض
ârî,aery,عاری
ârî,eo6ry,آری
ârız etmek,aerzo1 e,عارض ا
ârız,aerzo1,عارض
ârız,ao4eru4zo1o0,عَارِضْ
ârıza,aerzo1h,عارضه
ârızadan,aerzo1h||dbo1,عارضه‌دن
ârızalar,aerzo1h||lr,عارضه‌لر
ârızalara,aerzo1h||lrh,عارضه‌لره
ârızalardan,aerzo1h||lrdbo1,عارضه‌لردن
ârızalarla,aerzo1h||lrlh,عارضه‌لرله
ârızalı,aerzo1h||ly,عارضه‌لی
ârızasız,aerzo1h||sro1,عارضه‌سز
ârızaya,aerzo1h||yh,عارضه‌یه
ârıziye,aerzo1yh,عارضیه
ârızî,aerzo1y,عارضی
ârızî,ao4eru4zo1bu2,عَارِضي
ârızîdir,aerzo1ydr,عارضیدر
ârızîsi,aerzo1ysy,عارضیسی
âs'ın,aezko3,عاصڭ
âs,aez,عاص
âsaar,eazer,اعصار
âsaf,eo6zfo1,آصف
âsan,eo6sebo1,آسان
âsandır,eo6sebo1dr,آساندر
âsar,eazer,اعصار
âsar,eo6bo3er,آثار
âsarı,eo6bo3ery,آثاری
âserakâllahü,eo99bo3o4ro4ko4 e||ellho9,اٌثَرَکَ ا‌اللهُ
âsi,aezy,عاصی
âsi-i,aezyo5u4,عاصئِ
âsiden,aezydbo1,عاصیدن
âsidir,aezydr,عاصیدر
âsiler,aezylr,عاصیلر
âsilere,aezylrh,عاصیلره
âsileri,aezylry,عاصیلری
âsilerle,aezylrlh,عاصیلرله
âsilik,aezylk,عاصیلک
âsim,ebo3m,اثم
âsim,eo6bo3m,آثم
âsitan,eo6sbo2ebo1,آستان
âsitâne,eo6sbo2ebo1h,آستانه
âsiyane,aezyebo1h,عاصیانه
âsiye'nin,eo6syh||bo1ko3,آسیه‌نڭ
âsiye,eo6syh,آسیه
âsiyi,aezy||yy,عاصی‌یی
âsiyâ,eo6sbu2e,آسيا
âsiyâb,eo6sbu2ebu1,آسياب
âsiyâb,eo6syebu1,آسیاب
âsmân,eo6smebo1,آسمان
âsmân,esmebo1,اسمان
âsmânî,eo6smebo1y,آسمانی
âssim,eo6bo3m,آثم
âster,eo6sbo2r,آستر
âstin,esbo2bu2bo1,استين
âstân,eo6sbo2ebo1,آستان
âstân,esbo2ebo1,استان
âstâne,eo6sbo2ebo1h,آستانه
âstâne,esbo2ebo1h,استانه
âstîn,eo6sbo2bu2bo1,آستين
âsude,eo6swdh,آسوده
âsuman'dır,eo6smebo1dr,آسماندر
âsuman,eo6smebo1,آسمان
âsumana,eo6smebo1h,آسمانه
âsumanda,eo6smebo1dh,آسمانده
âsumandan,eo6smebo1dbo1,آسماندن
âsumanî,eo6smebo1y,آسمانی
âsumanı,eo6smebo1y,آسمانی
âsumanın,eo6smebo1ko3,آسمانڭ
âsumân,eo6smebo1,آسمان
âsumân,eo6so9mo4ebo1o0,آسُمَانْ
âsumânî,eo6smebo1y,آسمانی
âsumânı,eo6smebo1y,آسمانی
âsâ,eo6se,آسا
âsâblarda,eo5azebu1lrdh,أعصابلرده
âsâm,ebo3em,اثام
âsâm,eo6bo3em,آثام
âsân,eo6sebo1,آسان
âsân,eo6so4ebo1o0,آسَانْ
âsân,esebo1,اسان
âsândır,eo6sebo1dr,آساندر
âsâr,ebo3o4ero0,اثَارْ
âsâr,eo6bo3er,آثار
âsâr-i azamet,eo6bo3o4eru4 ao4to1o4mo4bo2o0,آثَارِ عَظَمَتْ
âsâr-i haşmet,eo6bo3o4eru4 xo4so3o0mo4bo2o0,آثَارِ حَشْمَتْ
âsâr-ı azamet,eo6bo3o4eru4 ao4to1o4mo4bo2o0,آثَارِ عَظَمَتْ
âsâr-ı haşmet,eo6bo3o4eru4 xo4so3o0mo4bo2o0,آثَارِ حَشْمَتْ
âsâr-ı kadîme,ebo3er fo2dbu2mh,اثار قديمه
âsâr-ı,eo6bo3eru4,آثارِ
âsâra,eo6bo3erh,آثاره
âsârda,eo6bo3erdh,آثارده
âsârdaki,eo6bo3erdh||ky,آثارده‌کی
âsârdan,eo6bo3erdbo1,آثاردن
âsâriyle,eo6bo3erylh,آثاریله
âsârlara,eo6bo3erlrh,آثارلره
âsârlariyle,eo6bo3erlrylh,آثارلریله
âsârları,eo6bo3erlry,آثارلری
âsârların,eo6bo3erlrko3,آثارلرڭ
âsârlarını,eo6bo3erlrybo1y,آثارلرینی
âsârlarıyla,eo6bo3erlrylh,آثارلریله
âsârı,eo6bo3ery,آثاری
âsârıdır,eo6bo3erydr,آثاریدر
âsârım,eo6bo3erm,آثارم
âsârımı,eo6bo3erymy,آثاریمی
âsârın,eo6bo3erko3,آثارڭ
âsârına tetebbu' etmek,ebo3erbu2bo1h bo2bo2bu1a e,اثارينه تتبع ا
âsârına,eo6bo3erybo1h,آثارینه
âsârında,eo6bo3erbo1dh,آثارنده
âsârındaki,eo6bo3erbo1dh||ky,آثارنده‌کی
âsârından,eo6bo3erbo1dbo1,آثارندن
âsârını,eo6bo3erybo1y,آثارینی
âsârının,eo6bo3erybo1ko3,آثارینڭ
âsârıyla,eo6bo3erylh,آثاریله
âsârıyladır,eo6bo3erylh||dr,آثاریله‌در
âsâyiş berkemâl,eo6seyso3 bu1rkmel,آسایش برکمال
âsâyiş,eo6seyso3,آسایش
âsâyiş,esebu2so3,اسايش
âsâyiş,eso4ebu2u4so3o0,اسَايِشْ
âsâyişte olmak,esebu2so3dh ew,اسايشده او
âsî,aezy,عاصی
âsî,ao4ezbu2,عَاصي
âsîb,eo6sbu2bu1,آسيب
âsîleri,aezylry,عاصیلری
âsûde olmak,eswdh ew,اسوده او
âsûde,eo6swdh,آسوده
âsûde,eso9wdo4h,اسُودَه
âsûde,eswdh,اسوده
âsûdegi,eswdky,اسودکی
âsûdegî,eo6swdko7y,آسودگی
âsûdehâtır,eo6swdh xo1etr,آسوده خاطر
âsüman,eo6smebo1,آسمان
âsım'a,aezmh,عاصمه
âsım'ın,aezmko3,عاصمڭ
âsım,aezm,عاصم
âsıme,aezmh,عاصمه
ât,ebo2,ات
âteş,eo6bo2so3,آتش
âteş-i,eo6bo2so3u4,آتشِ
âteşbâr,eo6bo2so3 bu1er,آتش بار
âteşbâz,eo6bo2so3bu1ero1,آتشباز
âteşdem,eo6bo2so3 dm,آتش دم
âteşdân,eo6bo2so3debo1,آتشدان
âteşefrûz,eo6bo2so3 efo1rwro1,آتش افروز
âteşefşân,eo6bo2so3||efo1so3ebo1,آتش‌افشان
âteşengîz,eo6bo2so3||ebo1kbu2ro1,آتش‌انکيز
âteşfeşân,eo6bo2so3 fo1so3ebo1,آتش فشان
âteşfeşân,eo6bo2so3||fo1so3ebo1,آتش‌فشان
âteşfâm,eo6bo2so3 fo1em,آتش فام
âteşgede,eo6bo2so3kdh,آتشکده
âteşgede,eo6bo2so3ko7dh,آتشگده
âteşgâh,eo6bo2so3ko7eh,آتشگاه
âteşgîre,eo6bo2so3 ko7bu2rh,آتش گيره
âteşgûn,eo6bo2so3 ko7wbo1,آتش گون
âteşhâne,eo6bo2so3xo1ebo1h,آتشخانه
âteşkâr,eo6bo2so3 ker,آتش کار
âteşmizâc,eo6bo2so3 mro1exu1,آتش مزاج
âteşnâk,eo6bo2so3bo1ek,آتشناک
âteşperest,eo6bo2so3 bu3rsbo2,آتش پرست
âteşpâre,eo6bo2so3 bu3erh,آتش پاره
âteşpâre,eo6bo2so3bu3erh,آتشپاره
âteşzebân,eo6bo2so3||ro1bu1ebo1,آتش‌زبان
âteşî,eo6bo2so3y,آتشی
âteşîn,eo6bo2so3bu2bo1,آتشين
âteşîn,eo6bo2so3ybo1,آتشین
âti,eo6bo2y,آتی
âtide,eo6bo2ydh,آتیده
âtideki,eo6bo2ydh||ky,آتیده‌کی
âtifetkâr,aetfo1bo2ker,عاطفتکار
âtiket,ao4ebo2u4kho2,عَاتِکة
âtinin,eo6bo2ybo1ko3,آتینڭ
âtisini,eo6bo2ysbo1y,آتیسنی
âtiye,eo6bo2bu2h,آتيه
âtiyede,eo6bo2yh||dh,آتیه‌ده
âtiyen,eo6bo2bu2e,آتيا
âtiyen,eo6bo2yeo44,آتیاً
âtiyen,eo6bo2yo44e,آتیًا
âtiyenin,eo6bo2yh||bo1ko3,آتیه‌نڭ
âtiyi,eo6bo2y||yy,آتی‌یی
âtiyülbeyân,eo6bo2y elbu1bu2ebo1,آتی البيان
âtiyüzzikr,eo6bo2y eldo1kr,آتی الذکر
âtî,ebo2y,اتی
âtî,eo6bo2y,آتی
âtîde,ebo2bu2dh,اتيده
âtîden,eo6bo2ydbo1,آتیدن
âtînin,eo6bo2ybo1ko3,آتینڭ
âtîsi,eo6bo2ysy,آتیسی
âtîye,eo6bo2y||yh,آتی‌یه
âtıf'a,aetfo1h,عاطفه
âtıf'la,aetfo1lh,عاطفله
âtıf'lar,aetfo1lr,عاطفلر
âtıf'taki,aetfo1dh||ky,عاطفده‌کی
âtıf'ı,aetfo1y,عاطفی
âtıf'ın,aetfo1ko3,عاطفڭ
âtıf,aetfo1,عاطف
âtıfadan,aetfo1h||dbo1,عاطفه‌دن
âtıfet,aetfo1bo2,عاطفت
âtıfetkâr,aetfo1bo2ker,عاطفتکار
âtıl,aetl,عاطل
âtıl,ao4etu4lo0,عَاطِلْ
âvize,eo6wyro1h,آویزه
âvân-ı,eo6webo1u4,آوانِ
âvânına,eo6webo1bo1h,آواننه
âvâre,eo6werh,آواره
âvâre,eo6wo4ero4h,آوَارَه
âvâreser,eo6werh sr,آواره سر
âvâreyim,eo6werh||ym,آواره‌یم
âvâz,eo6wero1,آواز
âvâz,ewero1,اواز
âvâz-i hususî,eo6wo4ero1u4 xo1o9zo9wzu4bu2,آوَازِ خُصُوصِي
âvâz-ı hususî,eo6wo4ero1u4 xo1o9zo9wzu4bu2,آوَازِ خُصُوصِي
âvâz-ı,eo6wero1u4,آوازِ
âvâze,eo6wero1h,آوازه
âvâze,ewero1h,اوازه
âvâzıyla,eo6wero1ylh,آوازیله
âvîze,eo6wyro1h,آویزه
âvîze,ewbu2ro1h,اويزه
ây,eo6y,آی
âye,eo99yh,اٌیه
âyet,ebu2bo2,ايت
âyet,eo6ybo2,آیت
âyet-el,eo6ybo2 el,آیت ال
âyet-i hasbiye,ebu2o4bo2u4 xo4so0bu1u4bu2o4h,ايَتِ حَسْبِيَه
âyet-i kerîme,ebu2bo2 krbu2mh,ايت کريمه
âyet-i tenzîl,eo6bu2o4bo2u4 bo2o4bo1o0ro1u4bu2lo0,آيَتِ تَنْزِيلْ
âyet-i,eo6ybo2u4,آیتِ
âyet-in,eo6ybo2 el,آیت ال
âyet-ül,eo6ybo2 el,آیت ال
âyet-ün,eo6ybo2 el,آیت ال
âyete,eo6ybo2h,آیته
âyeti,eo6ybo2y,آیتی
âyetidir,eo6ybo2ydr,آیتیدر
âyetin,eo6ybo2ko3,آیتڭ
âyetinde,eo6ybo2bo1dh,آیتنده
âyetindeki,eo6ybo2bo1dh||ky,آیتنده‌کی
âyetinden,eo6ybo2bo1dbo1,آیتندن
âyetine,eo6ybo2bo1h,آیتنه
âyetini,eo6ybo2bo1y,آیتنی
âyetinin,eo6ybo2bo1ko3,آیتنڭ
âyetiyle,eo6ybo2ylh,آیتیله
âyetle,eo6ybo2lh,آیتله
âyetler,eo6ybo2lr,آیتلر
âyetlerde,eo6ybo2lrdh,آیتلرده
âyetlerdeki,eo6ybo2lrdh||ky,آیتلرده‌کی
âyetlerden,eo6ybo2lrdbo1,آیتلردن
âyetlerdir,eo6ybo2lrdr,آیتلردر
âyetlere,eo6ybo2lrh,آیتلره
âyetleri,eo6ybo2lry,آیتلری
âyetleridir,eo6ybo2lrydr,آیتلریدر
âyetlerin,eo6ybo2lrko3,آیتلرڭ
âyetlerinde,eo6ybo2lrbo1dh,آیتلرنده
âyetlerindeki,eo6ybo2lrbo1dh||ky,آیتلرنده‌کی
âyetlerinden,eo6ybo2lrbo1dbo1,آیتلرندن
âyetlerine,eo6ybo2lrybo1h,آیتلرینه
âyetlerini,eo6ybo2lrybo1y,آیتلرینی
âyetlerinin,eo6ybo2lrybo1ko3,آیتلرینڭ
âyetleriyle,eo6ybo2lrylh,آیتلریله
âyetleriz,eo6ybo2lrro1,آیتلرز
âyetlerle,eo6ybo2lrlh,آیتلرله
âyette,eo6ybo2dh,آیتده
âyetteki,eo6ybo2dh||ky,آیتده‌کی
âyetten,eo6ybo2dbo1,آیتدن
âyettir,eo6ybo2dr,آیتدر
âyetül-kübrâ,eo6ybo2 elkbu1re,آیت الکبرا
âyin-i,eo6yybo1u4,آیینِ
âyine camı,ebu2bu2bo1h xu1emy,ايينه جامی
âyine,ebu2bu2bo1h,ايينه
âyine,eo6ybo1h,آینه
âyine,eo6yybo1h,آیینه
âyine-i,eo6yybo1h||u4,آیینه‌ِ
âyine-misal,eo6yybo1h||mbo3el,آیینه‌مثال
âyine-misaldir,eo6yybo1h||mbo3eldr,آیینه‌مثالدر
âyine-misâldir,eo6yybo1h||mbo3eldr,آیینه‌مثالدر
âyinecik,eo6yybo1h||xu1k,آیینه‌جک
âyineciklerde,eo6yybo1h||xu1klrdh,آیینه‌جکلرده
âyineciklerinde,eo6yybo1h||xu1klrbo1dh,آیینه‌جکلرنده
âyinecikte,eo6yybo1h||xu1kdh,آیینه‌جکده
âyinedar,eo6yybo1h||der,آیینه‌دار
âyinedarları,eo6yybo1h||derlry,آیینه‌دارلری
âyinedarlık,eo6yybo1h||derlfo2,آیینه‌دارلق
âyinedarlıkları,eo6yybo1h||derlfo2lry,آیینه‌دارلقلری
âyinedarlıklarını,eo6yybo1h||derlfo2lrybo1y,آیینه‌دارلقلرینی
âyinedarlıktır,eo6yybo1h||derlfo2dr,آیینه‌دارلقدر
âyinedarlığa,eo6yybo1h||derlao1h,آیینه‌دارلغه
âyinedarlığıdır,eo6yybo1h||derlao1ydr,آیینه‌دارلغیدر
âyinedarlığın,eo6yybo1h||derlao1ko3,آیینه‌دارلغڭ
âyinedarlığına,eo6yybo1h||derlao1bo1h,آیینه‌دارلغنه
âyinedarlığından,eo6yybo1h||derlao1bo1dbo1,آیینه‌دارلغندن
âyinedarlığını,eo6yybo1h||derlao1bo1y,آیینه‌دارلغنی
âyinedarlığının,eo6yybo1h||derlao1bo1ko3,آیینه‌دارلغنڭ
âyinedarıyız,eo6yybo1h||dery||yro1,آیینه‌داری‌یز
âyinede,eo6yybo1h||dh,آیینه‌ده
âyinedeki,eo6yybo1h||dh||ky,آیینه‌ده‌کی
âyinedir,eo6yybo1h||dr,آیینه‌در
âyinedâr,eo6yybo1h||der,آیینه‌دار
âyineler,eo6yybo1h||lr,آیینه‌لر
âyinelerde,eo6yybo1h||lrdh,آیینه‌لرده
âyinelerdeki,eo6yybo1h||lrdh||ky,آیینه‌لرده‌کی
âyinelerden,eo6yybo1h||lrdbo1,آیینه‌لردن
âyinelerdir,eo6yybo1h||lrdr,آیینه‌لردر
âyinelere,eo6yybo1h||lrh,آیینه‌لره
âyineleri,eo6yybo1h||lry,آیینه‌لری
âyineleridir,eo6yybo1h||lrydr,آیینه‌لریدر
âyineleridirler,eo6yybo1h||lrydrlr,آیینه‌لریدرلر
âyinelerin,eo6yybo1h||lrko3,آیینه‌لرڭ
âyinelerinde,eo6yybo1h||lrbo1dh,آیینه‌لرنده
âyinelerinden,eo6yybo1h||lrbo1dbo1,آیینه‌لرندن
âyinelerine,eo6yybo1h||lrybo1h,آیینه‌لرینه
âyinelerini,eo6yybo1h||lrybo1y,آیینه‌لرینی
âyinelerinin,eo6yybo1h||lrybo1ko3,آیینه‌لرینڭ
âyinelik,eo6yybo1h||lk,آیینه‌لک
âyineliktir,eo6yybo1h||lkdr,آیینه‌لکدر
âyinemiz,eo6yybo1h||mro1,آیینه‌مز
âyinemizde,eo6yybo1h||mro1dh,آیینه‌مزده
âyinemizdeki,eo6yybo1h||mro1dh||ky,آیینه‌مزده‌کی
âyinen,eo6yybo1h||ko3,آیینه‌ڭ
âyinende,eo6yybo1h||ko3dh,آیینه‌ڭده
âyinenin,eo6yybo1h||bo1ko3,آیینه‌نڭ
âyineniz,eo6yybo1h||ko3ro1,آیینه‌ڭز
âyinesi,eo6yybo1h||sy,آیینه‌سی
âyinesidir,eo6yybo1h||sydr,آیینه‌سیدر
âyinesinde,eo6yybo1h||sbo1dh,آیینه‌سنده
âyinesindeki,eo6yybo1h||sbo1dh||ky,آیینه‌سنده‌کی
âyinesine,eo6yybo1h||sbo1h,آیینه‌سنه
âyinesini,eo6yybo1h||sbo1y,آیینه‌سنی
âyinesinin,eo6yybo1h||sbo1ko3,آیینه‌سنڭ
âyinesisin,eo6yybo1h||sysko3,آیینه‌سیسڭ
âyinesiyim,eo6yybo1h||sy||ym,آیینه‌سی‌یم
âyinesiyiz,eo6yybo1h||sy||yro1,آیینه‌سی‌یز
âyinesiyle,eo6yybo1h||sylh,آیینه‌سیله
âyinesiz,eo6yybo1h||sro1,آیینه‌سز
âyineye,eo6yybo1h||yh,آیینه‌یه
âyineyi,eo6yybo1h||yy,آیینه‌یی
âyineyim,eo6yybo1h||ym,آیینه‌یم
âyinler,eo6yybo1lr,آیینلر
âyinlerine,eo6yybo1lrybo1h,آیینلرینه
âyâ,ebu2o4e,ايَا
âyâ,eo6ye,آیا
âyân,eayebo1,اعیان
âyât,eo6yebo2,آیات
âyât-i,eo6yebo2u4,آیاتِ
âyât-ün,eo6yebo2 el,آیات ال
âyât-ı,eo6yebo2u4,آیاتِ
âyâta,eo6yebo2h,آیاته
âyâtiyle,eo6yebo2ylh,آیاتیله
âyâtla,eo6yebo2lh,آیاتله
âyâtları,eo6yebo2lry,آیاتلری
âyâtlarının,eo6yebo2lrybo1ko3,آیاتلرینڭ
âyâtta,eo6yebo2dh,آیاتده
âyâttaki,eo6yebo2dh||ky,آیاتده‌کی
âyâtı,eo6yebo2y,آیاتی
âyâtıdır,eo6yebo2ydr,آیاتیدر
âyâtın,eo6yebo2ko3,آیاتڭ
âyâtına,eo6yebo2bo1h,آیاتنه
âyâtında,eo6yebo2ko3dh,آیاتڭده
âyâtından,eo6yebo2bo1dbo1,آیاتندن
âyâtını,eo6yebo2bo1y,آیاتنی
âyâtının,eo6yebo2bo1ko3,آیاتنڭ
âyâtıyla,eo6yebo2ylh,آیاتیله
âyîn,ebu2bu2bo1,ايين
âyîn,eo6ybu2bo1,آیين
âyîn,eo6yybo1,آیین
âyîne,ebu2bu2bo1h,ايينه
âyînhân,eo6ybu2bo1 xo1webo1,آیين خوان
âza,eo5azo1e,أعضا
âza-yı,eo5azo1eyu4,أعضایِ
âzad,eo6ro1ed,آزاد
âzada,eo5azo1edh,أعضاده
âzade,eo6ro1edh,آزاده
âzade-ser,eo6ro1edh sr,آزاده سر
âzadedir,eo6ro1edh||dr,آزاده‌در
âzadesiniz,eo6ro1edh||sko3ro1,آزاده‌سڭز
âzadlı,eo6ro1edly,آزادلی
âzadlık,eo6ro1edlfo2,آزادلق
âzaları,eo5azo1elry,أعضالری
âzaların,eo5azo1elrko3,أعضالرڭ
âzalarına,eo5azo1elrybo1h,أعضالرینه
âzalarınız,eo5azo1elryko3ro1,أعضالریڭز
âzalarıyla,eo5azo1elrylh,أعضالریله
âzalarıyız,eo5azo1elry||yro1,أعضالری‌یز
âzam-ı,eo5ato1mu4,أعظمِ
âzamda,eo5ato1mdh,أعظمده
âzamî,eato1my,اعظمی
âzamî,eo5ato1my,أعظمی
âzamı,eo5ato1my,أعظمی
âzamıdır,eo5ato1mydr,أعظمیدر
âzamın,eo5ato1mko3,أعظمڭ
âzamına,eo5ato1mbo1h,أعظمنه
âzamından,eo5ato1mbo1dbo1,أعظمندن
âzamını,eo5ato1mbo1y,أعظمنی
âzanızı,eo5azo1eko3ro1y,أعضاڭزی
âzası,eo5azo1esy,أعضاسی
âzasına,eo5azo1esbo1h,أعضاسنه
âzasını,eo5azo1esbo1y,أعضاسنی
âzaya,eo5azo1eyh,أعضایه
âzayı,eo5azo1eyy,أعضایی
âzer,eo6do1r,آذر
âzergede,eo6do1rkdh,آذرکده
âzeri,eo6do1ry,آذری
âzeri,eo6ro1ry,آزری
âzerperest,eo6do1rbu3rsbo2,آذرپرست
âzerâsâ,eo6do1reo6se,آذرآسا
âzim,aero1m,عازم
âzmend,eo6ro1mbo1d,آزمند
âzmâyiş,eo6ro1meyso3,آزمایش
âzâ,eazo1e,اعضا
âzâ,eo5azo1e,أعضا
âzâ-yı meclisten olan,eazo1ey mxu1lsdbo1 ewlebo1,اعضای مجلسدن اولان
âzâ-yı,eo5azo1eyu4,أعضایِ
âzâd etmek,ero1ede,ازادا
âzâd,eo6ro1ed,آزاد
âzâd,ero1ed,ازاد
âzâde,eo6ro1edh,آزاده
âzâde,eo6ro1o4edo4h,آزَادَه
âzâdegi,eo6ro1dky,آزدکی
âzâdegi,eo6ro1edky,آزادکی
âzâdegi,ero1ed ky,ازاد کی
âzâdlamak,eo6ro1edlemfo2,آزادلامق
âzâdî,eo6ro1edy,آزادی
âzâlarını,eo5azo1elrybo1y,أعضالرینی
âzân,eo6do1ebo1,آذان
âzânın,eo5azo1ebo1ko3,أعضانڭ
âzâr,eo6ro1er,آزار
âzâr,ero1er,ازار
âzârlamak,ero1erlmfo2,ازارلمق
âzârış,ero1erso3,ازارش
âzâsı,eo5azo1esy,أعضاسی
âzâsından,eo5azo1esbo1dbo1,أعضاسندن
âzâsını,eo5azo1esbo1y,أعضاسنی
âzâsız,eo5azo1esro1,أعضاسز
âzâtlamak,eo6ro1edlemfo2,آزادلامق
âzâtlı,eo6ro1edly,آزادلی
âzâtlık,eo6ro1edlfo2,آزادلق
âzürde,eo6ro1rdh,آزرده
âğişte,eo6ao1so3bo2h,آغشته
âğuş-u,eo6ao1wso3u4,آغوشِ
âğâliş,eo6ao1elso3,آغالش
âğâz,eo6ao1ero1,آغاز
âğâzlarıyla,eo6ao1ero1lrylh,آغازلریله
âğûş,eo6ao1wso3,آغوش
âş,eo6so3,آش
âşifte,eo6so3fo1bo2h,آشفته
âşikâr,eo6so3ker,آشکار
âşikâr,eso3ker,اشکار
âşikâre,eo6so3kerh,آشکاره
âşikâre,eo6so3u4ko4ero4h,آشِکَارَه
âşina,eo6so3bo1e,آشنا
âşinalık,eo6so3bo1elfo2,آشنالق
âşinâ,eo6so3bo1e,آشنا
âşinâlık,eo6so3bo1elfo2,آشنالق
âşinâyi,eo6so3bo1eyy,آشنایی
âşir,aeso3r,عاشر
âşirati,ao4eso3u4ro4ebo2u4,عَاشِرَاتِ
âşiratı,aeso3rebo2y,عاشراتی
âşiratıyla,aeso3rebo2ylh,عاشراتیله
âşire,aeso3rh,عاشره
âşire-i,aeso3rh||u4,عاشره‌ِ
âşiredir,aeso3rh||dr,عاشره‌در
âşireleri,aeso3rh||lry,عاشره‌لری
âşirelerine,aeso3rh||lrybo1h,عاشره‌لرینه
âşiren,aeso3re,عاشرا
âşiren,aeso3ro44e,عاشرًا
âşiyan,eo6so3yebo1,آشیان
âşiyane,eo6so3yebo1h,آشیانه
âşiyaneleri,eo6so3yebo1h||lry,آشیانه‌لری
âşiyanı,eo6so3yebo1y,آشیانی
âşiyân,eo6so3bu2ebo1,آشيان
âşiyân,eo6so3yebo1,آشیان
âşiyâne,eo6so3yebo1h,آشیانه
âşkâr,eo6so3ker,آشکار
âşkârâ,eo6so3kere,آشکارا
âşnâ,eo6so3bo1e,آشنا
âşnâyân,eo6so3bo1eyebo1,آشنایان
âşnâyî,eo6so3bo1eyy,آشنایی
âşpez,eo6so3bu3ro1,آشپز
âşâm,eo6so3em,آشام
âşâr,easo3er,اعشار
âşûb,eo6so3wbu1,آشوب
âşûbengîz,eo6so3wbu1 ebo1ko7bu2ro1,آشوب انگيز
âşûrâ,aeso3wre,عاشورا
âşüfte,eo6so3fo1bo2h,آشفته
âşüftedil,eo6so3fo1bo2h dl,آشفته دل
âşık olmak,aeso3fo2 ew,عاشق او
âşık,aeso3fo2,عاشق
âşık-ı,aeso3fo2u4,عاشقِ
âşıka,aeso3fo2h,عاشقه
âşıkan,aeso3fo2ebo1,عاشقان
âşıkane,aeso3fo2ebo1h,عاشقانه
âşıkanesiyle,aeso3fo2ebo1h||sylh,عاشقانه‌سیله
âşıklara,aeso3fo2lrh,عاشقلره
âşıkları,aeso3fo2lry,عاشقلری
âşıkların,aeso3fo2lrko3,عاشقلرڭ
âşıklarına,aeso3fo2lrybo1h,عاشقلرینه
âşıktı,aeso3fo2dy,عاشقدی
âşıktım,aeso3fo2dm,عاشقدم
âşıktır,aeso3fo2dr,عاشقدر
âşıktırlar,aeso3fo2drlr,عاشقدرلر
âşıkân,aeso3fo2ebo1,عاشقان
âşıkâne,aesfo2ebo1h,عاسقانه
âşıkîn,aeso3fo2ybo1,عاشقین
âşıkînî,aeso3fo2ybo1y,عاشقینی
âşıkı,aeso3fo2y,عاشقی
âşıkın,aeso3fo2ko3,عاشقڭ
âşıkını,aeso3fo2bo1y,عاشقنی
âşığı,aeso3ao1y,عاشغی
