
b,bu1,ب
bilâpervâ,bu1lebu3rwe,بلاپروا
bilârdo,bu1ylerdw,بیلاردو
bilâte'ehhür,bu1lebo2eo5xo1r,بلاتأخر
bilâtefrik,bu1lebo2fo1ryfo2,بلاتفریق
bilâtehlike,bu1lebo2hlkh,بلاتهلکه
bilâteminat,bu1lebo2eo5mbu2bo1ebo2,بلاتأمينات
bilâtereddüd,bu1u4le bo2rdo8d,بِلا تردّد
bilâücret,bu1leeo5xu1rbo2,بلاأجرت
bilâşek,bu1u4le so3k,بِلا شک
bilâşikâyet,bu1leso3keybo2,بلاشکایت
bilâşübhe,bu1u4le so3bu1hh,بِلا شبهه
bim,bu1ym,بیم
bima'na,bu1y mabo1y,بی معنی
bimana,bu1u4mabo1e,بِمعنا
bimar,bu1ymer,بیمار
bimaran,bu1ymerebo1,بیماران
bimarhane,bu1ymer xo1ebo1h||,بیمار خانه‌
bima’na,bu1y mabo1y,بی معنی
bimecal,bu1y mxu1el,بی مجال
bimekan,bu1y mkebo1,بی مکان
bimerhamet,bu1y mrxmbo2,بی مرحمت
bimeze,bu1y mro1h||,بی مزه‌
bimihr,bu1y mhr,بی مهر
bimisal,bu1y mbo3el,بی مثال
bimuhaba,bu1y mxebu1e,بی محابا
bimuradihi,bu1u4mo9ro4edu4hu4,بِمُرَادِهِ
bimübalat,bu1y mbu1elebo2,بی مبالات
bimürüvvet,bu1y mrwbo2,بی مروت
bin,bu1bo1,بن
bin,bu1bu2k,بيک
bin,bu1ybo1,بین
bin,bu1yk,بیک
bin,bu1yko3,بیڭ
bin,bu1ylo5o3,بیك
bina etmek,bu1bo1e e,بنا ا
bina,bu1bo1e,بنا
bina,bu1bo1ec,بناء
bina,bu1u4bo1o4e,بِنَا
bina,bu1ybo1e,بینا
bina-i,bu1bo1ecu4,بناءِ
bina-yı,bu1bo1eyu4,بنایِ
binaberin,bu1bo1ebu1rybo1,بنابرین
binada,bu1bo1edh,بناده
binadaki,bu1bo1edh||ky,بناده‌کی
binadan,bu1bo1edbo1,بنادن
binadır,bu1bo1edr,بنادر
binaen 'ala-zalike,bu1bo1ecu4 aly do1lk,بناءِ علی ذلک
binaen,bu1bo1ec,بناء
binaen,bu1bo1eco44,بناءً
binaen,bu1u4bo1o4eco44,بِنَاءً
binaen-ala-zalike,bu1bo1ec aly do1lk,بناء علی ذلک
binaen-ala-zalike,bu1bo1ecaly do1lk,بناءعلی ذلک
binaen-aleyh,bu1bo1ec alyh||,بناء علیه‌
binaen-aleyh,bu1bo1ecalyh||,بناءعلیه‌
binaen-aleyh,bu1bo1ecu4 alyh||,بناءِ علیه‌
binaenaleyh,bu1bo1ec alyh||,بناء علیه‌
binaenaleyh,bu1bo1eco44 alyh,بناءً علیه
binaenaleyh,bu1bo1eco44 alyh||,بناءً علیه‌
binaenaleyh,bu1bo1ecu4alyh||,بناءِعلیه‌
binaenaleyh,bu1u4bo1o4eco44 ao4lo4yo0ho0,بِنَاءً عَلَیْهْ
binaenalâhâzâ,bu1bo1eco44 aly hdo1e,بناءً علی هذا
binaendir,bu1bo1eco44dr,بناءًدر
binalar,bu1bo1elr,بنالر
binalarda,bu1bo1elrdh,بنالرده
binaların,bu1bo1elrko3,بنالرڭ
binalarında,bu1bo1elrbo1dh,بنالرنده
binam,bu1ybo1em,بینام
binamaz,bu1y bo1mero1,بی نماز
binanın,bu1bo1ebo1ko3,بنانڭ
binanıza,bu1bo1eko3ro1h,بناڭزه
binasib,bu1y bo1zybu1,بی نصیب
binası,bu1bo1esy,بناسی
binasıdır,bu1bo1esydr,بناسیدر
binasına,bu1bo1esbo1h,بناسنه
binasında,bu1bo1esbo1dh,بناسنده
binasındaki,bu1bo1esbo1dh||ky,بناسنده‌کی
binasından,bu1bo1esbo1dbo1,بناسندن
binasını,bu1bo1esbo1y,بناسنی
binasının,bu1bo1esbo1ko3,بناسنڭ
binaya,bu1bo1eyh,بنایه
binayı,bu1bo1eyy,بنایی
binazir,bu1y bo1to1yr,بی نظیر
binaı,bu1bo1eyo5y,بنائی
binbaşı,bu1bu2kbu1eso3y,بيکباشی
binbaşı,bu1ykbu1eso3y,بیکباشی
binbaşı,bu1yko3bu1eso3y,بیڭباشی
binbaşı,bu1ylo5o3bu1eso3y,بیكباشی
binbaşılarından,bu1yko3bu1eso3ylrbo1dbo1,بیڭباشیلرندن
binbaşılık,bu1bu2kbu1eso3bu2lk,بيکباشيلک
binbaşılık,bu1ykbu1eso3ylk,بیکباشیلک
binbaşılık,bu1yko3bu1eso3ylfo2,بیڭباشیلق
binbaşının,bu1yko3bu1eso3ybo1ko3,بیڭباشینڭ
binbaşısı,bu1yko3bu1eso3ysy,بیڭباشیسی
binbaşısına,bu1yko3bu1eso3ysbo1h,بیڭباشیسنه
binbeşyüz,bu1yko3 bu1so3ywro1,بیڭ بشیوز
binbeşyüze,bu1yko3 bu1so3ywro1h,بیڭ بشیوزه
binbir,bu1yko3bu1r,بیڭبر
binbirler,bu1yko3 bu1rlr,بیڭ برلر
binde,bu1yko3dh,بیڭده
binden,bu1yko3dbo1,بیڭدن
bindi,bu1ybo1dy,بیندی
bindik,bu1ybo1dk,بیندک
bindiler,bu1ybo1dylr,بیندیلر
bindim,bu1ybo1dm,بیندم
bindir,bu1ybo1dyr,بیندیر
bindir,bu1yko3dr,بیڭدر
bindirdi,bu1ybo1dyrdy,بیندیردی
bindirdiler,bu1ybo1dyrdylr,بیندیردیلر
bindirdim,bu1ybo1dyrdm,بیندیردم
bindirerek,bu1ybo1dyrh||rk,بیندیره‌رک
bindirilerek,bu1ybo1dyrylh||rk,بیندیریله‌رک
bindirip,bu1ybo1dyrwbu1,بیندیروب
bindirir,bu1ybo1dyrr,بیندیرر
bindirirler,bu1ybo1dyrrlr,بیندیررلر
bindirmek,bu1ybo1dyrmk,بیندیرمک
bindirmesin,bu1ybo1dyrmsybo1,بیندیرمسین
bindirmeğe,bu1ybo1dyrmko7h,بیندیرمگه
bindirse,bu1ybo1dyrsh,بیندیرسه
bindirsin,bu1ybo1dyrsybo1,بیندیرسین
bindiği,bu1ybo1dyko7y,بیندیگی
bindiğimiz,bu1ybo1dyko7mro1,بیندیگمز
bine,bu1yko3h,بیڭه
binebildim,bu1ybo1h||bu1yldm,بینه‌بیلدم
binebilirsen,bu1ybo1h||bu1ylyrsh||ko3,بینه‌بیلیرسه‌ڭ
binebilirsiniz,bu1ybo1h||bu1ylyrsko3ro1,بینه‌بیلیرسڭز
bineceğiz,bu1ybo1h||xu1ko7ro1,بینه‌جگز
binefsiha,bu1u4bo1fo1she,بِنفسها
binefsihi,bu1bo1fo1sh||,بنفسه‌
binefsihi,bu1u4bo1fo1sh,بِنفسه
binefsihî,bu1bo1fo1sh,بنفسه
binefsihî,bu1u4bo1fo1sh,بِنفسه
binek,bu1ybo1k,بینک
binekatı,bu1ybo1k eo6bo2y,بینک آتی
binekler,bu1ybo1klr,بینکلر
bineklik,bu1ybo1klk,بینکلک
binektaşı,bu1ybo1k teso3y,بینک طاشی
binelim,bu1ybo1h||lm,بینه‌لم
binemek,bu1y bo1mk,بی نمک
binemeyiz,bu1ybo1h||mh||yro1,بینه‌مه‌یز
binemez,bu1ybo1h||mro1,بینه‌مز
binen,bu1ybo1bo1,بینن
binenler,bu1ybo1bo1lr,بیننلر
biner,bu1ybo1r,بینر
biner,bu1yko3r,بیڭر
biner,bu1ylo5o3r,بیكر
binerek,bu1ybo1h||rk,بینه‌رک
bineriz,bu1ybo1rro1,بینرز
binerken,bu1ybo1rkbo1,بینرکن
binerler,bu1ybo1rlr,بینرلر
binersin,bu1ybo1rsko3,بینرسڭ
bineva,bu1ybo1we,بینوا
bineği,bu1ybo1ko7y,بینگی
bini,bu1ybo1y,بینی
bini,bu1yko3y,بیڭی
binici,bu1bo1bu2xu1y,بنيجی
binici,bu1bo1yxu1y,بنیجی
binici,bu1ybo1yxu1y,بینیجی
binicilik,bu1bo1bu2xu1bu2lk,بنيجيلک
binicilik,bu1bo1yxu1ylk,بنیجیلک
binicilik,bu1ybo1yxu1ylk,بینیجیلک
binihaye,bu1y bo1heyh||,بی نهایه‌
binihaye,bu1y<>bo1heyh||,بی‌نهایه‌
binikiyüz,bu1yko3 eyky ywro1,بیڭ ایکی یوز
binil,bu1ybo1yl,بینیل
binildiği,bu1ybo1yldyko7y,بینیلدیگی
binili,bu1bo1bu2lw,بنيلو
binili,bu1bo1ylw,بنیلو
binilir,bu1ybo1ylyr,بینیلیر
binilmek,bu1ybo1ylmk,بینیلمک
binilmemiş,bu1ybo1ylmh||mso3,بینیلمه‌مش
binilmiş,bu1ybo1ylmso3,بینیلمش
bininci,bu1yko3bo1xu1y,بیڭنجی
bininci,bu1ylo5o3bo1xu1y,بیكنجی
binip,bu1ybo1wbu1,بینوب
biniş,bu1bu2bo1so3,بينش
biniş,bu1ybo1so3,بینش
biniş,bu1ybo1yso3,بینیش
binler,bu1yko3lr,بیڭلر
binlerce,bu1yko3lrxu1h,بیڭلرجه
binlercedir,bu1yko3lrxu1h||dr,بیڭلرجه‌در
binlercesinin,bu1yko3lrxu1h||sbo1ko3,بیڭلرجه‌سنڭ
binlerdir,bu1yko3lrdr,بیڭلردر
binlere,bu1yko3lrh,بیڭلره
binlerinden,bu1yko3lrbo1dbo1,بیڭلرندن
binlerine,bu1yko3lrybo1h,بیڭلرینه
binlerle,bu1yko3lrlh,بیڭلرله
binlik,bu1yko3lk,بیڭلک
binlik,bu1ylo5o3lk,بیكلک
binmek,bu1bo1mk,بنمک
binmek,bu1ybo1mk,بینمک
binmekten,bu1ybo1mkdbo1,بینمکدن
binmeyecek,bu1ybo1myh||xu1k,بینمیه‌جک
binmez,bu1ybo1mro1,بینمز
binmiş,bu1bo1mso3,بنمش
binmiş,bu1ybo1mso3,بینمش
binmişler,bu1ybo1mso3lr,بینمشلر
binmişsiniz,bu1ybo1mso3sko3ro1,بینمشسڭز
binmişti,bu1ybo1mso3dy,بینمشدی
binmiştim,bu1ybo1mso3dm,بینمشدم
binnefs,bu1u4elbo1fo1s,بِالنفس
binnetice,bu1elbo1bo2bu2xu1h,بالنتيجه
binnetice,bu1elbo1bo2yxu1h||,بالنتیجه‌
binnetice,bu1u4elbo1o8o4bo2yxu1h,بِالنَّتیجه
binnisbe,bu1elbo1sbu1h,بالنسبه
binnisbe,bu1elbo1sbu1h||,بالنسبه‌
binnisbe,bu1u4elbo1o8sbu1h,بِالنّسبه
binniyet,bu1u4elbo1u4o8bu2o4bo2o0,بِالنِّيَتْ
binniyet,bu1u4elbo1u4o8yo4bo2o0,بِالنِّیَتْ
binniyet,bu1u4elbo1yo8bo2,بِالنیّت
binniyye,bu1u4elbo1u4o8bu2o4h,بِالنِّيَه
binniyye,bu1u4elbo1u4o8yo4h||,بِالنِّیَه‌
binniyye,bu1u4elbo1yo8ho2,بِالنیّة
binse,bu1ybo1sh,بینسه
bint,bu1bo1bo2,بنت
bint-i,bu1u4bo1bo2u4,بِنتِ
bint-il,bu1u4bo1bo2 el,بِنت ال
bint-ül,bu1bo1bo2 el,بنت ال
binyüz,bu1yko3 ywro1,بیڭ یوز
binyüzonbir,bu1yko3 ywro1 ewbo1bu1r,بیڭ یوز اونبر
binâ etmek,bu1bo1e e,بنا ا
binâ,bu1bo1e,بنا
binâ,bu1bo1ec,بناء
binâ,bu1u4bo1o4e,بِنَا
binâberin,bu1bo1ebu1rybo1,بنابرین
binâberîn,bu1bo1ebu1rbu2bo1,بنابرين
binâberîn,bu1bo1ebu1rybo1,بنابرین
binâen 'ala-zalike,bu1bo1ecu4 aly do1lk,بناءِ علی ذلک
binâen,bu1bo1ec,بناء
binâen,bu1bo1eco44,بناءً
binâen,bu1u4bo1o4eco44,بِنَاءً
binâen-ala-zâlike,bu1bo1ecaly do1lk,بناءعلی ذلک
binâen-aleyh,bu1bo1ec albu2h,بناء عليه
binâen-aleyh,bu1bo1ecalbu2h,بناءعليه
binâen-aleyh,bu1bo1ecu4 albu2h,بناءِ عليه
binâen-alâ-zâlike,bu1bo1ec aly do1lk,بناء علی ذلک
binâenaleyh,bu1bo1ec albu2h,بناء عليه
binâenaleyh,bu1bo1ecu4albu2h,بناءِعليه
binâenaleyh,bu1u4bo1o4eco44 ao4lo4bu2o0ho0,بِنَاءً عَلَيْهْ
binâlar,bu1bo1elr,بنالر
binüçyüz,bu1yko3 ewxu3ywro1,بیڭ اوچیوز
binüçyüzelli,bu1yko3 ewxu3ywro1 eo5lly,بیڭ اوچیوز أللی
binüçyüzkırk,bu1yko3 ewxu3ywro1 fo2rfo2,بیڭ اوچیوز قرق
binüçyüzotuz,bu1yko3 ewxu3ywro1 ewbo2wro1,بیڭ اوچیوز اوتوز
binüçyüzseksen,bu1yko3 ewxu3ywro1 sksebo1,بیڭ اوچیوز سکسان
bipayan,bu1y bu3eyebo1,بی پایان
bipayan,bu1ybu3eyebo1,بیپایان
biperva,bu1y bu3rwe,بی پروا
biperva,bu1y<>bu3rwe,بی‌پروا
bir adam,bu1redm,برادم
bir akçe etmez,bu1refo2xu3h ebu2bo2mro1,براقچه ايتمز
bir akçe etmez,bu1refo2xu3h eybo2mro1,براقچه ایتمز
bir akçelik,bu1refo2xu3h lfo2,براقچه لق
bir araya geliş,bu1rerebu2h klso3,برارايه کلش
bir araya geliş,bu1rereyh klso3,برارایه کلش
bir araya gelmek,bu1rerbu2h klmk,براريه کلمک
bir araya gelmek,bu1rerebu2h klmk,برارايه کلمک
bir araya gelmek,bu1rereyh klmk,برارایه کلمک
bir araya gelmek,bu1reryh klmk,براریه کلمک
bir daha gelmek,bu1rdheklmk,بردهاکلمک
bir daha okumak,bu1rdhe ewfo2wmfo2,بردها اوقومق
bir daha,bu1rdhe,بردها
bir dalda durmaz,bu1rdeldh dwrmero1,بردالده دورماز
bir dalda durmaz,bu1rdeldh dwrmro1,بردالده دورمز
bir defa,bu1rdfo1ah,بردفعه
bir defa,bu1rdfo1ah||,بردفعه‌
bir dereceye kadar,bu1rdrxu1h bu2h fo2dr,بردرجه يه قدر
bir dereceye kadar,bu1rdrxu1h yh fo2dr,بردرجه یه قدر
bir değil,bu1rdkl,بردکل
bir düziye,bu1rdwro1y bu2h,بردوزی يه
bir düziye,bu1rdwro1y yh||,بردوزی یه‌
bir düziyye,bu1rdwro1bu2h,بردوزيه
bir düziyye,bu1rdwro1yh||,بردوزیه‌
bir felakete mübtela olup yine ölmemek,bu1rfo1lekbo2h mbu1bo2le ewlwbu1 ybo1h ewlmemk,برفلاکته مبتلا اولوب ینه اولمامک
bir felâkete mübtelâ olup yine ölmemek,bu1rfo1lekbo2h mbu1bo2le ewlwbu1 bu2bo1h ewlmemk,برفلاکته مبتلا اولوب ينه اولمامک
bir gün sonra,bu1rkwbo1 zbo1krh,برکون صنکره
bir gün sonra,bu1rkwbo1 zbo1krh||,برکون صنکره‌
bir hayrı kalmamak,bu1rxo1bu2ry fo2elmemfo2,برخيری قالمامق
bir hayrı kalmamak,bu1rxo1yry fo2elmemfo2,برخیری قالمامق
bir hizada,bu1rxdo1edh||,برحذاده‌
bir hizâda,bu1rxdo1edh,برحذاده
bir işe yaramaz,bu1rebu2so3h bu2remro1,برايشه يرامز
bir işe yaramaz,bu1reyso3h yremro1,برایشه یرامز
bir işin bozulmasına sebeb olan,bu1rebu2so3k bu1wro1lmsbo1h sbu1bu1 ewlebo1,برايشک بوزلمسنه سبب اولان
bir işin bozulmasına sebeb olan,bu1reyso3k bu1wro1lmsbo1h sbu1bu1 ewlebo1,برایشک بوزلمسنه سبب اولان
bir kararda durmamak,bu1rfo2rerdh dwrmemfo2,برقرارده دورمامق
bir karârda durmamak,bu1rfo2rerdh dwrmemfo2,برقرارده دورمامق
bir katını indirmek,bu1rfo2ebo1y ebo1drmk,برقانی اندرمک
bir kere,bu1rkrh,برکره
bir kere,bu1rkrh||,برکره‌
bir kimesne,bu1rkmsbo1h,برکمسنه
bir kimesne,bu1rkmsbo1h||,برکمسنه‌
bir mikdar,bu1rmfo2der,برمقدار
bir miktar,bu1rmfo2der,برمقدار
bir nevi kaplan,bu1rbo1wa fo2ebu3lebo1,برنوع قاپلان
bir olmak,bu1rew,براو
bir rakı,bu1rrefo2y,برراقی
bir sefer,bu1rsfo1r,برسفر
bir senelik,bu1rsbo1h lk,برسنه لک
bir siyakda,bu1rsyefo2dh||,برسیاقده‌
bir siyâkda,bu1rsbu2efo2dh,برسياقده
bir sözü bir sözüne uymaz,bu1rswro1y bu1rswro1bu2bo1h ewbu2mro1,برسوزی برسوزينه اويمز
bir sözü bir sözüne uymaz,bu1rswro1y bu1rswro1ybo1h ewymro1,برسوزی برسوزینه اویمز
bir tahmin etmek,bu1rbo2xo1mybo1 e,برتخمین ا
bir tahmîn etmek,bu1rbo2xo1mbu2bo1 e,برتخمين ا
bir takım,bu1rtefo2m,برطاقم
bir tarafa koymak,bu1rtrfo1h fo2wmfo2,برطرفه قومق
bir tarafa çekilmek,bu1rtrfo1h xu3klmk,برطرفه چکلمک
bir tarafa,bu1rtrfo1h,برطرفه
bir tarafa,bu1rtrfo1h||,برطرفه‌
bir tarafta,bu1rtrfo1dh,برطرفده
bir tarafta,bu1rtrfo1dh||,برطرفده‌
bir tarafın tutulması,bu1rtrfo1k twbo2lmsy,برطرفک طوتلمسی
bir türlü,bu1rdrlw,بردرلو
bir ucunu kaldırmak,bu1rewxu1bo1y fo2eldrmfo2,براوجنی قالدرمق
bir vakit,bu1rwfo2bo2,بروقت
bir vakitte,bu1rwfo2bo2dh,بروقتده
bir vakitte,bu1rwfo2bo2dh||,بروقتده‌
bir vakti bir vaktine uymaz,bu1rwfo2bo2y bu1rwfo2bo2bo1h ewbu2mro1,بروقتی بروقتنه اويمز
bir vakti bir vaktine uymaz,bu1rwfo2bo2y bu1rwfo2bo2bo1h ewymro1,بروقتی بروقتنه اویمز
bir yana,bu1rbu2ebo1h,بريانه
bir yana,bu1ryebo1h||,بریانه‌
bir yanda,bu1rbu2ebo1dh,بريانده
bir yanda,bu1ryebo1dh||,بریانده‌
bir yanı tutulması,bu1rbu2ebo1y twbo2lmsy,بريانی طوتلمسی
bir yanı tutulması,bu1ryebo1y twbo2lmsy,بریانی طوتلمسی
bir yanından öbür yanına,bu1rbu2ebo1bo1dbo1 ewlbu1rbu2ebo1bo1h,بريانندن اولبرياننه
bir yanından öbür yanına,bu1ryebo1bo1dbo1 ewlbu1ryebo1bo1h||,بریانندن اولبریاننه‌
bir yerde,bu1rbu2rdh,بريرده
bir yerde,bu1ryrdh||,بریرده‌
bir yere gelmek,bu1rbu2rh klmk,بريره کلمک
bir yere gelmek,bu1ryrh klmk,بریره کلمک
bir yere,bu1rbu2rh,بريره
bir yere,bu1ryrh||,بریره‌
bir yol ile anlatmak,bu1rbu2wl ebu2lh eklebo2mfo2,بريول ايله اکلاتمق
bir yol ile anlatmak,bu1rywl eylh eklebo2mfo2,بریول ایله اکلاتمق
bir yol ile sokmak,bu1rbu2wl ebu2lh zwfo2mfo2,بريول ايله صوقمق
bir yol ile sokmak,bu1rywl eylh zwfo2mfo2,بریول ایله صوقمق
bir zaman,bu1rro1mebo1,برزمان
bir zamân,bu1rro1mebo1,برزمان
bir şey tasavvur ettim,bu1rso3y bo2zwr ebu2bo2dm,برشی تصور ايتدم
bir şey tasavvur ettim,bu1rso3y bo2zwr eybo2dm,برشی تصور ایتدم
bir şey öğrenmemiş,bu1rso3y ewkrbo1memso3,برشی اوکرنمامش
bir şey,bu1rso3y,برشی
bir,bu1r,بر
bir-iki,bu1r eyky,بر ایکی
bir-iki-üç,bu1r eyky ewxu3,بر ایکی اوچ
bir-ikiden,bu1r eykydbo1,بر ایکیدن
bir-ikinin,bu1r eykybo1ko3,بر ایکینڭ
bir-ikisi,bu1r eykysy,بر ایکیسی
bir-ikisinden,bu1r eykysbo1dbo1,بر ایکیسندن
bir-ikisine,bu1r eykysbo1h,بر ایکیسنه
bir-ikisini,bu1r eykysbo1y,بر ایکیسنی
bir-ikiye,bu1r eyky||yh,بر ایکی‌یه
bira,bu1bu2rh,بيره
bira,bu1yre,بیرا
bira,bu1yrh||,بیره‌
birader,bu1redr,برادر
birader,bu1u4ro4edo4ro0,بِرَادَرْ
birader-i misali,bu1u4ro4edo4ru4 mu4bo3o4elu4y,بِرَادَرِ مِثَالِی
birader-i misâlî,bu1u4ro4edo4ru4 mu4bo3o4elu4bu2,بِرَادَرِ مِثَالِي
birader-i,bu1redru4,برادرِ
biraderi,bu1redry,برادری
biraderim,bu1redrm,برادرم
biraderime,bu1redrymh,برادریمه
biraderimiz,bu1redrymro1,برادریمز
biraderinden,bu1redrbo1dbo1,برادرندن
biraderini,bu1redrybo1y,برادرینی
biraderinin,bu1redrybo1ko3,برادرینڭ
biraderiyle,bu1redrylh,برادریله
biraderlerine,bu1redrlrybo1h,برادرلرینه
biraderzade,bu1redrro1edh,برادرزاده
biraderzade,bu1redrro1edh||,برادرزاده‌
biraderzade,bu1redrro1h fo2yro1,برادرزه قیز
biraderzadelerim,bu1redrro1edh||lrm,برادرزاده‌لرم
biraderzadem,bu1redrro1edh||m,برادرزاده‌م
biraderzadeniz,bu1redrro1edh||ko3ro1,برادرزاده‌ڭز
biraderzadesi,bu1redrro1edh||sy,برادرزاده‌سی
biraderzadesidir,bu1redrro1edh||sydr,برادرزاده‌سیدر
birahane,bu1yrexo1ebo1h||,بیراخانه‌
birahm,bu1y rxm,بی رحم
birahâne,bu1yrexo1ebo1h,بیراخانه
birayb,bu1y rybu1,بی ریب
biraz daha,bu1rero1dhe,برازدها
biraz evvel,bu1rero1ewl,برازاول
biraz iyi olmak,bu1rero1ebu2wew,برازايواو
biraz iyi olmak,bu1rero1eywew,برازایواو
biraz sonra,bu1rero1zkrh,برازصکره
biraz sonra,bu1rero1zkrh||,برازصکره‌
biraz vakitlerden sonra,bu1rero1wfo2bo2lrdbo1zkrh,برازوقتلردنصکره
biraz vakitlerden sonra,bu1rero1wfo2bo2lrdbo1zkrh||,برازوقتلردنصکره‌
biraz,bu1reo6ro1,برآز
biraz,bu1rero1,براز
birazdan sonra,bu1rero1dbo1zkrh,برازدنصکره
birazdan sonra,bu1rero1dbo1zkrh||,برازدنصکره‌
birazdan,bu1rero1dbo1,برازدن
birbiri,bu1rbu1ry,بربری
birbirimizden,bu1rbu1rymro1dbo1,بربریمزدن
birbirimize,bu1rbu1rymro1h,بربریمزه
birbirimizin,bu1rbu1rymro1ko3,بربریمزڭ
birbirimizle,bu1rbu1rymro1lh,بربریمزله
birbirinde,bu1rbu1rbo1dh,بربرنده
birbirinden,bu1rbu1rbo1dbo1,بربرندن
birbirine karışmak,bu1ry bu1rbu2bo1h fo2erso3mfo2,بری برينه قارشمق
birbirine karışmak,bu1ry bu1rybo1h fo2erso3mfo2,بری برینه قارشمق
birbirine uymaz,bu1ry bu1rbu2bo1h ewbu2mro1,بری برينه اويمز
birbirine uymaz,bu1ry bu1rybo1h ewymro1,بری برینه اویمز
birbirine varmak,bu1ry bu1rbu2bo1h wermfo2,بری برينه وارمق
birbirine varmak,bu1ry bu1rybo1h wermfo2,بری برینه وارمق
birbirine yapışmak,bu1rbu1rbu2bo1h bu2ebu3so3mfo2,بربرينه ياپشمق
birbirine yapışmak,bu1rbu1rybo1h yebu3so3mfo2,بربرینه یاپشمق
birbirine,bu1rbu1rybo1h,بربرینه
birbirini bırakmak,bu1ry bu1rbu2bo1y bu1refo2memfo2,بری برينی براقمامق
birbirini bırakmak,bu1ry bu1rybo1y bu1refo2memfo2,بری برینی براقمامق
birbirini tanımak,bu1rbu1rbu2bo1y tebo1bu2mfo2,بربرينی طانيمق
birbirini tanımak,bu1rbu1rybo1y tebo1ymfo2,بربرینی طانیمق
birbirini,bu1rbu1rybo1y,بربرینی
birbirinin ardı sıra,bu1rbu1rbu2bo1k erdy zrh,بربرينک اردی صره
birbirinin ardı sıra,bu1rbu1rybo1k erdy zrh||,بربرینک اردی صره‌
birbirinin,bu1rbu1rybo1ko3,بربرینڭ
birbirinizdeki,bu1rbu1ryko3ro1dh||ky,بربریڭزده‌کی
birbirinizden,bu1rbu1ryko3ro1dbo1,بربریڭزدن
birbirinize,bu1rbu1ryko3ro1h,بربریڭزه
birbirinizi,bu1rbu1ryko3ro1y,بربریڭزی
birbirinizin,bu1rbu1ryko3ro1ko3,بربریڭزڭ
birbirinizle,bu1rbu1ryko3ro1lh,بربریڭزله
birbirisine,bu1rbu1rysbo1h,بربریسنه
birbirisini,bu1rbu1rysbo1y,بربریسنی
birbirisiz,bu1rbu1rysro1,بربریسز
birbiriyle,bu1rbu1rylh,بربریله
birbirlerinden,bu1rbu1rlrbo1dbo1,بربرلرندن
birbirlerine,bu1rbu1rlrybo1h,بربرلرینه
birbirlerini,bu1rbu1rlrybo1y,بربرلرینی
birbirlerinin,bu1rbu1rlrybo1ko3,بربرلرینڭ
birbirleriyle,bu1rbu1rlrylh,بربرلریله
birbuçuk,bu1r bu1xu3fo2,بر بچق
birde,bu1rdh,برده
birden bire uyandırmak,bu1rdbo1 bo1rh ewbu2ebo1drmfo2,بردن نره اوياندرمق
birden bire uyandırmak,bu1rdbo1 bo1rh ewyebo1drmfo2,بردن نره اویاندرمق
birden bire,bu1rdbo1 bu1rh,بردن بره
birden bire,bu1rdbo1 bu1rh||,بردن بره‌
birden cevelan etmek,bu1rdbo1 xu1wlebo1 e,بردن جولان ا
birden cevelân etmek,bu1rdbo1 xu1wlebo1 e,بردن جولان ا
birden,bu1rdbo1,بردن
birdenbire,bu1rdbo1 bu1rh,بردن بره
birdenbire,bu1rdbo1<>bu1rh||,بردن‌بره‌
birdenbire,bu1rdbo1||bu1rh,بردن‌بره
birdir,bu1rdr,بردر
birdirler,bu1rdrlr,بردرلر
bire'sihi,bu1u4reo5su4hu4,بِرأسِهِ
bire,bu1rh,بره
birebir,bu1rh<>bu1r,بره‌بر
birebir,bu1rh||bu1r,بره‌بر
birecik,bu1yrh<>xu1k,بیره‌جک
birer birer,bu1rrbu1rr,برربرر
birer,bu1rr,برر
birerlerine,bu1rrlrybo1h,بررلرینه
birerlerinin,bu1rrlrybo1ko3,بررلرینڭ
birerleriniz,bu1rrlryko3ro1,بررلریڭز
birerlerinize,bu1rrlryko3ro1h,بررلریڭزه
birgün,bu1r ko7wbo1,بر گون
biri birine uymamak,bu1ry bu1rbu2bo1h ewbu2memfo2,بری برينه اويمامق
biri birine uymamak,bu1ry bu1rybo1h ewymemfo2,بری برینه اویمامق
biri öldükte diğeri ölmemek,bu1ry ewldkdh dbu2kry ewlmemk,بری اولدکده ديکری اولمامک
biri öldükte diğeri ölmemek,bu1ry ewldkdh dykry ewlmemk,بری اولدکده دیکری اولمامک
biri,bu1ry,بری
biribirisiz,bu1ry bu1rysro1,بری بریسز
biricik,bu1ryxu1k,بریجک
biridir,bu1rydr,بریدر
birik,bu1ryk,بریک
birikdir,bu1rykdyr,بریکدیر
birikdirmek,bu1rykdyrmk,بریکدیرمک
birikinti,bu1rykybo1bo2y,بریکینتی
birikmek,bu1rkmk,برکمک
birikmek,bu1rykmk,بریکمک
birikmiş,bu1yrykmso3,بیریکمش
biriktirip,bu1yrykdyrwbu1,بیریکدیروب
biriktiriş,bu1rkdrso3,برکدرش
biriktirmek,bu1rkdrmk,برکدرمک
birimiz,bu1rymro1,بریمز
birimizde,bu1rymro1dh,بریمزده
birimizi,bu1rymro1y,بریمزی
birimizin,bu1rymro1ko3,بریمزڭ
birin,bu1rko3,برڭ
birinc,bu1rbo1xu1,برنج
birinci rütbe beyi,bu1rbo1xu1y rbo2bu1h bu1ky,برنجی رتبه بکی
birinci,bu1rbo1xu1y,برنجی
birincide,bu1rbo1xu1ydh,برنجیده
birincidir,bu1rbo1xu1ydr,برنجیدر
