a,ه
esâtîr,اساطير
esâtîz,اساتيذ
esb,اسب
esbâb,اسباب
esbak,اسبق
esed,اسد
esef,اسف
esefâ,اسفا
esefnâk,اسفناک
eser,اثر
esertiraz,اثرطراز
esfâr,اسفار
esfel,اسفل
eshâb,اصحاب
eshâm,اسهام
eshâr,اسحار
eshel,اسهل
eshiyâ,اسخيا
es'ile,اسئله
esîr,اسير
esîrân,اسيران
eskal,اثقال
eslâf,اسلاف
esliha,اسلحه
esmâ,اسما
esman,اثمان
esmân,اثمان
esmar,اثمار
esmâr,اثمار
esmer,اسمر
esna,اثنا
esnâ,اثنا
esnâf,اصناف
esnâm,اصنام
esnân,اسنان
esnayi rahda,اثناى راهده
esra',اسرع
esrâr,اسرار
esrârengîz,اسرارانگيز
esrarkeş,اسرارکش
essasibeyt,اثاث‌بيت
ester,استر
esvâb,اثواب
esvap,اثواب
esvât,اصوات
esved,اسود
esyâf,اسياف
eş'âr,اشعار
eşcâr,اشجار
eşhâs,اشخاص
eşhür,اسهر
eşi'a,اشعه
eşk,اشک
eşkâl,اشکال
eşkâlûd,اشک آلود
eşkiyâ,اشقيا
eşna',اشنع
eşrâf,اشراف
eşref,اشرف
et,ات
etba,اتباع
etek,اتك
etem,اتم
etemm,اتم
etfâl,اطفال
etıbbâ,اطبا
et'ime,اطعمه
etrâf,اطراف
etrâk,اتراک
etvâr,اطوار
evâhir,اواخر
evâil,اوائل
evâmir,اوامر
evân,اوان
evânî-i turâbe,اوانی ترابه
evâsıt,اواسط
evbâş,اوباش
evc,اوج
evdiye,اودیه
evhad,اوحد
evhâm,اوهام
evkâf,اوقاف
evkât,اوقات
evlâ,اولی
evlâd,اولاد
evleviyyet,اولویت
evliyâ,اوليا
evrâd,اوراد
evrâk,اوراق
evreng,اورنگ
evsâf,اوصاف
evsat,اوسط
evtâd,اوتاد
evvel,اوّل
evvelâ,اولا
evvelâhır,اول آخر
evvelbahar,اول بهار
evveliyyât,اوليات
evzân,اوزان
eyâlât,ایالات
eytâm,ایتام
eyvân,ایوان
eyyâm,ایام
eyzan,ایضا
ezânî,اذانی
ezdâd,اضداد
ezel,ازل
ezelbeezel,ازل به ازل
ezelî,ازلی
ezeliyyet,ازليت
ezhân,اذهان
ezhâr,ازهار
eziyyet,اذیت
ezkâr,اذکار
ezkazâ,ازقضا
ezkiyâ,اذکيا
ezmân,ازمان
ezmine,ازمنه
ezrak,ازرق
ezvâc,ازواج
ezvâk,اذواق
ezyâl,اذیال
fa'âl,فعال
fa'âliyyet,فعاليت
fâcia,فاجعه
fâciât,فاجعات
fâcir,فاجر
fağfur,فغفور
fağfûrî,فغفوری
fahâmet,فخامت
fahhâr,فخار
fâhir,فاخر
fâhiş,فاحش
fâhişe,فاحشه
fâhişehane,فاحشه خانه
fahr,فخر
fahrî,فخری
fahşâ,فحشا
fâhte,فاخته
fahûr,فخور
fâide,فائده
fâidebahş,فائده بخش
fâik,فائق
fâikiyyet,فائقيت
fâil,فاعل
fâiliyyet,فاعليت
fâiz,فائض
fâka,فاقه
fakâhet,فقاهت
fakat,فقط
fakd,فقد
fakîd,فقيد
fakîh,فقيه
fâkiha,فاکهه
fakîr,فقير
fakirhâne,فقيرخانه
fakr,فقر
fâl,فال
falaka,فلقه
fâlic,فلج
fâlnâme,فالنامه
fâm,فام
fânî,فانی
fânûs,فانئس
fâr,فار
farazâ,فرضا
faraziyye,فرضيه
fârıka,فارقه
fâriğ,فارغ
fâris,فارس
fârisî,فارسی
farîza,فریضه
fark,فرق
fart,فرط
farz,فرض
farzâ,فرضا
farziyye,فرضيه
fâsık,فاسق
fâsıla,فاصله
fâsid,فاسد
fasîh,فصيح
fasîle,فصيله
fasl,فصل
fassâd,فصاد
fâş,فاش
fatih,فاتح
fâtih,فاتح
fatin,فطين
fayda,فایده
fâzıl,فاضل
fazîha,فضيحه
fazîlet,فضيلت
faziletkâr,فضيلتکار
faziletperest,فضيلت پرست
fazl,فضل
fazla,فضله
fecâ'at,فجاعت
fecere,فجره
fecî',فجيع
fecî'a,فجيعه
fecir,فجر
fecr,فجر
fedâ,فدا
fedâ'î,فدائی
fedâkâr,فداکار
fedâkârâne,فداکارانه
fedâkârî,فداکاری
fehâris,فهارس
fehîm,فهيم
fehm,فحم
fehm,فهم
fehvâ,فحوا
fekâhet,فکاحت
fekk,فک
felâh,فلاح
felâket,فلاکت
felâketzede,فلاکت زده
felâsife,فلاسفه
felc,فلج
felek,فلک
felekiyyât,فلکيات
felekzede,فلک زده
fellâh,فلاح
felsefî,فلسفی
fem,فم
fenâ,فنا
fenâpezîr,فناپذیر
fend,فند
fenn,فن
fennen,فنا
fennî,فنی
fenniyyât,فنيات
fer,فر
fer',فرع
ferâgat,فراغت
ferâğ,فراغ
ferah,فرح
ferâh,فراخ
ferahbahş,فرح بخش
ferâine,فراعنه
ferâiz,فرائض
ferâmîn,فرامين
ferâmûş,فراموش
ferâset,فراست
ferbih,فربه
ferc,فرج
fercâm,فرجام
ferd,فرد
ferdâ,فردا
ferdî,فردی
ferdiyyet,فردیت
ferec,فرج
feres,فرس
ferhân,فرحان
ferheng,فرهنگ
ferhunde,فرخنده
fer'î,فرعی
ferîd,فرید
ferikân,فریقان
ferîk-i evvel,فریق اول
ferîk-i sânî,فریق ثانی
ferişte,فَرِشته
fermân,فرمان
fermandih,فرمان ده
fermânfermâ,فرمان فرما
fermâyiş,فرمایش
ferrâş,فراش
ferruh,فرخ
fersah,فرسخ
fersûde,فرسوده
ferş,فرش
fertût,فرتوت
ferverdîn,فروردین
feryâd,فریاد
feryâdres,فریادرس
ferzâne,فرزانه
ferzend,فرزند
fesâd,فساد
fesahat,فصاحت
fesâne,فسانه
fesat,فساد
fesh,فسخ
fetâ,فتی
fetâvâ,فتاوی
feth,فتح
fetîle,فتيله
fetret,فترت
fettâh,فتاح
fettan,فتان
fetvâ,فتوی
fevâhiş,فواحش
fevâid,فوائد
fevâkih,فواکه
fevâris,فوارس
fevc,فوج
feverân,فوران
fevk,فوق
fevkalâde,فوق العاده
fevkalbeşer,فوق البشر
fevkalferd,فوق الفرد
fevkalhad,فوق الحد
fevkânî,فوقانی
fevkattabîa,فوق الطبيعه
fevren,فورا
fevrî,فوری
fevt,فوت
fevvâre,فواره
feyezân,فيضان
feyiz,فيض
feylesof,فيلسوف
feyyâz,فياض
feyz,فيض
feyzbahş,فيض بخش
fezâ,فضا
fezâil,فضائل
fezleke,فذلکه
fıdda,فضه
fıkarât,فقرات
fıkdân,فقدان
fıkh,فقه
fıkra,فقره
fırak,فرق
fırka,فرقه
fırsat,فرصت
fısk,فسق
fıskiyye,فسقيه
fıtnat,فطنت
fıtra,فطره
fıtrat,فطرت
fıtraten,فطرتا
fıtrî,فطری
fî,فی
fîât,فيئات
figân,فغان
fihris,فهرس
fikir,فکر
fikr,فکر
fikren,فکرا
fikrî,فکری
fikriyyât,فکریات
fil,فيل
fi'l,فعل
filâhat,فلاحت
filasl,فی الاصل
fi'len,فعلا
filhakîka,فی الحقيقه
filhâl,فی الحال
fi'liyyât,فعليات
filiz,فلز
filmesel,فی المثل
filvâki,فی الواقع
fimaba'd,فيمابعد
fîmâba'd,فی ما بعد
fînefsilemr,فی نفس الامر
firâk,فراق
firâr,فرار
firârî,فراری
firâvân,فراوان
fir'avn,فرعون
firâz,فراز
firdevs,فردوس
fireng,فرنگ
firîfte,فریفته
firistâde,فرستاده
firişte,فرشته
firiştehû,فرشته خو
firkat,فرقت
fîrûz,فيروز
fîrûze,فيروزه
fîrûzefâm,فيروزه فام
fîsebîlillah,فی سبيل الله
fiskos,فسقوس
fiten,فتن
fitne,فتنه
fityân,فتيان
fortuna,فورطنه
fuâd,فؤاد
fuhş,فحش
fuhuş,فحش
fukahâ,فقها
fukarâ,فقرا
fûlâd,فولاد
furkân,فرقان
fursat,فرصت
fursatcû,فرصت جو
fusahâ,فصحا
fusûl,فصول
fuzalâ,فضلا
fuzûl,فضول
fuzûlî,فضولی
füceten,فجئة
fücûr,فجور
fülân,فلان
fülfül,فلفل
füls,فلس
fülûs,فلوس
fünûn,فنون
fürs,فرس
fürû',فروع
fürûğ,فروغ
fürûht,فروخت
fürûmâye,فرومایه
fürûzân,فروزان
füshat,فسحت
füsûn,فسون
füsûnger,فسونگر
füsürde,فسرده
fütâde,فتاده
fütûhât,فتوحات
fütûr,فتور
fütüvvet,فتوت
füyûz,فيوض
füzûn,فزون
gabâvet,غباوت
gabî,غبی
gabn,غبن
gaddâr,غدار
gadr,غدر
gaffâr,غفار
gâfil,غافل
gaflet,غفلت
gafleten,غفلة
gafûr,غفور
gâib,غائب
gâile,غائله
gâita,غائطه
galat,غلط
galebe,غلبه
galeyân,غليان
gâlib,غالب
gâliba,غالبا
gâlibiyyet,غالبيت
galîz,غليظ
galle,غله
gam,غم
gâmız,غامض
gammâz,غماز
gamnâk,غمناک
ganâim,غنائم
ganem,غنم
ganî,غنی
ganîmet,غنيمت
gâr,غار
garâbet,غرابت
garâib,غرائب
garâm,غرام
garaz,غرض
garazâlûd,غرض آلود
garazkâr,غرضکار
garb,غرب
garben,غربا
garbî,غربی
garbiyyûn,غربيون
gâret,غارت
gâretger,غارتگر
garîb,غریب
garibü'd-diyâr,غریب الدیار
garîk,غریق
garîze,غریزه
garizî,غریزی
gark,غرق
garrâ,غرا
gars,غرس
gasb,غصب
gaseyan,غصيان
gâsıb,غصيب
gasl,غسل
gassâl,غسال
gâşiye,غاشيه
gaşy,غشی
gavgâ,غوغا
gavvâs,غواص
gâyât,غایات
gayb,غایب
gaybûbet,غيبوبت
gâye,غایه
gâyet,غایت
gaym,غيم
gayr,غير
gayrendîş,غير اندیش
gayret,غيرت
gayretkeş,غيرتکش
gayretmend,غيرتمند
gayriyyet,غيریت
gayyâ,غيا
gayz,غيظ
gazâ,غزا
gazab,غضب
gazâl,غزال
gazanfer,غضنفر
gazavât,غزوات
gazel,غزل
gazelhân,غزل خوان
gazeliyyât,غزليات
gazelserâ,غزل سرا
gazî,غازی
gazve,غزوه
gıbta,غبطه
gıdâ,غدا
gılâf,غلاف
gıllügış,غل و غش
gılmân,غلمان
gılzet,غلظت
gınâ,غنا
gırbâl,غربال
gışâ,غشا
gışş,غش
gıyâb,غياب
gıyâben,غيابا
gıyâs,غياث
gıybet,غيبت
gonca,غنجه
goncaruhsâr,غنجه رخسار
gonce,غنجه
goncedehân,غنجه دهان
gubâr,غبار
gubârâlûd,غبار آلود
gudde,غده
guded,غدد
gufrân,غفران
gûk,غوک
gulâm,غلام
gulât,غلات
gulgule,غلغله
gumûm,غموم
gunûde,غنوده
gurâb,غراب
gurbet,غربت
gurbetzede,غربت زده
gurebâ,غربا
gurrân,غران
gurre,غره
gurûb,غروب
gurûr,غرور
gusl,غسل
gusn,غصن
gussa,غصه
hâ,خا
hâ,ها
hâb,خواب
habâb,حباب
habâbe,حبابه
habâis,خبائث
hâbâlûd,خواب آلود
hâbâlûde,خواب آلوده
habâset,خباثت
habb,حب
habbât,حبات
habbâz,خباز
habbe,حبه
habbezâ,حبذا
habbülbülûğ,حب البلوغ
hâbcâme,خواب جامه
haber,خبر
haberdar,خبردار
habeşe,حبشه
hâbgâh,خوابگاه
habîb,حبيب
habîr,خبير
habis,خبيث
habl,حبل
hablülmesâkin,حبل المساکن
hâbnâk,خوابناک
hâbnâme,خواب نامه
habr,حبر
habs,حبس
habshâne,حبس خانه
habt,خبط
habtühata,خبط و خطا
hac,حاج
hacâlet,خجالت
hacâletâver,خجالت آور
hacamat,حجامت
hacâmet,حجامت
hâcât,حاجات
haccâm,حجام
haccar,حجار
hâcce,حاجه
hâce,خواجه
hâcegân,خواجگان
hâcegî,خواجگی
hacel,خجل
hacer,حجر
hâceserâ,خواجه سرا
hâcet,حاجت
hâcetmend,حاجتمند
hacı,حاجی
hacıyân,حاجيان
hâcî,هاجی
hâcib,حاجب
hacîl,خجيل
hâcir,هاجر
hâciz,حاجز
hacle,حجله
haclegâh,حجله گاه
haclet,خجلت
hacletâver,خجلت آور
hacm,حجم
hacmen,حجما
hacz,حجز
hadâik,حدائق
hadd,حد
hadd,خد
hâdd,حاد
haddâ',خداع
haddâd,حداد
haddâdî,حدادی
hadeb,حدب
hadem,خدم
hademe,خدمه
hadeng,خدنگ
hader,خدر
hades,حدس
hâdi',خادع
hâdî,هادی
hadîka,حدیقه
hâdim,خادم
hâdime,خادمه
hadîs,حدیث
hâdis,حادث
hâdisat,حادثات
hâdise,حادثه
hadnâşinas,حدناشناس
hadrâ,حضرا
hads,حدس
hadşe,خدشه
hadşeâver,خدشه آور
hafâ,خفا
hafâfîş,خفافيش
hafâgâh,خفاگاه
hafâir,حفائر
hafakan,خفقان
hafâyâ,خفایا
hafız,حافظ
hafıza,حافظه
hafî,خفی
hâfî,حافی
hafîd,حفيد
hafîde,حفيده
hafif,خفيف
hafîr,حفير
hâfir,حافر
hafiyyât,خفيات
hafiyye,خفيه
hafiyyen,خفيا
hafr,حفر
hafriyyât,حفریات
haftân,خفتان
hâh,خواه
hâhân,خواهان
hâher,خواهر
hâherzâde,خواهرزاده
hâhiş,خواهش
hâhişger,خواهشگر
hâhişkâr,خواهشکار
hâhişkerde,خواهش کرده
hâhnâhâh,خواه ناخواه
hâif,خائف
hâifen,خائفا
hâil,هائل
hâin,خائن
hâinâne,خائنانه
hâiz,حائز
hâk,خاک
Hak Teâlâ,حق تعالی
hakâik,حقائق
hakan,خاقان
hakâret,حقارت
hakaretâmiz,حقارت آميز
hakâyık,حقایق
hâkbîz,خاک بيز
hakem,حکم
hâkezâ,هکذا
hakgû,حق گو
hâkî,حاکی
hâkî,خاکی
hakîkat,حقيقت
hakîkaten,حقيقة
hakikî,حقيقی
hakikiye,حقيقيه
hakîm,حکيم
Hâkim,حاكم
hâkimiyet,حاکميت
hakîr,حقير
hâkister,خاکستر
hâkisterî,خاکستری
hakk,حق
hakk,حک
hakkâk,حکاک
hakkaniyet,حقانيت
hâkrûb,خاکروب
hakşinas,حق شناس
hakşinâsî,حق شناسی
hal',خلع
hâl,حال
hâl,خال
hâl,خال
halâ,خلا
hâlâ,حالا
halâik,خلائق
halâl,خلال
halâs,خلاص
halaskâr,خلاصکار
hâlâşina,حال آشنا
hâlât,حالات
halâvet,حلاوت
haldâr,خالدار
hâle,خاله
hâle,هاله
halecan,خلجان
halef,خلف
halel,خلل
haleldâr,خللدار
halen,حالا
hâlet,حالت
halhal,خلخال
hâlık,خالق
hâlî,خالی
halîb,حليب
halîc,خليج
hâlid,خالد
halîfe,خليفه
halihazır,حال حاضر
hâlik,خالق
hâlikiyet,خالقيت
halîm,حليم
hâlis,خالص
hâlisâne,خالصانه
halîta,خليطه
hâliyâ,حاليا
halk,حلق
halk,خلق
halka,حلقه
halkabegûş,حلقه بگوش
halkiyat,خلقيات
hall,حل
hallâc,حلاج
hallâk,خلاق
hallâl,حلال
hallüfasl,حل و فصل
halt,خلط
halûk,خلوق
halvet,خلوت
halvetgâh,خلوتگاه
ham,خام
ham,خم
hamâil,حمائل
hamâkat,حماقت
hamâme,حمامه
hamâse,حماسه
hamâset,حماست
hamd,حمد
hâme,خامه
hamel,حمل
hamelât,حملات
hâmî,حامی
hâmid,حامد
hamîde,خميده
hâmil,حامل
hâmile,حامله
hamîr,حمير
hâmis,خامس
hâmisen,خامسا
hâmiş,هامش
hâmiz,حامض
haml,حمل
hamle,حمله
hammâl,حمال
hammâm,حمام
hammâr,خمار
hamr,خمر
hamrâ,خمرا
hams,خمس
hamse,خمسه
hamsin,خمسين
hamûl,حمول
hamûle,حموله
hâmûn,هامون
hâmûş,خاموش
hamyâze,خميازه
hamz,حمض
hân,خوان
hân,خوان
hanâzir,خنازیر
hancer,خنجر
hancere,حنجره
handan,خندان
hande,خنده
handek,خندق
handerûy,خنده روی
hâne,خانه
hanedan,خاندان
hâneharâb,خانه خراب
hânende,خواننده
hânkah,خانقاه
hânman,خانمان
hannas,خناس
hânsâlar,خوان سالار
hânüman,خانمان
hapis,حبس
hapishane,حبس خانه
har,خر
hâr,خار
hâr,خوار
hâr,خوار
harâb,خراب
harâbat,خرابات
harâbe,خرابه
harâc,خراج
haram,حرام
harâmi,حرامی
haramzâde,حرام زاده
harâret,حرارت
harâtin,خراطين
harb,حرب
harbe,حربه
harbiye,حربيه
harbüze,خربزه
harc,خرج
harçeng,خرچنگ
hardal,خردل
hâre,خاره
harekât,حرکات
hareke,حركه
hareket,حرکت
harem,حرم
haremserây,حرم سرای
harf,حرف
hargâh,خرگاه
hargûş,خرگوش
hârî,خواری
hârib,هارب
hâric,خارج
hâricen,خارجا
hâricî,خارجی
hariciye,خارجيه
harîd,خرید
harîdâr,خریدار
harîf,حریف
harîk,حریق
hârika,خارقه
hârikulâde,خارق العاده
harîm,حریم
harîm-i ismet,حریم عصمت
harîr,حریر
harîrî,حریری
harîs,حریص
hâris,حارث
hâris,حارس
hâristan,خارستان
harita,خریطه
harmen,خرمن
harmengâh,خرمنگاه
harmühre,خرمهره
harnub,خرنوب
hârpuşt,خارپشت
hârr,حار
harrât,خراط
hars,حرث
harsî,حرثی
harvâr,خروار
hârzâr,خارزار
has,خس
hâs,خاص
hasâdet,حسادت
hasâil,خصائل
hasâis,خصائص
hasâr,خسار
hasarât,خسرات
hasardîde,خساردیده
hasâret,خسارت
hasâset,خساست
hasb,حسب
hasbe,حصبه
hasbelkader,حسب القدر
hasbetenlillah,حسبة لله
hasbihal,حسب حال
hasbü'l-mâhiye,حسب الماهيه
hasebe,حصبه
hased,حسد
hasen,حسن
hasenât,حسنات
hasene,حسنه
hasenülhulk,حسن الخلق
hasf,خسف
hâsıd,حاصد
hâsıl,حاصل
hâsılat,حاصلات
hasım,خصم
hasîb,حسيب
hâsid,حاسد
hasîn,حصين
hasîr,حصير
hâsir,خاسر
hasis,خسيس
hasîsa,خصيصه
hasiy,خصی
haslet,خصلت
hasm,خصم
hasmâne,خصمانه
hasmî,خصمی
hasnâ,حسنا
hasr,حصر
hasret,حسرت
hasretkeş,حسرت کش
hassa,خاصه
hassâd,حصاد
hassas,حساس
hassâsiyyet,حساسيت
hâsse,خاصه
hâsseten,خاصة
haste,خسته
hâste,خاسته
hâste,خواسته
hastegî,خستگی
hâstgâr,خواستگار
hâstgârî,خواستگاری
hasûd,حسود
hasûdâne,حسودانه
hasûdî,حسودی
hâşâ,حاشا
hâşâk,خاشاک
haşeb,خشب
haşem,حشم
haşerat,حشرات
haşere,حشره
haşhaş,خشخاش
haşîn,خشين
hâşiye,حاشيه
haşmet,حشمت
haşmetmeab,حشمت مآب
haşmgîn,خشمگين
haşr,حشر
haşv,حشو
haşyet,خشيت
haşyetengiz,خشيت انگيز
hatâ,خطا
hataâlûd,خطا آلود
hatab,حطب
hatâbahş,خطا بخش
hatâen,خطاء
hatâiyyât,خطائيات
hatakâr,خطاکار
hatâpûş,خطاپوش
hatar,خطر
hatarât,خطرات
hatarnâk,خطرناک
hatâyâ,خطایا
hâtem,خاتم
hâtıf,هاتف
hâtır,خاطر
hâtıra,خاطره
hâtırat,خاطرات
hâtırâzâr,خاطر آزار
hâtırâzürde,خاطر آزرده
hâtırşinâs,خاطرشناس
hatîa,خطيئه
hatîb,خطيب
hâtime,خاتمه
hatîr,خطير
hatm,ختم
hatn,ختن
hatt,خط
hatta,حتى
hattâ,حتی
hattâb,حطاب
hattat,خطاط
hatve,خطوه
havâ,هوا
havadar,هوادار
havâdis,حوادث
havaî,هوائی
havale,حواله
havali,حوالی
havârik,خوارق
havâss,خواص
havâyic,حوایج
hâven,هاون
hâver,خاور
hâveran,خاوران
hâverşinas,خاورشناس
havf,خوف
havfnâk,خوفناک
hâvî,حاوی
havl,حول
havsala,حوصله
havz,حوض
hayâ,حيا
hayâl,خيال
hayâlât,خيالات
hayâlen,خيالا
hayâlet,خيالت
hayalî,خيالی
hayalperest,خيال پرست
hayat,حيات
hayatbahş,حيات بخش
hayatî,حياتی
hayâtiyyât,حياتيات
hâye,خایه
hayf,حيف
hayır,خير
hayırhah,خيرخواه
hayl,خيل
hayli,خيلی
hayme,خيمه
haymegâh,خيمه گاه
haymenişin,خيمه نشين
hayr,خير
hayran,حيران
hayrendiş,خيراندیش
hayret,حيرت
hayretbahş,حيرت بخش
hayretkâr,حيرت کار
hayretzede,حيرت زده
haysiyyet,حيثيت
hayvan,حيوان
hayvanî,حيوانی
hayvaniye,حيوانيه
hayy,حی
hayyât,خياط
hayye,حيه
hayyir,خير
hayz,خيض
hazâin,خزائن
hazân,خزان
hazar,حضر
hazer,حذز
hazerat,حضرات
hazf,حذف
hâzık,حاذق
hazır,حاضر
hâzırûn,حاضرون
hâzi,خاضع
hazîn,حزین
hâzin,خازن
hazine,خزینه
hazinedar,خزینه دار
hazîre,حظيره
hazm,حضم
hazret,حضرت
hazz,حظ
hebâ,هبا
hecâ,هجا
hecâgû,هجاگو
hecîn,هجين
hecr,هجر
hedâyâ,هدایا
hedef,هدف
heder,هدر
hediyye,هدیه
heft,هفت
heftâd,هفتاد
hefte,هفته
heftevreng,هفت اورنگ
helâhil,هلاهل
helâk,هلاک
helal,حلال
helalzâde,حلال زاده
helezon,حلزون
helva,حلوا
helvafurûş,حلوا فروش
helvâyî,حلوایی
hem,هم
hemâgûş,هم آگوش
hemâheng,هم آهنگ
heman,همان
hemânâ,همانا
hemandem,هماندم
hemânend,همانند
hemasr,هم عصر
hemâvâz,هم آواز
hembâz,همباز
hemcins,هم جنس
hemcivâr,هم جوار
hemçü,همچو
hemdem,همدم
hemderd,هم درد
hemdîger,همدیگر
heme,همه
hemegân,همگان
hemfikr,همفکر
hemginân,همگنان
hemhudûd,هم حدود
hemin,همين
hemîşe,هميشه
hemkadd,هم قد
hemkâr,همکار
hemkîş,همکيش
hemm,هم
hemnâm,همنام
hempâ,همپا
hemrâh,همراه
hemrâz,همراز
hemrîş,همریش
hemsâl,همسال
hemsâye,همسایه
hemsefer,همسفر
hemser,همسر
hemsinn,هم سن
hemsohbet,هم صحبت
hemşehrî,هم شهری
hemşîre,همشيره
hemtâ,همتا
hemvâr,هموار
hemvâre,همواره
hemyân,هميان
hemzâd,همزاد
hemze,همزه
hemzebân,همزبان
henâzir,خنازیر
hendesî,هندسی
hengâm,هنگام
hengâme,هنگامه
henüz,هنوز
her,هر
herâyîne,هر آیينه
herbâr,هربار
hercâî,هرجائی
hercümerc,هرج و مرج
herçend,هرچند
herçibâdâbâd,هرچه بادا باد
herdem,هردم
herem,هرم
hergele,خرگله
hergiz,هرگز
herze,هرزه
herzegû,هرزه گو
herzegûyî,هرزه گویی
hesâb,حساب
hestî,هستی
heşt,هشت
heştâd,هشتاد
hetk,هتک
hettâk,هتاک
hevâ,هوا
hevâdâr,هوادار
hevâdâr,هوادار
hevâperest,هواپرست
heves,هوس
hevesât,هوسات
hevesdâr,هوسدار
heveskâr,هوسکار
hevl,هول
hevlnâk,هولناک
heyâkil,هياکل
heyecân,هيجان
heyelân,هيلان
hey'et,هيئت
hey'etşinâs,هيئت شناس
heyhât,هيهات
heykel,هيکل
heykeltıraş,هيکل تراش
heyûlâ,هيولا
heyzüm,هيزم
hezâr,هزار
hezârân,هزاران
hezârân,هزاران
hezârdestân,هزاردستان
hezârpâ,هزارپا
hezeyân,هزیان
hezîmet,هزیمت
hezl,هزل
hezlgû,هزل گو
hıdiv,خدیو
hıfz,حفظ
hıfzıssıhha,حفظ الصحه
hılt,خلط
hınâ,حنا
hınzîr,خنزیر
hırâmân,خرامان
hıred,خرد
hıredmend,خردمند
hırka,خرقه
hırkapûş,خرقه پوش
hırmân,حرمان
hırs,حرص
hırs,خرس
hırz,حرز
hısâl,خصال
hısn,حصن
hışım,خشم
hışm,خشم
hışmgîn,خشمگين
hışt,خشت
hıtat,خطط
hıtta,خطه
hıyâbân,خيابان
hıyânet,خيانت
hıyânetkâr,خيانتکار
hıyâr,خيار
hıyre,خيره
hıyreçeşm,خيره چشم
hıyreser,خيره سر
hibâb,حباب
hibâle,حباله
hibe,هبه
hibr,حبر
hibre,خبره
hicâ,هجا
hicâb,حجاب
hicaz,حجاز
hiciv,هجو
hicr,هجر
hicrân,هجران
hicret,هجرت
hicv,هجو
hicviyye,هجویه
hîç,هيچ
hîçkes,هيچکس
hidâ',خداع
hidayet,هدایت
hiddet,حدت
hidemat,خدمات
hidiv,خدیو
hidmet,خدمت
hidmetkâr,خدمتکار
hiffet,خفت
hijdeh,هژده
hîk,خيک
hikâyât,حکایات
hikâyet,حکایت
hikem,حکم
hikmet,حکمت
hikmetşinâs,حکمت شناس
hilâf,خلاف
hilâl,خلال
hilâl,هلال
hil'at,خلعت
hîle,حيله
hîlebaz,حيله باز
hîlekâr,حيله کار
hilkat,خلقت
hilm,حلم
hilye,حليه
himâr,حمار
himaye,حمایه
hîme,هيمه
himem,همم
himmet,همت
hîn,حين
hinduvâne,هندوانه
hirâs,هراس
hired,خرد
hiref,حرف
hirem,هرم
hirfet,حرفت
hirmân,حرمان
hisâb,حساب
hisân,حصان
hisar,حصار
hiss,حس
hisse,حصه
hissedar,حصه دار
hisset,خست
hisseyâb,حصه یاب
hissî,حسی
hiss-i kablelvukû,حس قبل الوقوع
hissiyât,حسيات
hissiye,حسيه
hîş,خویش
hitâb,خطاب
hitâbe,خطابه
hitabet,خطابت
hitâm,ختام
hitan,ختان
hiyel,حيل
hizâ,حذا
hizâb,خيزاب
hizâne,خزانه
hizb,حزب
hizmet,خدمت
hoca,خواجه
hod,خود
hodbehod,خودبخود
hodbin,خودبين
hodkâm,خودکام
hodrey,خودرای
hodsitâ,خودستا
hokka,حقه
hokkabaz,حقه باز
hoşab,خوشاب
hoşaf,خوشاب
hoşâmedgû,خوش آمد گو
hoşâvâz,خوش آواز
hoşbû,خوشبو
hoşgüvâr,خوش گوار
hoşnûd,خشنود
hoşrû,خوش رو
hoşsohbet,خوش صحبت
hû,هو
hub,حب
hûb,خوب
hubbü'l-vatan mine'l-îmân,حب الوطن من الایمان
hubeb,حبب
hûbî,خوبی
hûbrûy,خوبروی
hûbter,خوبتر
hubûb,حبوب
hububat,حبوبات
hubz,خبز
huccâc,حجاج
huccet,حجت
huceste,خجسته
hûd,خود
hud'a,خدعه
hudâ,خدا
hudâdâd,خداداد
hudânekerde,خدانکرده
hudârâ,خودآرا
hudâşinas,خداشناس
hudâvend,خداوند
hudâvendigâr,خداوندگار
hudâyâ,خدایا
huddâm,خدام
hudperest,خودپرست
hudûd,حدود
hudûs,حدوس
huffâş,خفاش
huffâz,حفاظ
hufre,حفره
hufte,خفته
hûk,خوک
hukne,حقنه
hukuk,حقوق
hukukşinas,حقوق شناس
hulâsa,خلاصه
hulâsaten,خلاصة
huld,خلد
hulefa,خلفا
hulk,خلق
hulkum,حلقوم
hulûl,حلول
hulûs,خلوص
hulûskâr,خلوصکار
hum,خم
humâr,خمار
humekâ,حمقا
humhâne,خم خانه
humk,حمق
hummâ,حما
humret,حمرت
hums,خمس
humûzet,حموضت
hûn,خون
hûnâlûd,خون آلود
hunbehâ,خون بها
hunhâr,خونخوار
hunnâk,خناق
hunrîz,خونریز
hunyâger,خنياگر
hûr,حور
hurâfât,خرافات
hurafe,خرافه
hurafeperver,خرافه پرور
hurd,خرد
hurdebin,خرده بين
hurdegîr,خرده گير
hûri,حوری
hûrşîd,حورشيد
hurûc,خروج
hurûf,حروف
hurûş,خروش
husemâ,خصما
husûf,خسوف
husûl,خصول
husûmet,خصومت
husûs,خصوص
husûsat,خصوصات
hususî,خصوصی
husûsiyet,خصوصيت
hûş,هوش
hûşe,خوشه
huşk,خشک
huşksâlî,خشک سالی
huşû,خشوع
huşûnet,خشونت
huşyâr,هشيار
hutût,خطوط
hûy,خوی
huzme,حزمه
huzûr,حضور
huzzâr,حضار
hüccet,حجت
hücec,حجج
