âbâ,eo6bu1ec
hilkat-i mevcudat,xo1u4lo0fo2o4bo2u4 mo4wo0xu1o9wdo4ebo2o0
hilkat-i arz,xo1u4lo0fo2o4bo2u4 eo4ro0zo1o0
hilaf-ı hikmet,xo1u4lo4efo1u4 xu4ko0mo4bo2o0
himâye,xu4mo4ebu2o4h
himâyet,xu4mo4ebu2o4bo2o0
himmet,hu4mo4o8bo2o0
himmetperver,hu4mo4o8bo2o0bu3o4ro0wo4ro0
hirkat,xu4ro0fo2o4bo2o0
hissemend,xu4zo4o8h mo4bo1o0do0
hiss-i kablelvukŪ',xu4su4o8 fo2o4bu1o0lo4 elo0wo9fo2o9wao0
hiss-i sâdis,xu4su4o8 so4edu4so0
hissiyât,xu4su4o8bu2o4ebo2o0
hissiyât-ı ulviye,xu4su4o8bu2o4ebo2u4 ao9lo0wu4bu2o4h
hitâb-ı izzet,xo1u4to4ebu1u4 au4ro1o4o8bo2o0
hitâm,xo1u4bo2o4emo0
hizb,xu4ro1o0bu1o0
hizb-i kur'ânî,xu4ro1o0bu1u4 fo2o9ro0ebo1bu2
hizb-i makbûl,xu4ro1o0bu1u4 mo4fo2o0bu1o9wlo0
hizbüşşeytan,xu4ro1o0bu1o9 elso3o4o8bu2o0to4ebo1o0
hizbullâh,xu4ro1o0bu1o9 ello8ho0
hizmet-i esrâr-ı kur'âniye,xo1u4do0mo4bo2u4 eo4so0ro4eru4 fo2o9ro0ebo1u4bu2o4h
hodbîn,xo1o9wdo0bu1bu2bo1o0
hût,xo9wbo2o0
hükümrân,xo9ko9mo0ro4ebo1o0
hülya,xo1o9wlo0bu2o4e
hünerver,ho9bo1o4ro0wo4ro0
hürriyet,xo9ru4o8bu2o4bo2o0
hürriyet,xo9ru4o8bu2o4bo2o0
hüsn-ü basar,xo9so0bo1o9 bu1o4zo4ro0
hüsn-ü cemâl,xo9so0bo1o9 xu1o4mo4elo0
hüsn-ü cereyân,xo9so0bo1o9 xu1o4ro4bu2o4ebo1o0
hüsn-ü hâtime,xo9so0bo1o9 xo1o4ebo2u4mo4h
hüsn-ü hâtime,xo9so0bo1u4 xo1o4ebo2u4mo4h
hüsn-ü hilkat,xo9so0bo1o9 xo1u4lo0fo2o4bo2o0
hüsn-ü hizmet,xo9so0bo1o9 xo1u4do0mo4bo2o0
hüsn-ü hulk,xo9so0bo1o9 xo1o9lo0fo2o0
hüsn-ü kelâm,xo9so0bo1o9 ko4lo4emo0
hüsn-ü misâl,xo9so0bo1o9 mu4bo3o4elo0
hüsn-ü mücerred,xo9so0bo1o9 mo9xu1o4ro4o8do0
hüsn-ü muaşeret,xo9so0bo1o9 mo9ao4eso3o4ro4bo2o0
hüsn-ü niyet,xo9so0bo1u4 bo1u4bu2o4bo2o0
hüsn-ü sîret,xo9so0bo1u4 sbu2ro4bo2o0
hüsn-ü sûret,xo9so0bo1o9 zo9wro4bo2o0
hüsn-ü suret,xo9so0bo1o9 zo9wro4bo2o0
hüsn-ü te'sîr,xo9so0bo1o9 bo2o4eo5o0bo3bu2ro0
hüsn-ü teveccüh,xo9so0bo1o9 bo2o4wo4xu1o9o8ho0
hüsn-ü taâm,xo9so0bo1o9 to4ao4emo0
hüsn-ü ahlâk,xo9so0bo1u4 eo4xo1o0lo4efo2o0
hüsn-ü aklî,xo9so0bo1o9 ao4fo2o0lbu2
hüsn-ü zâtî,xo9so0bo1o9 do1o4ebo2u4bu2
hüsn-ü zan,xo9so0bo1u4 to1o4bo1o0
hüsrân,xo1o9so0ro4ebo1o0
hüsrân-ı islâm,xo1o9so0ro4ebo1u4 eu4so0lo4emo0
hüsün,xo9so9bo1o0
hüsünperest,xo9so9bo1o0bu3o4ro4so0bo2o0
hüve,ho9wo4
hüviyet,ho9wu4bu2o4bo2o0
hüzün,xo9ro1o9bo1o0
hu,ho9w
hubb-u âhiret,xo9bu1o9o8 eo4xo1u4ro4bo2o0
hubb-u dünya,xo9bu1u4o8 do9bo1o0bu2o4e
hubb-u nefis,xo9bu1o9o8 bo1o4fo1o0so0
hubb-u zât,xo9bu1o9o8 do1o4ebo2o0
hububat,xo9bu1o9wbu1o4ebo2o0
huccet,xo9xu1o4o8bo2o0
huccet-i bâhire,xo9xu1o4o8bo2u4 bu1o4ehu4ro4h
huccet-i haşriye,xo9xu1o4o8bo2u4 xo4so3o0ru4bu2o4h
huccet-i rahmet-i âlem,xo9xu1o4o8bo2u4 ro4xo0mo4bo2u4 ao4elo4mo0
huccet-i a'zam,xo9xu1o4o8bo2u4 eo4ao0to1o4mo0
hudâ,xo1o9do4e
hukŪk-u âmme,xo9fo2o9wfo2o9 ao4emo4o8h
hukûk-u medeniyet,xo9fo2o9wfo2o9 mo4do4bo1u4bu2o4bo2o0
hukuk,xo9fo2o9wfo2o0
hulâsa,xo1o9lo4ezo4h
hulâsaten,xo1o9lo4ezo4ho2o44
hulf,xo1o9lo0fo1o0
hulle-i inâyet,xo9lo4o8u4 au4bo1o4ebu2o4bo2o0
hulûl,xo9lo9wlo0
hulûs,xo1o9lo9wzo0
hums-u beşer,xo1o9mo0su4 bu1o4so3o4ro0
hurâfe,xo1o9ro4efo1o4h
hurûfât,xo9ro9wfo1o4ebo2o0
hurûf-u kur'âniye,xo9ro9wfo1o9 fo2o9ro0eo6bo1u4bu2o4h
husûf,xo1o9so9wfo1o0
husûl,xo9zo9wlo0
husûmet,xo1o9zo9wmo4bo2o0
husûsiyet,xo1o9zo9wzu4bu2o4bo2o0
husuf,xo1o9so9wfo1o0
hususan,xo1o9zo9wzo44e
huşû',xo9so3o9wao0
hutbe-i şîrîn,xo1o9to0bu1o4u4 so3u4bu2ru4bu2bo1o0
huveyn,xo9wo4bu2o0bo1o0
huzŪr-u nebevî,xo9zo1o9wro9 bo1o4bu1o4wu4bu2
huzur,xo9zo1o9wro0
huzur-u dâimî,xo9zo1o9wro9 do4ebo5u4mu4bu2
habbe,xo4bu1o4o8h
haber,xo1o4bu1o4ro0
habîb,xo4bu1bu2bu1o0
habîb-i ekrem,xo4bu1bu2bu1u4 eo4ko0ro4mo0
habîb-i zîşân,xo4bu1bu2bu1u4 do1bu2so3o4ebo1o0
habîs,xo1o4bu1bu2bo3o0
had,xo4do0
hadd-i vasat,xo4du4o8 wo4so4to0
hademe,xo1o4do4mho4
hadîs,xo4dbu2bo3o0
hadîs-i sahîh,xo4dbu2bo3u4 zo4xbu2xo0
hads,xo4do0so0
hadsen,xo4do0so44e
hads-i kalbî,xo4do0su4 fo2o4lo0bu1u4bu2
hads-i sadık,xo4do0su4 zo4edu4fo2o0
hafî,xo1o4fo1bu2
hafiye,xo1o4fo1u4bu2o4h
hafîz,xo4fo1bu2to1o0
hafriyât,xo4fo1o0ru4bu2o4ebo2o0
hak,xo4fo2o0
hakem,xo4ko4mo0
hakîkat-i hâriciye,xo4fo2bu2fo2o4bo2u4 xo1o4eru4xu1u4bu2o4h
hakîkat-i sâbite,xo4fo2u4bu2fo2o4bo2u4 bo3o4ebu1u4bo2o4h
hakîm,xo4kbu2m
hakîmâne,xo4kbu2mo4ebo1o4h
hakîm-i ezelî,xkbu2mu4 eo4ro1o4lbu2
hakîm-i ilahî,xo4ku4bu2mu4 eu4lo4hu4bu2
hakîm-i mutlak,xo4kbu2mu4 mo9to0lo4fo2o0
hakîm-i rahîm,xo4kbu2mu4 ro4xbu2mo0
hakîm-i zülcelâl,xo4kbu2mu4 do1o9welo0xu1o4lo4elo0
hakîmiyet,xo4kbu2mu4bu2o4bo2o0
hakîr,xo4fo2bu2ro0
hakk,xo4fo2o8
hakka,xo4fo2o4o8e
hakperest,xo4fo2o0bu3o4ro4so0bo2o0
hal,xo4elo0
halâs,xo1o4lo4ezo0
halâskâr,xo1o4lo4ezo0ko4ero0
halâvet,xo4lo4ewo4bo2o0
halâyık,xo1o4lo4ebu2u4fo2o0
halecân,xo1o4lo4xu1o4ebo1o0
halef,xo1o4lo4fo1o0
halel,xo1o4lo4lo0
hal-i âlem,xo4elu4 ao4elo4mo0
halîfe,xo1o4lbu2fo1o4h
halîm,xo4lbu2mo0
halîta,xo1o4lbu2to4h
halk,xo1o4lo0fo2o0
halk-ı kur'ân,xo1o4lo0fo2u4 fo2o9ro0ebo1o0
halk-ı şer,xo1o4lo0fo2u4 so3o4ro0
hall,xo4lo0
halt,xo1o4lo0to0
halvet,xo1o4lo0wo4bo2o0
halvethâne,xo1o4lo0wo4bo2o0xo1o4ebo1o4h
hamâkât,xo4mo4efo2o4bo2o0
hamâkat,xo4mo4efo2o4bo2o0
hamâset,xo4mo4eso4bo2o0
hamd,xo4mo0do0
hamele,xo4mo4lo4h
hamele-i arş,xo4mo4lo4u4 ao4ro0so3o0
hamiyet,xo4mu4bu2o4bo2o0
hamiyeten,xo4mu4bu2o4bo2o44e
hamiyet-i islâmiye,xo4mu4bu2o4bo2u4 eu4so0lo4emu4bu2o4h
hamiyetperver,xo4mu4bu2o4bo2o0bu3o4ro0wo4ro0
haml,xo4mo0lo0
haml-i emânet,xo4mo0lu4 eo4mo4ebo1o4bo2o0
handân,xo1o4bo1o0do4ebo1o0
hannân,xo4bo1o4o8ebo1o0
hannâs,xo1o4bo1o4o8eso0
haps-i münferid,xo4bu3o0su4 mo9bo1o0fo1o4ru4do0
harâret,xo4ro4ero4bo2o0
harb-i umûmî,xo4ro0bu1u4 ao9mo9wmbu2
harekât,xo4ro4ko4ebo2o0
hareket-i arz,xo4ro4ko4bo2u4  eo4ro0zo1o0
harem,xo4ro4mo0
harfî nazar,xo4ro0fo1u4bu2 bo1o4to1o4ro0
harîs,xo4rbu2zo0
hark,xo4ro0fo2o0
hark,xo1o4ro0fo2o0
hasbî,xo4so0bu1bu2
hased,xo4so4do0
hasen,xo4so4bo1o0
hasenât,xo4so4bo1o4ebo2o0
hasene,xo4so4bo1o4h
hasf,xo1o4so0fo1o0
hasım,xo1o4zu4mo0
hasîs,xo1o4sbu2so0
haslet,xo1o4zo0lo4bo2o0
haslet-i memdûha,xo1o4zo0lo4bo2u4 mo4mo0do9wxo4h
hasr,xo4zo0ro0
hasr-ı kelâm,xo4zo0ru4 ko4lo4emo0
hasr-ı muhabbet,xo4zo0ru4 mo9xo4bu1o4o8bo2o0
hasr-ı nazar,xo4zo0ru4 bo1o4to1o4ro0
haşîn,xo1o4so3bu2bo1o0
haşir,xo4so3u4ro0
haşir ve neşir,xo4so3u4ro0 wo4 bo1o4so3o0ru4
haşmet,xo4so3o0mo4bo2o0
haşmet-i saltanat,xo4so3o0mo4bo2u4 so4lo0to4bo1o4bo2o0
haşr-i cismânî,xo4so3o0ru4 xu1u4so0mo4ebo1bu2
haşr-i a'zam,xo4so3o0ru4 eo4ao0to1o4mo0
hat,xo1o4to0
hatîb-i rabbânî,xo1o4tbu2bu1u4 ro4bu1o4o8ebo1bu2
hatme,xo1o4bo2o0mo4h
hatme-i muazzama-i muhammediye,xo1o4bo2o0mo4u4 mo9ao4to1o4o8mo4u4 mo9xo4mo4o8du4bu2o4h
hatt-ı hakîkî,xo1o4tu4o8 xo4fo2u4bu2fo2u4bu2
hatt-ı kur'ân,xo1o4tu4o8 fo2o9ro0eo6bo1o0
hatve,xo1o4to0wo4h
hatar,xo1o4to4ro0
havâdis,xo4wo4edu4bo3o0
havârî,xo4wo4erbu2
havâs,xo1o4wo4ezo0
havâs ve hissiyât-ı insâniye,xo4wo4eso0 wo4xu4su4o8bu2o4ebo2u4 eu4bo1o0so4ebo1u4bu2o4h
havâss-ı hamse-i bâtına,xo4wo4esu4o8 xo1o4mo0so4u4 bu1o4etu4bo1o4h
havâss-ı hamse-i zâhire,xo4wo4esu4o8 xo1o4mo0so4u4 to1o4ehu4ro4h
havf,xo1o4wo0fo1o0
havf-ı mevt,xo1o4wo0fo1u4 mo4wo0bo2o0
havl,xo4wo0lo0
havsala,xo4wo0zo4lo4h
havass-ı hamse,xo4wo4esu4o8 xo1o4mso4h
hay,xo4bu2o0
hayâlât,xo1o4bu2o4elo4ebo2o0
haybet,xo1o4bu2o0bu1o4bo2o0
hayfâ,xo4bu2o0fo1o4e
hayır,xo1o4bu2u4ro0
hayrât,xo1o4bu2o0ro4ebo2o0
hayr-ı mahz,xo1o4bu2o0ru4 mo4xo0zo1o0
hayrulhalef,xo1o4bu2o0ro9 elo0xo1o4lo4fo1o0
haysiyet,xo4bu2o0bo3u4bu2o4bo2o0
hayt-ı semâvî,xo1o4bu2o0tu4 so4mo4ewu4bu2
hayt-ı vuslat,xo1o4bu2o0tu4 wo9zo0lo4bo2o0
hayvânât-ı vahşiye,xo4bu2o0wo4ebo1o4ebo2u4 wo4xo0so3u4bu2o4h
hayvâniyet,xo4bu2o0wo4ebo1u4bu2o4bo2o0
hayvanât,xo4bu2o0wo4ebo1o4ebo2o0
hayat-ı bâkiye,xo4bu2o4ebo2u4 bu1o4efo2u4bu2o4h
hayatperest,xo4bu2o4ebo2o0bu3o4ro4so0bo2o0
hayy,xo4bu2o0
hayy-ı bâki,xo4bu2u4o8 bu1o4efo2bu2
hayy-ı kayyûm,xo4bu2u4o8 fo2o4bu2o9o8wmo0
hayy-ı lâyemut,xo4bu2u4o8 leo4bu2o4mo9wbo2o0
hayy-ı meyyit,xo4bu2u4o8 mo4bu2u4o8bo2o0
hayy-ı mürtebit,xo4bu2u4o8 mo9ro0bo2o4bu1u4bo2o0
haz,xo4to1o0
hazer,xo4do1o4ro0
hazf,xo4do1o0fo1o0
hazır,xo4ezo1u4ro0
hazır ve nazır,xo4ezo1u4ro0 w bo1o4eto1u4ro0
hazîn,xo4ro1bu2bo1o0
hazînedâr,xo1o4ro1bu2bo1o4h do4ero0
hazz-ı nefis,xo4to1u4o8 bo1o4fo1o0so0
ıslâh,eu4zo0lo4exo0
ıslâh-ı hâl,eu4zo0leo4xu4 xo4elo0
ıslah,eu4zo0lo4exo0
ıslahhâne,eu4zo0lo4exo0xo1o4ebo1o4h
ıstıfâ,eu4zo0tu4fo1o4e
ıstılâh,eu4zo0tu4lo4exo0
ıttılâ',eu4tu4o8lo4eao0
ızrâr,eu4zo1o0ro4ero0
iâde,eu4ao4edo4h
iâşe,eu4ao4eso3o4h
ibâdullâh,au4bu1o4edo9 ello4o8ho0
ibdâ',eu4bu1o0do4eao0
iblâğ,eu4bu1o0lo4eao1o0
iblis,eu4bu1o0lbu2so0
ibrâz,eu4bu1o0ro4ero1o0
ibret,au4bu1o0ro4bo2o0
ibadet-i fikriye,au4bu1o4edo4bo2u4 fo1u4ko0ru4bu2o4h
icâbet,eu4xu1o4ebu1o4bo2o0
îcâd-ı ilâhî,eu4bu2xu1o4edu4 eu4lo6hbu2
i'câz,eu4ao0xu1o4ero1o0
îcâz,ebu2xu1o4ero1o0
icâzet,eu4xu1o4ero1o4bo2o0
i'câzî,eu4ao0xu1o4ero1bu2
i'câzkâr,eu4ao0xu1o4ero1o0ko4ero0
i'câzkârâne,eu4ao0xu1o4ero1o0ko4ero4ebo1o4h
icbâr,eu4xu1o0bu1o4ero0
icmâ',eu4xu1o0mo4eao0
icmâl,eu4xu1o0mo4elo0
icmâlî,eu4xu1o0mo4elbu2
icmâlî,eu4xu1o0mo4elu4bu2
icmalî,eu4xu1o0mo4elu4bu2
icrâ,eu4xu1o0ro4e
icrâât,eu4xu1o0ro4eeo6bo2o0
i'dâm,eu4ao0do4emo0
idâre,eu4do4ero4h
iddiâ makamı,eu4du4o8ao4e mo4fo2o4emu4bu2
iddiânâme,eu4du4o8ao4ebo1o4emo4h
idrâk,eu4do0ro4eko0
idrak,eu4do0ro4eko0
îfâ,ebu2fo1o4e
ifâza,eu4fo1o4ezo1o4h
iffet,au4fo1o4o8bo2o0
ifnâ,eu4fo1o0bo1o4e
ifrât,eu4fo1o0ro4eto0
ifrit,au4fo1o0rbu2bo2o0
ifrağ,eu4fo1o0ro4eao1o0
ifşâ,eu4fo1o0so3o4e
ifşâât,eu4fo1o0so3o4eeo6bo2o0
iftihâr,eu4fo1o0bo2u4xo1o4ero0
iftihâr-ı mukaddes,eu4fo1o0bo2u4xo1o4eru4 mo9fo2o4do4o8so0
iğbirâr,eu4ao1o0bu1u4ro4ero0
iğfâl,eu4ao1o0fo1o4elo0
ihâta,eu4xo4eto4h
ihbâr,eu4xo1o0bu1o4ero0
ihbâr-ı gayb,eu4xo1o0bu1o4eru4 ao1o4bu2o0bu1o0
ihdâs,eu4xo0do4ebo3o0
ihlâl,eu4xo1o0lo4elo0
ihlâs,eu4xo1o0lo4ezo0
ihlâs-ı tâm,eu4xo1o0lo4ezu4 bo2o4emo0
ihrâcât,eu4xo1o0ro4exu1o4ebo2o0
ihrâm,eu4xo0ro4emo0
ihrâz,eo4xo0ro4ero1o0
ihsân,eu4xo0so4ebo1o0
ihsân-ı ilâhî,eu4xo0so4ebo1u4 eu4lhbu2
ihsâs,eu4xo0so4eso0
ihtâr,eu4xo1o0to4ero0
ihtâr-ı mücmel,eu4xo1o0to4eru4 mo9xu1o0mo4lo0
ihtidâ,eu4ho0bo2u4do4e
ihtikâr,eu4xo0bo2u4ko4ero0
ihtilâf,eu4xo1o0bo2u4lo4efo1o0
ihtilâf,eu4xo1o0bo2u4lo4efo1o0
ihtilâl,eu4xo1o0bo2u4lo4elo0
ihtilâl-i rûhî,eu4xo1o0bo2u4lo4elu4 ro9wxbu2
ihtilâs,eu4xo1o0bo2u4lo4eso0
ihtilât,eu4xo1o0bo2u4lo4eto0
ihtimâm,eu4ho0bo2u4mo4emo0
ihtirâ',eu4xo1o0bo2u4ro4eao0
ihtirâm,eu4xo0bo2u4ro4emo0
ihtirâs,eu4xo0bo2u4ro4ezo0
ihtirâz,eu4xo0bo2u4ro4ero1o0
ihtisâr,eu4xo1o0bo2u4zo4ero0
ihtisâs,eu4xo1o0bo2u4zo4ezo0
ihtivâ,eu4xo0bo2u4wo4e
ihtiyâc-ı dâhilî,eu4xo0bo2u4bu2o4exu1u4 do4exo1u4lbu2
ihtiyâc-ı fıtrî,eu4xo0bo2u4bu2o4exu1u4 fo1u4to0rbu2
ihtiyâr,eu4xo1o0bo2u4bu2o4ero0
ihtiyâr-ı beşer,eu4xo1o0bo2u4bu2o4eru4 bu1o4so3o4ro0
ihtiyârî,eu4xo1o0bo2u4bu2o4erbu2
ihtiyât,eu4xo0bo2u4bu2o4eto0
ihtiyâten,eu4xo0bo2u4bu2o4eto44e
ihtiyâtkâr,eu4xo0bo2u4bu2o4eto0ko4ero0
ihtiyat akçesi,eu4xo0bo2u4bu2o4eto0 eo6fo2o0xu3o4h su4bu2
ihtizâz,eu4ho0bo2u4ro1o4ero1o0
ihvân,eu4xo1o0wo4ebo1o0
ihanet,eu4ho4ebo1o4bo2o0
ihyâ,eu4xo0bu2o4e
ihyâ-yı dîn,eu4xo0bu2o4ebu2u4 du4bu2bo1o0
ihyâ-yı arz,eu4xo0bu2o4ebu2u4 eo4ro0zo1o0
ihzâr,eu4xo0zo1o4ero0
ikmâl,eu4ko0mo4elo0
ikrâh,eu4ko0ro4eho0
ikrâm-ı rabbânî,eu4ko0ro4emu4 ro4bu1o4o8ebo1bu2
ikrâr,eu4fo2o0ro4ero0
ikram-ı ilahi,eu4ko0ro4emu4 eu4lo4hu4bu2
iksîr,eu4ko0su4bu2ro0
iksîr,eu4ko0sbu2ro0
iksîr-i nurani,eu4ko0sbu2ru4 bo1o9wro4ebo1bu2
iktibâs,eu4fo2o0bo2u4bu1o4eso0
iktidâr,eu4fo2o0bo2u4do4ero0
iktifâ,eu4ko0bo2u4fo1o4e
iktirân,eu4fo2o0bo2u4ro4ebo1o0
iktisâd,eu4fo2o0bo2u4zo4edo0
iktizâ,eu4fo2o0bo2u4zo1o4e
ilâh-ı vâhid,eu4lhu4 wo4exu4do0
i'lâm,eu4ao0lo4emo0
i'lâmnâme,eu4ao0lo4emo0bo1o4emo4h
ilhâk,eu4lo0xo4efo2o0
ilhâm,eu4lo0ho4emo0
ilhâmî,eu4lo0ho4embu2
ilim,au4lu4mo0
illet,au4lo4o8bo2o0
illet,au4lo4o8bo2o0
illet-i mûcide,au4lo4o8bo2u4 mo9wxu1u4do4h
illet-i zillet,au4lo4o8bo2u4 do1u4lo4o8bo2o0
illiyet,au4lu4o8bu2o4bo2o0
ilm-i cifir,au4lo0mu4 xu1u4fo1u4ro0
ilmi kelâm,au4lo0mu4 ko4leo4mo0
ilm-i münâzara,au4lo0mu4 mo9bo1o4eto1o4ro4h
ilm-i muhît,au4lo0mu4 mo9xbu2to0
ilm-i usûl,au4lo0mu4 eo9zo9wlo0
ilm-i usûl-ü dîn,au4lo0mu4 eo9zo9wlo9 dbu2bo1o0
iltibâs,eu4lo0bo2u4bu1o4eso0
ilticâ,eu4lo0bo2u4xu1o4e
iltifât,eu4lo0bo2u4fo1o4ebo2o0
iltihâk,eu4lo0bo2u4xo4efo2o0
iltimâs,eu4lo0bo2u4mo4eso0
iltizâm,eu4lo0bo2u4ro1o4emo0
ilzâm,eu4lo0ro1o4emo0
îmâ,ebu2mo4e
îmâ,ebu2mo4e
imâmet,eu4mo4emo4bo2o0
imâm-ı mübîn,eu4mo4emu4 mo9bu1bu2bo1o0
îmân-ı bil'âhiret,ebu2mo4ebo1u4 bu1u4elo0exo1u4ro4bo2o0
îmân-ı kâmil,ebu2mo4ebo1u4 ko4emu4lo0
îmân-ı tahkîkî,ebu2mo4ebo1u4 bo2o4xo0fo2bu2fo2bu2
i'mâr,eu4ao0mo4ero0
imkân,eu4mo0ko4ebo1o0
imkân-ı âdî,eu4mo0ko4ebo1u4 ao4edbu2
imkân-ı mevt,eu4mo0ko4ebo1u4 mo4wo0bo2o0
imkân-ı örfî,eu4mo0ko4ebo1u4 ao9ro0fo1bu2
imkân-ı aklî,eu4mo0ko4ebo1u4 ao4fo2o0lbu2
imkân-ı zâtî,eu4mo0ko4ebo1u4 do1o4ebo2bu2
imkân-ı zihnî,eu4mo0ko4ebo1u4 do1u4ho0bo1bu2
imkan-ı mevt,eu4mo0ko3o4ebo1u4 mo4wo0bo2o0
imlâ,eu4mo0lo4e
imtinâ',eu4mo0bo2u4bo1o4eao0
imtinân,eu4mo0bo2u4bo1o4ebo1o0
imtisâl,eu4mo0bo2u4bo3o4elo0
imtiyâz,eu4mo0bo2u4bu2o4ero1o0
imtizâc-ı kimyevî,eu4mbo2u4ro1o4exu1u4 ku4mo0bu2o4wu4bu2
in'âm,eu4bo1o0ao4emo0
inâyet,au4bo1o4ebu2o4bo2o0
inâyet-i hâssa,au4bo1o4ebu2o4bo2u4 xo1o4ezo4o8h
inâyet-i ilâhiye,au4bo1o4ebu2o4bo2u4 eu4lhu4bu2o4h
inâyet-i rabbâniye,au4bo1o4ebu2o4bo2u4 ro4bu1o4o8ebo1u4bu2o4h
inâyet-i rahmâniye,au4bo1o4ebu2o4bo2u4 ro4xo0mo4ebo1u4bu2o4h
inâyet-i şâmile,au4bo1o4ebu2o4bo2u4 so3o4emu4lo4h
indî,au4bo1o0dbu2
indallâh,au4bo1o0do4ello8ho0
infâk,eu4bo1o0fo1o4efo2o0
infiâl,eu4bo1o0fo1u4ao4elo0
infilâk,eu4bo1o0fo1u4lo4efo2o0
infial,eu4bo1o0fo1u4ao4elo0
inhidâm,eu4bo1o0hu4do4emo0
inhilâl,eu4bo1o0xu4lo4elo0
inhilal,eu4bo1o0xu4lo4elo0
inhirâf,eu4bo1o0xu4ro4efo1o0
inhisâr,eu4bo1o0xu4zo4ero0
in'idâm,eu4bo1o0au4do4emo0
in'ikâs,eu4bo1o0au4ko4eso0
inkıbâz,eu4bo1o0fo2u4bu1o4ezo1o0
inkıbâz,eu4bo1o0fo2u4bu1o4ezo1o0
inkırâz,eu4bo1o0fo2u4ro4ezo1o0
inkısâm,eu4bo1o0fo2u4so4emo0
inkıtâ',eu4bo1o0fo2u4to4eao0
inkisâr,eu4bo1o0ku4so4ero0
inkisâr-ı hayâl,eu4bo1o0ku4so4eru4 xo1o4bu2o4elo0
inkişâf,eu4bo1o0ku4so3o4efo1o0
inkişâf-ı uhuvvet,eu4bo1o0ku4so3o4efo1u4 eo9xo1o9wo4o8bo2o0
ins,eu4bo1o0so0
insî,eu4bo1o0sbu2
insicâm,eu4bo1o0su4xu1o4emo0
insicâm-ı ecmel,eu4bo1o0su4xu1o4emu4 eo4xu1o0mo4lo0
insan-ı kâmil,eu4bo1o0so4ebo1u4 ko4emu4lo0
insan-ı müştekî,eu4bo1o0so4ebo1u4 mo9so3o0bo2o4ku4bu2
insaniyet,eu4bo1o0so4ebo1u4bu2o4bo2o0
insaniyet-i kübrâ,eu4bo1o0so4ebo1u4bu2o4bo2u4 ko9bu1o0ro4e
insaniyetperver,eu4bo1o0so4ebo1u4bu2o4bo2o0 bu3o4ro0wo4ro0
inşâ,eu4bo1o0so3o4e
inşirâh,eu4bo1o0so3u4ro4exo0
inşirâh-ı sadr,eu4bo1o0so3u4ro4exu4 zo4do0ro0
intâk-ı bilhak,eu4bo1o0to4efo2u4 bu1u4elo0xo4fo2o0
intibâh,eu4bo1o0bo2u4bu1o4eho0
intifâ,eu4bo1o0bo2u4fo1o4e
intifa',eu4bo1o0bo2u4fo1o4eao0
intifa',eu4bo1o0bo2u4fo1o4eao0
intihâ,eu4bo1o0bo2u4ho4e
intişâr,eu4bo1o0bo2u4so3o4ero0
intizâm,eu4bo1o0bo2u4to1o4emo0
intizĀm,eu4bo1o0bo2u4to1o4emo0
intizâm-ı ekmel,eu4bo1o0bo2u4to1o4emu4 eo4ko0mo4lo0
intizâm-ı fâik,eu4bo1o0bo2u4to1o4emu4 fo1o4ebo5u4fo2o0
intizâm-ı mutlak,eu4bo1o0bo2u4to1o4emu4 mo9to0lo4fo2o0
intizâr,eu4bo1o0bo2u4to1o4ero0
inayet-i sermediye,au4bo1o4ebu2o4bo2u4 so4ro0mo4du4bu2o4h
inzâl,eu4bo1o0ro1o4elo0
inzâl-i kütüb,eu4bo1o0ro1o4elu4 ko9bo2o9bu1o0
inzibât,eu4bo1o0zo1u4bu1o4eto0
inzimâm,eu4bo1o0zo1u4mo4emo0
inzimâm-ı re'y,eu4bo1o0zo1u4mo4emu4 ro4eo5o0bu2o0
inzivâ,eu4bo1o0ro1u4wo4e
irâde,eu4ro4edo4h
i'râz,eu4ao0ro4ezo1o0
ircâ',eu4ro0xu1o4eao0
irsâl,eu4ro0so4elo0
irsâl-i rusül,eu4ro0so4elu4 ro9so9lo0
irsiyet,eu4ro0bo3u4bu2o4bo2o0
irşâd,eu4ro0so3o4edo0
irşâd-ı nebevi,eu4ro0so3o4edu4 bo1o4bu1o4wu4bu2
irtibat,eu4ro0bo2u4bu1o4eto0
irtifâ',eu4ro0bo2u4fo1o4eao0
irtisâm,eu4ro0bo2u4so4emo0
isâbet-i nazar,eu4zo4ebu1o4bo2u4 bo1o4to1o4ro0
îsâl,ebu2zo4elo0
îsâr,ebu2bo3o4ero0
isbât,eu4bo3o0bu1o4ebo2o0
iskân,eu4so0ko4ebo1o0
ismet,au4zo0mo4bo2o0
ism-i celâl,eu4so0mu4 xu1o4lo4elo0
ism-i hakîm,eu4so0mu4 xo4ku4bu2mo0
ism-i kadîr,eu4so0mu4 fo2o4du4bu2ro0
ism-i a'zam,eu4so0mu4 eo4ao0to1o4mo0
ispirtizma,eu4bu2so0bu3u4bu2ro0bo2u4bu2ro1o0mo4h
istiâne,eu4so0bo2u4ao4ebo1o4h
istiâre,eu4so0bo2u4ao4ero4h
istibdâd-ı mutlak,eu4so0bo2u4bu1o0do4edu4 mo9to0lo4fo2o0
istid'â,eu4so0bo2u4do0ao4e
istidlâl,eu4so0bo2u4do0lo4elo0
istifâde,eu4so0bo2u4fo1o4edo4h
istifhâm,eu4so0bo2u4fo1o0ho4emo0
istifsâr,eu4so0bo2u4fo1o0so4ero0
