a,h
çârdeh,xu3erdh
çâre,xu3erh
çârecû,xu3erh xu1w
çâresâz,xu3erh sero1
çâresâzî,xu3erh sero1y
çârgâh,xu3erko7eh
çârgûşe,xu3erko7wso3h
çarh,xu3rxo1
çarmıh,xu3ermbu2xo1
çârnâçâr,xu3erbo1exu3er
çârpâ,xu3erbu3e
çârsû,xu3ersw
çârsû,xu3ersw
çârşeb,xu3erso3bu1
çârşenbe,xu3erso3bo1bu1h
çârtâk,xu3ertefo2
çârüm,xu3erm
çâryâr,xu3eryer
çâşni,xu3eso3bo1y
çâşnigîr,xu3eso3bo1y ko7bu2r
çâşt,xu3eso3bo2
çay,xu3ey
çeğâle,xu3ao1elh
çeh,xu3h
çehâr,xu3her
çehre,xu3hrh
çehreperdâz,xu3hrh bu3rdero1
çekâçâk,xu3kexu3ek
çekîde,xu3kbu2dh
çekûç,xu3kwxu3
çelîpâ,xu3lbu2bu3e
çem,xu3m
çemen,xu3mbo1
çemenzâr,xu3mbo1ro1er
çenâr,xu3bo1er
çenber,xu3bo1bu1r
çend,xu3bo1d
çendan,xu3bo1debo1
çendin,xu3bo1dybo1
çeng,xu3bo1ko7
çengâl,xu3bo1ko7el
çengî,xu3bo1ko7y
çep,xu3bu3
çerâ,xu3re
çerâgâh,xu3reko7eh
çerâğ,xu3reao1
çerâğân,xu3reao1ebo1
çerâkese,xu3reksh
çerb,xu3rbu1
çerbzebân,xu3rbu1 ro1bu1ebo1
çerh,xu3rxo1
çerm,xu3rm
çeşm,xu3so3m
çeşmân,xu3so3mebo1
çeşmderîde,xu3so3m drydh
çeşme,xu3so3mh
çetr,xu3bo2r
çevgân,xu3wko7ebo1
çeyrek,xu3heryk
çîgûne,xu3ko7wbo1h
çigûnegî,xu3ko7wbo1ko7y
çihâr,xu3her
çihar yâr,xu3heryer
çihârüdü,xu3her w dw
çihârüse,xu3her w sh
çihârüyek,xu3her w yk
çihil,xu3hl
çihilpâ,xu3hl bu3e
çihre,xu3hrh
çil,xu3l
çile,xu3lh
çilekeş,xu3lh kso3
çimen,xu3mbo1
çîn,xu3bu2bo1
çirâğ,xu3reao1
çîredest,xu3bu2rh dsbo2
çirk,xu3rk
çirkâb,xu3rk eo6bu1
çirkîn,xu3rkbu2bo1
çîz,xu3bu2ro1
çûb,xu3wbu1
çûbân,xu3wbu1ebo1
çûbek,xu3wbu1k
çun,xu3wbo1
çün,xu3bo1
çünki,xu3wbo1kh
çüst,xu3sbo2
çüstî,xu3sbo2y
çüvâl,xu3wel
çüvaldûz,xu3weldwro1
dâd,ded
dâd,ded
dâdgâh,dedko7eh
dâdhâh,dedxo1weh
dâdres,dedrs
dâdû,dedw
dâdüferyâd,dedwfo1ryed
dâdüsited,ded w sbo2d
dâfi',defo1a
dâğ,deao1
dağal,dao1l
dağalbâz,dao1l bu1ero1
dağdağa,dao1dao1h
dahi,dxo1bu2
dâhî,dehy
dâhil,dexo1l
dâhile,dexo1lh
dâhilen,dexo1le
dâhilî,dexo1ly
dâhiliye,dexo1lbu2h
dahl,dxo1l
dahme,zo1xo1mh
dâ'î,deay
dâim,debo5m
dâimî,debo5my
dâir,debo5r
dâire,debo5rh
dâirenmâdâr,debo5re meder
dâirevî,debo5rwy
dâirezen,debo5rh ro1bo1
dâiye,deabu2h
dakâyık,dfo2eyfo2
dakîk,dfo2bu2fo2
dakîka,dfo2bu2fo2h
dalâlet,zo1lelbo2
dâll,del
dâlle,zo1elh
dâm,dem
dâmâd,demed
dâmân,demebo1
dâmen,dembo1
dâmenâlûde,dembo1 eo6lwdh
dâmenbûs,dembo1 bu1ws
dâmene,dembo1h
dâmengîr,dembo1 ko7bu2r
dâmgâh,demko7eh
dân,debo1
dân,debo1
dânâ,debo1e
dâne,debo1h
dânende,debo1bo1dh
dâng,debo1ko7
dâniş,debo1so3
dânişâmûz,debo1so3 eo6mwro1
dânişgâh,debo1so3ko7eh
dânişmend,debo1so3mbo1d
dânişver,debo1so3wr
dâr,der
dâr,der
dâr,der
dârâ,dere
darabân,zo1rbu1ebo1
darabât,zo1rbu1ebo2
darb,zo1rbu1
darbe,zo1rbu1h
darbhâne,zo1rbu1 xo1ebo1h
darbımesel,zo1rbu1 mbo3l
dârçîn,derxu3bu2bo1
dârende,derbo1dh
darîr,zo1ryr
dârû,derw
dârûhâne,derwxo1ebo1h
dârülaceze,derelaxu1ro1h
dârülbedâyi,derelbu1deya
dârülelhân,derelelxebo1
dârüleytâm,dereleybo2em
dârülfünun,derelfo1bo1wbo1
dârülhilâfe,derelxo1lefo1h
dârülkütüb,derelkbo2bu1
dârülmuallimât,derelmalmebo2
dârülmuallimîn,derelmalmbu2bo1
dârülmülk,derelmlk
dârülvilâde,derelwledh
dârüssaltana,derelsltbo1h
dârüsselam,derelslem
dâs,des
dâstân,desbo2ebo1
dâstânî,desbo2ebo1y
dâ'ussıla,dec elzlh
davâ,dawy
dâver,dewr
davet,dawbo2
dâye,deyh
dâyin,deybo1
deâvî,daewy
debbağ,dbu1eao1
debdebe,dbu1dbu1h
debir,dbu1bu2r
ded,dd
def,dfo1
def',dfo1a
def'a,dfo1ah
defaât,dfo1aebo2
defâin,dfo1ebo5bo1
def'aten,dfo1aho2
defâtir,dfo1ebo2bu2r
define,dfo1bu2bo1h
defn,dfo1bo1
defter,dfo1bo2r
defterdâr,dfo1bo2rder
defzen,dfo1ro1bo1
değirmi,dkrmy
deh,dh
dehâ,dhe
dehâlet,dxo1elbo2
dehâlîz,dhelbu2ro1
dehân,dhebo1
dehânbeste,dhebo1 bu1sbo2h
dehen,dhbo1
dehliz,dhlbu2ro1
dehr,dhr
dehrî,dhry
dehriyye,dhryh
dehşetâver,dhso3bo2 eo6wr
dehşetengîz,dhso3bo2 ebo1ko7bu2ro1
dekâkîn,dkekbu2bo1
delâil,dlebo5l
delâlet,dlelbo2
delîl,dlbu2l
delk,dlfo2
dellâk,dlek
dellâl,dlel
delv,dlw
dem,dm
dem,dm
demâdem,dmedm
dembedem,dmbu1dm
demsâz,dmsero1
denâet,dbo1ebo5bo2
dendân,dbo1debo1
dendanmüzd,dbo1debo1 mro1d
denî,dbo1y
deniz,dko3bu2ro1
denli,dko3ly
der,dr
derâhim,drehm
derakab,drafo2bu1
derâmed,dr eo6md
derâz,drero1
derbân,drbu1ebo1
derbâr,drbu1er
derbeder,drbu1dr
derbend,drbu1bo1d
derc,drxu1
derd,drd
derdâ,drde
derdest,drdsbo2
derdiser,drd sr
derdmend,drdmbo1d
derecât,drxu1ebo2
derece,drxu1h
derekât,drkebo2
dereke,drkh
derende,drbo1dh
dergâh,drko7eh
derhâl,drxel
derhâst,drxo1wesbo2
derhâtır,dr xo1etr
derhor,drxo1wr
derîçe,dryxu3h
derk,drk
derkenâr,drkbo1er
dermân,drmebo1
dermânde,drmebo1dh
dermeyân,drmbu2ebo1
derpîş,drbu3bu2so3
derrâk,drek
derre,drh
dersaadet,dr saedbo2
dershân,drsxo1webo1
der-uhte,drahdh
derûn,drwbo1
derûnî,drwbo1y
dervâze,drwero1h
dervîş,drwyso3
dervîşân,drwyso3ebo1
deryâ,drye
deryâdil,dryedl
deryâneverd,dryebo1wrd
derzî,drro1y
desâis,dsebo5s
desîse,dsbu2sh
desîsekâr,dsbu2sh ker
dessâs,dses
dest,dsbo2
destân,dsbo2ebo1
destâr,dsbo2er
destâvîz,dsbo2ewyro1
destbedest,dsbo2 bu1dsbo2
destbûs,dsbo2 bu1ws
destbûsî,dsbo2 bu1wsy
deste,dsbo2h
destere,dsbo2rh
destgâh,dsbo2ko7eh
destgîr,dsbo2ko7bu2r
destî,dsbo2y
destkâr,dsbo2ker
destmâl,dsbo2mel
destmüzd,dsbo2 mro1d
destres,dsbo2rs
destûr,dsbo2wr
deşne,dso3bo1h
deşt,dso3bo2
devâ,dwec
devâbb,dwebu1
devâir,dwebo5r
devâm,dwem
devâsâz,dwesero1
devât,dwebo2
devâvîn,dwewybo1
deverân,dwrebo1
devlet,dwlbo2
devr,dwr
devrân,dwrebo1
devre,dwrh
dey,dy
deyn,dybo1
deyr,dyr
dıl',zo1la
dırâz,drero1
dî,dbu2
dîbâ,dybu1e
dîbâce,dybu1exu1h
dicâce,dxu1exu1h
dîdâr,dyder
dîde,dydh
dîde,dydh
dîdegân,dydko7ebo1
dîg,dyko7
diger,dko7r
dîgergûn,dko7rko7wbo1
dîgerkâm,dyko7rkem
dih,dh
dihât,dhebo2
dihhodâ,dhxo1de
dihkân,dhfo2ebo1
dikkat,dfo2bo2
dil,dl
dil,dbu2l
dilârâ,dl eo6re
dilâşûb,dl eo6so3wbu1
dilâver,dlewr
dilâvîz,dlewyro1
dilâzâr,dl eo6ro1er
dilâzürde,dl eo6ro1rdh
dilbâz,dlbu1ero1
dilbend,dlbu1bo1d
dilber,dlbu1r
dilbeste,dlbu1sbo2h
dilcû,dlxu1w
dildâde,dl dedh
dildâr,dlder
dildüzd,dl dro1d
dilefgâr,dl efo1ko7er
dilefrûz,dl efo1rwro1
dilfigâr,dl fo1ko7er
dilfirîb,dl fo1rybu1
dilgîr,dlko7bu2r
dilgüdâz,dl ko7dero1
dilgüşâ,dlko7so3e
dilhâh,dlxo1weh
dilhaste,dlxo1wesbo2h
dilhırâş,dl xo1reso3
dilhûn,dlxo1wbo1
dilîr,dlbu2r
dilkeş,dlkso3
dilnişîn,dlbo1so3bu2bo1
dilnüvaz,dl bo1wero1
dilpesend,dl bu3sbo1d
dilrübâ,dlrbu1e
dilsûhte,dl swxo1bo2h
dilsûz,dlswro1
dilşâd,dlso3ed
dilşikâr,dl so3ker
dilşiken,dl so3kbo1
dilşikeste,dl so3ksbo2h
dilteng,dl bo2bo1ko7
dilteşne,dl bo2so3bo1h
dimâğ,dmeao1
dindârî,dybo1dery
dînen,dybo1e
dînî,dybo1y
dîr,dyr
dirahşân,drxo1so3ebo1
diraht,drxo1bo2
direfş,drfo1so3
direm,drm
diriğ,drbu2ao1
dirîğ,dryao1
diriğa,drbu2ao1e
dirîğâ,dryao1e
dîrîn,dyrybo1
dîrîne,dyrybo1h
dîşeb,dyso3bu1
dîvân,dywebo1
dîvâne,dywebo1h
dîvânegî,dywebo1ko7y
dîvâr,dywer
diyâr,dyer
dizdâr,dro1der
doğu,twao1y
dost,dwsbo2
dostâne,dwsbo2ebo1h
dostî,dwsbo2y
dostkâm,dwsbo2kem
duâgû,daeko7w
dûçâr,dxu3er
dûd,dwd
dûd,dwd
dûde,dwdh
dûdmân,dwdmebo1
dûğ,dwao1
duhân,dxo1ebo1
duht,dxo1bo2
duhter,dxo1bo2r
duhûl,dxo1wl
duhûliye,dxo1wlbu2h
dumûr,dmwr
dûn,dwbo1
dûnperver,dwbo1 bu3rwr
dûr,dwr
dûrbîn,dwrbu1bu2bo1
dûrdest,dwrdsbo2
dûrendîş,dwrebo1dyso3
dûrî,dwry
durûb-i emsâl,zo1rwbu1 embo3el
durûd,drwd
dûst,dwsbo2
dûş,dwso3
dûş,dwso3
dûşîze,dwso3bu2ro1h
dûzah,dwro1xo1
dü,dw
dü,dw
dübâre,dwbu1erh
dübb,dbu1
dübür,dbu1r
dücâce,dxu1exu1h
düdil,dwdl
dühûr,dhwr
dühül,dhl
düm,dm
dümbâl,dbo1bu1el
dümel,dml
dümûy,dwmwy
dünbâl,dbo1bu1el
dünbek,dbo1bu1k
dünîm,dwbo1bu2m
dünyâ,dbo1bu2e
dünyâperest,dbo1bu2ebu3rsbo2
dünyevî,dbo1bu2wy
dürc,drxu1
dürd,drd
dürdâne,drdebo1h
dürdkeş,drdkso3
dürer,drr
dürr,dr
dürrâ'a,dreah
dürre,drh
dürû,dwrw
dürûğ,drwao1
dürûğzen,drwao1 ro1bo1
dürûs,drws
dürüst,drsbo2
dürüşt,drso3bo2
düstûr,dsbo2wr
düşenbe,dwso3bo1bu1h
düşine,dwso3bu2bo1h
düşmen,dso3mbo1
düşnâm,dso3bo1em
düşvâr,dso3wer
düvâzdeh,dwero1dh
düvel,dwl
düvist,dwysbo2
düvüm,dwm
düyûn,dywbo1
düzd,dro1d
düzdî,dro1dy
düzdîde,dro1dydh
eâcîb,eaexu1bu1
eamm,eam
eâzım,eaeto1m
eazz,earo1
eb,ebu1
eba,ebu1e
ebâbil,ebu1ebu1bu2l
ebad,ebu1aed
ebad,ebu1ad
eb'ad,ebu1ad
eb'âd,ebu1aed
ebalis,ebu1elbu2s
ebâtil,ebu1etl
ebced,ebu1xu1d
ebcedhân,ebu1xu1dxo1webo1
ebdâl,ebu1del
ebdan,ebu1dlbo1
ebdân,ebu1debo1
ebe,ebu1h
ebe gümeci,ebu1h||kwmxu1y
ebed,ebu1d
ebeden,ebu1de
ebedi,ebu1dy
ebedî,ebu1dy
ebediyet,ebu1dbu2bo2
ebediyyen,ebu1dye
ebediyyet,ebu1dybo2
ebeveyn,ebu1wbu2bo1
ebeveyn,ebu1wybo1
ebhar,ebu1xer
ebhâr,ebu1xer
ebhâs,ebu1xebo3
ebhire,ebu1xo1rho2
ebhur,ebu1xr
ebî,ebu1y
ebkâr,ebu1ker
ebkem,ebu1km
eblağ,ebu1lao1
eblak,ebu1lfo2
ebleh,ebu1lh
eblehâne,ebu1lhebo1h
eblehî,ebu1lhy
ebna,ebu1bo1e
ebnâ,ebu1bo1e
ebnayi sebil,ebu1bo1ey||sbu1bu2l
ebniye,ebu1bo1bu2h
ebniyye,ebu1bo1bu2h
ebniyye-i hayriye,ebu1bo1bu2h||xo1bu2rbu2h
ebr,ebu1r
ebrâlûd,ebu1reo6lwd
ebrar,ebu1rer
ebrâr,ebu1rer
ebras,ebu1rz
ebred,ebu1rd
ebreş,ebu1rso3
ebrişüm,ebu1ryso3m
ebru,ebu1rw
ebrû,ebu1rw
ebsar,ebu1zer
ebsâr,ebu1zer
ebtal,ebu1tel
ebu,ebu1w
ebusina,ebu1wsbu2bo1e
ebülbeşer,ebu1welbu1so3r
ebvab,ebu1webu1
ebvâb,ebu1webu1
ebyad,ebu1bu2zo1
ebyat,ebu1bu2ebo2
ebyât,ebu1bu2ebo2
ebyaz,ebu1bu2zo1
ebyen,ebu1bu2bo1
ecanib,exu1ebo1bu1
ecânib,exu1ebo1bu1
ecbal,exu1bu1el
ecdad,exu1ded
ecdâd,exu1ded
ecel,exu1l
ecell,exu1l
echel,exu1hl
echelüminkaragöz,exu1hl mbo1 fo2rh ko7wro1
ecir,exu1r
ecnâs,exu1bo1es
ecnebi,exu1bo1bu1y
ecnebî,exu1bo1bu1y
ecr,exu1r
ecrâm,exu1rem
ecsâd,exu1sed
ecsâm,exu1sem
ecvef,exu1wfo1
ecvibe,exu1wbu1h
eczâ,exu1ro1e
eczâhâne,exu1ro1exo1ebo1h
edâ,ede
edeb,edbu1
edebî,edbu1bu2
edevât,edwebo2
edîb,edybu1
edîbe,edybu1h
edille,edlh
edîm,edym
ed'iye,edabu2h
ednâ,edbo1y
edvâr,edwer
edviye,edwyh
edyân,edyebo1
edyâr,edyer
ef'âl,efo1ael
efâzıl,efo1ezo1l
efdal,efo1zo1l
efgân,efo1ao1ebo1
ef'î,efo1ay
efkâr,efo1ker
eflâk,efo1lek
eflâtun,efo1letwbo1
efrâd,efo1red
efrenc,efo1rbo1xu1
efsâne,efo1sebo1h
efsâr,efo1ser
efser,efo1sr
efser,efo1sr
efsun,efo1swbo1
efsunger,efo1swbo1ko7r
efsûs,efo1sws
efsürde,efo1srdh
efşüre,efo1so3rh
efvâc,efo1wexu1
efvâh,efo1weh
efyûn,efo1bu2wbo1
efzâr,efo1ro1er
efzâyiş,efo1ro1eyso3
efzûn,efo1ro1wbo1
eger,eko7r
ehad,exd
ehâdîs,exedybo3
ehadiyyet,exdybo2
ehâlî,ehely
ehass,exo1z
ehdâf,ehdefo1
ehemm,ehm
ehemmiyyet,ehmbu2bo2
ehibbâ,exbu1e
ehil,ehl
ehl,ehl
ehliyyet,ehlbu2bo2
ehrâm,ehrem
ehrimen,ehrmbo1
ehsâs,exses
ehven,ehwbo1
ehzâb,exro1ebu1
eimme,ebo5mh
eizze,earo1h
ejder,ero3dr
ejderhâ,ero3drhe
ekâbir,ekebu1r
ekâlîm,efo2elbu2m
ekall,efo2l
ekalliyet,efo2lbu2bo2
ekârib,efo2erbu1
ekâvîl,efo2ewyl
ekber,ekbu1r
ekdâr,ekder
ekfân,ekfo1ebo1
ekhâl,ekxel
ekîd,ekbu2d
ekîden,ekbu2de
ekl,ekl
ekmek,ebo2mk
ekmek,ekmk
ekmel,ekml
eknâf,ekbo1efo1
eknûn,ekbo1wbo1
ekrem,ekrm
ekser,ekbo3r
ekserî,ekbo3ry
ekseriyyâ,ekbo3rye
ekseriyyet,ekbo3rybo2
ektâf,ekbo2efo1
ekûl,ekwl
ekvân,ekwebo1
ekyâl,ekbu2el
ekzeb,ekdo1bu1
elaman,elemebo1
el'an,eleo6bo1
elbise,elbu1sh
eleğimsağma,elko7m zeao1mh
eleğimsağma,elko7bu2m zeao1mh
elem,elm
elemzede,elm ro1dh
elf,elfo1
elfâz,elfo1eto1
elhâc,elxexu1
elhâlet hâzihi,elxelho2 hdo1h
elhân,elxebo1
elhâsıl,elxezl
elif,elfo1
elifba,elfo1bu1e
elîm,elbu2m
elîme,elbu2mh
elkıssa,elfo2zh
elsine,elsbo1h
eltâf,eltefo1
elvâh,elwex
elvân,elwebo1
elvedâ,elwdea
elviye,elwyh
elyâf,elbu2efo1
el-yevm,elbu2wm
elzem,elro1m
em'â,emae
emâkin,emekbo1
emân,emebo1
emânât-ı mübâreke,emebo1ebo2 mbu1erkh
emânet,emebo1bo2
emânetdâr,emebo1bo2 der
emâneten,emebo1ho2
emârât,emerebo2
emâre,emerh
emaret,emerbo2
emced,emxu1d
emel,eml
emhâl,emhel
emhâr,emher
emîn,embu2bo1
emir,emr
emîr,embu2r
emirnâme,emrbo1emh
emkine,emkbo1h
emlâk,emlek
emmâre,emerh
emn,embo1
emniyyet,embo1bu2bo2
emr,emr
emrâz,emrezo1
emred,emrd
emsâl,embo3el
emsâl,embo3el
emsile,embo3lh
emtia,embo2ah
emvâc,emwexu1
emvâl,emwel
emvât,emwebo2
emzice,emro1xu1h
enâm,ebo1em
enbân,ebo1bu1ebo1
enbâr,ebo1bu1er
enbîk,ebo1bu1bu2fo2
enbiyâ,ebo1bu1bu2e
enbûh,ebo1bu1wh
encâm,ebo1xu1em
encîr,ebo1xu1bu2r
encüm,ebo1xu1m
encümen,ebo1xu1mbo1
endâm,ebo1dem
endâze,ebo1dero1h
endek,ebo1dk
ender,ebo1dr
enderûn,ebo1drwbo1
enderü'l-vukû,ebo1drelwfo2wa
endîşe,ebo1dyso3h
endîşnâk,ebo1dyso3bo1ek
endûh,ebo1dwh
ene,ebo1e
enf,ebo1fo1
enfâs,ebo1fo1es
enfes,ebo1fo1s
enfüs,ebo1fo1s
engâr,ebo1ko7er
engûr,ebo1ko7wr
engübin,ebo1ko7bu1bo1
engüşt,ebo1ko7so3bo2
engüşter,ebo1ko7so3bo2r
engüştnümâ,ebo1ko7so3bo2 bo1me
enhâr,ebo1her
enîn,ebo1bu2bo1
enîs,ebo1bu2s
enkâz,ebo1fo2ezo1
enmûzec,ebo1mwro1xu1
ensâb,ebo1sebu1
ensâc,ebo1sexu1
ensâl,ebo1sel
ensâr,ebo1zer
ensice,ebo1sxu1h
envâ',ebo1wea
envâr,ebo1wer
enver,ebo1wr
enzâr,ebo1to1er
erâcîf,erexu1bu2fo1
erâmil,ereml
erâzî,erezo1y
erâzil,eredo1l
erba',erbu1a
erba'a,erbu1ah
erbâb,erbu1ebu1
erbain,erbu1abu2bo1
erc,erxu1
ercmend,erxu1mbo1d
ercümend,erxu1mbo1d
erfa',erfo1a
erganun,erao1bo1wbo1
ergevân,erao1webo1
erguvân,erao1webo1
erguvânî,erao1webo1y
erîke,erykh
eriş,erso3
erkâm,erfo2em
erkân,erkebo1
erken,erkbo1
ermeğân,ermao1ebo1
erneb,erbo1bu1
erre,erh
ervâh,erwex
erz,erro1
erzâk,erro1efo2
erzân,erro1ebo1
erzânî,erro1ebo1y
erzel,erdo1l
erzen,erro1bo1
erziş,erro1so3
erzîz,erro1yro1
es'ad,esad
esâmî,esemy
es'âr,esaer
esâret,eserbo2
esas,ebo3ebo3
esâs,eses
esâsât,esesebo2
esâsen,esese
esâtîr,esetbu2r
esâtîz,esebo2bu2do1
esb,esbu1
esbâb,esbu1ebu1
esbak,esbu1fo2
esed,esd
esef,esfo1
esefâ,esfo1e
esefnâk,esfo1bo1ek
eser,ebo3r
esertiraz,ebo3rtrero1
esfâr,esfo1er
esfel,esfo1l
eshâb,ezxebu1
eshâm,eshem
eshâr,esxer
eshel,eshl
eshiyâ,esxo1bu2e
es'ile,esbo5lh
esîr,esbu2r
esîrân,esbu2rebo1
eskal,ebo3fo2el
eslâf,eslefo1
esliha,eslxh
esmâ,esme
esman,ebo3mebo1
esmân,ebo3mebo1
esmar,ebo3mer
esmâr,ebo3mer
esmer,esmr
esna,ebo3bo1e
esnâ,ebo3bo1e
esnâf,ezbo1efo1
esnâm,ezbo1em
esnân,esbo1ebo1
esnayi rahda,ebo3bo1ey rehdh
esra',esra
esrâr,esrer
esrârengîz,esrerebo1ko7bu2ro1
esrarkeş,esrerkso3
essasibeyt,ebo3ebo3||bu1bu2bo2
ester,esbo2r
esvâb,ebo3webu1
esvap,ebo3webu1
esvât,ezwebo2
esved,eswd
esyâf,esbu2efo1
eş'âr,eso3aer
eşcâr,eso3xu1er
eşhâs,eso3xo1ez
eşhür,eshr
eşi'a,eso3ah
eşk,eso3k
eşkâl,eso3kel
eşkâlûd,eso3k eo6lwd
eşkiyâ,eso3fo2bu2e
eşna',eso3bo1a
eşrâf,eso3refo1
eşref,eso3rfo1
et,ebo2
etba,ebo2bu1ea
etek,ebo2k
etem,ebo2m
etemm,ebo2m
etfâl,etfo1el
etıbbâ,etbu1e
et'ime,etamh
etrâf,etrefo1
etrâk,ebo2rek
etvâr,etwer
evâhir,ewexo1r
evâil,ewebo5l
evâmir,ewemr
evân,ewebo1
evânî-i turâbe,ewebo1y bo2rebu1h
evâsıt,ewest
evbâş,ewbu1eso3
evc,ewxu1
evdiye,ewdyh
evhad,ewxd
evhâm,ewhem
evkâf,ewfo2efo1
evkât,ewfo2ebo2
evlâ,ewly
evlâd,ewled
evleviyyet,ewlwybo2
evliyâ,ewlbu2e
evrâd,ewred
evrâk,ewrefo2
evreng,ewrbo1ko7
evsâf,ewzefo1
evsat,ewst
evtâd,ewbo2ed
evvel,ewo8l
evvelâ,ewle
evvelâhır,ewl eo6xo1r
evvelbahar,ewl bu1her
evveliyyât,ewlbu2ebo2
evzân,ewro1ebo1
eyâlât,eyelebo2
eytâm,eybo2em
eyvân,eywebo1
eyyâm,eyem
eyzan,eyzo1e
ezânî,edo1ebo1y
ezdâd,ezo1ded
ezel,ero1l
ezelbeezel,ero1l bu1h ero1l
ezelî,ero1ly
ezeliyyet,ero1lbu2bo2
ezhân,edo1hebo1
ezhâr,ero1her
eziyyet,edo1ybo2
ezkâr,edo1ker
ezkazâ,ero1fo2zo1e
ezkiyâ,edo1kbu2e
ezmân,ero1mebo1
ezmine,ero1mbo1h
ezrak,ero1rfo2
ezvâc,ero1wexu1
ezvâk,edo1wefo2
ezyâl,edo1yel
fa'âl,fo1ael
fa'âliyyet,fo1aelbu2bo2
fâcia,fo1exu1ah
fâciât,fo1exu1aebo2
fâcir,fo1exu1r
fağfur,fo1ao1fo1wr
fağfûrî,fo1ao1fo1wry
fahâmet,fo1xo1embo2
fahhâr,fo1xo1er
fâhir,fo1exo1r
fâhiş,fo1exso3
fâhişe,fo1exso3h
fâhişehane,fo1exso3h xo1ebo1h
fahr,fo1xo1r
fahrî,fo1xo1ry
fahşâ,fo1xso3e
fâhte,fo1exo1bo2h
fahûr,fo1xo1wr
fâide,fo1ebo5dh
fâidebahş,fo1ebo5dh bu1xo1so3
fâik,fo1ebo5fo2
fâikiyyet,fo1ebo5fo2bu2bo2
fâil,fo1eal
fâiliyyet,fo1ealbu2bo2
fâiz,fo1ebo5zo1
fâka,fo1efo2h
fakâhet,fo1fo2ehbo2
fakat,fo1fo2t
fakd,fo1fo2d
fakîd,fo1fo2bu2d
fakîh,fo1fo2bu2h
fâkiha,fo1ekhh
fakîr,fo1fo2bu2r
fakirhâne,fo1fo2bu2rxo1ebo1h
fakr,fo1fo2r
fâl,fo1el
falaka,fo1lfo2h
fâlic,fo1lxu1
fâlnâme,fo1elbo1emh
fâm,fo1em
fânî,fo1ebo1y
fânûs,fo1ebo1bo5s
fâr,fo1er
farazâ,fo1rzo1e
faraziyye,fo1rzo1bu2h
fârıka,fo1erfo2h
fâriğ,fo1erao1
fâris,fo1ers
fârisî,fo1ersy
farîza,fo1ryzo1h
fark,fo1rfo2
fart,fo1rt
farz,fo1rzo1
farzâ,fo1rzo1e
farziyye,fo1rzo1bu2h
fâsık,fo1esfo2
fâsıla,fo1ezlh
fâsid,fo1esd
fasîh,fo1zbu2x
fasîle,fo1zbu2lh
fasl,fo1zl
fassâd,fo1zed
fâş,fo1eso3
fatih,fo1ebo2x
fâtih,fo1ebo2x
fatin,fo1tbu2bo1
fayda,fo1eydh
fâzıl,fo1ezo1l
fazîha,fo1zo1bu2xh
fazîlet,fo1zo1bu2lbo2
faziletkâr,fo1zo1bu2lbo2ker
faziletperest,fo1zo1bu2lbo2 bu3rsbo2
fazl,fo1zo1l
fazla,fo1zo1lh
fecâ'at,fo1xu1eabo2
fecere,fo1xu1rh
fecî',fo1xu1bu2a
fecî'a,fo1xu1bu2ah
fecir,fo1xu1r
fecr,fo1xu1r
fedâ,fo1de
fedâ'î,fo1debo5y
fedâkâr,fo1deker
fedâkârâne,fo1dekerebo1h
fedâkârî,fo1dekery
fehâris,fo1hers
fehîm,fo1hbu2m
fehm,fo1xm
fehm,fo1hm
fehvâ,fo1xwe
fekâhet,fo1kexbo2
fekk,fo1k
felâh,fo1lex
felâket,fo1lekbo2
felâketzede,fo1lekbo2 ro1dh
felâsife,fo1lesfo1h
felc,fo1lxu1
felek,fo1lk
felekiyyât,fo1lkbu2ebo2
felekzede,fo1lk ro1dh
fellâh,fo1lex
felsefî,fo1lsfo1y
fem,fo1m
fenâ,fo1bo1e
fenâpezîr,fo1bo1ebu3do1yr
fend,fo1bo1d
fenn,fo1bo1
fennen,fo1bo1e
fennî,fo1bo1y
fenniyyât,fo1bo1bu2ebo2
fer,fo1r
fer',fo1ra
ferâgat,fo1reao1bo2
ferâğ,fo1reao1
ferah,fo1rx
ferâh,fo1rexo1
ferahbahş,fo1rx bu1xo1so3
ferâine,fo1reabo1h
ferâiz,fo1rebo5zo1
ferâmîn,fo1rembu2bo1
ferâmûş,fo1remwso3
ferâset,fo1resbo2
ferbih,fo1rbu1h
ferc,fo1rxu1
fercâm,fo1rxu1em
ferd,fo1rd
ferdâ,fo1rde
ferdî,fo1rdy
ferdiyyet,fo1rdybo2
ferec,fo1rxu1
feres,fo1rs
ferhân,fo1rxebo1
ferheng,fo1rhbo1ko7
ferhunde,fo1rxo1bo1dh
fer'î,fo1ray
ferîd,fo1ryd
ferikân,fo1ryfo2ebo1
ferîk-i evvel,fo1ryfo2 ewl
ferîk-i sânî,fo1ryfo2 bo3ebo1y
ferişte,fo1o4ru4so3bo2h
fermân,fo1rmebo1
fermandih,fo1rmebo1 dh
fermânfermâ,fo1rmebo1 fo1rme
fermâyiş,fo1rmeyso3
ferrâş,fo1reso3
ferruh,fo1rxo1
fersah,fo1rsxo1
fersûde,fo1rswdh
ferş,fo1rso3
fertût,fo1rbo2wbo2
ferverdîn,fo1rwrdybo1
feryâd,fo1ryed
feryâdres,fo1ryedrs
ferzâne,fo1rro1ebo1h
ferzend,fo1rro1bo1d
fesâd,fo1sed
