a,eo6
kişniş,kbu2so3bo1bu2so3
kişniş,kso3bo1so3
kitabcı,kbo2ebu1xu1y
kıtabcılık,kbo2ebu1xu1bu2lfo2
kitâbe,kbo2ebu1h
kitâbeli,kbo2ebu1h||ly
kitâbet,kbo2ebu1bo2
kitâbî,kbo2ebu1y
kitâbiyât,kbo2ebu1bu2ebo2
kitap,kbo2ebu3
kitapsız,kbo2ebu3sro1
kitlemek,kbu2bo2lh||mk
kitlenmek,kbu2bo2lh||bo1mk
kitletmek,kbu2bo2lh||bo2mk
kitli,kbu2bo2ly
kiyâset,kbu2esbo2
kizb,kdo1bu1
klâsik,fo2lesbu2k
klâsör,fo2leswr
klik,fo2lbu2k
klinik,fo2lbu2bo1bu2k
klise,fo2lbu2so3h
klor,fo2lwr
klorofil,fo2lwrwfo1bu2l
kloroform,fo2lwrwfo1wrm
kobalt,fo2wbu1elbo2
kobay,fo2wbu1ey
koca,fo2wxu1h
kocabaşı,fo2wxu1h||bu1eso3y
kocadağ,fo2wxu1h||deao1
Kocaeli,fo2wxu1h||ebu2ly
kocakarı,fo2wxu1h||fo2ery
kocalaşmak,fo2wxu1h||leso3mfo2
kocalı,fo2wxu1h||ly
kocalık,fo2wxu1h||lfo2
kocalmak,fo2wxu1elmfo2
kocaltmak,fo2wxu1elbo2mfo2
kocamak,fo2wxu1emfo2
kocaman,fo2wxu1emebo1
kocaoğlan,fo2wxu1h||ewao1lebo1
kocasız,fo2wxu1h||sro1
kocatmak,fo2wxu1ebo2mfo2
kocayemiş,fo2wxu1h||bu2mbu2so3
kocunmak,fo2wxu1bo1mfo2
koç,fo2wxu3
koçak,fo2wxu3efo2
koçan,fo2wxu3ebo1
koçboynuzu,fo2wxu3 bu1wbu2bo1wro1y
Koçhisar,fo2wxu3xzer
koçkatımı,fo2wxu3 fo2ebo2bu2my
koçlanmak,fo2wxu3lebo1mfo2
kodaman,fo2wdemebo1
kodein,fo2wdh||bo5bu2bo1
kodes,fo2wds
kodoş,fo2wdwso3
kodoşluk,fo2wdwso3lfo2
kof,fo2wfo1
kofluk,fo2wfo1lfo2
kok,fo2wfo2
koka,fo2wfo2e
kokain,fo2wfo2ebo5bu2bo1
kokarca,fo2wfo2erxu1h
koklamak,fo2wfo2lemfo2
koklaşmak,fo2wfo2leso3mfo2
koklatmak,fo2wfo2lebo2mfo2
kokmak,fo2wfo2mfo2
kokmuş,fo2wfo2mso3
kokona,fo2wfo2wbo1e
koku,fo2wfo2w
kokulu,fo2wfo2wly
kokusuz,fo2wfo2wsro1
kokutmak,fo2wfo2wbo2mfo2
kol,fo2wl
kola,fo2wle
kolacı,fo2wlexu1y
kolacılık,fo2wlexu1bu2lfo2
kolaçan,fo2wlexu3ebo1
kolağası,fo2wl eo6ao1esy
kolalamak,fo2wlelemfo2
kolalanmak,fo2wlelebo1mfo2
kolalatmak,fo2wlelebo2mfo2
kolalı,fo2wlely
kolan,fo2wlebo1
kolan,fo2wleko3
kolanyeri,fo2wlebo1 bu2ry
kolay,fo2wley
kolaycacık,fo2wlebu2xu1h||xu1fo2
kolayımsı,fo2wlebu2mbu2sy
kolaylamak,fo2wlebu2lemfo2
kolaylanmak,fo2wlebu2lebo1mfo2
kolaylaşmak,fo2wlebu2leso3mfo2
kolaylaşdırmak,fo2wlebu2leso3dbu2rmfo2
kolaylatmak,fo2wlebu2lebo2mfo2
kolaylık,fo2wlebu2lfo2
kolcu,fo2wlxu1y
kolculuk,fo2wlxu1bu2lfo2
kolera,fo2wlre
koleralı,fo2wlrely
kolej,fo2wlh||ro3
kolkemiği,fo2wl kmbu2ko7y
kollamak,fo2wllemfo2
kolleksiyon,fo2wllh||ksbu2wbo1
kollektif,fo2wllh||kbo2bu2fo1
kollektivism,fo2wllh||kbo2bu2wbu2ro1m
kollektör,fo2wllh||kbo2wr
kollu,fo2wlly
kolluk,fo2wllfo2
kolon,fo2wlwbo1
kolonlamak,fo2wlwbo1lemfo2
koloni,fo2wlwbo1y
koltuk,fo2wlbo2wfo2
koltukaltı,fo2wlbo2wfo2 eo6lbo2y
koltukcu,fo2wlbo2wfo2xu1y
koltukdeğneği,fo2wlbo2wfo2 dko7bo1ko7y
koltukhalatı,fo2wlbo2wfo2 xo1lety
koltuklamak,fo2wlbo2wfo2lemfo2
koltuklu,fo2wlbo2wfo2ly
koltukresmi,fo2wlbo2wfo2 rsmy
koltukzâviyesi,fo2wlbo2wfo2 ro1ewbu2h||sy
koma,fo2wme
koma,fo2wmh
komandit,fo2wmebo1dbu2bo2
kombinezon,fo2wmbu1bu2bo1h||ro1wbo1
komedi,fo2wmh||dy
komediyen,fo2wmh||dbu2bu2bo1
komedya,fo2wmh||dbu2e
komedyacı,fo2wmh||dbu2exu1y
komik,fo2wmbu2k
komiser,fo2wmbu2sr
komiserlik,fo2wmbu2srlk
komita,fo2wmbu2bo2e
komitacı,fo2wmbu2bo2exu1y
komitacılık,fo2wmbu2bo2exu1bu2lfo2
komite,fo2wmbu2bo2h
kommütatör,fo2wmmwbo2ebo2wr
komodin,fo2wmwdbu2bo1
kompartıman,fo2wmbu3erbo2bu2mebo1
kompas,fo2wmbu3es
kumpas,fo2wmbu3es
kompaslı,fo2wmbu3esly
komple,fo2wmbu3lh
kompliman,fo2wmbu3lbu2mebo1
komplo,fo2wmbu3lw
komposto,fo2wmbu3wsbo2w
kompozitör,fo2wmbu3wro1bu2bo2wr
kompres,fo2wmbu3rh||s
komşu,fo2wmso3w
komşuluk,fo2wmso3wlfo2
komünist,fo2wmwbo1bu2sbo2
komünistlik,fo2wmwbo1bu2sbo2lk
komünizm,fo2wmwbo1bu2ro1m
komüsyoncu,fo2wmbu2sbu2wbo1xu1y
konak,fo2wbo1efo2
konakcı,fo2wbo1efo2xu1y
kondoktör,fo2wbo1dwkbo2wr
kondurmak,fo2wbo1dwrmfo2
konfederasyon,fo2wbo1fo1h||dh||resbu2wbo1
konferans,fo2wbo1fo1h||rebo1s
konferanscı,fo2wbo1fo1h||rebo1sxu1y
konfor,fo2wbo1fo1wr
kongre,fo2wbo1ao1rh
konma,fo2wbo1mh
konmak,fo2wbo1mfo2
konser,fo2wbo1sr
konservatör,fo2wbo1srwebo2wr
konservatuvar,fo2wbo1srwebo2wwer
konserve,fo2wbo1srwh
konsolos,fo2wbo1swlws
konsoloshâne,fo2wbo1swlwsxo1ebo1h
konsolosluk,fo2wbo1swlwslfo2
konsomasyon,fo2wbo1swmesbu2wbo1
konsorsiyum,fo2wbo1swro1sbu2wm
konsül,fo2wbo1swl
konsültasyon,fo2wbo1swlbo2esbu2wbo1
kont,fo2wbo1bo2
kontak,fo2wbo1bo2efo2
kontes,fo2wbo1bo2s
kontra,fo2wbo1bo2re
kontrat,fo2wbo1trebo2w
kontrol,fo2wbo1bo2rwl
kontrolcu,fo2wbo1bo2rwlxu1y
kontrolör,fo2wbo1bo2rwlwr
konturatlı,fo2wbo1trebo2wly
konuk,fo2wbo1wfo2
konuklamak,fo2wbo1wfo2lemfo2
konukluk,fo2wbo1wfo2lfo2
konukomşu,fo2wbo1wfo2wmso3w
konulmak,fo2wbo1wlmfo2
konuşdurmak,fo2wbo1wso3dbu2rmfo2
konuşma,fo2wbo1wso3mh
konuşmak,fo2wbo1wso3mfo2
konuşulmak,fo2wbo1wso3wlmfo2
konvansiyon,fo2wbo1webo1sbu2wbo1
konvansiyonel,fo2wbo1webo1sbu2wbo1h||ly
Konya,fo2wbo1bu2h
konyak,fo2wbo1bu2efo2
kooperatif,fo2wewbu3h||rebo2bu2fo1
koparılmak,fo2wbu3erbu2lmfo2
koparmak,fo2wbu3ermfo2
kopartmak,fo2wbu3erbo2mfo2
kopça,fo2wbu3xu3e
kopçalatmak,fo2wbu3xu3elebo2mfo2
kopçalı,fo2wbu3xu3ely
kopil,fo2wbu3bu2l
kopkolay,fo2wbu3||fo2wley
kopmak,fo2wbu3mfo2
kopuk,fo2wbu3wfo2
kopuz,fo2wbu3wro1
kopya,fo2wbu3bu2e
kopyadefteri,fo2wbu3bu2edfo1bo2ry
kor,fo2wr
kordele,fo2wrdlh
kordon,fo2wrdwbo1
koridor,fo2wrbu2dwr
korkak,fo2wrfo2efo2
korkaklık,fo2wrfo2efo2lfo2
korkmak,fo2wrfo2mfo2
korku,fo2wrfo2w
Korkudeli,fo2wrfo2wdebu2ly
korkulmak,fo2wrfo2lmfo2
korkulu,fo2wrfo2wly
korkuluk,fo2wrfo2wlfo2
korkunç,fo2wrfo2wbo1xu1
korkusuz,fo2wrfo2wsro1
korkusuzluk,fo2wrfo2wsro1lfo2
korkut,fo2wrfo2wd
korkut,fo2wrfo2wbo2
korkutmak,fo2wrfo2wbo2mfo2
korkutmak,fo2wrfo2bo2mfo2
korluk,fo2wrlfo2
korniş,fo2wrbo1bu2so3
korsa,fo2wrsh
korsan,fo2wrzebo1
korsanlık,fo2wrzebo1lfo2
korsanyelkeni,fo2wrzebo1 bu2lkbo1y
koru,fo2wrw
korucu,fo2wrwxu1y
korucu,fo2wrwxu1y
koruculuk,fo2wrwxu1bu2lfo2
koruk,fo2wrwfo2
koruma,fo2wrwmh
korumak,fo2wrwmfo2
koskoca,fo2ws||fo2wxu1h
koskoca,fo2wz||fo2wxu1h
koskocaman,fo2ws||fo2wxu1emebo1
kostüm,fo2wsbo2wm
kostümlük,fo2wsbo2wmlk
koşdurmak,fo2wso3dbu2rmfo2
koşma,fo2wso3mh
koşmak,fo2wso3mfo2
koşu,fo2wso3w
koşu,fo2wso3y
koşuatı,fo2wso3weo6bo2y
koşulmak,fo2wso3wlmfo2
koşum,fo2wso3wm
koşuşmak,fo2wso3so3mfo2
koşuyolu,fo2wso3wbu2wly
koter,fo2wbo2r
koterize,fo2wbo2h||rbu2ro1h
kotra,fo2wbo2re
kova,fo2wwe
kova,fo2wao1h
kovalamak,fo2wwelemfo2
kovalamak,fo2wao1elemfo2
kovan,fo2wwebo1
kovan,fo2wao1ebo1
kovançiçeği,fo2wao1ebo1 xu3bu2xu3ky
kovanotu,fo2wao1ebo1 ewbo2y
kovdurmak,fo2wao1dbu2rmfo2
koğdurmak,fo2wao1dbu2rmfo2
kovma,fo2wao1mh
koğma,fo2wao1mh
kovmak,fo2wao1mfo2
koğmak,fo2wao1mfo2
kovucu,fo2wao1bu2xu1y
koğucu,fo2wao1bu2xu1y
kovuk,fo2wao1wfo2
kovulmak,fo2wao1lmfo2
koğulmak,fo2wao1lmfo2
kovuş,fo2wao1wso3
koğuş,fo2wao1wso3
koy,fo2wy
koymak,fo2wbu2mfo2
koyu,fo2wbu2w
koyulaşdırmak,fo2wbu2wleso3dbu2rmfo2
koyulaşmak,fo2wbu2wleso3mfo2
Koyulhisar,fo2wbu2wlxzer
koyulmak,fo2wbu2wlmfo2
koyun,fo2wbu2wbo1
koyun,fo2wbu2bo1
koyungözü,fo2wbu2wbo1 kwro1y
koyuneti,fo2wbu2wbo1 ebo2y
koyunsarmaşığı,fo2wbu2wbo1 zermeso3bu2ao1y
koyunyılı,fo2wbu2wbo1 bu2bu2ly
koyuvermek,fo2wbu2wwbu2rmk
koza,fo2wro1h
kozak,fo2wro1efo2
kozalak,fo2wro1elefo2
Kozan,fo2wro1ebo1
Kozluca,fo2wro1lwxu1h
kozmoğrafya,fo2wro1mwao1refo1bu2e
kozmotik,fo2wro1mh||bo2bu2k
kozmopolit,fo2wro1mwbu3wlbu2bo2
köçek,kwxu3k
köfte,kwfo1bo2h
köftehor,kwfo1bo2h||xo1wr
köhne,khbo1h
kök,kwk
köklemek,kwklh||mk
köklenmek,kwklbo1mk
kökleşdirmek,kwklso3dbu2rml
kökleşmek,kwklso3mk
köklü,kwkly
köknar,kwkbo1er
köle,kwlh
kölelik,kwlh||lk
kölemen,kwlh||mbo1
kömür,kwmwr
kömür,kmwr
kömürcü,kwmwrxu1y
kömürcülük,kwmwrxu1bu2lk
kömürgözlü,kwmwrko7wro1ly
kömürsaçlı,kwmwrzexu3ly
köpek,kwbu3k
köpekayası,kwbu3k eo6bu2esy
köpekbalığı,kwbu3k bu1elbu2ao1y
köpekdişi,kwbu3k dbu2so3y
köpeklemek,kwbu3klh||mk
köpeklik,kwbu3klk
köpekmemesi,kwbu3k mmh||sy
köpoğlu,kwbu3k ewao1ly
köpoğluluk,kwbu3k ewao1lbu2lfo2
köprü,kwbu3rw
köprücü,kwbu3rwxu1y
köprücük,kwbu3rwxu1k
köprücülük,kwbu3rwxu1bu2lk
köpük,kwbu3wk
köpürmek,kwbu3wrmk
köpürtmek,kwbu3wrbo2mk
kör,kwr
körbarsak,kwrbu1eao1rzefo2
körboğaz,kwrbu1wao1ero1
körfez,kwrfo1ro1
körkandil,kwrfo2bo1dbu2l
körkaya,kwrfo2ebu2e
körkörüne,kwrkwrbu2bo1h
körkütük,kwrkwbo2wk
körleme,kwrlh||mh
körlemek,kwrlh||mk
körlenmek,kwrlbo1mk
körletmek,kwrlbo2mk
körlük,kwrlk
köroğlu,kwrewao1ly
körpe,kwrbu3h
körpelik,kwrbu3h||lk
körük,kwrwk
körüklü,kwrwkly
kös,kws
köse,kwsh
kösele,kwslh
köseleperdahı,kwslh||bu3rdexo1y
köseletaşı,kwslh||teso3y
köselik,kwslh||lk
kösem,kwsm
kösemen,kwsmbo1
köskös,kws||kws
köskötürüm,kws||kwbo2wrwm
köstebek,kwsbo2bu1k
köstebekilleti,kwsbo2bu1k albo2y
köstek,kwsbo2k
kösteklemek,kwsbo2klh||mk
kösteklenmek,kwsbo2klh||bo1mk
köstekli,kwsbo2klyy
köşe,kwso3h
köşekapmaca,kwso3h||fo2ebu3mh||xu1h
köşeleme,kwso3h||lmh
köşeli,kwso3h||ly
köşk,kwso3k
kötek,kwbo2k
kötü,kwbo2w
kötülemek,kwbo2wlh||mk
kötülenmek,kwbo2wlbo1mk
kötüleşdirmek,kwbo2wlso3dbu2rmk
kötüleşmek,kwbo2wlso3mk
kötülük,kwbo2wlk
kötürüm,ko7wbo2wrwm
kötürüm,kwbo2rwm
kötürümlük,kwbo2rwmlk
köy,kwy
Köyceğiz,kwbu2xu3kbo1
köydaş,kwbu2deso3
köylü,kwbu2ly
köylülük,kwbu2lbu2lbu2k
kredi,fo2rh||dy
krep,fo2rbu3
kriket,fo2rbu2bo2bu2k
kritik,fo2rbu2bo2bu2k
kristâl,fo2rbu2sbo2el
kriz,fo2rbu2ro1
krizantem,fo2rbu2ro1ebo1bo2h||m
kroki,fo2rwky
krom,fo2rwm
kronometre,fo2rwbo1wmbo2rh
kruvazör,fo2rwwero1wr
kubad,fo2wbu1ed
kubatlık,fo2wbu1edlfo2
kubbe,fo2bu1h
Kubbealtı,fo2bu1h||eo6lbo2y
kubbeli,fo2bu1h||ly
kubhiyât,fo2bu1xbu2ebo2
kubuh,fo2bu1x
kubûr,fo2wbu1wr
kucak,fo2wxu1efo2
kucakkucağa,fo2wxu1efo2 fo2wxu1eao1h
kucaklamak,fo2wxu1ebo1lemfo2
kudret,fo2drbo2
kudretli,fo2drbo2ly
kudretsiz,fo2drbo2sro1
kudretsizlik,fo2drbo2sro1lk
kudsî,fo2dsy
kudsiyet,fo2dsbu2bo2
kudurma,fo2wdwrmh
kudurmak,fo2wdwrmfo2
kudurtmak,fo2wdwrbo2mfo2
kudûm,fo2dwm
kudüm,fo2wdwm
kuduz,fo2wdwro1
kuduzböceği,fo2wdwro1bu1wxu1ky
kuduzotu,fo2wdwro1ewbo2y
kûfi,kwfo1y
kuğu,fo2wao1w
kukla,fo2wfo2le
kul,fo2wl
Kula,fo2wle
kula,fo2wle
kulaç,fo2wlexu1
kulaçlamak,fo2wlexu1lemfo2
kulağıdelik,fo2wleao1y dlbu2k
kulak,fo2wlefo2
kulaklı,fo2wlefo2ly
kulakotu,fo2wlefo2 ewbo2y
kulasaçlı,fo2wlesexu3ly
kulaksız,fo2wlefo2sro1
kulaktozu,fo2wlefo2 bo2wro1y
kulakyumşağı,fo2wlefo2 bu2wmso3eao1y
kule,fo2wlh
kule,fo2lh
kuleli,fo2wlh||ly
kulhânî,klxo1ebo1y
kulis,fo2wlbu2s
kullandırmak,fo2wllebo1dbu2rmfo2
kullanılmak,fo2wllebo1bu2lmfo2
kullanış,fo2wllebo1bu2so3
kullanışlı,fo2wllebo1bu2so3ly
kullanma,fo2wllebo1mh
kullanmak,fo2wllebo1mfo2
kulluk,fo2wllfo2
kulp,fo2wlbu3
Kulp,fo2wlbu1
kulplu,fo2wlbu3ly
kuluçka,fo2wlwxu3fo2h
kuluçka,fo2lwxu3fo2e
kuluncotu,fo2wlbo1xu1 ewbo2y
kulunç,fo2wlbo1xu1
kulübe,fo2wlwbu1h||
kulübe,klbu1h
kulüp,fo2wlwbu3
kulüp,fo2lwbu3
klüp,fo2wlwbu3
klüp,fo2lwbu3
kum,fo2wm
kumanda,fo2wmebo1de
kumandan,fo2wmebo1debo1
kumandanlık,fo2wmebo1debo1lfo2
kumanya,fo2wmebo1bu2h
kumar,fo2mer
kumar,fo2wmfo2r
kumarbaz,fo2merbu1ero1
kumarbaz,fo2wmerbu1ero1
kumarbazlık,fo2merbu1ero1lfo2
kumarcı,fo2merxu1y
kumarcı,fo2wmerxu1y
kumarcılık,fo2merxu1bu2lfo2
kumarhâne,fo2merxo1ebo1h
kumarhâne,fo2wmerxo1ebo1h
kumaş,fo2meso3
kumbara,fo2wmbu1ere
kumbaracı,fo2wmbu1erexu1y
kumbarahâne,fo2wmbu1erexo1ebo1h
kumcu,fo2wmxu1y
kumısyonculuk,fo2wmbu2sbu2wbo1xu1lbu2fo2
kumkeleri,fo2wm klry
kumkuma,fo2wmfo2wmh
kumkuma,fo2wmfo2wmh
kumlu,fo2wmly
kumluk,fo2wmlfo2
kumpanya,fo2wmbu3ebo1bu2h
kumral,fo2wmrel
kumrallık,fo2wmrellfo2
kumralsaçlı,fo2wmrel zexu1ly
kumralsakallı,fo2wmrel zefo2lly
kumru,fo2wmrw
kumru,fo2mry
kumsaati,fo2wm seabo2y
kumsal,fo2wmsel
kumsallık,fo2wmsellfo2
kundakcı,fo2wbo1defo2xu1y
kundaklamak,fo2wbo1defo2lemfo2
kundura,fo2wbo1drh
kunduracı,fo2wbo1dwrexu1y
kunduracılık,fo2wbo1dwrexu1bu2lfo2
kunduz,fo2wbo1dwro1
kunt,fo2wbo1bo2
kupa,fo2wbu3e
kupa,fo2wbu3h
kupkuru,fo2wbu3||fo2wrw
kupon,fo2wbu3wbo1
kur,fo2wr
kur’a,fo2rah
kurâbiye,fo2rebu1bu2h
kur’acı,fo2rah||xu1y
kurak,fo2wrefo2
kuraklık,fo2wrefo2lfo2
Kur’an,fo2reo6bo1
kurb,fo2rbu1
kurbağa,fo2wrbu1eao1e
kurbağacık,fo2wrbu1eao1exu1fo2
kurban,fo2rbu1ebo1
kurbanlık,fo2rbu1ebo1lfo2
kurbiyet,fo2rbu1bu2bo2
kurcalamak,fo2wrxu1elemfo2
kurdağzı,fo2wrbo2||eo6ao1ro1y
kurdayağı,fo2wrbo2 eo6bu2eao1y
kurdeşen,fo2wrdeo5so3bo1
kurdurmak,fo2wrdbu2rmfo2
kurekkemiği,kwrk kmbu2ko7y
kurk,fo2wrfo2
gurk,ao1wrfo2
kurmak,fo2wrmfo2
kurna,fo2wrbo1e
kurnaz,fo2wrbo1ero1
kurnazlık,fo2wrbo1ero1lfo2
kurra,fo2re
kurs,fo2wrs
kurs,fo2rz
kursak,fo2wrzefo2
kursak,fo2wrsefo2
kursaklı,fo2wrzefo2ly
kurşun,fo2wrso3wbo1
kurşunlanmak,fo2wrso3wbo1lebo1mfo2
kurşuncu,fo2wrso3wbo1xu1y
kurşûnî,fo2wrso3wbo1y
kurşunkalem,fo2wrso3wbo1 fo2lm
kurşunlamak,fo2wrso3wbo1lemfo2
kurşunlu,fo2wrso3wbo1ly
kurt,fo2wrbo2
kurtarılmak,fo2wrbo2erbu2lmfo2
kurtarmak,fo2wrbo2ermfo2
kurtbağrı,fo2wrbo2 bu1eao1ry
kurtboğan,fo2wrbo2 bu1wao1ebo1
kurtgidişi,fo2wrbo2 ko7bu2dbu2so3y
kurtkulağı,fo2wrbo2 fo2wleao1y
kurtlandırmak,fo2wrbo2lebo1dbu2rmfo2
kurtlanmak,fo2wrbo2lebo1mfo2
kurtlu,fo2wrbo2ly
kurtmasalı,fo2wrbo2 mezely
kurtpençesi,fo2wrbo2 bu3bo1xu3h||sy
kurttırnağı,fo2wrbo2 tyrbo1eao1y
kurtulma,fo2wrbo2wlmh
kurtulmak,fo2wrbo2wlmfo2
kurtuluş,fo2wrbo2wlso3
kurtyeniği,fo2wrbo2 bu2bo1bu2ky
kuru,fo2wrw
Kuruçay,fo2wry xu3ey
kurudan,fo2wrwdbo1
kuruhavuz,fo2wrwxwzo1
kurukahve,fo2wry fo2hwh
kurukahveci,fo2wry fo2hwh||xu1y
kurukemik,fo2wrwkmbu2k
kurukuruya,fo2wrwfo2wrwbu2h
kurulamak,fo2wrwlemfo2
kurulanmak,fo2wrwlebo1mfo2
kurulma,fo2wrwlmh
kurulmak,fo2wrwlmfo2
kurultay,fo2wrwlbo2ey
kuruluk,fo2wrwlfo2
kuruluş,fo2wrwlbu2so3
kurum,fo2wrwm
kuruma,fo2wrwmh
kurumak,fo2wrwmfo2
kurumlu,fo2wrwmly
kuruntu,fo2wrwbo1bo2y
kuruntulu,fo2wrwbo1bo2bu2ly
kurusoğuk,fo2wrwzwao1wfo2
kuruş,ao1rwso3
kuruşluk,ao1rwso3lfo2
kurut,fo2wrwbo2
kurutma,fo2wrwbo2mh
kurutmak,fo2wrwbo2mfo2
kurutulmak,fo2wrwbo2bu2lmfo2
kusdurmak,fo2wzdbu2rmfo2
kusdurucu,fo2wzdbu2rbu2xu1y
kuskus,fo2wsfo2ws
kusmak,fo2wzmfo2
kusmuk,fo2wzmwfo2
kusûr,fo2zwr
kusurlu,fo2zwrly
kusursuz,fo2zwrsro1
kusvâ,fo2zwy
kuş,fo2wso3
Kuşadası,fo2wso3||eo6desy
kuşak,fo2wso3efo2
kuşakcı,fo2wso3efo2xu1y
kuşaklama,fo2wso3efo2lemh
kuşaklamak,fo2wso3efo2lemfo2
kuşanmak,fo2wso3ebo1mfo2
kuşanmak,fo2wso3ebo1mfo2
kuşat,fo2wso3ebo2
kuşatmak,fo2wso3ebo2mfo2
kuşbaşı,fo2wso3 bu1eso3y
kuşbaz,fo2wso3bu1ero1
kuşbazlık,fo2wso3bu1ero1lfo2
kuşbeyi,fo2wso3 bu1ky
kuşburnu,fo2wso3||bu1wrbo1y
kuşcu,fo2wso3xu1y
kuşdili,fo2wso3 dbu2ly
kuşhâne,fo2wso3xo1ebo1h
kuşilleti,fo2wso3 albo2y
kuşkanadı,fo2wso3 fo2ebo1edy
kuşkirazı,fo2wso3 krero1y
kuşkonmaz,fo2wso3||fo2wbo1mero1
kuşku,fo2wso3fo2w
kuşkulanmak,fo2wso3fo2wlebo1mfo2
kuşlokumu,fo2wso3 lwfo2wmy
kuşluk,fo2wso3lfo2
kuşpalazı,fo2wso3 bu3elero1y
kuşsütü,fo2wso3 swdy
kuşüzümü,fo2wso3 ewro1wmy
kutan,fo2wbo2ebo1
kutan,fo2wtebo1
kutbî,fo2tbu1y
kutbiyet,fo2tbu1bu2bo2
kutlanmak,fo2wbo2lebo1mfo2
kutlu,fo2wbo2ly
kutu,fo2wtw
kutu,fo2wbo2y
kutup,fo2tbu1
kutur,fo2tr
kutur,fo2bo2r
kuvâ,fo2we
kuvve,fo2wh
kuvvet,fo2wbo2
kuvvetlendirmek,fo2wbo2lbo1dbu2rmk
kuvvetlenmek,fo2wbo2lbo1mk
kuvvetli,fo2wbo2ly
kuvvetsiz,fo2wbo2sro1
kuvvetsizlik,fo2wbo2sro1lk
kuyruk,fo2wbu2rwfo2
kuyrukacısı,fo2wbu2rwfo2 eo6xu1bu2sy
kuyruklu,fo2wbu2rwfo2ly
kuyruksokumu,fo2wbu2rwfo2 zwkwmy
kuyruksuz,fo2wbu2rwfo2sro1
kuyruküzeri,fo2wbu2rwfo2 ewro1ry
kuyrukyağı,fo2wbu2rwfo2 bu2eao1y
kuytu,fo2wbu2bo2w
kuyu,fo2wbu2w
kuyucu,fo2wbu2wxu1y
kuyuculuk,fo2wbu2wxu1bu2lfo2
kuyûd,fo2bu2wd
kuyûdât,fo2bu2wdebo2
kuyumcu,fo2wbu2wmxu1y
kuyumculuk,fo2wbu2wmxu1bu2lfo2
kuzeh,fo2ro1x
kuzen,fo2wro1h||bo1
kuzey,fo2wro1h||y
kuzgun,fo2wro1ao1wbo1
kuzgunayağı,fo2wro1ao1wbo1 eo6bu2eao1y
kuzguncuk,fo2wro1ao1wbo1xu1fo2
Kuzgundenizi,fo2wro1ao1wbo1 dko3ro1y
kuzgunekmeği,fo2wro1ao1wbo1 ebo2mky
kuzgûni,fo2wro1ao1wbo1y
kuzgunkılıcı,fo2wro1ao1wbo1 fo2lbu2xu1y
kuzin,fo2wro1bu2bo1
kuzu,fo2wro1w
kuzuçıbanı,fo2wro1wxu3bu2bu1ebo1y
kuzudişi,fo2wro1wdbu2so3y
kuzukestânesi,fo2wro1y ksbo2ebo1h||sy
kuzuköpeği,fo2wro1wkwbu3ky
kuzukulağı,fo2wro1wfo2wleao1y
kuzulamak,fo2wro1wlemfo2
kuzulu,fo2wro1wly
kuzupalamudu,fo2wro1wbu2elemwdy
küçücük,kwxu3wxu1k
küçük,kwxu1wk
küçük,kwxu3wk
küçüklemek,kwxu3wklmk
küçüklü,kwxu3wkly
küçüklük,kwxu3wklk
küçülmek,kwxu3wlmk
küçültmek,kwxu3wlbo1mk
küdûret,kdwrbo2
küf,kwfo1
küfe,kwfo1h
küfeci,kwfo1h||xu1y
küflenmek,kwfo1lbo1mk
küfletmek,kwfo1lbo2mk
küfeli,kwfo1h||ly
küfelik,kwfo1h||lk
küflü,kwfo1ly
küfran,kfo1rebo1
küfür,kfo1r
küfürküfür,kwfo1wr||kwfo1wr
küfüv,kfo1w
küheylan,khbu2lebo1
kükremek,ko7wkrh||mk
kükürt,kwkwrbo2
kükürtçiçeği,kwkwrbo2 xu3bu2xu3ky
kükürtlü,kwkwrbo2ly
kül,kwl
kül,kl
külah,kleh
külâhcı,klehxu1y
külâhlı,klehly
külbastı,kwlbu1ezdy
külbastılık,kwlbu1ezdbu2lfo2
külçe,kwlxu3h
külek,kwlk
külfet,klfo1bo2
külfetli,klfo1bo2ly
külfetsiz,klfo1bo2sro1
külhan,klxo1ebo1
külhanbeyi,klxo1ebo1 bu1ky
külkedisi,kwl||kdbu2sy
külleme,kwllh||mh||
külleme,kwllmh
Külli,kly
külliyât,klbu2ebo2
külliyen,klbu1eo44
külliyet,klbu2bo2
külliyetli,klbu2bo2ly
küllü,kwlly
küllüsü,kwlly||zw
külrengi,kwl rbo1ky
külte,kwlbo2h||
külte,klbo2h
kültür,kwlbo2wr
külüstür,kwlwsbo2wr
kümbelti,kwmbu1lbo2y
küme,ko7wmh
kümes,kwms
künde,kwbo1dh
künh,kbo1h
künk,kwbo1k
künk,kbo1k
künye,kbo1bu2h
küp,kwbu3
küpe,kwbu3h
küpeçiçeği,kwbu3h||xu3bu2bu2xu3ky
küpeli,kwbu3h||ly
küpeşte,kwbu3so3bo2h
küphâne,kwbu3xo1ebo1h
küplük,kwbu3lk
küre,kwrh
küre,krh
kürek,kwrh||k
kürekçi,kwrkxu3y
kürekkemiği,kwrk kmbu2ko7y
kürekli,kwrkly
kürelemek,kwrh||lmk
küremek,kwrh||mk
kürevi,krwy
küreviyat,krwbu2ebo2
küreyvât,krbu2webo2
küreyve,krbu2wh
kürk,kwrk
kürkçü,kwrkxu3y
kürklü,kwrkly
kürsü,krsy
kürsütası,krsy teso3y
kürt,krd
