aba,eo6bu1e
zevklendir,do1wfo2lbo1dyr
zevzeklen,ro1wro1klbo1
ziftle,ro1yfo1bo2lh||
ziftlen,ro1yfo1bo2lbo1
zincirle,ro1bo1xu1yrl
zincirlen,ro1bo1xu1yrlbo1
ziyadeleş,ro1yedh||lso3
ziyadeleşdir,ro1yedh||lso3dyr
ziynetle,ro1ybo1bo2lh||
ziynetlen,ro1ybo1bo2lbo1
zonkla,ro1wbo1fo2le
zorla,ro1wlh||
zıbar,ro1ybu1er
zıkkımlan,ro1fo2wmlebo1
zımbala,ro1ymbu1ele
zımbalat,ro1ymbu1elebo2
zıngırda,ro1ybo1ao1yrde
zıngırdat,ro1ybo1ao1yrdebo2
zırılda,ro1yrylde
çabala,xu3ebu1ele
çakdır,xu3efo2dyr
çakışdır,xu3efo2so3dyr
çaldır,xu3eldyr
çalka,xu3elfo2e
çalkan,xu3elfo2ebo1
çalkat,xu3elfo2ebo2
çalın,xu3elybo1
çalış,xu3elyso3
çalıştır,xu3elyso3dyr
çalışıl,xu3elyso3yl
çamurla,xu3emwrle
çamurlan,xu3emwrlebo1
çamurlat,xu3emwrlebo2
çangırda,xu3ebo1ao1yrde
çapaklan,xu3ebu3efo2lebo1
çapala,xu3ebu3ele
çapalan,xu3ebu3elebo1
çarp,xu3erbu3
çarpdır,xu3erbu3dyr
çarpıl,xu3erbu3yl
çarpış,xu3erbu3yso3
çarpıştır,xu3erbu3yso3dyr
çatdır,xu3ebo2dyr
çatla,xu3ebo2le
çatlat,xu3ebo2lebo2
çatış,xu3ebo2yso3
çatıştır,xu3ebo2yso3dyr
çayırla,xu3eyyr||le
çayırlat,xu3eyyrlebo2
çağrıl,xu3eao1ryl
çağrış,xu3eao1ryso3
çağılda,xu3eao1lde
çağır,xu3eao1r
çağırt,xu3eao1rbo2
çekdir,xu3kdyr
çekeme,xu3kh||mh||
çekil,xu3kyl
çekirdeklen,xu3kyrd||klh||bo1
çekiş,xu3kyso3
çekişdir,xu3kyso3dyr
çektil,xu3bo1bo2yl
çel,xu3l
çemberle,xu3bo1bu1r||lh||
çengelle,xu3bo1ko7llh||
çent,xu3bo1bo2
çentikle,xu3bo1bo2yklh||
çerezlen,xu3rro1lh||bo1
çerçevele,xu3rxu3ywh||lh||
çerçevelet,xu3rxu3ywh||lh||bo2
çetinleş,xu3bo2ybo1lh||so3
çevir,xu3wyr
çevirt,xu3wyrbo2
çevril,xu3wyryl
çeyrekle,xu3yrh||klh||
çeşitle,xu3so3ybo2lh||
çeşnilen,xu3so3bo1ylh||bo1
çiftele,xu3yfo1bo2h||lh||
çiftleş,xu3yfo1bo2lh||so3
çiftleştir,xu3yfo1bo2lso3dyr
çillen,xu3yllh||bo1
çimdikle,xu3ymdyklh||
çimenlendir,xu3ymbo1lbo1dyr
çimlen,xu3ymlh||bo1
çingeneleş,xu3bo1ko7ebo1h||lso3
çintil,xu3bo1bo2yl
çirişle,xu3yryso3lh||
çirişlen,xu3yryso3lh||bo1
çirkinle,xu3yrkybo1lh||
çirkinlen,xu3yrkybo1lbo1
çirkinlet,xu3yrkybo1lbo2
çirkinleş,xu3yrkybo1lso3
çirkinleşdir,xu3yrkybo1lso3dyr
çirkinse,xu3yrkybo1sh||
çisele,xu3ysh||lh||
çivile,xu3ywylh||
çivilen,xu3ywylh||bo1
çivitle,xu3ywybo2lh||
çizdir,xu3yro1dyr
çizil,xu3yro1yl
çiğne,xu3yko7bo1h||
çiğnen,xu3yko7bo1h||bo1
çocuklaş,xu3wxu1wfo2leso3
çomakla,xu3wmefo2le
çoğal,xu3wao1el
çoğalt,xu3wao1elbo2
çoğumsa,xu3wao1mse
çubukla,xu3wbu1wfo2le
çukurlan,xu3wfo2wrlebo1
çukurlaş,xu3wfo2wrleso3
çulla,xu3wlle
çullan,xu3wllebo1
çök,xu3wk
çökdür,xu3wkdwr
çökert,xu3wkrbo2
çömel,xu3wml
çömelt,xu3wmlbo2
çöplen,xu3wbu3lh||bo1
çöreklen,xu3wrh||klh||bo1
çözdür,xu3wro1dwr
çözül,xu3wro1wl
çürü,xu3wrw
çürüt,xu3wrwbo2
çürütül,xu3wrwbo2wl
çık,xu3yfo2
çıkart,xu3yfo2erbo2
çıkarıl,xu3yfo2eryl
çıkınla,xu3yfo2ybo1le
çıkışdır,xu3yfo2yso3dyr
çınla,xu3ybo1le
çırala,xu3yrele
çırp,xu3yrbu3
çırpdır,xu3yrbu3dyr
çırpın,xu3yrbu3ybo1
çırpış,xu3yrbu3yso3
çırpışdır,xu3yrbu3yso3dyr
öde,ewdh||
öden,ewdh||bo1
ödeş,ewdh||so3
öfkelen,ewfo1kh||lbo1
öksü,ewksw
öksür,ewkswr
ölç,ewlxu1
önle,ewlo5o3lh||
öp,ewbu3
öptür,ewbu3bo2wr
örsele,ewrsh||l
örselen,ewrsh||lbo1
ört,ewrbo2
örtün,ewrbo2wbo1k
örül,ewrwl
öt,ewbo2
öv,ewk
övüt,ewkwbo2
özle,ewro1lh||
özlen,ewro1lbo1
özleş,ewro1lso3
öğ,ewk
öğren,ewko7rbo1
öğren,ewko7rh||bo1
öğret,ewko7rh||bo2
öğür,ewko7wr
öğütle,ewko7wbo2lh||
üfle,ewfo1lh||
üfür,ewfo1wr
üleşdir,ewlso3dyr
ümidlen,emydlbo1
ünle,ewlo5o3lh||
üre,ewrh||
üret,ewrh||bo2
ürk,ewrk
ürküt,ewrkwbo2
ürper,ewrbu3r
ürü,ewrw
üstele,ewsbo2h||lh||
üstünle,ewsbo2wbo1lh||
üt,ewbo2
ütüle,ewbo2wl
üz,ewro1
üzül,ewro1l
üçle,ewxu1lh||
üşü,ewso3w
üşür,ewso3wr
üşüş,ewso3wso3
ıkın,efo2ybo1
ılı,eylyfo2
ılıt,eylybo2
ılışdır,eylyso3dyr
ımızgan,emyro1ao1ebo1
ısla,eyzle
ıslan,eyzlebo1
ıslat,eyzlebo2
ısmarla,ezmerle
ısın,eyzybo1
ısır,eyzyr
ısırt,eyzyrbo2
ısırıl,eyzyrl
ısıt,esybo2
ızzetle,aro1bo2lh||
ızzetlen,aro1bo2lbo1
ışı,eyso3y
ışıla,eyso3yle
ışılat,eyso3ylebo2
ışılda,eyso3ylde
şahlan,so3exo1lebo1
şakalaş,so3efo2eleso3
şakla,so3efo2le
şaklat,so3efo2lebo2
şakulla,so3efo2wlle
şakı,so3efo2y
şakırda,so3efo2yrde
şakırdat,so3efo2yrdebo2
şapla,so3ebu3le
şaplat,so3ebu3lebo2
şapırda,so3ebu3yrde
şapırdat,so3ebu3yrdebo2
şartet,so3rt eybo2
şartla,so3rtle
şartlaş,so3rtleso3
şarılda,so3erylde
şaş,so3eso3
şaşır,so3eso3yr
şa’şaalandır,so3aso3ah||lebo1dyr
şa’şalandır,so3aso3ah||lebo1dyr
şekerle,so3krl
şekerlen,so3krlbo1
şenlen,so3bo1lbo1
şenlendir,so3bo1lbo1dyr
şereflen,so3rfo1lbo1
şereflendir,so3rfo1lbo1dyr
şerhet,so3rx eybo2
şetaretlendir,so3terbo2lbo1dyr
şetmet,so3bo2m eybo2
şiddetlendir,so3dbo2lbo1dyr
şişir,so3yso3yr
şişiril,so3yso3yryl
şişirt,so3yso3yrbo2
şişle,so3yso3lh||
şişlen,so3yso3lh||bo1
şulelen,so3alh||lbo1
şulelendir,so3alh||lbo1dyr
şübhelen,so3bu1hh||lbo1
şübhelendir,so3bu1hh||lbo1dyr
şümullendir,so3mwllbo1dyr
şımar,so3ymer
şımart,so3ymerbo2
şımartıl,so3ymerbo2yl
şırla,so3yrle
şırılda,so3yrylde
