â,eo6
mâ,me
mâ,me
maâbid,maebu1d
maâbir,maebu1r
maâd,maed
mâadâ,meade
maâdin,maedbo1
maalesef,ma eleo5sfo1
maalmemnûniye,ma elmmbo1wbo1bu2h
maânî,maebo1y
maarif,maerfo1
maârif,maerfo1
maâş,maeso3
maatteessüf,ma elbo2eo5sfo1
ma'âyib,maeybu1
maazâlik,ma do1lk
maâzallah,maedo1 eellh
mâbad,mebu1ad
mâba'dut-tabîa,mebu1adeltbu1bu2ah
mâba'duttabîiyye,mebu1adeltbu1bu2abu2h
mabed,mabu1d
ma'ber,mabu1r
mâbeyn,mebu1bu2bo1
mabud,mabu1wd
mâcera,mexu1re
mâceraperest,mexu1rebu3rsbo2
maceraperestî,mexu1rebu3rsbo2y
mâdâmülhayat,medemelxbu2ebo2
madde be madde,medh bu1medh
maddî,medy
maddiyet,medybo2
maddiyye,medyh
mâde,medh
mâdelet,madlbo2
madeniyyât,madbo1bu2ebo2
mâder,medr
maderî,medry
mâderzâd,medrro1ed
mâdiyân,medyebo1
madûd,madwd
mâdum,madwm
mâdumiyet,madwmbu2bo2
mâdun,medwbo1
mâfevk,mefo1wfo2
mafsal,mfo1zl
magâre,mao1erh
mağâk,mao1ek
mağâzî,mao1ero1y
mağbûn,mao1bu1wbo1
mağdûr,mao1dwr
mağduriyet,mao1dwrybo2
mağfiret,mao1fo1rbo2
mağfur,mao1fo1wr
mağlata,mao1lth
mağlub,mao1lwbu1
mağmûm,mao1mwm
mağrib,mao1rbu1
mağrur,mao1rwr
mağrûrane,mao1rwrebo1h
mağsub,mao1zwbu1
mağşuş,mao1so3wso3
mağz,mao1ro1
mağzûb,mao1zo1wbu1
mâh,meh
mahabbet,mxbu1bo2
mahâfil,mxefo1l
mahâkim,mxekm
mahal,mxl
mahall,mxl
mahallî,mxly
mahalliye,mxlbu2h
mâhâne,mehebo1h
mahâret,mherbo2
mâhasal,mexzl
mahâsin,mxesbo1
mâhazar,mexzo1r
mahâzin,mxo1ero1bo1
mahâzîr,mxedo1yr
mahbes,mxbu1s
mahbûb,mxbu1wbu1
mahbus,mxbu1ws
mahcûb,mxxu1wbu1
mahcûbiyet,mxxu1wbu1bu2bo2
mahcûz,mxxu1wto1
mahdud,mxdwd
mahdum,mxo1dwm
mâhe,mehh
mahfaza,mxfo1to1h
mahfî,mxo1fo1y
mahfil,mxfo1l
mahfiyyen,mxo1fo1bu2e
mahfuz,mxfo1wto1
mâh-ı nev,meh bo1w
mâh-ı sipihr,meh sbu3hr
mâhî,mehy
mahir,mehr
mahiyet,mehbu2bo2
mahkûk,mxkwk
mahkum,mxkwm
mahlas,mxo1lz
mahlû,mxo1lwa
mahluk,mxo1lwfo2
mahlul,mxlwl
mahlut,mxo1lwt
mahmûd,mxmwd
mahmul,mxmwl
mahmur,mxo1mwr
mâhpâre,meh bu3erh
mahrec,mxo1rxu1
mahrem,mxrm
mâhru,mehrw
mahruk,mxrwfo2
mahrûkat,mxrwfo2ebo2
mahrum,mxrwm
mahrumiyet,mxrwmbu2bo2
mahrut,mxo1rwt
mahsûb,mxswbu1
mahsûl,mxzwl
mahsur,mxzwr
mahsus,mxo1zwz
mahsûs,mxo1zwz
mahşer,mxso3r
mâhtâb,mehbo2ebu1
mahtûm,mxo1bo2wm
mahtût,mxo1twt
mahv,mxw
mahz,mxzo1
mahzar,mxzo1r
mahzun,mxro1wbo1
mahzûnane,mxro1wbo1ebo1h
mahzur,mxdo1wr
mahzûzat,mxto1wto1ebo2
mâî,mebo5y
mâ-i mukattar,mec mfo2tr
mâide,mebo5dh
mâil,mebo5l
maîşet,mabu2so3bo2
maiyyet,mabu2bo2
makâbir,mfo2ebu1r
mâkabl,mefo2bu1l
mâkablettârih,mefo2bu1l elbo2eryxo1
mak'ad,mfo2ad
makâl,mfo2el
makam,mfo2em
makâmat,mfo2emebo2
makarr,mfo2r
makâsıd,mfo2ezd
makber,mfo2bu1r
makbere,mfo2bu1rh
makbul,mfo2bu1wl
makbuz,mfo2bu1wzo1
makdem,mfo2dm
makdur,mfo2dwr
makes,maks
makhûr,mfo2hwr
mâkiyan,mekbu2ebo1
makrun,mfo2rwbo1
maksad,mfo2zd
maksûd,mfo2zwd
makta,mfo2ta
maktel,mfo2bo2l
maktû,mfo2twa
maktül,mfo2bo2wl
mâkul,mafo2wl
makûlat,mafo2wlebo2
makûle,mfo2wlh
makûs,makws
mal,mel
mâlâmâl,melemel
mâlî,mely
mâlihulya,mely xo1wlbu2e
mâlik,melk
mâlikiyet,melkbu2bo2
maliye,melbu2h
malûl,malwl
malûlen,malwle
malûlîn,malwlbu2bo1
malûm,malwm
malûmat,malwmebo2
malûmatfurûş,malwmebo2 fo1rwso3
mâmafih,ma mefo1bu2h
mâmelek,memlk
mamûl,mamwl
mamûlat,mamwlebo2
mamûr,mamwr
mamûre,mamwrh
mamûriyet,mamwrybo2
mana,mabo1y
manen,mabo1e
mânend,mebo1bo1d
manevî,mabo1wy
maneviyat,mabo1wyebo2
mani,mabo1y
ma'ni,mabo1y
mânia,mebo1ah
manidar,mabo1y der
mansıb,mbo1zbu1
mansıbdar,mbo1zbu1der
mansur,mbo1zwr
mantıkan,mbo1tfo2e
mantıkî,mbo1tfo2y
mantıkiyyûn,mbo1tfo2bu2wbo1
manzar,mbo1to1r
manzara,mbo1to1rh
manzum,mbo1to1wm
manzûmât,mbo1to1wmebo2
manzûme,mbo1to1wmh
manzur,mbo1to1wr
mâr,mer
maraz,mrzo1
ma'raz,marzo1
marazî,mrzo1y
ma'reke,markh
mârgîr,merko7bu2r
marifet,marfo1bo2
mariz,mryzo1
mârpîç,merbu3bu2xu3
maruf,marwfo1
marûf,marwfo1
maruz,marwzo1
maruzat,marwzo1ebo2
mâsabak,mesbu1fo2
masâri,mzera
masârif,mzerfo1
masdar,mzdr
mâsebak,mesbu1fo2
mashara,msxo1rh
mâsiva,meswy
masiyet,mazbu2bo2
maskat,msfo2t
maskat-ı re's,msfo2t reo5s
maslahat,mzlxbo2
maslahatgüzar,mzlxbo2 ko7ro1er
masnû,mzbo1wa
masraf,mzrfo1
masrû,mzrwa
masrûf,mzrwfo1
mass,mz
mâst,mesbo2
mastaba,mztbu1h
masum,mazwm
masumane,mazwmebo1h
masume,mazwmh
masumiyet,mazwmbu2bo2
masûn,mzwbo1
mâşe,meso3h
maşer,maso3r
maşerî,maso3ry
ma'şerî,maso3ry
mâşıta,meso3th
mâşî,meso3y
mâşiyen,meso3bu2e
maşrık,mso3rfo2
maşûk,maso3wfo2
maşuka,maso3wfo2h
matbaa,mtbu1ah
matbah,mtbu1xo1
matbû,mtbu1wa
matbûat,mtbu1waebo2
mâtem,mebo2m
mâtemdar,mebo2mder
mâtemî,mebo2my
mâtemserâ,mebo2msre
mâtemzede,mebo2m ro1dh
matla,mtla
matlab,mtlbu1
matlub,mtlwbu1
matlûb,mtlwbu1
matrûd,mtrwd
matrûş,mtrwso3
matuf,matwfo1
matûh,mabo2wh
matûhe,mabo2whh
mâvaka,mewfo2a
mâverâ,mewre
mavtın,mwtbo1
mâye,meyh
mâyedar,meyh der
mâyi,meya
mayûb,mabu2wbu1
mazanna,mto1bo1h
mazarrat,mzo1rbo2
mazarrât,mzo1rebo2
mazbata,mzo1bu1th
mazbut,mzo1bu1wt
mazbutat,mzo1bu1wtebo2
mazeret,mado1rbo2
mazerethâh,mado1rbo2 xo1weh
mazhar,mto1hr
mâzi,mezo1y
mazlum,mto1lwm
mazlumâne,mto1lwmebo1h
mazlûmiyet,mto1lwmbu2bo2
mazmaza,mzo1mzo1h
mazmun,mzo1mwbo1
maznun,mto1bo1wbo1
mazrub,mzo1rwbu1
mazruf,mto1rwfo1
mâzu,mero1w
mazûl,maro1wl
mazur,mado1wr
meâb,meo6bu1
meâd,maed
meâhiz,meo6xo1do1
meâl,meo6l
meâric,maerxu1
meâsî,maezy
meâyib,maeybu1
mebâd,mbu1ed
mebâdâ,mbu1ede
mebâdî,mbu1edy
mebâhis,mbu1exbo3
mebânî,mbu1ebo1y
mebde',mbu1deo5
mebde-i tarih,mbu1deo5 bo2eryxo1
mebhas,mbu1xbo3
mebhûs,mbu1xwbo3
mebhût,mbu1hwbo2
meblağ,mbu1lao1
mebnâ,mbu1bo1y
mebnî,mbu1bo1y
mebsût,mbu1swt
mebsûten,mbu1swte
mebus,mbu1awbo3
mebzûl,mbu1do1wl
mebzûlen,mbu1do1wle
mebzûliyet,mbu1do1wlbu2bo2
mecâl,mxu1el
mecâlis,mxu1els
mecâmi,mxu1ema
mecânîn,mxu1ebo1bu2bo1
mecbûr,mxu1bu1wr
mecbûrî,mxu1bu1wry
mecbûriyet,mxu1bu1wrybo2
meccânen,mxu1ebo1e
meccânî,mxu1ebo1y
mecd,mxu1d
mecelle,mxu1lh
mechûl,mxu1hwl
mechûlât,mxu1hwlebo2
mechûliyet,mxu1hwlbu2bo2
mechûlünneseb,mxu1hwl elbo1sbu1
mecîd,mxu1bu2d
meclis,mxu1ls
meclisefrûz,mxu1ls efo1rwro1
meclûb,mxu1lwbu1
mecma',mxu1ma
mecmû',mxu1mwa
mecmûa,mxu1mwah
mecmûan,mxu1mwae
mecnûn,mxu1bo1wbo1
mecnûnâne,mxu1bo1wbo1ebo1h
mecrâ,mxu1re
mecrûh,mxu1rwx
mecrûhîn,mxu1rwxbu2bo1
mec'ûl,mxu1awl
mecûsî,mxu1wsy
meczûb,mxu1do1wbu1
medâfin,mdefo1bo1
medâr,mder
medâric,mderxu1
medâris,mders
medd,md
meddâh,mdex
meded,mdd
mededhâh,mddxo1weh
mededkâr,mddker
mededres,mddrs
medenî,mdbo1y
medeniyyet,mdbo1bu2bo2
medfa,mdfo1a
medfen,mdfo1bo1
medfû,mdfo1wa
medfûn,mdfo1wbo1
medh,mdx
medhal,mdxo1l
medhaldâr,mdxo1lder
medhiye,mdxbu2h
medhiyyât,mdxbu2ebo2
medhûş,mdhwso3
medîd,mdyd
medîde,mdydh
medîha,mdyxh
medîhagû,mdyxh ko7w
medîne,mdybo1h
medînetünnebî,mdybo1ho2 elbo1bu1y
medînetüsselam,mdybo1ho2 elslem
medlûl,mdlwl
medresevî,mdrswy
medrûs,mdrws
med'uv,mdaw
med'uvvîn,mdawybo1
medyûn,mdywbo1
mefâhîm,mfo1ehbu2m
mefâhir,mfo1exo1r
mefâsıl,mfo1ezl
mefâtih,mfo1ebo2bu2x
mefhar,mfo1xo1r
mefhum,mfo1hwm
mefkûd,mfo1fo2wd
mefkûre,mfo1kwrh
mefkûrevî,mfo1kwrwy
meflûc,mfo1lwxu1
meflûciyet,mfo1lwxu1bu2bo2
mefrûş,mfo1rwso3
mefrûşat,mfo1rwso3ebo2
mefrûz,mfo1rwro1
mefrûz,mfo1rwzo1
meftûh,mfo1bo2wx
meftûn,mfo1bo2wbo1
meftûniyet,mfo1bo2wbo1bu2bo2
meger,mko7r
meges,mko7s
meğâk,mao1ek
meh,mh
mehâbet,mhebu1bo2
mehâlik,mhelk
mehâr,mher
mehaz,meo5xo1do1
mehbil,mhbu1l
mehd,mhd
mehekk,mxk
mehîb,mhbu2bu1
mehl,mhl
mehleke,mhlkh
mehlikâ,mh lfo2e
mehpare,mh bu3erh
mehpeyker,mh bu3bu2kr
mehr,mhr
mehrû,mhrw
mehtâb,mhbo2ebu1
mehûz,meo5xo1wdo1
mehveş,mhwso3
mekân,mkebo1
mekâre,mkerh
mekârim,mkerm
mekâtib,mkebo2bu1
mekâtîb,mkebo2bu2bu1
mekâtib-i âliye,mkebo2bu1 aelbu2h
mekâtib-i askeriye,mkebo2bu1 askryh
mekhûl,mkxwl
meknûn,mkbo1wbo1
mekr,mkr
mekrûh,mkrwh
meks,mkbo3
meksur,mkswr
mekşûf,mkso3wfo1
mekteb,mkbo2bu1
mekteb-i âlî,mkbo2bu1 aely
mekteb-i harbiye,mkbo2bu1 xrbu1bu2h
mekteb-i ibtidâî,mkbo2bu1 ebu1bo2debo5y
mekteb-i i'dâdî,mkbo2bu1 eadedy
mekteb-i rüşdî,mkbo2bu1 rso3dy
mekteb-i sultânî,mkbo2bu1 sltebo1y
mektep,mkbo2bu1
mektub,mkbo2wbu1
mektûbat,mkbo2wbu1ebo2
mektûbî,mkbo2wbu1y
mektûm,mkbo2wm
melabe,mlabu1h
melâbis,mlebu1s
melah,mlxo1
melahat,mlexbo2
melâhide,mlexdh
melâik,mlebo5k
melâike,mlebo5kh
melâl,mlel
melanet,mlabo1bo2
melce,mlxu1eo5
melekât,mlkebo2
meleke,mlkh
meleksîmâ,mlk sbu2me
melekût,mlkwbo2
melfûfen,mlfo1wfo1e
melhûz,mlxwto1
melik,mlk
mellah,mlex
melsûk,mlzwfo2
melûf,meo5lwfo1
melun,mlawbo1
memâlik,mmelk
memât,mmebo2
memduh,mmdwx
memer,mmr
memhûr,mmhwr
memleket,mmlkbo2
memlûk,mmlwk
memnû,mmbo1wa
memnûa,mmbo1wah
memnûiyet,mbo1wabu2bo2
memnun,mmbo1wbo1
memnûn,mmbo1wbo1
memnuniyet,mmbo1wbo1bu2bo2
memûl,meo5mwl
memur,meo5mwr
memurîn,meo5mwrybo1
memûriyet,meo5mwrybo2
memzuc,mmro1wxu1
men,mbo1
men',mbo1a
menâbi',mbo1ebu1a
menâfi',mbo1efo1a
menâkıb,mbo1efo2bu1
menâm,mbo1em
menâre,mbo1erh
menâsıb,mbo1ezbu1
menâtık,mbo1etfo2
menâzır,mbo1eto1r
menâzil,mbo1ero1l
menba,mbo1bu1a
menfâ,mbo1fo1y
menfaat,mbo1fo1abo2
menfaatperest,mbo1fo1abo2 bu3rsbo2
menfez,mbo1fo1do1
menfî,mbo1fo1y
menfur,mbo1fo1wr
menhî,mbo1hy
menhiyat,mbo1hbu2ebo2
menhus,mbo1xws
meni,mbo1y
menî,mbo1y
menî',mbo1bu2a
menkabe,mbo1fo2bu1h
menkûha,mbo1kwxh
menkul,mbo1fo2wl
menkûş,mbo1fo2wso3
mensûb,mbo1zwbu1
mensûbîn,mbo1zwbu1bu2bo1
mensubiyet,mbo1zwbu1bu2bo2
mensûc,mbo1swxu1
mensûcât,mbo1swxu1ebo2
mensûh,mbo1swxo1
mensûr,mbo1bo3wr
menşe,mbo1so3e
menşur,mbo1so3wr
menus,meo5bo1ws
menût,mbo1wt
menzil,mbo1ro1l
menzilgâh,mbo1ro1lko7eh
mera,mray
merâkiz,mrekro1
merâm,mrem
merâret,mrerbo2
merâsî,mrebo3y
merâsim,mresm
merâtib,mrebo2bu1
merbut,mrbu1wt
merbûtiyet,mrbu1wtbu2bo2
mercân,mrxu1ebo1
merci,mrxu1a
merd,mrd
merdâne,mrdebo1h
merdiven,bo1rdbu1ebo1
merdûd,mrdwd
merdum,mrdm
merdüm,mrdm
merdümek,mrdmk
merdümgiriz,mrmko7ryro1
merdümhar,mrdm xo1wer
merdümî,mrdmy
meremmet,mrmbo2
merg,mrko7
mergub,mrao1wbu1
merhale,mrxlh
merhamet,mrxmbo2
merhem,mrhm
merhemsâz,mrhmsero1
merhûm,mrxwm
merhûme,mrxwmh
merhun,mrhwbo1
mer'î,mrbo5y
merih,mryxo1
merkad,mrfo2d
merkeb,mrkbu1
merkum,mrfo2wm
merkûz,mrkwro1
mermi,mrmy
mermûz,mrmwro1
merrât,mrebo2
merre,mrh
mersiye,mrbo3bu2h
mertebe,mrbo2bu1h
merzagî,mrro1ao1y
merzüban,mrro1bu1ebo1
mesâ,mse
mesâcid,msexu1d
mesafe,msefo1h
mesâha,msexh
mesai,mseay
mesâib,mzebo5bu1
mesâil,msebo5l
mesâkin,msekbo1
mesâkîn,msekbo1
mesâme,msemh
mesârif,mzerfo1
mesâvî,msewy
mescid,msxu1d
mesdûd,msdwd
mesel,mbo3l
meselâ,mbo3le
mesele,msbo5lh
meserrât,msrebo2
meserret,msrbo2
mesh,msxo1
meshûr,msxwr
mesîh,msbu2x
mesîhî,msbu2xy
mesîhiyyet,msbu2xbu2bo2
mesîr,msbu2r
mesîre,msbu2rh
mesken,mskbo1
meskenet,mskbo1bo2
meskûkât,mskwkebo2
meskûn,mskwbo1
meslah,mslxo1
meslek,mslk
meslûl,mslwl
mesmû,msmwa
mesmûat,msmwaebo2
mesmûm,msmwm
mesned,msbo1d
mesnevîhan,mbo3bo1wy xo1webo1
mesruk,msrwfo2
mesrûr,msrwr
mesrûrane,msrwrebo1h
messah,msex
mest,msbo2
mestâne,msbo2ebo1h
mestî,msbo2y
mest-i harâb,msbo2 xo1rebu1
mestûr,msbo2wr
mestûr,mstwr
mesud,msawd
mesûdâne,msawdebo1h
mesuliyet,msbo5wlbu2bo2
meşâgil,mso3eao1l
meşâhîr,mso3ehbu2r
meşâil,mso3eal
meşakkat,mso3fo2bo2
meş'al,mso3al
meşâmm,mso3em
meşârık,mso3erfo2
meşâyih,mso3eyxo1
meşbû,mso3bu1wa
meşcer,mso3xu1r
meşcere,mso3xu1rh
meşgale,mso3ao1lh
meşgûliyet,mso3ao1wlbu2bo2
meşhed,mso3hd
meşher,mso3hr
meşhûd,mso3hwd
meşhûn,mso3xwbo1
meşhûr,mso3hwr
meşîhat,mso3bu2xo1bo2
meşk,mso3fo2
meşk,mso3k
meşkûk,mso3kwk
meşkûkiyyet,mso3kwkbu2bo2
meşkûr,mso3kwr
meşreb,mso3rbu1
meşrebe,mso3rbu1h
meşrû,mso3rwa
meşrûbât,mso3rwbu1ebo2
meşrûh,mso3rwx
meşrûhât,mso3rwxebo2
meşrûiyyet,mso3rwabu2bo2
meşrût,mso3rwt
meşşâte,mso3eth
meş'um,mso3bo5wm
meş'ûr,mso3awr
meşveret,mso3wrbo2
metâ,mbo2ea
metâli,mtela
metânet,mbo2ebo1bo2
metbû,mbo2bu1wa
metin,mbo2bu2bo1
metn,mbo2bo1
metremik'ab,mbo2rw mkabu1
metrûk,mbo2rwk
metrûkat,mbo2rwkebo2
metrûkiyet,mbo2rwkybo2
me'vâ,meo5we
mevâd,mwed
mevârid,mwerd
mevc,mwxu1
mevce,mwxu1h
mevcûd,mwxu1wd
mevcûdât,mwxu1wdebo2
mevcûdiyyet,mwxu1wdybo2
meveddet,mwdbo2
mevhibe,mwhbu1h
mevhûm,mwhwm
mev'ize,mwato1h
mevki,mwfo2a
mevkib,mwkbu1
mevkif,mwfo2fo1
mevki-i rüchan,mwfo2a rxu1xebo1
mevkûf,mwfo2wfo1
mevkufleh,mwfo2wfo1 lh
mevlâ,mwly
mevlid,mwld
mevsuk,mwbo3wfo2
mevsûkiyet,mwbo3wfo2bu2bo2
mevsûm,mwswm
mevt,mwbo2
mevtâ,mwbo2e
mevtâî,mwbo2ebo5y
mevtın,mwtbo1
mev'ûd,mwawd
mevzi,mwzo1a
mevzi'î,mwzo1ay
mevzû,mwzo1wa
mevzu-i bahis,mwzo1wa bu1xbo3
mevzun,mwro1wbo1
mey,my
meyân,mbu2ebo1
meydân,mbu2debo1
meygûn,mbu2ko7wbo1
meyhâne,mbu2xo1ebo1h
meyhâr,mbu2xo1wer
meyil,mbu2l
meykede,mbu2kdh
meyl,mbu2l
meymene,mbu2mbo1h
meymûn,mbu2mwbo1
meysere,mbu2srh
meyt,mbu2bo2
meyus,meo5yws
me'yûs,meo5yws
meyvedâr,mbu2wh der
meyyâl,mbu2el
meyyit,mbu2bo2
mezâhib,mdo1ehbu1
mezâlim,mto1elm
mezâmin,mzo1embo1
mezargâh,mro1erko7eh
mezâri,mro1era
mezâyâ,mro1eye
mezbele,mro1bu1lh
mezbuh,mdo1bu1wx
mezbûr,mro1bu1wr
mezc,mro1xu1
mezellet,mdo1lbo2
mezheb,mdo1hbu1
mezîd,mro1bu2d
meziyyât,mro1yebo2
meziyyet,mro1ybo2
mezkûr,mdo1kwr
mezmûm,mdo1mwm
mezra,mro1ra
mezra'a,mro1rah
mezrû,mro1rwa
mezun,meo5do1wbo1
mezunen,meo5do1wbo1e
mıkraz,mfo2rezo1
mıntaka,mbo1tfo2h
mısbah,mzbu1ex
mısdak,mzdefo2
mısra,mzrea
mıtrak,mtrfo2
mızrab,mzo1rbu1
mızrak,mro1refo2
miâd,mbu2aed
micmer,mxu1mr
midevî,madwy
midhat,mdxbo2
mie,mebo5h
miftah,mfo1bo2ex
miğfer,mao1fo1r
mîh,mbu2xo1
mihekk,mxk
mihen,mxbo1
mihmân,mhmebo1
mihmannevaz,mhmebo1 bo1wero1
mihmannüvaz,mhmebo1 bo1wero1
mihmânserâ,mhmebo1 sre
mihnet,mxbo1bo2
mihr,mhr
mihrak,mxrefo2
mihrbân,mhrbu1ebo1
mihter,mhbo2r
mihver,mxwr
mik'ab,mkabu1
mîkat,mbu2fo2ebo2
mikdar,mfo2der
mikraz,mfo2rezo1
mikyas,mfo2bu2es
mil,mbu2l
mîlâd,mbu2led
milel,mll
milhafe,mlxfo1h
milk,mlk
millet,mlbo2
millî,mly
milliyetperver,meybo2 bu3rwr
milliyye,mlbu2h
mîna,mbu2bo1e
minba'd,mbo1 bu1ad
minelkadim,mbo1 elfo2dym
minen,mbo1bo1
minkale,mbo1fo2lh
minkar,mbo1fo2er
minkaş,mbo1fo2eso3
minnetdâr,mbo1bo2der
minşâr,mbo1so3er
minvâl,mbo1wel
mirâc,marexu1
mîrahur,mbu2reo6xo1wr
miralay,mbu2reo6ley
mirâren,mrere
mirashâr,mbu2rebo3 xo1wer
mir'ât,mreo6bo2
mirliva,mbu2rlwe
mirsâd,mrzed
mirvaha,mrwxh
mirza,mbu2rro1e
mîsak,mbu2bo3efo2
misal,mbo3el
misâli,mbo3ely
miskin,mskbu2bo1
miskîn,mskbu2bo1
misl,mbo3l
mîşîn,mbu2so3bu2bo1
mithara,mthrh
mîvedar,mbu2wh der
miyâh,mbu2eh
miyân,mbu2ebo1
miyâr,mabu2er
mizâc,mro1exu1
mîzan,mbu2ro1ebo1
mû,mw
mu‘arrif,marfo1
muabbir,mabu1r
muaccel,maxu1l
muaddil,madl
muâdele,maedlh
muâdelet,maedlbo2
muâdil,maedl
muâfiyet,maefo1bu2bo2
muâhede,maehdh
muâhedenâme,maehdh bo1emh
muâheze,mwo5exo1do1h
muahhar,mwo5xo1r
muakkib,mafo2bu1
mualla,maly
muallak,malfo2
muallakiyet,malfo2bu2bo2
muallim,malm
muallimât,malmebo2
muallime,malmh
muallimîn,malmbu2bo1
muamelat,maemlebo2
muamele,maemlh
muamma,mame
muanber,mabo1bu1r
muânid,maebo1d
muannid,mabo1d
muâraza,maerzo1h
muârız,maerzo1
muarrâ,mary
muâsır,maezr
muâşaka,maeso3fo2h
muâvaza,maewzo1h
muavenet,maewbo1bo2
muavin,maewbo1
muayede,maeydh
muayyen,mabu2bo1
muazzam,mato1m
muazzeb,mado1bu1
muazzez,maro1ro1
mubassır,mbu1zr
mûcez,mwxu1ro1
mûcib,mwxu1bu1
mûcid,mwxu1d
mu'cizât,maxu1ro1ebo2
mu'cizegû,maxu1ro1h ko7w
mudhike,mzo1xkh
mufassalan,mfo1zle
mugâlata,mao1elth
mugannî,mao1bo1y
muganniye,mao1bo1bu2h
mugâyeret,mao1eyrbo2
mugayir,mao1eyr
mugîlân,mao1bu2lebo1
muğber,mao1bu1r
muğfil,mao1fo1l
muğlak,mao1lfo2
muğlakiyet,mao1lfo2bu2bo2
muhabbet,mxbu1bo2
muhabere,mxo1ebu1rh
muhabir,mxo1ebu1r
muhâceret,mhexu1rbo2
muhacim,mhexu1m
muhacir,mhexu1r
muhaddir,mxo1dr
muhaddis,mxdbo3
muhafaza,mxefo1to1h
muhafazakâr,mxefo1to1h ker
muhafazakâr,mxefo1to1h ker
muhaffef,mxo1fo1fo1
muhaffif,mxo1fo1fo1
muhâfız,mxefo1to1
muhâkemat,mxekmebo2
muhakeme,mxekmh
muhakkak,mxfo2fo2
muhakkık,mxfo2fo2
muhâl,mxel
muhalefet,mxo1elfo1bo2
muhallil,mxll
muhammen,mxo1mbo1
muhammer,mxo1mr
muhammes,mxo1ms
muhannens,mxo1bo1bo3
muhannet,mxbo1t
muharebat,mxerbu1ebo2
muharebe,mxerbu1h
muharib,mxerbu1
muharremât,mxrmebo2
muharrer,mxrr
muharrib,mxo1rbu1
muharrik,mxrfo2
muharrir,mxrr
muhasara,mxezrh
muhasib,mxesbu1
muhassala,mxzlh
muhassas,mxo1zz
muhât,mxet
muhatara,mxo1etrh
muhavere,mxewrh
muhayyel,mxo1bu2l
muhayyile,mxo1bu2lh
muhayyirülukûl,mxbu2relafo2wl
muhbir,mxo1bu1r
muhık,mxfo2
muhib,mxbu1
mûhiş,mwxso3
muhit,mxbu2t
muhtâc,mxbo2exu1
muhtariyet,mxo1bo2erybo2
muhtasar,mxo1bo2zr
muhtasaran,mxo1bo2zre
muhtekir,mxbo2kr
muhtelefünfîh,mxo1bo2lfo1 fo1bu2h
muhtelif,mxo1bo2lfo1
muhtelit,mxo1bo2lt
muhterem,mxbo2rm
muhteriz,mxbo2rro1
muhteşem,mxbo2so3m
muhteva,mxbo2we
muhtevî,mxbo2wy
muhteviyat,mxbo2wyebo2
muhyî,mxbu2y
mukâbil,mfo2ebu1l
mukaddem,mfo2dm
mukaddemâ,mfo2dme
mukadderat,mfo2drebo2
mukaddes,mfo2ds
mukaddesat,mfo2dsebo2
mukaddime,mfo2dmh
mukallid,mfo2ld
mukanna,mfo2bo1a
mukannin,mfo2bo1bo1
mukarreb,mfo2rbu1
mukarrer,mfo2rr
mukarrerat,mfo2rrebo2
mukassır,mfo2zr
mukattar,mfo2tr
mukavelat,mfo2ewlebo2
mukavele,mfo2ewlh
mukavelename,mfo2ewlh bo1emh
mukavemet,mfo2ewmbo2
mukavim,mfo2ewm
mukavvî,mfo2wy
mukâyese,mfo2eysh
mukayyed,mfo2bu2d
mukayyi,mfo2bu2yc
mukırr,mfo2r
mukîm,mfo2bu2m
mukni,mfo2bo1a
muktebes,mfo2bo2bu1s
muktedâ,mfo2bo2de
muktedî,mfo2bo2dy
muktedir,mfo2bo2dr
muktesid,mfo2bo2zd
muktezî,mfo2bo2zo1y
mûmâileyh,mwmy elbu2h
mûmâileyhim,mwmy elbu2hm
mumza,mmzo1y
munfasıl,mbo1fo1zl
munis,mwbo1s
munkalib,mbo1fo2lbu1
munkarız,mbo1fo2rzo1
munsarif,mbo1zrfo1
munsif,mbo1zfo1
muntabık,mbo1tbu1fo2
muntazam,mbo1bo2to1m
muntazaman,mbo1bo2to1me
muntazır,mbo1bo2to1r
munzam,mbo1zo1m
mûr,mwr
murabba,mrbu1a
murabbauşşekl,mrbu1a elso3kl
murâd,mred
murâfaa,mrefo1ah
murahhas,mrxo1z
murakabe,mrefo2bu1h
murakıb,mrefo2bu1
murakka,mrfo2a
murassa,mrza
murg,mrao1
murûr,mrwr
murzia,mrzo1ah
musâb,mzebu1
musadif,mzedfo1
musâfaha,mzefo1xh
musahabe,mzexbu1h
musahhah,mzxx
musahib,mzexbu1
musalaha,mzelxh
musanna,mzbo1a
musannif,mzbo1fo1
musarra,mzra
musattah,mstx
musavver,mzwr
musavvir,mzwr
mushaf,mzxfo1
musîbet,mzbu2bu1bo2
mûsikîşinas,mwsbu2fo2y so3bo1es
musir,mzr
musirrane,mzrebo1h
mustakim,msbo2fo2bu2m
mûş,mwso3
muşamma,mso3ma
mûşikâfâne,mwso3kefo1ebo1h
muşt,mso3bo2
mu'tâ,maty
muta'assıb,mbo2azbu1
mutabık,mtebu1fo2
mu'tâd,mabo2ed
mu'tâde,mabo2edh
mutâlebât,mtelbu1ebo2
mutâlebe,mtelbu1h
mutantan,mtbo1tbo1
mutarriden,mtrde
mutasarrıf,mbo2zrfo1
mutasavvıfâne,mbo2zwfo1ebo1h
mutâva'at,mtewabo2
mutavattın,mbo2wtbo1
mutayebe,mteybu1h
mutazammin,mbo2zo1mbo1
